bnuber,gene,gene_description,copy_number,growth_rate_hr-1
b0033,"carb, cap, eck0034, jw0031, pyra","carbamoyl-phosphate synthase large subunit (ec:6,3,5,5)",637,0.11
b0034,"caif, eck0035, jw0033",dna-binding transcriptional activator,,0.11
b0035,"caie, eck0036, jw5004",predicted acyl transferase,,0.11
b0036,"caid, eck0037, jw0035, yaal","crotonobetainyl coa hydratase (ec:4,2,1,-)",,0.11
b0037,"caic, eck0038, jw0036, yaam",predicted crotonobetaine coa ligase:carnitine coa ligase,,0.11
b0038,"caib, eck0039, jw0037, yaan","crotonobetainyl coa:carnitine coa transferase (ec:2,8,3,-)",,0.11
b0039,"caia, eck0040, jw0038, yaao","crotonobetaine reductase subunit ii, fad-binding (ec:1,3,99,-)",,0.11
b0040,"cait, eck0041, jw0039, yaap",predicted transporter,,0.11
b0041,"fixa, eck0042, jw0040, yaaq","predicted electron transfer flavoprotein subunit, etfp adenine",,0.11
b0042,"fixb, eck0043, jw0041, yaar","predicted electron transfer flavoprotein, nad/fad-binding domain and",,0.11
b0043,"fixc, eck0044, jw0042, yaas",predicted oxidoreductase with fad/nad(p)-binding domain,,0.11
b0044,"fixx, eck0045, jw0043, yaat",predicted 4fe-4s ferredoxin-type protein,,0.11
b0045,"yaau, eck0046, jw0044, yabe",predicted transporter,,0.11
b0046,"keff, eck0047, jw0045, yabf",flavoprotein subunit for the kefc potassium efflux system,,0.11
b0047,"kefc, eck0048, jw0046, trkc",potassium:proton antiporter,,0.11
b0048,"fola, eck0049, jw0047, tmra","dihydrofolate reductase (ec:1,5,1,3)",288,0.11
b0049,"apah, cfcb, eck0050, jw0048","diadenosine tetraphosphatase (ec:3,6,1,41)",69,0.11
b0050,"apag, cord, eck0051, jw0049, temp",protein associated with co2+ and mg2+ efflux,,0.11
b0051,"rsma, eck0052, jw0050, ksga","s-adenosylmethionine-6-n',n'-adenosyl (rrna) dimethyltransferase",174,0.11
b0052,"pdxa, eck0053, jw0051","4-hydroxy-l-threonine phosphate dehydrogenase, nad-dependent",,0.11
b0053,"sura, eck0054, jw0052","peptidyl-prolyl cis-trans isomerase (ppiase) (ec:5,2,1,8)",1462,0.11
b0054,"lptd, eck0055, imp, jw0053, osta, yabg",exported protein required for envelope biosynthesis and integrity,57,0.11
b0055,"djla, eck0056, jw0054, yabh","dnaj-like protein, membrane anchored",,0.11
b0058,"rlua, eck0059, jw0057, yabo",pseudouridine synthase for 23s rrna (position 746) and,,0.11
b0059,"hepa, eck0060, jw0058, rapa, yaba",rna polymerase-associated helicase protein (atpase and rna,68,0.11
b0060,"polb, dina, eck0061, jw0059","dna polymerase ii (ec:2,7,7,7)",,0.11
b0061,"arad, eck0062, jw0060","l-ribulose-5-phosphate 4-epimerase (ec:5,1,3,4)",,0.11
b0062,"araa, eck0063, jw0061","l-arabinose isomerase (ec:5,3,1,4)",64,0.11
b0063,"arab, eck0064, jw0062","l-ribulokinase (ec:2,7,1,16)",,0.11
b0065,"yabi, eck0066, jw5005",conserved inner membrane protein,,0.11
b0066,"thiq, eck0067, jw0065, sfuc, yabj",thiamin transporter subunit,,0.11
b0067,"thip, eck0068, jw0066, sfub, yabk",fused thiamin transporter subunits of abc superfamily: membrane,,0.11
b0068,"thib, eck0069, jw0067, sfua, tbpa, yabl",thiamin transporter subunit,462,0.11
b0069,"sgrr, eck0070, jw0068, yabn",dna-binding transcriptional regulator,,0.11
b0070,"seta, eck0072, jw0069, yabm",broad specificity sugar efflux system,,0.11
b0071,"leud, eck0073, jw0070","3-isopropylmalate isomerase subunit (ec:4,2,1,33)",5439,0.11
b0072,"leuc, eck0074, jw0071","3-isopropylmalate isomerase subunit, dehydratase component",3272,0.11
b0073,"leub, eck0075, jw5807","3-isopropylmalate dehydrogenase (ec:1,1,1,85)",2886,0.11
b0074,"leua, eck0076, jw0073","2-isopropylmalate synthase (ec:2,3,3,13)",3656,0.11
b0075,"leul, eck0077, jw0074, leulp",leu operon leader peptide,,0.11
b0076,"leuo, eck0078, jw0075",dna-binding transcriptional activator,,0.11
b0077,"ilvi, eck0079, jw0076","acetolactate synthase iii, large subunit (ec:2,2,1,6)",576,0.11
b0078,"ilvh, brnp, eck0080, jw0077","acetolactate synthase iii, thiamin-dependent, small subunit",749,0.11
b0080,"frur, cra, eck0081, fruc, jw0078, shl",dna-binding transcriptional dual regulator,300,0.11
b0081,"mraz, eck0082, jw0079, yabb",conserved protein,,0.11
b0082,"mraw, eck0083, jw0080, yabc",s-adenosyl-dependent methyltransferase activity on membrane-located,147,0.11
b0083,"ftsl, eck0084, jw0081, mrar, yabd",membrane bound cell division protein at septum containing leucine,,0.11
b0084,"ftsi, eck0085, jw0082, pbpb, sep",transpeptidase involved in septal peptidoglycan synthesis,,0.11
b0085,"mure, eck0086, jw0083",udp-n-acetylmuramoyl-l-alanyl-d-glutamate:meso-diaminopimelate,66,0.11
b0086,"murf, eck0087, jw0084, mra",udp-n-acetylmuramoyl-tripeptide:d-alanyl-d-alanine ligase,94,0.11
b0087,"mray, eck0088, jw0085, murx","phospho-n-acetylmuramoyl-pentapeptide transferase (ec:2,7,8,13)",,0.11
b0088,"murd, eck0089, jw0086","udp-n-acetylmuramoyl-l-alanine:d-glutamate ligase (ec:6,3,2,9)",70,0.11
b0089,"ftsw, eck0090, jw0087",integral membrane protein involved in stabilizing fstz ring during,,0.11
b0090,"murg, eck0091, jw0088","n-acetylglucosaminyl transferase (ec:2,4,1,227)",,0.11
b0091,"murc, eck0092, jw0089","udp-n-acetylmuramate:l-alanine ligase (ec:6,3,2,8)",75,0.11
b0092,"ddlb, ddl, eck0093, jw0090","d-alanine:d-alanine ligase (ec:6,3,2,4)",74,0.11
b0093,"ftsq, eck0094, jw0091",membrane anchored protein involved in growth of wall at septum,,0.11
b0094,"ftsa, diva, eck0095, jw0092",atp-binding cell division protein involved in recruitment of ftsk to,269,0.11
b0095,"ftsz, eck0096, jw0093, sfib, sulb",gtp-binding tubulin-like cell division protein,1778,0.11
b0096,"lpxc, asmb, eck0097, enva, jw0094","udp-3-o-acyl n-acetylglucosamine deacetylase (ec:3,5,1,-)",,0.11
b0097,"secm, eck0098, jw5007, srra, yaca",regulator of seca translation,,0.11
b0098,"seca, azi, eck0099, jw0096, pea, prld","preprotein translocase subunit, atpase",538,0.11
b0099,"mutt, eck0100, jw0097, nuda","nucleoside triphosphate pyrophosphohydrolase, marked preference for",,0.11
b0101,"yacg, eck0101, jw5008",dna gyrase inhibitor,,0.11
b0102,"yacf, eck0102, jw0099",conserved protein,130,0.11
b0103,"coae, eck0103, jw0100, yace","dephospho-coa kinase (ec:2,7,1,24)",,0.11
b0104,"guac, eck0104, jw0101","gmp reductase (ec:1,7,1,7)",204,0.11
b0106,"hofc, eck0105, hopc, jw0102, yacd","assembly protein in type iv pilin biogenesis, transmembrane protein",,0.11
b0107,"hofb, eck0106, hopb, jw0103",conserved protein with nucleoside triphosphate hydrolase domain,,0.11
b0108,"ppdd, eck0107, jw0104",predicted major pilin subunit,,0.11
b0109,"nadc, eck0108, jw0105","quinolinate phosphoribosyltransferase (ec:2,4,2,19)",288,0.11
b0110,"ampd, eck0109, jw0106","n-acetyl-anhydromuranmyl-l-alanine amidase (ec:3,5,1,28)",,0.11
b0111,"ampe, eck0110, jw0107",predicted inner membrane protein,,0.11
b0112,"arop, eck0111, jw0108",aromatic amino acid transporter,281,0.11
b0113,"pdhr, acec, eck0112, gena, jw0109, yacb",dna-binding transcriptional dual regulator,83,0.11
b0114,"acee, eck0113, jw0110","pyruvate dehydrogenase, decarboxylase component e1, thiamin-binding",4254,0.11
b0115,"acef, eck0114, jw0111","pyruvate dehydrogenase, dihydrolipoyltransacetylase component e2",2556,0.11
b0116,"lpd, dhl, eck0115, jw0112, lpda","lipoamide dehydrogenase, e3 component is part of three enzyme",5475,0.11
b0117,"yach, eck0116, jw0113",predicted protein,,0.11
b0118,"acnb, eck0117, jw0114, yaci, yacj",bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,6572,0.11
b0119,"yacl, eck0118, jw0115",conserved protein,,0.11
b0120,"sped, eck0119, jw0116","s-adenosylmethionine decarboxylase (ec:4,1,1,50)",,0.11
b0121,"spee, eck0120, jw0117",spermidine synthase (putrescine aminopropyltransferase),231,0.11
b0122,"yacc, eck0121, gsps, jw0118",predicted protein,,0.11
b0123,"cueo, cuid, eck0122, jw0119, yack",multicopper oxidase (laccase),372,0.11
b0124,"gcd, eck0123, jw0120","glucose dehydrogenase (ec:1,1,5,2)",143,0.11
b0125,"hpt, eck0124, jw5009","hypoxanthine phosphoribosyltransferase (ec:2,4,2,8)",507,0.11
b0126,"can, eck0125, jw0122, yadf","carbonic anhydrase (ec:4,2,1,1)",2004,0.11
b0127,"yadg, eck0126, jw0123",predicted transporter subunit: atp-binding component of abc,198,0.11
b0128,"yadh, eck0127, jw0124",predicted transporter subunit: membrane component of abc superfamily,,0.11
b0129,"yadi, agax, eck0128, jw0125",predicted pts enzyme iia,,0.11
b0130,"yade, eck0129, jw0126",predicted polysaccharide deacetylase lipoprotein,,0.11
b0131,"pand, eck0130, jw0127","aspartate 1-decarboxylase (ec:4,1,1,11)",,0.11
b0132,"yadd, eck0131, jw5010",predicted transposase,,0.11
b0133,"panc, eck0132, jw0129","pantothenate synthetase (ec:6,3,2,1)",827,0.11
b0134,"panb, eck0133, jw0130","3-methyl-2-oxobutanoate hydroxymethyltransferase (ec:2,1,2,11)",2144,0.11
b0135,"yadc, eck0134, fmab, jw0131",predicted fimbrial-like adhesin protein,,0.11
b0136,"yadk, eck0135, jw0132",predicted fimbrial-like adhesin protein,,0.11
b0137,"yadl, eck0136, jw0133",predicted fimbrial-like adhesin protein,,0.11
b0138,"yadm, eck0137, fmac, jw0134",predicted fimbrial-like adhesin protein,,0.11
b0139,"htre, eck0138, jw0135",predicted outer membrane usher protein,,0.11
b0140,"ecpd, eck0139, jw0136",predicted periplasmic pilin chaperone,,0.11
b0141,"yadn, eck0140, fmad, jw0137",predicted fimbrial-like adhesin protein,,0.11
b0142,"folk, eck0141, jw0138",2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase,,0.11
b0143,"pcnb, eck0142, jw5808","poly(a) polymerase i (ec:2,7,7,19)",,0.11
b0144,"yadb, eck0143, jw5892","glutamyl-q trna(asp) synthetase (ec:6,1,1,-)",,0.11
b0145,"dksa, eck0144, jw0141, msma","dna-binding transcriptional regulator of rrna transcription, dnak",2671,0.11
b0146,"sfsa, eck0145, jw0142, sfs, sfs1",predicted dna-binding transcriptional regulator,,0.11
b0147,"ligt, eck0146, jw5011, yadp","2'-5' rna ligase (ec:6,5,1,-)",,0.11
b0148,"hrpb, eck0147, jw0144, yado",predicted atp-dependent helicase,,0.11
b0149,"mrcb, eck0148, jw0145, pbpf, ponb","fused glycosyl transferase and transpeptidase (ec:2,4,1,129 3,4,-,-)",209,0.11
b0150,"fhua, eck0149, jw0146, t1, tona",ferrichrome outer membrane transporter,,0.11
b0151,"fhuc, eck0150, jw0147",iron-hydroxamate transporter subunit,,0.11
b0152,"fhud, eck0151, jw0148",iron-hydroxamate transporter subunit,,0.11
b0153,"fhub, eck0152, jw0149",fused iron-hydroxamate transporter subunits of abc superfamily:,,0.11
b0154,"heml, eck0153, jw0150, popc","glutamate-1-semialdehyde aminotransferase (aminomutase) (ec:5,4,3,8)",858,0.11
b0155,"clca, eck0154, eric, jw5012, yadq","chloride channel, voltage-gated",,0.11
b0156,"erpa, eck0155, jw0152, yadr",conserved protein,645,0.11
b0157,"yads, eck0156, jw0153",conserved inner membrane protein,,0.11
b0158,"btuf, eck0157, jw0154, yadt",vitamin b12 transporter subunit: periplasmic-binding component of,,0.11
b0159,"mtn, eck0158, jw0155, mtnn, pfs, yada",5'-methylthioadenosine/s-adenosylhomocysteine nucleosidase,396,0.11
b0160,"dgt, eck0159, jw0156, opta","deoxyguanosine triphosphate triphosphohydrolase (ec:3,1,5,1)",,0.11
b0161,"degp, eck0160, htra, jw0157, ptd","serine endoprotease (protease do), membrane-associated (ec:3,4,21,-)",1382,0.11
b0162,"cdar, eck0161, jw5013, sdar, yaeg",dna-binding transcriptional activator,,0.11
b0163,"yaeh, eck0162, jw0159",conserved protein,3295,0.11
b0164,"yaei, eck0163, jw5014",predicted phosphatase,,0.11
b0166,"dapd, eck0164, jw0161, ssa","2,3,4,5-tetrahydropyridine-2-carboxylate n-succinyltransferase",1713,0.11
b0167,"glnd, eck0165, jw0162","uridylyltransferase (ec:2,7,7,59)",16,0.11
b0168,"map, eck0166, jw0163, pepm","methionine aminopeptidase (ec:3,4,11,18)",617,0.11
b0169,"rpsb, eck0168, jw0164",30s ribosomal subunit protein s2,8587,0.11
b0170,"tsf, eck0169, jw0165",protein chain elongation factor ef-ts,6047,0.11
b0171,"pyrh, eck0170, jw0166, smba, umk","uridylate kinase (ec:2,7,4,-)",345,0.11
b0172,"frr, eck0171, jw0167, rrf",ribosome recycling factor,3027,0.11
b0173,"dxr, eck0172, ispc, jw0168, yaem","1-deoxy-d-xylulose 5-phosphate reductoisomerase (ec:1,1,1,267)",,0.11
b0174,"ispu, eck0173, jw0169, rth, upps, yaes","undecaprenyl pyrophosphate synthase (ec:2,5,1,31)",,0.11
b0175,"cdsa, eck0174, jw5810","cdp-diglyceride synthase (ec:2,7,7,41)",,0.11
b0176,"rsep, ecfe, eck0175, jw0171, yael","zinc metallopeptidase (ec:3,4,24,-)",,0.11
b0177,"bama, ecfk, eck0176, jw0172, omp85, yaet, yzzn, yzzy",conserved protein,357,0.11
b0178,"skp, eck0177, hlpa, jw0173, omph",periplasmic chaperone,5848,0.11
b0179,"lpxd, eck0178, fira, jw0174, omsa, ssc",udp-3-o-(3-hydroxymyristoyl)-glucosamine n-acyltransferase,801,0.11
b0180,"fabz, eck0179, jw0175, saba, sefa, sfhc, yaea","(3r)-hydroxymyristol acyl carrier protein dehydratase (ec:4,2,1,-)",1444,0.11
b0181,"lpxa, eck0180, jw0176","udp-n-acetylglucosamine acetyltransferase (ec:2,3,1,129)",772,0.11
b0182,"lpxb, eck0181, jw0177, pgsb","tetraacyldisaccharide-1-p synthase (ec:2,4,1,182)",490,0.11
b0183,"rnhb, eck0182, jw0178","ribonuclease hii, degrades rna of dna-rna hybrids (ec:3,1,26,4)",,0.11
b0184,"dnae, eck0183, jw0179, polc, sdgc","dna polymerase iii alpha subunit (ec:2,7,7,7)",,0.11
b0185,"acca, eck0184, jw0180","acetyl-coa carboxylase, carboxytransferase, alpha subunit",1524,0.11
b0186,"ldcc, eck0185, jw0181, ldc, ldch","lysine decarboxylase 2, constitutive (ec:4,1,1,18)",,0.11
b0187,"yaer, eck0186, jw0182",predicted lyase,231,0.11
b0188,"tils, eck0187, jw0183, mesj, yaen","trna(ile)-lysidine synthetase (ec:6,1,1,5)",,0.11
b0189,"rof, eck0188, jw0184, mesj, yaeo",modulator of rho-dependent transcription termination,542,0.11
b0190,"yaeq, eck0190, jw0186",conserved protein,,0.11
b0191,"yaej, eck0191, jw0187",conserved protein,,0.11
b0192,"nlpe, cutf, eck0192, jw0188",lipoprotein involved with copper homeostasis and adhesion,,0.11
b0193,"yaef, eck0193, jw5016, yaek",predicted lipoprotein,,0.11
b0194,"pros, drpa, eck0194, jw0190","prolyl-trna synthetase (ec:6,1,1,15)",1668,0.11
b0195,"yaeb, eck0195, jw0191",conserved protein,,0.11
b0196,"rcsf, eck0196, jw0192","predicted outer membrane protein, signal",,0.11
b0197,"metq, eck0197, jw0193, metd, yaec",dl-methionine transporter subunit,6740,0.11
b0198,"meti, eck0198, jw0194, metd, yaee",dl-methionine transporter subunit,,0.11
b0199,"metn, abc, eck0199, jw0195, metd",dl-methionine transporter subunit,221,0.11
b0200,"gmhb, eck0200, gmbc, gmbx, jw0196, wcbn, yaed","d,d-heptose 1,7-bisphosphate phosphatase",,0.11
b0201,"rrsh, eck0201, jwr0001",16s ribosomal rna of rrnh operon,,0.11
b0204,"rrlh, eck0204, jwr0004",23s ribosomal rna of rrnh operon,,0.11
b0207,"dkgb, eck0207, jw0197, yafb","2,5-diketo-d-gluconate reductase b (ec:1,1,1,274)",311,0.11
b0208,"yafc, eck0208, jw0198",predicted dna-binding transcriptional regulator,28,0.11
b0209,"yafd, eck0209, jw5017",conserved protein,,0.11
b0210,"yafe, eck0210, jw0200",predicted s-adenosyl-l-methionine-dependent methyltransferase,,0.11
b0211,"mltd, dnir, eck0211, jw5018, yafg",predicted membrane-bound lytic murein transglycosylase d,,0.11
b0212,"glob, eck0212, jw0202, yafr",predicted hydroxyacylglutathione hydrolase,471,0.11
b0213,"yafs, eck0213, jw0203",predicted s-adenosyl-l-methionine-dependent methyltransferase,,0.11
b0214,"rnha, cer, dasf, eck0214, hera, jw0204, rnh, sdra, sin","ribonuclease hi, degrades rna of dna-rna hybrids (ec:3,1,26,4)",,0.11
b0215,"dnaq, eck0215, jw0205, mutd","dna polymerase iii epsilon subunit (ec:2,7,7,7)",,0.11
b0217,"yaft, eck0217, jw0206",predicted aminopeptidase,,0.11
b0218,"yafu, eck0218, jw0207",pseudogene,,0.11
b0219,"yafv, eck0220, jw5019","predicted c-n hydrolase family amidase, nad(p)-binding",,0.11
b0220,"ivy, eck0221, jw0210, ykfe",inhibitor of vertebrate c-lysozyme,1175,0.11
b0221,"fade, eck0222, fadf, jw5020, yafh","acyl coenzyme a dehydrogenase (ec:1,3,99,3)",203,0.11
b0222,"lpca, eck0223, gmha, isn, jw0212, tfra, yafi","d-sedoheptulose 7-phosphate isomerase (ec:5,-,-,-)",1990,0.11
b0223,"yafj, eck0224, jw0213",predicted amidotransfease,,0.11
b0224,"yafk, eck0225, jw0214",conserved protein,,0.11
b0225,"yafq, eck0226, jw0215",predicted toxin of the yafq-dinj toxin-antitoxin system,,0.11
b0226,"dinj, eck0227, jw0216, sosa",predicted antitoxin of yafq-dinj toxin-antitoxin system,,0.11
b0227,"yafl, eck0228, jw0217",predicted lipoprotein and c40 family peptidase,,0.11
b0228,"yafm, eck0229, jw0218",conserved protein,,0.11
b0229,"lfha, eck0230, fhia, jw5811",pseudogene,,0.11
b0230,"lafu, eck0231, jw5812, mbha",pseudogene,,0.11
b0231,"dinb, dinp, eck0232, jw0221","dna polymerase iv (ec:2,7,7,7)",,0.11
b0232,"yafn, eck0233, jw0222",predicted antitoxin of the yafo-yafn toxin-antitoxin system,,0.11
b0233,"yafo, eck0234, jw0223",predicted toxin of the yafo-yafn toxin-antitoxin system,,0.11
b0234,"yafp, eck0235, jw0224",predicted acyltransferase with acyl-coa n-acyltransferase domain,,0.11
b0235,"ykfj, eck0236, jw0225",pseudogene,,0.11
b0236,"prfh, eck0237, jw0226",pseudogene,,0.11
b0237,"pepd, eck0238, jw0227, peph","aminoacyl-histidine dipeptidase (peptidase d) (ec:3,4,13,3)",1724,0.11
b0238,,,855,0.11
b0239,"frsa, eck0240, jw0229, yafa","hydrolase, binds to enzyme iia(glc)",93,0.11
b0240,"crl, eck0241, jw0230",dna-binding transcriptional regulator,445,0.11
b0241,"phoe, eck0242, jw0231, ompe",outer membrane phosphoporin protein e,,0.11
b0242,"prob, eck0243, jw0232, pro","gamma-glutamate kinase (ec:2,7,2,11)",271,0.11
b0243,"proa, eck0244, jw0233, pro","gamma-glutamylphosphate reductase (ec:1,2,1,41)",542,0.11
b0244,"thrw, eck0245, jwr0008",trna-thr,,0.11
b0245,"ykfi, eck0246, jw0234",cp4-6 prophage; toxin of the ykfi-yafw toxin-antitoxin system,,0.11
b0246,"yafw, eck0247, jw0235",cp4-6 prophage; antitoxin of the ykfi-yafw toxin-antitoxin system,,0.11
b0247,"ykfg, eck0249, jw0236",cp4-6 prophage; predicted dna repair protein,,0.11
b0248,"yafx, eck0250, jw5022",cp4-6 prophage; predicted protein,,0.11
b0249,"ykff, eck0251, jw5023",cp4-6 prophage; predicted protein,,0.11
b0250,"ykfb, eck0252, jw0239",cp4-6 prophage; predicted protein,,0.11
b0251,"yafy, eck0253, jw0240",cp4-6 prophage; predicted dna-binding transcriptional regulator,,0.11
b0252,"yafz, eck0254, jw0242",cp4-6 prophage; conserved protein,,0.11
b0253,"ykfa, eck0255, jw0243",cp4-6 prophage; predicted gtp-binding protein,,0.11
b0254,"perr, eck0256, jw0244",cp4-6 prophage; predicted dna-binding transcriptional regulator,,0.11
b0256,"insi, eck0258",kple2 phage-like element; is30 transposase,232,0.11
b0258,"ykfc, eck0260, jw5813",pseudogene,,0.11
b0260,"mmup, eck0262, jw5027, ykfd",cp4-6 prophage; predicted s-methylmethionine transporter,,0.11
b0261,"mmum, eck0263, jw0253, yagd",cp4-6 prophage; s-methylmethionine:homocysteine methyltransferase,58,0.11
b0262,"afuc, eck0264, fbpc, jw0254, yagc",cp4-6 prophage; predicted ferric transporter subunit,,0.11
b0263,"afub, eck0265, fbpb, jw0255",pseudogene,,0.11
b0266,"yagb, eck0267, jw0259",pseudogene,,0.11
b0267,"yaga, eck0268, jw0260",cp4-6 prophage; predicted dna-binding transcriptional regulator,,0.11
b0268,"yage, eck0269, jw0261",cp4-6 prophage; predicted lyase/synthase,,0.11
b0269,"yagf, eck0270, jw0262",cp4-6 prophage; predicted dehydratase,,0.11
b0270,"yagg, eck0271, jw0263",cp4-6 prophage; predicted sugar transporter,,0.11
b0271,"yagh, eck0272, jw0264",cp4-6 prophage; predicted xylosidase/arabinosidase,,0.11
b0272,"yagi, eck0273, jw0265",cp4-6 prophage; predicted dna-binding transcriptional regulator,,0.11
b0273,"argf, arg5, argd, eck0274, jw0266","cp4-6 prophage; ornithine carbamoyltransferase 2, chain f",,0.11
b0276,"yagj, eck0275, jw0270",cp4-6 prophage; predicted protein,,0.11
b0277,"yagk, eck0276, jw0271",cp4-6 prophage; conserved protein,,0.11
b0278,"yagl, eck0277, jw0272",cp4-6 prophage; dna-binding protein,,0.11
b0279,"yagm, eck0278, jw0273",cp4-6 prophage; predicted protein,,0.11
b0280,"yagn, eck0279, jw0274",cp4-6 prophage; predicted protein,,0.11
b0281,"intf, eck0280, jw0275, yago",cp4-6 prophage; predicted phage integrase,,0.11
b0283,"yagq, eck0282, jw0277",conserved protein,,0.11
b0284,"yagr, eck0283, jw0278",predicted oxidoreductase with molybdenum-binding domain,,0.11
b0285,"yags, eck0284, jw0279",predicted oxidoreductase with fad-binding domain,,0.11
b0286,"yagt, eck0285, jw0280","predicted xanthine dehydrogenase, 2fe-2s subunit",,0.11
b0287,"yagu, eck0286, jw0281",conserved inner membrane protein,,0.11
b0288,"ykgj, eck0287, jw0282",predicted ferredoxin,,0.11
b0289,"yagv, eck0288, jw5030",conserved protein,,0.11
b0290,"yagw, eck0289, jw0284",predicted receptor,,0.11
b0291,"yagx, eck0290, jw0285",predicted aromatic compound dioxygenase,,0.11
b0292,"matc, eck0291, jw0286, yagy",predicted protein,,0.11
b0293,"matb, eck0292, jw0287, yagz",conserved protein,,0.11
b0294,"mata, eck0293, jw5031, ykgk",predicted regulator,,0.11
b0295,"ykgl, eck0294, jw5033",predicted protein,,0.11
b0296,"ykgm, eck0296, jw5035",rpmj (l36) paralog,,0.11
b0297,"eaeh, eck0297, jw0291",pseudogene,,0.11
b0300,"ykga, eck0300, jw5037",pseudogene,,0.11
b0301,"ykgb, eck0301, jw5038",conserved inner membrane protein,,0.11
b0303,"ykgi, eck0302, jw5039",predicted protein,,0.11
b0304,"ykgc, eck0303, jw5040",predicted oxidoreductase with fad/nad(p)-binding domain and,,0.11
b0305,"ykgd, eck0304, jw0298",predicted dna-binding transcriptional regulator,,0.11
b0306,"ykge, eck0305, jw5041",predicted oxidoreductase,,0.11
b0307,"ykgf, eck0306, jw0300",predicted amino acid dehydrogenase with nad(p)-binding domain and,,0.11
b0308,"ykgg, eck0307, jw5042",predicted transporter,,0.11
b0310,"ykgh, eck0308, jw0302",predicted inner membrane protein,,0.11
b0311,"beta, eck0309, jw0303","choline dehydrogenase, a flavoprotein (ec:1,1,99,1)",,0.11
b0312,"betb, eck0310, jw0304","betaine aldehyde dehydrogenase, nad-dependent (ec:1,2,1,8)",,0.11
b0313,"beti, eck0311, jw0305",dna-binding transcriptional repressor,,0.11
b0314,"bett, eck0312, jw0306",choline transporter of high affinity,,0.11
b0315,"yaha, eck0313, jw0307",predicted dna-binding transcriptional regulator,,0.11
b0316,"yahb, eck0314, jw0308",predicted dna-bindng transcriptional regulator,,0.11
b0317,"yahc, eck0315, jw0309",predicted inner membrane protein,,0.11
b0318,"yahd, eck0316, jw0310",predicted transcriptional regulator with ankyrin domain,,0.11
b0319,"yahe, eck0317, jw0311",predicted protein,,0.11
b0320,"yahf, eck0318, jw0312",predicted acyl-coa synthetase with nad(p)-binding domain and,,0.11
b0321,"yahg, eck0319, jw0313",conserved protein,,0.11
b0323,"yahi, eck0321, jw0315",predicted carbamate kinase-like protein,,0.11
b0324,"yahj, eck0322, jw0316",predicted deaminase with metallo-dependent hydrolase domain,,0.11
b0325,"yahk, eck0323, jw0317","predicted oxidoreductase, zn-dependent and nad(p)-binding",5240,0.11
b0326,"yahl, eck0324, jw0318",predicted protein,,0.11
b0327,"yahm, eck0325, jw5044",predicted protein,,0.11
