b_number,cog_desc,cog_id,cog_category,,cog_letter,cog_class
b0828,asparaginase (EC 3.5.1.1),COG1446,amino acid transport and metabolism,,E,metabolism
b0830,"glutathione periplasmic binding protein, ABC superfamily transporter",COG0747,amino acid transport and metabolism,,E,metabolism
b0831,"glutathione transporter, permease component, ABC superfamily",COG0601,amino acid transport and metabolism,,E,metabolism
b0832,"glutathione transporter, permease component, ABC superfamily",COG1173,amino acid transport and metabolism,,E,metabolism
b0854,putrescine transporter subunit: periplasmic-binding component of ABC superfamily,COG0687,amino acid transport and metabolism,,E,metabolism
b0855,putrescine transporter subunit: ATP-binding component of ABC superfamily,COG3842,amino acid transport and metabolism,,E,metabolism
b0856,putrescine transporter subunit: membrane component of ABC superfamily,COG1176,amino acid transport and metabolism,,E,metabolism
b0857,putrescine transporter subunit: membrane component of ABC superfamily,COG1177,amino acid transport and metabolism,,E,metabolism
b0860,L-arginine-binding protein,COG0834,amino acid transport and metabolism,,E,metabolism
b0861,L-arginine ABC transporter membrane protein,COG4160,amino acid transport and metabolism,,E,metabolism
b0862,L-arginine ABC transporter membrane protein,COG4215,amino acid transport and metabolism,,E,metabolism
b0863,L-arginine-binding protein,COG0834,amino acid transport and metabolism,,E,metabolism
b0864,L-arginine ABC transporter ATP-binding protein,COG4161,amino acid transport and metabolism,,E,metabolism
b0870,L-threonine aldolase (EC 4.1.2.5),COG2008,amino acid transport and metabolism,,E,metabolism
b0871,pyruvate dehydrogenase (quinone) (EC 1.2.5.1),COG0028,amino acid transport and metabolism,,E,metabolism
b0899,"amino acid/polyamine/organocation transporter, APC superfamily (TC 2.A.3)",COG0531,amino acid transport and metabolism,,E,metabolism
b0907,phosphoserine aminotransferase apoenzyme (EC 2.6.1.52),COG1932,amino acid transport and metabolism,,E,metabolism
b0908,3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19),COG0128,amino acid transport and metabolism,,E,metabolism
b0928,L-aspartate aminotransferase apoenzyme (EC 2.6.1.1),COG1448,amino acid transport and metabolism,,E,metabolism
b0932,aminopeptidase N,COG0308,amino acid transport and metabolism,,E,metabolism
b1014,L-proline dehydrogenase (EC 1.5.99.8)/delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12),"COG0506,COG4230",amino acid transport and metabolism,,E,metabolism
b1015,proline:sodium symporter,COG0591,amino acid transport and metabolism,,E,metabolism
b1034,predicted zinc-binding hydrolase,COG1387,amino acid transport and metabolism,,E,metabolism
b1059,"N-methyltryptophan oxidase, FAD-binding",COG0665,amino acid transport and metabolism,,E,metabolism
b1096,aminodeoxychorismate lyase apoprotein (EC 4.1.3.38),COG0115,amino acid transport and metabolism,,E,metabolism
b1123,polyamine transporter subunit,COG0687,amino acid transport and metabolism,,E,metabolism
b1124,polyamine transporter subunit,COG1177,amino acid transport and metabolism,,E,metabolism
b1125,polyamine transporter subunit,COG1176,amino acid transport and metabolism,,E,metabolism
b1126,polyamine transporter subunit,COG3842,amino acid transport and metabolism,,E,metabolism
b1127,peptidase T. Metallo peptidase. MEROPS family M20B,COG2195,amino acid transport and metabolism,,E,metabolism
b1189,D-amino acid dehydrogenase small subunit (EC 1.4.99.1),COG0665,amino acid transport and metabolism,,E,metabolism
b1207,phosphoribosylpyrophosphate synthase,COG0462,amino acid transport and metabolism,,E,metabolism
b1242,predicted inner membrane protein,COG2095,amino acid transport and metabolism,,E,metabolism
b1243,oligopeptide transporter subunit,COG4166,amino acid transport and metabolism,,E,metabolism
b1244,oligopeptide transporter subunit,COG0601,amino acid transport and metabolism,,E,metabolism
b1245,oligopeptide transporter subunit,COG1173,amino acid transport and metabolism,,E,metabolism
b1246,oligopeptide transporter subunit,COG0444,amino acid transport and metabolism,,E,metabolism
b1247,oligopeptide transporter subunit,COG4608,amino acid transport and metabolism,,E,metabolism
b1260,"tryptophan synthase, alpha chain (EC 4.2.1.20)",COG0159,amino acid transport and metabolism,,E,metabolism
b1261,"tryptophan synthase, beta chain (EC 4.2.1.20)",COG0133,amino acid transport and metabolism,,E,metabolism
b1262,indole-3-glycerol phosphate synthase (EC 4.1.1.48)/phosphoribosylanthranilate isomerase (EC 5.3.1.24),COG0134,amino acid transport and metabolism,,E,metabolism
b1263,"anthranilate phosphoribosyltransferase (EC 2.4.2.18)/anthranilate synthase, component II (EC 4.1.3.27)",COG0547,amino acid transport and metabolism,,E,metabolism
b1264,"anthranilate synthase, component I (EC 4.1.3.27)",COG0147,amino acid transport and metabolism,,E,metabolism
b1294,antimicrobial peptide transport ABC transporter periplasmic binding protein,COG4166,amino acid transport and metabolism,,E,metabolism
b1296,"putrescine:proton symporter, AAT family (TC 2.A.3.1.13)",COG0531,amino acid transport and metabolism,,E,metabolism
b1297,glutamate--putrescine ligase,COG0174,amino acid transport and metabolism,,E,metabolism
b1298,gamma-glutamyl-gamma-aminobutyrate hydrolase,COG2071,amino acid transport and metabolism,,E,metabolism
b1301,gamma-glutamylputrescine oxidase,COG0665,amino acid transport and metabolism,,E,metabolism
b1302,4-aminobutyrate aminotransferase apoenzyme (EC 2.6.1.19),COG0160,amino acid transport and metabolism,,E,metabolism
b1313,"predicted oxidoreductase, Zn-dependent and NAD(P)-binding",COG1063,amino acid transport and metabolism,,E,metabolism
b1323,"DNA-binding transcriptional dual regulator, tyrosine-binding",COG3283,amino acid transport and metabolism,,E,metabolism
b1329,murein tripeptide (L-ala-gamma-D-glutamyl-meso-DAP) transporter subunit,COG4166,amino acid transport and metabolism,,E,metabolism
b1439,"transcriptional regulator, GntR family",COG1167,amino acid transport and metabolism,,E,metabolism
b1440,"polyhydroxybutyrate (PHB) synthase, ABC transporter periplasmic binding protein homolog",COG0687,amino acid transport and metabolism,,E,metabolism
b1441,predicted spermidine/putrescine transporter subunit,COG3842,amino acid transport and metabolism,,E,metabolism
b1442,predicted spermidine/putrescine transporter subunit,COG1176,amino acid transport and metabolism,,E,metabolism
b1443,predicted spermidine/putrescine transporter subunit,COG1177,amino acid transport and metabolism,,E,metabolism
b1448,predicted acyltransferase with acyl-CoA N-acyltransferase domain,COG1247,amino acid transport and metabolism,,E,metabolism
b1453,"asparagine:proton symporter, AAT family (TC 2.A.3.1.8)",COG1113,amino acid transport and metabolism,,E,metabolism
b1483,"D,D-dipeptide permease system, ATP-binding component",COG1124,amino acid transport and metabolism,,E,metabolism
b1484,"D,D-dipeptide permease system, ATP-binding component",COG0444,amino acid transport and metabolism,,E,metabolism
b1485,D-ala-D-ala transporter subunit,COG1173,amino acid transport and metabolism,,E,metabolism
b1486,D-ala-D-ala transporter subunit,COG0601,amino acid transport and metabolism,,E,metabolism
b1487,D-ala-D-a la transporter subunit,COG0747,amino acid transport and metabolism,,E,metabolism
b1492,"glutamate:gamma-aminobutyrate antiporter, GGA family (TC 2.A.3.7.1)",COG0531,amino acid transport and metabolism,,E,metabolism
b1493,glutamate decarboxylase (EC 4.1.1.15),COG0076,amino acid transport and metabolism,,E,metabolism
b1524,L-glutaminase (EC 3.5.1.2),COG2066,amino acid transport and metabolism,,E,metabolism
b1529,"inner membrane protein, UPF0056 family",COG2095,amino acid transport and metabolism,,E,metabolism
b1538,peptidyl-dipeptidase Dcp (EC 3.4.15.5). Metallo peptidase. MEROPS family M03A,COG0339,amino acid transport and metabolism,,E,metabolism
b1580,"predicted oxidoreductase, Zn-dependent and NAD(P)-binding",COG1063,amino acid transport and metabolism,,E,metabolism
b1598,predicted peptidase,COG3591,amino acid transport and metabolism,,E,metabolism
b1605,"amino acid/polyamine/organocation transporter, APC superfamily (TC 2.A.3)",COG0531,amino acid transport and metabolism,,E,metabolism
b1622,"bifunctional beta-cystathionase, PLP-dependent/regulator of maltose regulon",COG1168,amino acid transport and metabolism,,E,metabolism
b1634,dipeptide and tripeptide permease A,COG3104,amino acid transport and metabolism,,E,metabolism
b1680,cysteine desulfurase (EC 2.8.1.7)/L-selenocysteine selenide-lyase (L-alanine-forming) (EC 4.4.1.16),COG0520,amino acid transport and metabolism,,E,metabolism
b1692,shikimate dehydrogenase (EC 1.1.1.25),COG0169,amino acid transport and metabolism,,E,metabolism
b1693,3-dehydroquinate dehydratase (EC 4.2.1.10),COG0710,amino acid transport and metabolism,,E,metabolism
b1704,3-deoxy-D-arabinoheptulosonate-7-phosphate synthase (EC 2.5.1.54),COG0722,amino acid transport and metabolism,,E,metabolism
b1729,predicted transporter,COG1823,amino acid transport and metabolism,,E,metabolism
b1744,succinylglutamate desuccinylase (EC 3.5.1.96),COG2988,amino acid transport and metabolism,,E,metabolism
b1745,succinylarginine dihydrolase (EC 3.5.3.23),COG3724,amino acid transport and metabolism,,E,metabolism
b1747,arginine succinyltransferase (EC 2.3.1.109),COG3138,amino acid transport and metabolism,,E,metabolism
b1748,succinylornithine aminotransferase apoenzyme (EC 2.6.1.81),COG4992,amino acid transport and metabolism,,E,metabolism
b1761,glutamate dehydrogenase (NADP) (EC 1.4.1.4),COG0334,amino acid transport and metabolism,,E,metabolism
b1764,selenophosphate synthase (EC 2.7.9.3),COG0709,amino acid transport and metabolism,,E,metabolism
b1774,"predicted oxidoreductase, Zn-dependent and NAD(P)-binding",COG1063,amino acid transport and metabolism,,E,metabolism
b1776,"predicted oxidoreductase, Zn-dependent and NAD(P)-binding",COG1063,amino acid transport and metabolism,,E,metabolism
b1798,neutral amino-acid efflux system,COG1280,amino acid transport and metabolism,,E,metabolism
b1800,"D-malate oxidase, NAD-dependent; probable tartrate dehydrogenase",COG0473,amino acid transport and metabolism,,E,metabolism
b1812,"aminodeoxychorismate synthase, subunit I (EC 2.6.1.85)",COG0147,amino acid transport and metabolism,,E,metabolism
b1814,L-serine ammonia-lyase (EC 4.3.1.17),COG1760,amino acid transport and metabolism,,E,metabolism
b1845,oligopeptidase B (EC:3.4.21.83). Serine peptidase. MEROPS family S09A,COG1770,amino acid transport and metabolism,,E,metabolism
b1851,6-phosphogluconate dehydratase (EC 4.2.1.12),COG0129,amino acid transport and metabolism,,E,metabolism
b1907,tyrosine transporter,COG0814,amino acid transport and metabolism,,E,metabolism
b1917,Diaminopimelate ABC transporter ATP-binding protein/L-cystine ABC transporter ATP-binding protein,COG1126,amino acid transport and metabolism,,E,metabolism
b1918,Diaminopimelate ABC transporter membrane protein/L-cystine ABC transporter membrane protein,COG0765,amino acid transport and metabolism,,E,metabolism
b1919,D-cysteine desulfhydrase (EC 4.4.1.15),COG2515,amino acid transport and metabolism,,E,metabolism
b1920,Diaminopimelate-binding protein/L-cystine-binding protein,COG0834,amino acid transport and metabolism,,E,metabolism
b2014,"putrescine:proton symporter, AAT family (TC 2.A.3.1.13)",COG0531,amino acid transport and metabolism,,E,metabolism
b2019,ATP phosphoribosyltransferase (homohexameric) (EC 2.4.2.17),COG0040,amino acid transport and metabolism,,E,metabolism
b2020,histidinol dehydrogenase (EC 1.1.1.23),COG0141,amino acid transport and metabolism,,E,metabolism
b2021,histidinol phosphate aminotransferase apoenzyme (EC 2.6.1.9),COG0079,amino acid transport and metabolism,,E,metabolism
b2022,histidinol-phosphate phosphatase (EC 3.1.3.15)/imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19),COG0131,amino acid transport and metabolism,,E,metabolism
b2023,imidazole glycerol phosphate synthase subunit hisH (EC 2.4.2.-),COG0118,amino acid transport and metabolism,,E,metabolism
b2024,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16),COG0106,amino acid transport and metabolism,,E,metabolism
b2025,imidazole glycerol phosphate synthase subunit hisF (EC 4.1.3.-),COG0107,amino acid transport and metabolism,,E,metabolism
b2026,phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)/phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31),COG0139,amino acid transport and metabolism,,E,metabolism
b2058,predicted acyl transferase,COG1045,amino acid transport and metabolism,,E,metabolism
b2091,galactitol 1-phosphate 5-dehydrogenase (EC 1.1.1.251),COG1063,amino acid transport and metabolism,,E,metabolism
b2128,predicted transporter subunit: membrane component of ABC superfamily,COG1174,amino acid transport and metabolism,,E,metabolism
b2129,predicted transporter subunit: ATP-binding component of ABC superfamily,COG1125,amino acid transport and metabolism,,E,metabolism
b2130,predicted transporter subunit: membrane component of ABC superfamily,COG1174,amino acid transport and metabolism,,E,metabolism
b2146,"Dihydropyrimidine dehydrogenase, NADH-dependent, subunit A",COG0493,amino acid transport and metabolism,,E,metabolism
b2156,"lysine:proton symporter, AAT family (TC 2.A.3.1.2)",COG0833,amino acid transport and metabolism,,E,metabolism
b2177,"microcin C transporter YejABEF, periplasmic binding protein; ABC family",COG4166,amino acid transport and metabolism,,E,metabolism
b2242,glycerol 3-phosphate dehydrogenase (quinone) subunit B (EC 1.1.5.3),COG3075,amino acid transport and metabolism,,E,metabolism
b2290,predicted aminotransferase,COG0436,amino acid transport and metabolism,,E,metabolism
b2306,L-arginine ABC transporter ATP-binding protein/L-histidine ABC transporter ATP-binding protein/L-lysine ABC transporter ATP-binding protein/L-ornithine ABC transporter ATP-binding protein,COG4598,amino acid transport and metabolism,,E,metabolism
b2307,L-arginine ABC transporter membrane protein/L-histidine ABC transporter membrane protein/L-lysine ABC transporter membrane protein/L-ornithine ABC transporter membrane protein,COG4160,amino acid transport and metabolism,,E,metabolism
b2308,L-arginine ABC transporter membrane protein/L-histidine ABC transporter membrane protein/L-lysine ABC transporter membrane protein/L-ornithine ABC transporter membrane protein,COG4215,amino acid transport and metabolism,,E,metabolism
b2309,L-histidine-binding protein,COG0834,amino acid transport and metabolism,,E,metabolism
b2310,L-arginine-binding protein/L-lysine-binding protein/L-ornithine-binding protein,COG0834,amino acid transport and metabolism,,E,metabolism
b2319,predicted semialdehyde dehydrogenase,COG0136,amino acid transport and metabolism,,E,metabolism
b2329,chorismate synthase (EC 4.2.3.5),COG0082,amino acid transport and metabolism,,E,metabolism
b2366,D-serine ammonia-lyase (EC 4.3.1.18),COG3048,amino acid transport and metabolism,,E,metabolism
b2373,predicted oxalyl-CoA decarboxylase,COG0028,amino acid transport and metabolism,,E,metabolism
b2379,"prediected aminotransferase, PLP-dependent",COG0436,amino acid transport and metabolism,,E,metabolism
b2384,aminopeptidase,COG1363,amino acid transport and metabolism,,E,metabolism
b2385,Xaa-Pro aminopeptidase,COG0006,amino acid transport and metabolism,,E,metabolism
b2413,predicted inner membrane protein,COG2981,amino acid transport and metabolism,,E,metabolism
b2414,cysteine synthase (EC 2.5.1.47),COG0031,amino acid transport and metabolism,,E,metabolism
b2421,cysteine synthase (EC 2.5.1.47),COG0031,amino acid transport and metabolism,,E,metabolism
b2439,predicted carboxysome structural protein with predicted role in ethanolamine utilization,COG4816,amino acid transport and metabolism,,E,metabolism
b2440,Ethanolamine ammonia-lyase light chain (EC 4.3.1.7),COG4302,amino acid transport and metabolism,,E,metabolism
b2441,Ethanolamine ammonia-lyase heavy chain (EC 4.3.1.7),COG4303,amino acid transport and metabolism,,E,metabolism
b2451,Reactivating factor of Adenosylcobalamin-dependent ethanolamine ammonia lyase,COG4819,amino acid transport and metabolism,,E,metabolism
b2452,ethanolamine transporter,COG3192,amino acid transport and metabolism,,E,metabolism
b2454,"predicted chaperonin, ethanolamine utilization protein",COG4820,amino acid transport and metabolism,,E,metabolism
b2459,cobalamin adenosyltransferase involved in ethanolamine utilization,COG4812,amino acid transport and metabolism,,E,metabolism
b2460,conserved protein,COG4766,amino acid transport and metabolism,,E,metabolism
b2461,conserved protein with nucleoside triphosphate hydrolase domain,COG4917,amino acid transport and metabolism,,E,metabolism
b2462,predicted carboxysome structural protein with predicted role in ethanol utilization,COG4810,amino acid transport and metabolism,,E,metabolism
b2468,fused predicted oxidoreductase: FeS binding subunit/NAD/FAD-binding subunit,COG0493,amino acid transport and metabolism,,E,metabolism
b2472,succinyldiaminopimelate desuccinylase (EC 3.5.1.18),COG0624,amino acid transport and metabolism,,E,metabolism
b2478,dihydrodipicolinate synthase (EC 4.2.1.52),COG0329,amino acid transport and metabolism,,E,metabolism
b2479,"DNA-binding transcriptional repressor, regulatory protein accessory to GcvA",COG2716,amino acid transport and metabolism,,E,metabolism
b2523,aminopeptidase B. Metallo peptidase. MEROPS family M17,COG0260,amino acid transport and metabolism,,E,metabolism
b2530,cysteine desulfurase IscS,COG1104,amino acid transport and metabolism,,E,metabolism
b2545,"predicted oxidoreductase, Zn-dependent and NAD(P)-binding",COG1063,amino acid transport and metabolism,,E,metabolism
b2551,serine hydroxymethyltransferase (EC 2.1.2.1),COG0112,amino acid transport and metabolism,,E,metabolism
b2553,nitrogen regulatory protein P-II family,COG0347,amino acid transport and metabolism,,E,metabolism
b2560,conserved protein,COG0560,amino acid transport and metabolism,,E,metabolism
b2578,cysteine and O-acetylserine exporter,COG1280,amino acid transport and metabolism,,E,metabolism
b2599,chorismate mutase (EC 5.4.99.5)/prephenate dehydratase (EC 4.2.1.51),COG0077,amino acid transport and metabolism,,E,metabolism
b2600,chorismate mutase (EC 5.4.99.5)/prephenate dehydrogenase (EC 1.3.1.12),COG0287,amino acid transport and metabolism,,E,metabolism
b2601,3-deoxy-D-arabinoheptulosonate-7-phosphate synthase (EC 2.5.1.54),COG0722,amino acid transport and metabolism,,E,metabolism
b2662,4-aminobutyrate aminotransferase apoenzyme (EC 2.6.1.19),COG0160,amino acid transport and metabolism,,E,metabolism
b2663,"gamma-aminobutyrate:proton symporter, AAT family (TC 2.A.3.1.4)",COG1113,amino acid transport and metabolism,,E,metabolism
b2677,glycine betaine transporter subunit,COG4175,amino acid transport and metabolism,,E,metabolism
b2678,glycine betaine transporter subunit,COG4176,amino acid transport and metabolism,,E,metabolism
b2679,glycine betaine transporter subunit,COG2113,amino acid transport and metabolism,,E,metabolism
b2682,"probable L-valine exporter, norvaline resistance",COG1296,amino acid transport and metabolism,,E,metabolism
b2752,sulfate adenylyltransferase subunit 2 (EC 2.7.7.4),COG0175,amino acid transport and metabolism,,E,metabolism
b2762,phosphoadenylylsulfate reductase (thioredoxin) (EC 1.8.4.8),COG0175,amino acid transport and metabolism,,E,metabolism
b2796,predicted serine transporter,COG0814,amino acid transport and metabolism,,E,metabolism
b2797,L-serine ammonia-lyase (EC 4.3.1.17),COG1760,amino acid transport and metabolism,,E,metabolism
b2810,cysteine sulfinate desulfinase,COG0520,amino acid transport and metabolism,,E,metabolism
b2818,N-acetylglutamate synthase (EC 2.3.1.1),COG0548,amino acid transport and metabolism,,E,metabolism
b2838,diaminopimelate decarboxylase (EC 4.1.1.20),COG0019,amino acid transport and metabolism,,E,metabolism
b2845,predicted transporter,COG0814,amino acid transport and metabolism,,E,metabolism
b2870,predicted carbamoyltransferase,COG0078,amino acid transport and metabolism,,E,metabolism
b2871,diaminopropionate ammonia-lyase (EC 4.3.1.15),COG1171,amino acid transport and metabolism,,E,metabolism
b2872,predicted peptidase,COG0624,amino acid transport and metabolism,,E,metabolism
b2874,carbamate kinase (EC 2.7.2.2),COG0549,amino acid transport and metabolism,,E,metabolism
b2878,"selenate reductase, Fe-S subunit",COG0493,amino acid transport and metabolism,,E,metabolism
b2887,fused predicted oxidoreductase: Fe-S subunit/nucleotide-binding subunit,COG0493,amino acid transport and metabolism,,E,metabolism
b2903,glycine dehydrogenase (decarboxylating) alpha subunit (EC 1.4.4.2)/glycine dehydrogenase (decarboxylating) beta subunit (EC 1.4.4.2),COG1003,amino acid transport and metabolism,,E,metabolism
b2904,glycine cleavage system H protein,COG0509,amino acid transport and metabolism,,E,metabolism
b2905,aminomethyltransferase (EC 2.1.2.10),COG0404,amino acid transport and metabolism,,E,metabolism
b2908,aminopeptidase P (EC:3.4.11.9). Metallo peptidase. MEROPS family M24B,COG0006,amino acid transport and metabolism,,E,metabolism
b2923,arginine transporter,COG1279,amino acid transport and metabolism,,E,metabolism
b4465,predicted dehydrogenase,COG1063,amino acid transport and metabolism,,E,metabolism
b2937,agmatinase (EC 3.5.3.11),COG0010,amino acid transport and metabolism,,E,metabolism
b2938,arginine decarboxylase (EC 4.1.1.19),COG1166,amino acid transport and metabolism,,E,metabolism
b2965,ornithine decarboxylase (EC 4.1.1.17),COG1982,amino acid transport and metabolism,,E,metabolism
b2988,fused glutathionylspermidine amidase/glutathionylspermidine synthetase,COG0754,amino acid transport and metabolism,,E,metabolism
b3008,cystathionine beta-lyase (EC 4.4.1.8),COG0626,amino acid transport and metabolism,,E,metabolism
b3020,predicted transporter subunit: periplasmic-binding component of ABC superfamily,COG4166,amino acid transport and metabolism,,E,metabolism
b3038,Glutathionylspermidine synthase homolog,COG0754,amino acid transport and metabolism,,E,metabolism
b3073,diamine aminotransferase apoenzyme (EC 2.6.1.29),COG4992,amino acid transport and metabolism,,E,metabolism
b3078,"amino acid/polyamine/organocation transporter, APC superfamily (TC 2.A.3)",COG0531,amino acid transport and metabolism,,E,metabolism
b3089,sodium:serine/threonine symporter,COG3633,amino acid transport and metabolism,,E,metabolism
b4470,conserved protein,COG3681,amino acid transport and metabolism,,E,metabolism
b3110,predicted transporter,COG0814,amino acid transport and metabolism,,E,metabolism
