cog,gene_name,gene_product
Transcription,alpA,CP4-57 prophage; DNA-binding transcriptional activator AlpA
Cell wall/membrane/envelope biogenesis,alr,alanine racemase 1
Carbohydrate transport and metabolism,alsB,D-allose ABC transporter periplasmic binding protein
Carbohydrate transport and metabolism,alsE,D-allulose-6-phosphate 3-epimerase
Transcription,alsK,EG11956-MONOMER
Carbohydrate transport and metabolism,alsa,D-allose ABC transporter ATP binding subunit
Inorganic ion transport and metabolism,alx,putative membrane-bound redox modulator Alx
Cell wall/membrane/envelope biogenesis,amiA,N-acetylmuramoyl-L-alanine amidase A
Cell wall/membrane/envelope biogenesis,amiB,N-acetylmuramoyl-L-alanine amidase B
Cell wall/membrane/envelope biogenesis,amiC,N-acetylmuramoyl-L-alanine amidase C
Cell wall/membrane/envelope biogenesis,amiD,N-acetylmuramoyl-L-alanine amidase D
Nucleotide transport and metabolism,amn,AMP nucleosidase
Defense Mechanisms,ampC,β-lactamase
No Specific COG Annotation,ampD,"1,6-anhydro-N-acetylmuramoyl-L-alanine amidase"
Defense Mechanisms,ampE,protein AmpE
No Specific COG Annotation,ampG,muropeptide:H+ symporter
Defense Mechanisms,ampH,peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase
Inorganic ion transport and metabolism,amtB,ammonia/ammonium transporter
Carbohydrate transport and metabolism,amyA,ALPHA-AMYL-CYTO-MONOMER
Cell wall/membrane/envelope biogenesis,anmK,anhydro-N-acetylmuramic acid kinase
"Intracellular trafficking, secretion, and vesicular transport",ansA,L-asparaginase 1
"Intracellular trafficking, secretion, and vesicular transport",ansB,L-asparaginase 2
Aminio acid transport and metabolism,ansP,ANSP-MONOMER
Inorganic ion transport and metabolism,apaG,DUF525 domain-containing protein ApaG
Signal transduction mechanisms,apaH,diadenosine tetraphosphatase
Coenzyme transport and metabolism,apbE,FAD:protein FMN transferase
Inorganic ion transport and metabolism,aphA,acid phosphatase / phosphotransferase
No Specific COG Annotation,appA,periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase
Energy production and conversion,appB,cytochrome bd-II ubiquinol oxidase subunit II
Energy production and conversion,appC,cytochrome bd-II ubiquinol oxidase subunit I
Transcription,appY,DNA-binding transcriptional activator AppY
Nucleotide transport and metabolism,apt,adenine phosphoribosyltransferase
Carbohydrate transport and metabolism,aqpZ,water channel AqpZ
Carbohydrate transport and metabolism,araA,L-arabinose isomerase
Carbohydrate transport and metabolism,araB,ribulokinase
Transcription,araC,DNA-binding transcriptional dual regulator AraC
Carbohydrate transport and metabolism,araE,arabinose:H+ symporter
Carbohydrate transport and metabolism,araF,arabinose ABC transporter periplasmic binding protein
Carbohydrate transport and metabolism,araG,arabinose ABC transporter ATP binding subunit
Carbohydrate transport and metabolism,araH,arabinose ABC transporter membrane subunit
Carbohydrate transport and metabolism,araJ,putative transport protein AraJ
Transcription,arcA,"Phosphorylated DNA-binding transcriptional dual regulator ArcA // ""DNA-binding transcriptional dual regulator ArcA"""
Signal transduction mechanisms,arcB,"ArcB-N-phospho-L-histidine-292 // ""ArcB-phospho-L-aspartate-576"" // ""ArcB-N-phospho-L-histidine-717"" // ""sensor histidine kinase ArcB"""
Aminio acid transport and metabolism,argA,N-acetylglutamate synthase
Aminio acid transport and metabolism,argB,acetylglutamate kinase
Aminio acid transport and metabolism,argC,N-ACETYLGLUTPREDUCT-MONOMER
Aminio acid transport and metabolism,argD,N-acetylornithine aminotransferase / N-succinyldiaminopimelate aminotransferase
Aminio acid transport and metabolism,argE,acetylornithine deacetylase
Aminio acid transport and metabolism,argF,CP4-6 prophage; ornithine carbamoyltransferase ArgF
Aminio acid transport and metabolism,argG,argininosuccinate synthetase
Aminio acid transport and metabolism,argH,ARGSUCCINLYA-MONOMER
Aminio acid transport and metabolism,argI,ornithine carbamoyltransferase ArgI
Aminio acid transport and metabolism,argO,L-arginine exporter
Transcription,argR,DNA-binding transcriptional dual regulator ArgR
"Translation, ribosomal structure, and biogenesis",argS,arginine-tRNA ligase
Signal transduction mechanisms,argT,lysine/arginine/ornithine ABC transporter periplasmic binding protein
No Specific COG Annotation,ariR,"regulator of acid resistance, influenced by indole"
"Translation, ribosomal structure, and biogenesis",arnA,fused UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase
Cell wall/membrane/envelope biogenesis,arnB,G7166-MONOMER
Cell wall/membrane/envelope biogenesis,arnC,G7167-MONOMER
Carbohydrate transport and metabolism,arnD,putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
No Specific COG Annotation,arnF,undecaprenyl-phosphate-α-L-Ara4N flippase - ArnF subunit
Cell wall/membrane/envelope biogenesis,arnT,G7170-MONOMER
Aminio acid transport and metabolism,aroA,AROA-MONOMER
Aminio acid transport and metabolism,aroB,AROB-MONOMER
Aminio acid transport and metabolism,aroC,chorismate synthase
Aminio acid transport and metabolism,aroD,3-dehydroquinate dehydratase
Aminio acid transport and metabolism,aroE,AROE-MONOMER
Aminio acid transport and metabolism,aroF,"3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive"
Aminio acid transport and metabolism,aroG,"3-deoxy-7-phosphoheptulonate synthase, Phe-sensitive"
Aminio acid transport and metabolism,aroH,"3-deoxy-7-phosphoheptulonate synthase, Trp-sensitive"
Aminio acid transport and metabolism,aroK,shikimate kinase 1
Aminio acid transport and metabolism,aroL,shikimate kinase 2
No Specific COG Annotation,aroM,protein AroM
Aminio acid transport and metabolism,aroP,aromatic amino acid:H+ symporter AroP
Inorganic ion transport and metabolism,arsB,arsenite/antimonite:H+ antiporter
Inorganic ion transport and metabolism,arsC,EG12237-MONOMER
Transcription,arsR,DNA-binding transcriptional repressor ArsR
Signal transduction mechanisms,artI,putative ABC transporter periplasmic binding protein ArtI
Signal transduction mechanisms,artJ,L-arginine ABC transporter periplasmic binding protein
Aminio acid transport and metabolism,artM,L-arginine ABC transporter membrane subunit ArtM
Aminio acid transport and metabolism,artP,L-arginine ABC transporter ATP binding subunit
Aminio acid transport and metabolism,artQ,L-arginine ABC transporter membrane subunit ArtQ
Carbohydrate transport and metabolism,ascB,6-phospho-β-glucosidase AscB
Transcription,ascG,DNA-binding transcriptional repressor AscG
Aminio acid transport and metabolism,asd,aspartate-semialdehyde dehydrogenase
Inorganic ion transport and metabolism,aslA,putative sulfatase AslA
Cell wall/membrane/envelope biogenesis,asmA,putative assembly protein AsmA
Aminio acid transport and metabolism,asnA,asparagine synthetase A
Aminio acid transport and metabolism,asnB,asparagine synthetase B
Transcription,asnC,DNA-binding transcriptional dual regulator AsnC
"Translation, ribosomal structure, and biogenesis",asnS,asparagine-tRNA ligase
Aminio acid transport and metabolism,aspA,aspartate ammonia-lyase
Aminio acid transport and metabolism,aspC,aspartate aminotransferase
"Translation, ribosomal structure, and biogenesis",aspS,aspartate-tRNA ligase
No Specific COG Annotation,asr,acid shock protein
Aminio acid transport and metabolism,astA,ARGSUCCTRAN-MONOMER
Aminio acid transport and metabolism,astB,N-succinylarginine dihydrolase
Aminio acid transport and metabolism,astC,succinylornithine transaminase
Energy production and conversion,astD,aldehyde dehydrogenase
Aminio acid transport and metabolism,astE,SUCCGLUDESUCC-MONOMER
Signal transduction mechanisms,atoC,"phosphorylated DNA-binding transcriptional activator AtoC // ""DNA-binding transcriptional activator/ornithine decarboxylase inhibitor AtoC"""
Signal transduction mechanisms,atoS,sensor histidine kinase AtoS
Energy production and conversion,atpA,ATP synthase F1 complex subunit α
Energy production and conversion,atpB,ATP synthase F0 complex subunit a
Energy production and conversion,atpC,ATP synthase F1 complex subunit ε
Energy production and conversion,atpD,ATP synthase F1 complex subunit β
Energy production and conversion,atpE,ATP synthase F0 complex subunit c
Energy production and conversion,atpF,ATP synthase F0 complex subunit b
Energy production and conversion,atpG,ATP synthase F1 complex subunit γ
Energy production and conversion,atpH,ATP synthase F1 complex subunit &delta;
Energy production and conversion,atpI,ATP synthase accessory factor AtpI
Aminio acid transport and metabolism,avtA,valine-pyruvate aminotransferase
Energy production and conversion,azoR,FMN dependent NADH:quinone oxidoreductase
No Specific COG Annotation,azuC,uncharacterized protein AzuC
Lipid transport and metabolism,bacA,undecaprenyl pyrophosphate phosphatase
Transcription,baeR,"Phosphorylated DNA-binding transcriptional activator BaeR // ""DNA-binding transcriptional activator BaeR"""
Signal transduction mechanisms,baeS,"BaeS-N-phospho-L-histidine // ""sensor histidine kinase BaeS"""
Cell wall/membrane/envelope biogenesis,bamA,outer membrane protein assembly factor BamA
Cell wall/membrane/envelope biogenesis,bamB,outer membrane protein assembly factor BamB
Function unknown,bamC,outer membrane protein assembly factor BamC
Cell wall/membrane/envelope biogenesis,bamD,outer membrane protein assembly factor BamD
Cell wall/membrane/envelope biogenesis,bamE,outer membrane protein assembly factor BamE
Signal transduction mechanisms,barA,"BarA-N-phospho-L-histidine-861 // ""BarA-N-phospho-L-histidine-302"" // ""BarA-phospho-L-aspartate-718"" // ""sensor histidine kinase BarA"""
Transcription,basR,"Phosphorylated DNA-binding transcriptional dual regulator BasR // ""DNA-binding transcriptional dual regulator BasR"""
Signal transduction mechanisms,basS,"BasS-N-phospho-L-histidine // ""sensor histidine kinase BasS"""
General function prediction only,bax,putative glycoside hydrolase Bax
"Post-translational modification, protein turnover, and chaperones",bcp,EG10108-MONOMER
Carbohydrate transport and metabolism,bcr,multidrug efflux pump Bcr
Cell motility,bcsA,cellulose synthase catalytic subunit
No Specific COG Annotation,bcsB,cellulose synthase periplasmic subunit
"Intracellular trafficking, secretion, and vesicular transport",bcsC,cellulose biosynthesis protein BcsC
No Specific COG Annotation,bcsE,c-di-GMP-binding protein BcsE
No Specific COG Annotation,bcsF,putative cellulose biosynthesis protein BcsF
No Specific COG Annotation,bcsG,cellulose phosphoethanolamine transferase
Carbohydrate transport and metabolism,bcsZ,"endo-1,4-D-glucanase"
Transcription,bdcR,putative transcriptional regulator BdcR
No Specific COG Annotation,bdm,biofilm-dependent modulation protein
General function prediction only,bepA,β-barrel assembly-enhancing protease
General function prediction only,betA,choline dehydrogenase
Energy production and conversion,betB,betaine aldehyde dehydrogenase
Transcription,betI,DNA-binding transcriptional repressor BetI
Cell wall/membrane/envelope biogenesis,betT,BETT-MONOMER
Inorganic ion transport and metabolism,bfd,bacterioferritin-associated ferredoxin
Inorganic ion transport and metabolism,bfr,bacterioferritin
Carbohydrate transport and metabolism,bglA,6-phospho-β-glucosidase A
Carbohydrate transport and metabolism,bglX,"β-D-glucoside glucohydrolase, periplasmic"
No Specific COG Annotation,bhsA,DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA
Coenzyme transport and metabolism,bioA,adenosylmethionine-8-amino-7-oxononanoate aminotransferase
Coenzyme transport and metabolism,bioB,biotin synthase
No Specific COG Annotation,bioC,malonyl-acyl carrier protein methyltransferase
Coenzyme transport and metabolism,bioD,dethiobiotin synthetase
Coenzyme transport and metabolism,bioF,8-amino-7-oxononanoate synthase
General function prediction only,bioH,pimeloyl-acyl carrier protein methyl ester esterase
Coenzyme transport and metabolism,birA,DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA
Energy production and conversion,bisC,biotin sulfoxide reductase
Cell wall/membrane/envelope biogenesis,blc,outer membrane lipoprotein Blc
No Specific COG Annotation,blr,β-lactam resistance protein
Signal transduction mechanisms,bolA,DNA-binding transcriptional dual regulator BolA
No Specific COG Annotation,borD,DLP12 prophage; prophage lipoprotein BorD
Aminio acid transport and metabolism,brnQ,branched chain amino acid transporter BrnQ
No Specific COG Annotation,bsmA,DUF1471 domain-containing putative lipoprotein BsmA
No Specific COG Annotation,bssS,regulator of biofilm formation
Coenzyme transport and metabolism,btuB,cobalamin/cobinamide outer membrane transporter
Coenzyme transport and metabolism,btuC,vitamin B12 ABC transporter membrane subunit
Coenzyme transport and metabolism,btuD,vitamin B12 ABC transporter ATP binding subunit
Lipid transport and metabolism,btuE,thioredoxin/glutathione peroxidase
Inorganic ion transport and metabolism,btuF,vitamin B12 ABC transporter periplasmic binding protein
Coenzyme transport and metabolism,btuR,cobinamide/cobalamin adenosyltransferase
Transcription,cadC,DNA-binding transcriptional activator CadC
Lipid transport and metabolism,caiA,CROBETREDUCT-MONOMER
Lipid transport and metabolism,caiB,γ-butyrobetainyl-CoA:carnitine CoA transferase
"Secondary metabolites, biosynthesis, transport, and catabolism",caiC,carnitine-CoA ligase
Lipid transport and metabolism,caiD,CARNRACE-MONOMER
No Specific COG Annotation,caiF,DNA-binding transcriptional activator CaiF
Inorganic ion transport and metabolism,can,carbonic anhydrase 2
Aminio acid transport and metabolism,carA,carbamoyl phosphate synthetase subunit α
Aminio acid transport and metabolism,carB,carbamoyl phosphate synthetase subunit β
Defense Mechanisms,cas1,multifunctional nuclease Cas1
No Specific COG Annotation,casA,type I-E CRISPR system Cascade subunit CasA
No Specific COG Annotation,casB,type I-E CRISPR system Cascade subunit CasB
No Specific COG Annotation,casC,type I-E CRISPR system Cascade subunit CasC
No Specific COG Annotation,casD,type I-E CRISPR system Cascade subunit CasD
No Specific COG Annotation,casE,pre-CRISPR RNA endonuclease
Transcription,cbl,DNA-binding transcriptional activator Cbl
No Specific COG Annotation,cbpA,curved DNA-binding protein
No Specific COG Annotation,cbpM,chaperone modulator CbpM
No Specific COG Annotation,cbrB,putative inner membrane protein
Function unknown,cbrC,UPF0167 family colicin E2 tolerance protein CbrC
"Translation, ribosomal structure, and biogenesis",cca,fused CCA tRNA nucleotidyltransferase/phosphohydrolase
"Post-translational modification, protein turnover, and chaperones",ccmA,heme trafficking system ATP-binding protein
"Post-translational modification, protein turnover, and chaperones",ccmB,heme trafficking system membrane protein CcmB
"Post-translational modification, protein turnover, and chaperones",ccmC,heme trafficking system membrane protein CcmC
"Intracellular trafficking, secretion, and vesicular transport",ccmD,heme trafficking system membrane protein CcmD
"Post-translational modification, protein turnover, and chaperones",ccmE,periplasmic heme chaperone
"Post-translational modification, protein turnover, and chaperones",ccmF,holocytochrome c synthetase membrane subunit CcmF
"Post-translational modification, protein turnover, and chaperones",ccmG,holocytochrome c synthetase - thiol:disulfide oxidoreductase CcmG
"Post-translational modification, protein turnover, and chaperones",ccmH,holocytochrome c synthetase - thiol:disulfide oxidoreductase CcmH
Transcription,cdaR,DNA-binding transcriptional activator CdaR
Nucleotide transport and metabolism,cdd,cytidine/deoxycytidine deaminase
Lipid transport and metabolism,cdh,CDPDIGLYPYPHOSPHA-MONOMER
Lipid transport and metabolism,cdsA,CDP-diglyceride synthetase
No Specific COG Annotation,cedA,cell division modulator
Lipid transport and metabolism,cfa,cyclopropane fatty acyl phospholipid synthase
"Replication, recombination, and repair",cgtA,GTPase ObgE
Inorganic ion transport and metabolism,chaA,Na+/K+:H+ antiporter ChaA
Inorganic ion transport and metabolism,chaB,putative cation transport regulator ChaB
Inorganic ion transport and metabolism,chaC,glutathione-specific γ-glutamylcyclotransferase
Carbohydrate transport and metabolism,chbA,"N,N'-diacetylchitobiose-specific PTS enzyme IIA component"
Carbohydrate transport and metabolism,chbB,"N,N'-diacetylchitobiose-specific PTS enzyme IIB component"
Carbohydrate transport and metabolism,chbC,"N,N'-diacetylchitobiose-specific PTS enzyme IIC component"
Carbohydrate transport and metabolism,chbF,monoacetylchitobiose-6-phosphate hydrolase
Function unknown,chbG,chitin disaccharide deacetylase
Transcription,chbR,DNA-binding transcriptional dual regulator ChbR
Signal transduction mechanisms,cheA,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)"""
Signal transduction mechanisms,cheW,chemotaxis protein CheW
No Specific COG Annotation,cheY,"CheY-acetylated // ""CheY-Pasp"" // ""chemotaxis protein CheY"""
Signal transduction mechanisms,cheZ,chemotaxis protein CheZ
No Specific COG Annotation,chiA,endochitinase
No Specific COG Annotation,cho,endonuclease of nucleotide excision repair
Defense Mechanisms,chpB,endoribonuclease toxin ChpB
Signal transduction mechanisms,chpS,ChpS antitoxin of the ChpB-ChpS toxin-antitoxin system
Inorganic ion transport and metabolism,cirA,EG10155-MONOMER
Inorganic ion transport and metabolism,clcA,chloride:H+ antiporter ClcA
Inorganic ion transport and metabolism,clcB,putative chloride:H+ antiporter ClcB
"Post-translational modification, protein turnover, and chaperones",clpA,ATP-dependent Clp protease ATP-binding subunit ClpA
"Post-translational modification, protein turnover, and chaperones",clpB,"ClpB80 // ""chaperone protein ClpB"""
"Post-translational modification, protein turnover, and chaperones",clpP,ATP-dependent Clp protease proteolytic subunit
"Post-translational modification, protein turnover, and chaperones",clpS,specificity factor for ClpA-ClpP chaperone-protease complex
"Post-translational modification, protein turnover, and chaperones",clpX,ATP-dependent Clp protease ATP-binding subunit ClpX
Lipid transport and metabolism,clsA,cardiolipin synthase A
Nucleotide transport and metabolism,cmk,cytidylate kinase
No Specific COG Annotation,cmoA,carboxy-S-adenosyl-L-methionine synthase
No Specific COG Annotation,cmoB,tRNA U34 carboxymethyltransferase
No Specific COG Annotation,cnu,H-NS- and StpA-binding protein
Coenzyme transport and metabolism,coaA,pantothenate kinase
Coenzyme transport and metabolism,coaBC,fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase
Coenzyme transport and metabolism,coaD,pantetheine-phosphate adenylyltransferase
Coenzyme transport and metabolism,coaE,EG12312-MONOMER
"Post-translational modification, protein turnover, and chaperones",cobB,protein-lysine deacetylase/desuccinylase
Carbohydrate transport and metabolism,cobC,putative adenosylcobalamin phosphatase/α-ribazole phosphatase
Coenzyme transport and metabolism,cobS,COBS-MONOMER
Coenzyme transport and metabolism,cobT,nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase
Coenzyme transport and metabolism,cobU,cobinamide-P guanylyltransferase / cobinamide kinase
General function prediction only,codA,cytosine/isoguanine deaminase
Nucleotide transport and metabolism,codB,CODB-MONOMER
General function prediction only,cof,HMP-PP phosphatase
Transcription,cohE,e14 prophage; putative repressor protein YmfK
Transcription,comR,DNA-binding transcriptional repressor ComR
Inorganic ion transport and metabolism,copA,"soluble Cu+ chaperone // ""Cu+ exporting P-type ATPase"""
Inorganic ion transport and metabolism,corA,Ni2+/Co2+/Mg2+ transporter
Signal transduction mechanisms,cpdA,cAMP phosphodiesterase
Nucleotide transport and metabolism,cpdB,2'3' cyclic nucleotide phosphodiesterase/3' nucleotidase
Cell wall/membrane/envelope biogenesis,cpsB,MANNPGUANYLTRANGDP-MONOMER
Carbohydrate transport and metabolism,cpsG,PHOSMANMUT-MONOMER
Signal transduction mechanisms,cpxA,"CpxA-N-phospho-L-histidine // ""sensor histidine kinase CpxA"""
"Post-translational modification, protein turnover, and chaperones",cpxP,periplasmic protein CpxP
Transcription,cpxR,"Phosphorylated DNA-binding transcriptional dual regulator CpxR // ""DNA-binding transcriptional dual regulator CpxR"""
Transcription,cra,DNA-binding transcriptional dual regulator Cra
Inorganic ion transport and metabolism,crcB,F- channel
Signal transduction mechanisms,creA,PF05981 family protein CreA
Transcription,creB,"Phosphorylated DNA-binding transcriptional regulator CreB // ""DNA-binding transcriptional regulator CreB"""
Signal transduction mechanisms,creC,sensory histidine kinase CreC
No Specific COG Annotation,crl,RNA polymerase holoenzyme assembly factor Crl
No Specific COG Annotation,croE,e14 prophage; putative DNA-binding transcriptional regulator YmfT
Signal transduction mechanisms,crp,DNA-binding transcriptional dual regulator CRP
Carbohydrate transport and metabolism,crr,Enzyme IIAGlc
Aminio acid transport and metabolism,csdA,cysteine sulfinate desulfinase
"Post-translational modification, protein turnover, and chaperones",csdE,sulfur acceptor protein CsdE
"Translation, ribosomal structure, and biogenesis",csdL,tRNA threonylcarbamoyladenosine dehydratase
No Specific COG Annotation,csgA,"curlin, major subunit"
Transcription,csgD,DNA-binding transcriptional dual regulator CsgD
No Specific COG Annotation,csgE,curli transport specificity factor
No Specific COG Annotation,csgF,curli assembly component
Cell wall/membrane/envelope biogenesis,csgG,curli secretion channel
No Specific COG Annotation,csgc,inhibitor of CsgA amyloid formation
No Specific COG Annotation,csiD,glutarate hydroxylase GlaH
Transcription,csiE,stationary phase inducible protein CsiE
Transcription,csiR,DNA-binding transcriptional repressor GlaR
Transcription,cspA,cold shock protein CspA
Transcription,cspB,Qin prophage; cold shock-like protein CspB
Transcription,cspC,"stress protein, member of the CspA family"
Transcription,cspD,DNA replication inhibitor
Transcription,cspE,transcription antiterminator and regulator of RNA stability
Transcription,cspG,cold shock protein CspG
Signal transduction mechanisms,csrA,carbon storage regulator
Signal transduction mechanisms,csrD,regulator of CsrB and CsrC decay
Signal transduction mechanisms,cstA,carbon starvation protein A
Inorganic ion transport and metabolism,cueO,multicopper oxidase CueO
Transcription,cueR,DNA-binding transcriptional dual regulator CueR
"Secondary metabolites, biosynthesis, transport, and catabolism",curA,NADPH-dependent curcumin/dihydrocurcumin reductase
Inorganic ion transport and metabolism,cusA,copper/silver export system RND permease
Cell wall/membrane/envelope biogenesis,cusB,copper/silver export system membrane fusion protein
Cell wall/membrane/envelope biogenesis,cusC,copper/silver export system outer membrane channel
Inorganic ion transport and metabolism,cusF,copper/silver export system periplasmic binding protein
Transcription,cusR,"Pasp DNA-binding transcriptional activator CusR // ""DNA-binding transcriptional activator CusR"""
Signal transduction mechanisms,cusS,"CusS-N-phospho-L-histidine // ""sensor histidine kinase CusS"""
Inorganic ion transport and metabolism,cutA,copper binding protein CutA
Inorganic ion transport and metabolism,cutC,protein CutC
Function unknown,cvpA,colicin V production protein
Inorganic ion transport and metabolism,cvrA,putative K+:H+ antiporter
Nucleotide transport and metabolism,cyaA,ADENYLATECYC-MONOMER
Inorganic ion transport and metabolism,cyaY,frataxin CyaY
Energy production and conversion,cybB,superoxide oxidase
Aminio acid transport and metabolism,cycA,D-serine/alanine/glycine/:H+symporter
Energy production and conversion,cydA,cytochrome bd-I ubiquinol oxidase subunit I
Energy production and conversion,cydB,cytochrome bd-I ubiquinol oxidase subunit II
"Post-translational modification, protein turnover, and chaperones",cydC,glutathione/L-cysteine ABC exporter subunit CydC
"Post-translational modification, protein turnover, and chaperones",cydD,glutathione/L-cysteine ABC exporter subunit CydD
Transcription,cynR,DNA-binding transcriptional dual regulator CynR
Inorganic ion transport and metabolism,cynS,cyanase
Inorganic ion transport and metabolism,cynT,carbonic anhydrase 1
Energy production and conversion,cyoA,cytochrome bo3 ubiquinol oxidase subunit 2
Energy production and conversion,cyoB,cytochrome bo3 ubiquinol oxidase subunit 1
