cog,complex,complex_annotation,func,gene_name
General function prediction only,KDO-8PPHOSPHAT-CPLX,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC,kdsC
Cell wall/membrane/envelope biogenesis,KDO-8PSYNTH-CPLX,3-deoxy-D-manno-octulosonate 8-phosphate synthase,3-deoxy-D-manno-octulosonate 8-phosphate synthase,kdsA
Energy production and conversion,CPLX0-1962,3-hydroxy acid dehydrogenase,3-hydroxy acid dehydrogenase,ydfG
Carbohydrate transport and metabolism,CPLX0-7820,"3-hydroxy-2,4-pentadione 5-phosphate thiolase","3-hydroxy-2,4-pentadione 5-phosphate thiolase",lsrF
Lipid transport and metabolism,FABZ-CPLX,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,fabZ
Aminio acid transport and metabolism,3-ISOPROPYLMALISOM-CPLX,3-isopropylmalate dehydratase subunit LeuC,3-isopropylmalate dehydratase subunit LeuC,leuC
Aminio acid transport and metabolism,3-ISOPROPYLMALISOM-CPLX,3-isopropylmalate dehydratase subunit LeuD,3-isopropylmalate dehydratase subunit LeuD,leuD
Energy production and conversion,3-ISOPROPYLMALDEHYDROG-CPLX,3-isopropylmalate dehydrogenase,3-isopropylmalate dehydrogenase,leuB
Carbohydrate transport and metabolism,CPLX0-7744,3-keto-L-gulonate-6-phosphate decarboxylase UlaD,3-keto-L-gulonate-6-phosphate decarboxylase UlaD,ulaD
Coenzyme transport and metabolism,3-METHYL-2-OXOBUT-OHCH3XFER-CPLX,3-methyl-2-oxobutanoate hydroxymethyltransferase,3-methyl-2-oxobutanoate hydroxymethyltransferase,panB
Coenzyme transport and metabolism,CPLX0-301,3-octaprenyl-4-hydroxybenzoate decarboxylase,3-octaprenyl-4-hydroxybenzoate decarboxylase,ubiD
Lipid transport and metabolism,CPLX0-8005,biotin carboxylase,biotin carboxylase,accC
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit protein S1,30S ribosomal subunit protein S1,rpsA
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit protein S2,30S ribosomal subunit protein S2,rpsB
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit protein S3,30S ribosomal subunit protein S3,rpsC
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit protein S4,30S ribosomal subunit protein S4,rpsD
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit protein S5,30S ribosomal subunit protein S5,rpsE
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit protein S6,30S ribosomal subunit protein S6,rpsF
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit protein S7,30S ribosomal subunit protein S7,rpsG
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit protein S8,30S ribosomal subunit protein S8,rpsH
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit protein S9,30S ribosomal subunit protein S9,rpsI
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit protein S10,30S ribosomal subunit protein S10,rpsJ
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit protein S11,30S ribosomal subunit protein S11,rpsK
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit protein S12,30S ribosomal subunit protein S12,rpsL
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit protein S13,30S ribosomal subunit protein S13,rpsM
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit protein S14,30S ribosomal subunit protein S14,rpsN
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit protein S15,30S ribosomal subunit protein S15,rpsO
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit protein S16,30S ribosomal subunit protein S16,rpsP
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit protein S17,30S ribosomal subunit protein S17,rpsQ
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit protein S18,30S ribosomal subunit protein S18,rpsR
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit protein S19,30S ribosomal subunit protein S19,rpsS
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit protein S20,30S ribosomal subunit protein S20,rpsT
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit protein S21,30S ribosomal subunit protein S21,rpsU
No Specific COG Annotation,CPLX0-3953,30S ribosomal subunit protein S22,30S ribosomal subunit protein S22,sra
Lipid transport and metabolism,CPLX0-3841,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,ispE
Aminio acid transport and metabolism,PABASYN-CPLX,aminodeoxychorismate synthase subunit 2,aminodeoxychorismate synthase subunit 2,pabA
Aminio acid transport and metabolism,PABASYN-CPLX,aminodeoxychorismate synthase subunit 1,aminodeoxychorismate synthase subunit 1,pabB
Aminio acid transport and metabolism,GABATRANSAM-CPLX,4-aminobutyrate aminotransferase GabT,4-aminobutyrate aminotransferase GabT,gabT
Aminio acid transport and metabolism,DIHYDROPICRED-CPLX,4-hydroxy-tetrahydrodipicolinate reductase,4-hydroxy-tetrahydrodipicolinate reductase,dapB
Aminio acid transport and metabolism,DIHYDRODIPICSYN-CPLX,4-hydroxy-tetrahydrodipicolinate synthase,4-hydroxy-tetrahydrodipicolinate synthase,dapA
Coenzyme transport and metabolism,CPLX0-7847,4-hydroxythreonine-4-phosphate dehydrogenase,4-hydroxythreonine-4-phosphate dehydrogenase,pdxA
Nucleotide transport and metabolism,CPLX0-1541,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,mtn
Aminio acid transport and metabolism,METHYLENETHFREDUCT-CPLX,"5,10-methylenetetrahydrofolate reductase","5,10-methylenetetrahydrofolate reductase",metF
Nucleotide transport and metabolism,PURK-CPLX,5-(carboxyamino)imidazole ribonucleotide synthase,5-(carboxyamino)imidazole ribonucleotide synthase,purK
"Translation, ribosomal structure, and biogenesis",CPLX0-7609,5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit,5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit,mnmE
"Translation, ribosomal structure, and biogenesis",CPLX0-7609,5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG,5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG,mnmG
"Translation, ribosomal structure, and biogenesis",CPLX0-7608,5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit,5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit,mnmE
"Translation, ribosomal structure, and biogenesis",CPLX0-7597,5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG,5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG,mnmG
Carbohydrate transport and metabolism,CPLX-8401,5-dehydro-4-deoxy-D-glucuronate isomerase,5-dehydro-4-deoxy-D-glucuronate isomerase,kduI
"Secondary metabolites, biosynthesis, transport, and catabolism",CPLX0-8292,5-keto-D-gluconate 5-reductase,5-keto-D-gluconate 5-reductase,idnO
Aminio acid transport and metabolism,CPLX0-8249,5-oxoprolinase component B,5-oxoprolinase component B,ybgJ
Aminio acid transport and metabolism,CPLX0-8249,5-oxoprolinase component C,5-oxoprolinase component C,ybgK
General function prediction only,CPLX0-8249,5-oxoprolinase component A,5-oxoprolinase component A,ybgL
Inorganic ion transport and metabolism,CPLX0-7936,"5-phospho-α-D-ribosyl 1,2-cyclic phosphate phosphodiesterase","5-phospho-α-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",phnP
"Translation, ribosomal structure, and biogenesis",CPLX0-3956,50S ribosomal subunit protein L10,50S ribosomal subunit protein L10,rplJ
"Translation, ribosomal structure, and biogenesis",CPLX0-3956,"50S ribosomal subunit protein L7 // ""50S ribosomal subunit protein L12""","50S ribosomal subunit protein L7 // ""50S ribosomal subunit protein L12""",rplL
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L1,50S ribosomal subunit protein L1,rplA
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L2,50S ribosomal subunit protein L2,rplB
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L3,50S ribosomal subunit protein L3,rplC
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L4,50S ribosomal subunit protein L4,rplD
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L5,50S ribosomal subunit protein L5,rplE
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L6,50S ribosomal subunit protein L6,rplF
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L9,50S ribosomal subunit protein L9,rplI
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L10,50S ribosomal subunit protein L10,rplJ
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L11,50S ribosomal subunit protein L11,rplK
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,"50S ribosomal subunit protein L7 // ""50S ribosomal subunit protein L12""","50S ribosomal subunit protein L7 // ""50S ribosomal subunit protein L12""",rplL
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L13,50S ribosomal subunit protein L13,rplM
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L14,50S ribosomal subunit protein L14,rplN
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L15,50S ribosomal subunit protein L15,rplO
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L16,50S ribosomal subunit protein L16,rplP
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L17,50S ribosomal subunit protein L17,rplQ
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L18,50S ribosomal subunit protein L18,rplR
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L19,50S ribosomal subunit protein L19,rplS
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L20,50S ribosomal subunit protein L20,rplT
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L21,50S ribosomal subunit protein L21,rplU
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L22,50S ribosomal subunit protein L22,rplV
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L23,50S ribosomal subunit protein L23,rplW
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L24,50S ribosomal subunit protein L24,rplX
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L25,50S ribosomal subunit protein L25,rplY
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L27,50S ribosomal subunit protein L27,rpmA
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L28,50S ribosomal subunit protein L28,rpmB
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L29,50S ribosomal subunit protein L29,rpmC
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L30,50S ribosomal subunit protein L30,rpmD
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L31,50S ribosomal subunit protein L31,rpmE
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L32,50S ribosomal subunit protein L32,rpmF
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L33,50S ribosomal subunit protein L33,rpmG
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L34,50S ribosomal subunit protein L34,rpmH
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L35,50S ribosomal subunit protein L35,rpmI
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit protein L36,50S ribosomal subunit protein L36,rpmJ
"Translation, ribosomal structure, and biogenesis",CPLX0-3955,"50S ribosomal subunit protein L7 // ""50S ribosomal subunit protein L12""","50S ribosomal subunit protein L7 // ""50S ribosomal subunit protein L12""",rplL
Coenzyme transport and metabolism,CPLX0-8123,"6-carboxy-5,6,7,8-tetrahydropterin synthase","6-carboxy-5,6,7,8-tetrahydropterin synthase",queD
Carbohydrate transport and metabolism,6PFK-1-CPX,6-phosphofructokinase 1,6-phosphofructokinase 1,pfkA
Carbohydrate transport and metabolism,6PFK-2-CPX,6-phosphofructokinase 2,6-phosphofructokinase 2,pfkB
Carbohydrate transport and metabolism,6PGLUCONDEHYDROG-CPLX,"6-phosphogluconate dehydrogenase, decarboxylating","6-phosphogluconate dehydrogenase, decarboxylating",gnd
"Secondary metabolites, biosynthesis, transport, and catabolism",7-ALPHA-HYDROXYSTEROID-DEH-CPLX,7-α-hydroxysteroid dehydrogenase,7-α-hydroxysteroid dehydrogenase,hdhA
"Translation, ribosomal structure, and biogenesis",CPLX0-3501,7-cyano-7-deazaguanine reductase,7-cyano-7-deazaguanine reductase,queF
Coenzyme transport and metabolism,7KAPSYN-CPLX,8-amino-7-oxononanoate synthase,8-amino-7-oxononanoate synthase,bioF
Defense Mechanisms,CPLX0-3958,type I restriction enzyme EcoKI methyltransferase component,type I restriction enzyme EcoKI methyltransferase component,hsdM
Defense Mechanisms,CPLX0-3958,type I restriction enzyme EcoKI endonuclease component,type I restriction enzyme EcoKI endonuclease component,hsdR
Defense Mechanisms,CPLX0-3958,type I restriction enzyme EcoKI specificity protein,type I restriction enzyme EcoKI specificity protein,hsdS
Carbohydrate transport and metabolism,CPLX-155,"N,N'-diacetylchitobiose-specific PTS enzyme IIA component","N,N'-diacetylchitobiose-specific PTS enzyme IIA component",chbA
Carbohydrate transport and metabolism,CPLX-155,"N,N'-diacetylchitobiose-specific PTS enzyme IIB component","N,N'-diacetylchitobiose-specific PTS enzyme IIB component",chbB
Carbohydrate transport and metabolism,CPLX-155,"N,N'-diacetylchitobiose-specific PTS enzyme IIC component","N,N'-diacetylchitobiose-specific PTS enzyme IIC component",chbC
Carbohydrate transport and metabolism,CPLX0-7610,N-acetyl-D-galactosamine specific PTS enzyme IIB component,N-acetyl-D-galactosamine specific PTS enzyme IIB component,agaV
Aminio acid transport and metabolism,ACNEULY-CPLX,N-acetylneuraminate lyase,N-acetylneuraminate lyase,nanA
Carbohydrate transport and metabolism,NAG6PDEACET-CPLX,N-acetylglucosamine-6-phosphate deacetylase,N-acetylglucosamine-6-phosphate deacetylase,nagA
Cell wall/membrane/envelope biogenesis,CPLX0-7732,N-acetylmuramic acid 6-phosphate etherase,N-acetylmuramic acid 6-phosphate etherase,murQ
Cell wall/membrane/envelope biogenesis,CPLX0-7658,N-acetylneuraminate mutarotase,N-acetylneuraminate mutarotase,nanM
Aminio acid transport and metabolism,ACETYLORNTRANSAM-CPLX,N-acetylornithine aminotransferase / N-succinyldiaminopimelate aminotransferase,N-acetylornithine aminotransferase / N-succinyldiaminopimelate aminotransferase,argD
Aminio acid transport and metabolism,CPLX0-7947,N-succinylarginine dihydrolase,N-succinylarginine dihydrolase,astB
Nucleotide transport and metabolism,PURE-CPLX,adenine deaminase,adenine deaminase,ade
Aminio acid transport and metabolism,O-SUCCHOMOSERLYASE-CPLX,O-succinylhomoserine(thiol)-lyase / O-succinylhomoserine lyase,O-succinylhomoserine(thiol)-lyase / O-succinylhomoserine lyase,metB
Energy production and conversion,ADHC-CPLX,aldehyde/alcohol dehydrogenase AdhE,aldehyde/alcohol dehydrogenase AdhE,adhE
Defense Mechanisms,CPLX0-3954,S-formylglutathione hydrolase / S-lactoylglutathione hydrolase,S-formylglutathione hydrolase / S-lactoylglutathione hydrolase,yeiG
Coenzyme transport and metabolism,CPLX0-7426,all-trans-octaprenyl-diphosphate synthase,all-trans-octaprenyl-diphosphate synthase,ispB
Lipid transport and metabolism,UPPSYN-CPLX,"ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]","ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]",ispU
"Secondary metabolites, biosynthesis, transport, and catabolism",MENE-CPLX,o-succinylbenzoate-CoA ligase,o-succinylbenzoate-CoA ligase,menE
General function prediction only,CPLX0-7844,p-aminobenzoyl-glutamate hydrolase subunit A,p-aminobenzoyl-glutamate hydrolase subunit A,abgA
General function prediction only,CPLX0-7844,p-aminobenzoyl-glutamate hydrolase subunit B,p-aminobenzoyl-glutamate hydrolase subunit B,abgB
Carbohydrate transport and metabolism,ABC-34-CPLX,sn-glycerol 3-phosphate ABC transporter membrane subunit UgpA,sn-glycerol 3-phosphate ABC transporter membrane subunit UgpA,ugpA
Carbohydrate transport and metabolism,ABC-34-CPLX,sn-glycerol 3-phosphate ABC transporter periplasmic binding protein,sn-glycerol 3-phosphate ABC transporter periplasmic binding protein,ugpB
Carbohydrate transport and metabolism,ABC-34-CPLX,sn-glycerol 3-phosphate ABC transporter ATP binding subunit,sn-glycerol 3-phosphate ABC transporter ATP binding subunit,ugpC
Carbohydrate transport and metabolism,ABC-34-CPLX,sn-glycerol 3-phosphate ABC transporter membrane subunit UgpE,sn-glycerol 3-phosphate ABC transporter membrane subunit UgpE,ugpE
Cell wall/membrane/envelope biogenesis,TRANS-200-CPLX,ABC-type tripartite efflux pump membrane fusion protein,ABC-type tripartite efflux pump membrane fusion protein,macA
Cell wall/membrane/envelope biogenesis,TRANS-200-CPLX,ABC-type tripartite efflux pump ATP binding/membrane subunit,ABC-type tripartite efflux pump ATP binding/membrane subunit,macB
Cell wall/membrane/envelope biogenesis,TRANS-200-CPLX,outer membrane channel TolC,outer membrane channel TolC,tolC
Cell wall/membrane/envelope biogenesis,CPLX0-3681,ADP-L-glycero-D-mannoheptose 6-epimerase,ADP-L-glycero-D-mannoheptose 6-epimerase,hldD
No Specific COG Annotation,CPLX0-1221,ADP-sugar diphosphatase NudE,ADP-sugar diphosphatase NudE,nudE
No Specific COG Annotation,CPLX0-3721,ADP-sugar pyrophosphatase,ADP-sugar pyrophosphatase,nudF
Nucleotide transport and metabolism,AMP-NUCLEOSID-CPLX,AMP nucleosidase,AMP nucleosidase,amn
"Replication, recombination, and repair",CPLX0-3957,"ATP dependent, structure specific DNA nuclease - SbcC subunit","ATP dependent, structure specific DNA nuclease - SbcC subunit",sbcC
"Replication, recombination, and repair",CPLX0-3957,"ATP dependent, structure specific DNA nuclease - SbcD subunit","ATP dependent, structure specific DNA nuclease - SbcD subunit",sbcD
Aminio acid transport and metabolism,CPLX0-7614,ATP phosphoribosyltransferase,ATP phosphoribosyltransferase,hisG
Energy production and conversion,ATPSYN-CPLX,ATP synthase F1 complex subunit α,ATP synthase F1 complex subunit α,atpA
Energy production and conversion,ATPSYN-CPLX,ATP synthase F0 complex subunit a,ATP synthase F0 complex subunit a,atpB
Energy production and conversion,ATPSYN-CPLX,ATP synthase F1 complex subunit ε,ATP synthase F1 complex subunit ε,atpC
Energy production and conversion,ATPSYN-CPLX,ATP synthase F1 complex subunit β,ATP synthase F1 complex subunit β,atpD
Energy production and conversion,ATPSYN-CPLX,ATP synthase F0 complex subunit c,ATP synthase F0 complex subunit c,atpE
Energy production and conversion,ATPSYN-CPLX,ATP synthase F0 complex subunit b,ATP synthase F0 complex subunit b,atpF
