cog_class,cog_class_letter,cog_desc,desc,gene,go_biological_process,go_id,uniprot
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Superoxide dismutase [Mn] ,sodA,removal of superoxide radicals,GO:0019430,P00448
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Superoxide dismutase [Mn] ,sodA,response to acidic pH,GO:0010447,P00448
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Superoxide dismutase [Mn] ,sodA,response to heat,GO:0009408,P00448
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Superoxide dismutase [Mn] ,sodA,response to oxidative stress,GO:0006979,P00448
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Superoxide dismutase [Mn] ,sodA,superoxide metabolic process,GO:0006801,P00448
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Ribonucleoside-diphosphate reductase 1 subunit alpha ,nrdA,deoxyribonucleotide biosynthetic process,GO:0009263,P00452
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Ribonucleoside-diphosphate reductase 1 subunit alpha ,nrdA,DNA replication,GO:0006260,P00452
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Ribonucleoside-diphosphate reductase 1 subunit alpha ,nrdA,nucleobase-containing small molecule interconversion,GO:0015949,P00452
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Maltodextrin phosphorylase ,malP,alpha-glucan catabolic process,GO:0030980,P00490
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Maltodextrin phosphorylase ,malP,glycogen catabolic process,GO:0005980,P00490
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Aspartate aminotransferase ,aspC,L-phenylalanine biosynthetic process,GO:0009094,P00509
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Aspartate aminotransferase ,aspC,L-phenylalanine biosynthetic process from chorismate via phenylpyruvate,GO:0033585,P00509
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Homoserine kinase ,thrB,threonine biosynthetic process,GO:0009088,P00547
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,PTS system mannitol-specific EIICBA component ,mtlA,mannitol transport,GO:0015797,P00550
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,PTS system mannitol-specific EIICBA component ,mtlA,phosphoenolpyruvate-dependent sugar phosphotransferase system,GO:0009401,P00550
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Bifunctional aspartokinase/homoserine dehydrogenase 1 ,thrA,homoserine biosynthetic process,GO:0009090,P00561
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Bifunctional aspartokinase/homoserine dehydrogenase 1 ,thrA,lysine biosynthetic process via diaminopimelate,GO:0009089,P00561
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Bifunctional aspartokinase/homoserine dehydrogenase 1 ,thrA,threonine biosynthetic process,GO:0009088,P00561
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Bifunctional aspartokinase/homoserine dehydrogenase 2 ,metL,homoserine biosynthetic process,GO:0009090,P00562
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Bifunctional aspartokinase/homoserine dehydrogenase 2 ,metL,lysine biosynthetic process via diaminopimelate,GO:0009089,P00562
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Bifunctional aspartokinase/homoserine dehydrogenase 2 ,metL,methionine biosynthetic process,GO:0009086,P00562
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Bifunctional aspartokinase/homoserine dehydrogenase 2 ,metL,threonine biosynthetic process,GO:0009088,P00562
Information Storage and Processing,Transcription,Transcription,RNA polymerase sigma factor rpoD ,rpoD,response to heat,GO:0009408,P00579
Information Storage and Processing,Transcription,Transcription,RNA polymerase sigma factor rpoD ,rpoD,transcription initiation from bacterial-type RNA polymerase promoter,GO:0001123,P00579
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA polymerase I ,polA,base-excision repair,GO:0006284,P00582
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA polymerase I ,polA,DNA-dependent DNA replication,GO:0006261,P00582
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA polymerase I ,polA,DNA repair,GO:0006281,P00582
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA polymerase I ,polA,DNA replication,GO:0006260,P00582
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Signal peptidase I ,lepB,protein processing,GO:0016485,P00803
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Signal peptidase I ,lepB,proteolysis,GO:0006508,P00803
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Signal peptidase I ,lepB,signal peptide processing,GO:0006465,P00803
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,L-asparaginase 2 ,ansB,asparagine catabolic process,GO:0006530,P00805
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,L-asparaginase 2 ,ansB,protein homotetramerization,GO:0051289,P00805
Cellular Processes and Signaling,Defense mechanisms,Defense mechanisms,Beta-lactamase ,ampC,antibiotic catabolic process,GO:0017001,P00811
Cellular Processes and Signaling,Defense mechanisms,Defense mechanisms,Beta-lactamase ,ampC,response to antibiotic,GO:0046677,P00811
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Diaminopimelate decarboxylase ,lysA,lysine biosynthetic process via diaminopimelate,GO:0009089,P00861
Metabolism,Energy production and conversion,Energy production and conversion,Phosphoenolpyruvate carboxylase ,ppc,carbon fixation,GO:0015977,P00864
Metabolism,Energy production and conversion,Energy production and conversion,Phosphoenolpyruvate carboxylase ,ppc,oxaloacetate metabolic process,GO:0006107,P00864
Metabolism,Energy production and conversion,Energy production and conversion,Phosphoenolpyruvate carboxylase ,ppc,tricarboxylic acid cycle,GO:0006099,P00864
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive ",aroH,aromatic amino acid family biosynthetic process,GO:0009073,P00887
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive ",aroH,chorismate biosynthetic process,GO:0009423,P00887
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive ",aroF,aromatic amino acid family biosynthetic process,GO:0009073,P00888
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive ",aroF,chorismate biosynthetic process,GO:0009423,P00888
Not Assigned,Not Assigned,Not Assigned,Acetolactate synthase isozyme 2 large subunit ,ilvG,isoleucine biosynthetic process,GO:0009097,P00892
Not Assigned,Not Assigned,Not Assigned,Acetolactate synthase isozyme 2 large subunit ,ilvG,valine biosynthetic process,GO:0009099,P00892
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Acetolactate synthase isozyme 3 large subunit ,ilvI,isoleucine biosynthetic process,GO:0009097,P00893
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Acetolactate synthase isozyme 3 large subunit ,ilvI,valine biosynthetic process,GO:0009099,P00893
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Acetolactate synthase isozyme 3 small subunit ,ilvH,isoleucine biosynthetic process,GO:0009097,P00894
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Acetolactate synthase isozyme 3 small subunit ,ilvH,valine biosynthetic process,GO:0009099,P00894
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Anthranilate synthase component 1 ,trpE,tryptophan biosynthetic process,GO:0000162,P00895
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Anthranilate synthase component II ,trpG,glutamine metabolic process,GO:0006541,P00904
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Anthranilate synthase component II ,trpG,phenazine biosynthetic process,GO:0002047,P00904
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Anthranilate synthase component II ,trpG,tryptophan biosynthetic process,GO:0000162,P00904
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Tryptophan biosynthesis protein trpCF ,trpC,tryptophan biosynthetic process,GO:0000162,P00909
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,D-serine dehydratase ,dsdA,cellular response to DNA damage stimulus,GO:0006974,P00926
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,D-serine dehydratase ,dsdA,detoxification of nitrogen compound,GO:0051410,P00926
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,D-serine dehydratase ,dsdA,D-serine catabolic process,GO:0036088,P00926
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,D-serine dehydratase ,dsdA,D-serine metabolic process,GO:0070178,P00926
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,D-serine dehydratase ,dsdA,L-serine catabolic process,GO:0006565,P00926
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,D-serine dehydratase ,dsdA,threonine catabolic process,GO:0006567,P00926
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Threonine synthase ,thrC,threonine biosynthetic process,GO:0009088,P00934
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Cystathionine gamma-synthase ,metB,cysteine biosynthetic process via cystathionine,GO:0019343,P00935
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Cystathionine gamma-synthase ,metB,methionine biosynthetic process,GO:0009086,P00935
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Cystathionine gamma-synthase ,metB,transsulfuration,GO:0019346,P00935
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Adenylate cyclase ,cyaA,cAMP biosynthetic process,GO:0006171,P00936
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Xylose isomerase ,xylA,D-xylose catabolic process,GO:0042843,P00944
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Mannose-6-phosphate isomerase ,manA,cell wall mannoprotein biosynthetic process,GO:0000032,P00946
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Mannose-6-phosphate isomerase ,manA,colanic acid biosynthetic process,GO:0009242,P00946
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Mannose-6-phosphate isomerase ,manA,GDP-mannose biosynthetic process,GO:0009298,P00946
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Mannose-6-phosphate isomerase ,manA,mannose catabolic process,GO:0019309,P00946
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Mannose-6-phosphate isomerase ,manA,protein glycosylation,GO:0006486,P00946
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Tryptophanyl-tRNA synthetase ,trpS,tryptophanyl-tRNA aminoacylation,GO:0006436,P00954
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Isoleucyl-tRNA synthetase ,ileS,isoleucyl-tRNA aminoacylation,GO:0006428,P00956
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Isoleucyl-tRNA synthetase ,ileS,response to antibiotic,GO:0046677,P00956
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Alanyl-tRNA synthetase ,alaS,alanyl-tRNA aminoacylation,GO:0006419,P00957
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Alanyl-tRNA synthetase ,alaS,"negative regulation of transcription, DNA-templated",GO:0045892,P00957
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Alanyl-tRNA synthetase ,alaS,tRNA modification,GO:0006400,P00957
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Methionyl-tRNA synthetase ,metG,methionyl-tRNA aminoacylation,GO:0006431,P00959
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Glycyl-tRNA synthetase alpha subunit ,glyQ,glycyl-tRNA aminoacylation,GO:0006426,P00960
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Glycyl-tRNA synthetase beta subunit ,glyS,arginyl-tRNA aminoacylation,GO:0006420,P00961
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Glycyl-tRNA synthetase beta subunit ,glyS,glycyl-tRNA aminoacylation,GO:0006426,P00961
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Glutaminyl-tRNA synthetase ,glnS,glutaminyl-tRNA aminoacylation,GO:0006425,P00962
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Glutaminyl-tRNA synthetase ,glnS,glutamyl-tRNA aminoacylation,GO:0006424,P00962
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Aspartate--ammonia ligase ,asnA,asparagine biosynthetic process,GO:0006529,P00963
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Aspartate--ammonia ligase ,asnA,cellular response to DNA damage stimulus,GO:0006974,P00963
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Aspartate--ammonia ligase ,asnA,L-asparagine biosynthetic process,GO:0070981,P00963
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Carbamoyl-phosphate synthase large chain ,carB,'de novo' UMP biosynthetic process,GO:0044205,P00968
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Carbamoyl-phosphate synthase large chain ,carB,arginine biosynthetic process,GO:0006526,P00968
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Carbamoyl-phosphate synthase large chain ,carB,cellular amino acid biosynthetic process,GO:0008652,P00968
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Carbamoyl-phosphate synthase large chain ,carB,glutamine metabolic process,GO:0006541,P00968
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Carbamoyl-phosphate synthase large chain ,carB,nitrogen compound metabolic process,GO:0006807,P00968
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Carbamoyl-phosphate synthase large chain ,carB,pyrimidine nucleobase biosynthetic process,GO:0019856,P00968
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S6 ,rpsF,translation,GO:0006412,P02358
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S7 ,rpsG,negative regulation of translation,GO:0017148,P02359
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S7 ,rpsG,ribosomal small subunit assembly,GO:0000028,P02359
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S7 ,rpsG,translation,GO:0006412,P02359
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",50S ribosomal protein L15 ,rplO,translation,GO:0006412,P02413
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Maltose transport system permease protein malF ,malF,cellular response to DNA damage stimulus,GO:0006974,P02916
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Maltose transport system permease protein malF ,malF,maltodextrin transport,GO:0042956,P02916
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Maltose transport system permease protein malF ,malF,maltose transport,GO:0015768,P02916
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Penicillin-binding protein 1A ,mrcA,cell wall organization,GO:0071555,P02918
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Penicillin-binding protein 1A ,mrcA,peptidoglycan biosynthetic process,GO:0009252,P02918
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Penicillin-binding protein 1A ,mrcA,regulation of cell shape,GO:0008360,P02918
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Penicillin-binding protein 1A ,mrcA,response to antibiotic,GO:0046677,P02918
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Penicillin-binding protein 1B ,mrcB,cell wall organization,GO:0071555,P02919
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Penicillin-binding protein 1B ,mrcB,peptidoglycan biosynthetic process,GO:0009252,P02919
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Penicillin-binding protein 1B ,mrcB,positive regulation of bipolar cell growth,GO:0051518,P02919
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Penicillin-binding protein 1B ,mrcB,regulation of cell shape,GO:0008360,P02919
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Penicillin-binding protein 1B ,mrcB,response to antibiotic,GO:0046677,P02919
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Penicillin-binding protein 1B ,mrcB,response to X-ray,GO:0010165,P02919
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,L-arabinose-binding periplasmic protein ,araF,L-arabinose transmembrane transport,GO:0042882,P02924
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,D-ribose-binding periplasmic protein ,rbsB,D-ribose transmembrane transport,GO:0015752,P02925
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,D-ribose-binding periplasmic protein ,rbsB,positive chemotaxis,GO:0050918,P02925
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Protein tonB ,tonB,cobalamin transport,GO:0015889,P02929
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Protein tonB ,tonB,colicin transport,GO:0042914,P02929
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Protein tonB ,tonB,protein transport,GO:0015031,P02929
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Protein tonB ,tonB,receptor-mediated bacteriophage irreversible attachment to host cell,GO:0098002,P02929
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Protein tonB ,tonB,siderophore transport,GO:0015891,P02929
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein tolC ,tolC,bile acid and bile salt transport,GO:0015721,P02930
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein tolC ,tolC,enterobactin transport,GO:0042930,P02930
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein tolC ,tolC,ion transmembrane transport,GO:0034220,P02930
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein tolC ,tolC,response to antibiotic,GO:0046677,P02930
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein tolC ,tolC,response to drug,GO:0042493,P02930
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein tolC ,tolC,response to organic cyclic compound,GO:0014070,P02930
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein tolC ,tolC,response to toxic substance,GO:0009636,P02930
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein tolC ,tolC,xenobiotic detoxification by transmembrane export across the plasma membrane,GO:1990961,P02930
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein F ,ompF,drug transmembrane transport,GO:0006855,P02931
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein F ,ompF,ion transmembrane transport,GO:0034220,P02931
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein F ,ompF,protein homotrimerization,GO:0070207,P02931
Cellular Processes and Signaling,Cell motility,Cell motility,Methyl-accepting chemotaxis protein I ,tsr,cell motility,GO:0048870,P02942
Cellular Processes and Signaling,Cell motility,Cell motility,Methyl-accepting chemotaxis protein I ,tsr,cellular response to amino acid stimulus,GO:0071230,P02942
Cellular Processes and Signaling,Cell motility,Cell motility,Methyl-accepting chemotaxis protein I ,tsr,chemotaxis,GO:0006935,P02942
Cellular Processes and Signaling,Cell motility,Cell motility,Methyl-accepting chemotaxis protein I ,tsr,detection of chemical stimulus,GO:0009593,P02942
Cellular Processes and Signaling,Cell motility,Cell motility,Methyl-accepting chemotaxis protein I ,tsr,protein homooligomerization,GO:0051260,P02942
Cellular Processes and Signaling,Cell motility,Cell motility,Methyl-accepting chemotaxis protein I ,tsr,receptor clustering,GO:0043113,P02942
Cellular Processes and Signaling,Cell motility,Cell motility,Methyl-accepting chemotaxis protein I ,tsr,regulation of bacterial-type flagellum-dependent cell motility,GO:1902021,P02942
Cellular Processes and Signaling,Cell motility,Cell motility,Methyl-accepting chemotaxis protein I ,tsr,regulation of chemotaxis,GO:0050920,P02942
Cellular Processes and Signaling,Cell motility,Cell motility,Methyl-accepting chemotaxis protein I ,tsr,regulation of protein histidine kinase activity,GO:0032110,P02942
Cellular Processes and Signaling,Cell motility,Cell motility,Methyl-accepting chemotaxis protein I ,tsr,response to amino acid,GO:0043200,P02942
Cellular Processes and Signaling,Cell motility,Cell motility,Methyl-accepting chemotaxis protein I ,tsr,signal complex assembly,GO:0007172,P02942
Cellular Processes and Signaling,Cell motility,Cell motility,Methyl-accepting chemotaxis protein I ,tsr,signal transduction,GO:0007165,P02942
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Maltoporin ,lamB,cellular response to DNA damage stimulus,GO:0006974,P02943
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Maltoporin ,lamB,ion transport,GO:0006811,P02943
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Maltoporin ,lamB,maltodextrin transport,GO:0042956,P02943
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Chromosomal replication initiator protein dnaA ,dnaA,DNA replication,GO:0006260,P03004
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Chromosomal replication initiator protein dnaA ,dnaA,DNA replication initiation,GO:0006270,P03004
