annotation,cog_id,cog_letter,gene_name
Ribosomal protein S2,COG0052,J,rpsB
Predicted Co/Zn/Cd cation transporters,COG0053,P,yiiP
Riboflavin synthase beta-chain,COG0054,H,ribH
"F0F1-type ATP synthase, beta subunit",COG0055,C,atpD
"F0F1-type ATP synthase, alpha subunit",COG0056,C,atpA
Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase,COG0057,G,epd
Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase,COG0057,G,gapA
Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase,COG0057,G,gapC
Glucan phosphorylase,COG0058,G,glgP
Glucan phosphorylase,COG0058,G,malP
Ketol-acid reductoisomerase,COG0059,E,ilvC
Ketol-acid reductoisomerase,COG0059,H,ilvC
Isoleucyl-tRNA synthetase,COG0060,J,ileS
Predicted sugar kinase,COG0061,G,yfjB
Uncharacterized conserved protein,COG0062,S,yjeF_1
Predicted sugar kinase,COG0063,G,yjeF_2
3-isopropylmalate dehydratase large subunit,COG0065,E,leuC
3-isopropylmalate dehydratase small subunit,COG0066,E,leuD
Glutamate synthase domain 1,COG0067,E,gltB_1
Hydrogenase maturation factor,COG0068,O,hypF
Glutamate synthase domain 2,COG0069,E,gltB_2
Glutamate synthase domain 3,COG0070,E,gltB_3
Molecular chaperone (small heat shock protein),COG0071,O,ibpA
Molecular chaperone (small heat shock protein),COG0071,O,ibpB
Phenylalanyl-tRNA synthetase beta subunit,COG0072,J,pheT_2
EMAP domain,COG0073,R,metG_2
EMAP domain,COG0073,R,pheT_1
EMAP domain,COG0073,R,ygjH
"Succinyl-CoA synthetase, alpha subunit",COG0074,C,fdrA
"Succinyl-CoA synthetase, alpha subunit",COG0074,C,sucD
"Succinyl-CoA synthetase, alpha subunit",COG0074,C,yahF
Glutamate decarboxylase and related PLP-dependent proteins,COG0076,E,gadA
Glutamate decarboxylase and related PLP-dependent proteins,COG0076,E,gadB
Prephenate dehydratase,COG0077,E,pheA_2
Ornithine carbamoyltransferase,COG0078,E,argF
Ornithine carbamoyltransferase,COG0078,E,argI
Ornithine carbamoyltransferase,COG0078,E,ygeW
Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase,COG0079,E,hisC
Ribosomal protein L11,COG0080,J,rplK
Ribosomal protein L1,COG0081,J,rplA
Chorismate synthase,COG0082,E,aroC
Homoserine kinase,COG0083,E,thrB
Mg-dependent DNase,COG0084,L,tatD
Mg-dependent DNase,COG0084,L,ycfH
Mg-dependent DNase,COG0084,L,yjjVm
"DNA-directed RNA polymerase, beta subunit/140 kD subunit",COG0085,K,rpoB
"DNA-directed RNA polymerase, beta' subunit/160 kD subunit",COG0086,K,rpoC
Ribosomal protein L3,COG0087,J,rplC
Ribosomal protein L4,COG0088,J,rplD
Ribosomal protein L23,COG0089,J,rplW
Ribosomal protein L2,COG0090,J,rplB
Ribosomal protein L22,COG0091,J,rplV
Ribosomal protein S3,COG0092,J,rpsC
Ribosomal protein L14,COG0093,J,rplN
Ribosomal protein L5,COG0094,J,rplE
Lipoate-protein ligase A,COG0095,H,lplA
Ribosomal protein S8,COG0096,J,rpsH
Ribosomal protein L6P/L9E,COG0097,J,rplF
Ribosomal protein S5,COG0098,J,rpsE
Ribosomal protein S13,COG0099,J,rpsM
Ribosomal protein S11,COG0100,J,rpsK
Pseudouridylate synthase,COG0101,J,truA
Ribosomal protein L13,COG0102,J,rplM
Ribosomal protein S9,COG0103,J,rpsI
Adenylosuccinate synthase,COG0104,F,purA
Nucleoside diphosphate kinase,COG0105,F,ndk
Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase,COG0106,E,hisA
Imidazoleglycerol-phosphate synthase,COG0107,E,hisF
"3,4-dihydroxy-2-butanone 4-phosphate synthase",COG0108,H,ribB
Polyprenyltransferase (cytochrome oxidase assembly factor),COG0109,O,cyoE
Acetyltransferase (isoleucine patch superfamily),COG0110,R,b0359
Acetyltransferase (isoleucine patch superfamily),COG0110,R,lacA
Acetyltransferase (isoleucine patch superfamily),COG0110,R,wbbJ
Acetyltransferase (isoleucine patch superfamily),COG0110,R,wcaF
Acetyltransferase (isoleucine patch superfamily),COG0110,R,ylaD
Phosphoglycerate dehydrogenase and related dehydrogenases,COG0111,H,pdxB
Phosphoglycerate dehydrogenase and related dehydrogenases,COG0111,H,serA
Phosphoglycerate dehydrogenase and related dehydrogenases,COG0111,H,ycdW
Phosphoglycerate dehydrogenase and related dehydrogenases,COG0111,E,pdxB
Phosphoglycerate dehydrogenase and related dehydrogenases,COG0111,E,serA
Phosphoglycerate dehydrogenase and related dehydrogenases,COG0111,E,ycdW
Glycine/serine hydroxymethyltransferase,COG0112,E,glyA
Delta-aminolevulinic acid dehydratase,COG0113,H,hemB
Fumarase,COG0114,C,fumC
Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase,COG0115,E,ilvE
Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase,COG0115,E,pabC
Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase,COG0115,H,ilvE
Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase,COG0115,H,pabC
Predicted N6-adenine-specific DNA methylase,COG0116,L,ycbY_1
Pyrimidine deaminase,COG0117,H,ribD_1
Glutamine amidotransferase,COG0118,E,hisH
Isopropylmalate/homocitrate/citramalate synthases,COG0119,E,leuA
Isopropylmalate/homocitrate/citramalate synthases,COG0119,E,mhpE
Ribose 5-phosphate isomerase,COG0120,G,rpiA
Predicted glutamine amidotransferase,COG0121,R,yafJ
3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase,COG0122,L,alkA
Histidyl-tRNA synthetase,COG0124,J,hisS
Thymidylate kinase,COG0125,F,tmk
3-phosphoglycerate kinase,COG0126,G,pgk
Xanthosine triphosphate pyrophosphatase,COG0127,F,yggV
5-enolpyruvylshikimate-3-phosphate synthase,COG0128,E,aroA
Dihydroxyacid dehydratase/phosphogluconate dehydratase,COG0129,E,edd
Dihydroxyacid dehydratase/phosphogluconate dehydratase,COG0129,E,ilvD
Dihydroxyacid dehydratase/phosphogluconate dehydratase,COG0129,E,yagF
Dihydroxyacid dehydratase/phosphogluconate dehydratase,COG0129,E,yjhG
Dihydroxyacid dehydratase/phosphogluconate dehydratase,COG0129,G,edd
Dihydroxyacid dehydratase/phosphogluconate dehydratase,COG0129,G,ilvD
Dihydroxyacid dehydratase/phosphogluconate dehydratase,COG0129,G,yagF
Dihydroxyacid dehydratase/phosphogluconate dehydratase,COG0129,G,yjhG
Pseudouridine synthase,COG0130,J,truB
Imidazoleglycerol-phosphate dehydratase,COG0131,E,hisB_2
Dethiobiotin synthetase,COG0132,H,bioD
Dethiobiotin synthetase,COG0132,H,ynfK
Tryptophan synthase beta chain,COG0133,E,trpB
Indole-3-glycerol phosphate synthase,COG0134,E,trpC_1
Phosphoribosylanthranilate isomerase,COG0135,E,trpC_2
Aspartate-semialdehyde dehydrogenase,COG0136,E,asd
Aspartate-semialdehyde dehydrogenase,COG0136,E,usg
Argininosuccinate synthase,COG0137,E,argG
AICAR transformylase/IMP cyclohydrolase PurH (only IMP cyclohydrolase domain in Aful),COG0138,F,purH
Phosphoribosyl-AMP cyclohydrolase,COG0139,E,hisI_1
Phosphoribosyl-ATP pyrophosphohydrolase,COG0140,E,hisI_2
Histidinol dehydrogenase,COG0141,E,hisD
Geranylgeranyl pyrophosphate synthase,COG0142,H,ispA
Geranylgeranyl pyrophosphate synthase,COG0142,H,ispB
Methionyl-tRNA synthetase,COG0143,J,metG_1
tRNA and rRNA cytosine-C5-methylases,COG0144,J,sun
tRNA and rRNA cytosine-C5-methylases,COG0144,J,yebU_1
Anthranilate/para-aminobenzoate synthases component I,COG0147,E,pabB
Anthranilate/para-aminobenzoate synthases component I,COG0147,E,trpE
Anthranilate/para-aminobenzoate synthases component I,COG0147,H,pabB
Anthranilate/para-aminobenzoate synthases component I,COG0147,H,trpE
Enolase,COG0148,G,eno
Triosephosphate isomerase,COG0149,G,tpiA
Phosphoribosylaminoimidazole (AIR) synthetase,COG0150,F,purM
Phosphoribosylamine-glycine ligase,COG0151,F,purD
Phosphoribosylaminoimidazolesuccinocarboxamide (SAICAR) synthase,COG0152,F,purC
Galactokinase,COG0153,G,galK
"Sulfite reductase, beta subunit (hemoprotein)",COG0155,P,cysI
7-keto-8-aminopelargonate synthetase and related enzymes,COG0156,H,bioF
7-keto-8-aminopelargonate synthetase and related enzymes,COG0156,H,kbl
Nicotinate-nucleotide pyrophosphorylase,COG0157,H,nadC
"Fructose-1,6-bisphosphatase",COG0158,G,fbp
Tryptophan synthase alpha chain,COG0159,E,trpA
4-aminobutyrate aminotransferase and related aminotransferases,COG0160,E,gabT
4-aminobutyrate aminotransferase and related aminotransferases,COG0160,E,goaG
Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,COG0161,H,bioA
Tyrosyl-tRNA synthetase,COG0162,J,tyrS
3-polyprenyl-4-hydroxybenzoate decarboxylase,COG0163,H,ubiX
Ribonuclease HII,COG0164,L,rnhB
Argininosuccinate lyase,COG0165,E,argH
Glucose-6-phosphate isomerase,COG0166,G,pgi
Dihydroorotate dehydrogenase,COG0167,F,pyrD
Dihydroorotate dehydrogenase,COG0167,F,yeiA_1
"Trk-type K+ transport systems, membrane components",COG0168,P,trkG
"Trk-type K+ transport systems, membrane components",COG0168,P,trkH
Shikimate 5-dehydrogenase,COG0169,E,aroE
Shikimate 5-dehydrogenase,COG0169,E,ydiB
NAD synthase,COG0171,H,nadE
Seryl-tRNA synthetase,COG0172,J,serS
Aspartyl-tRNA synthetase,COG0173,J,aspS
Glutamine synthetase,COG0174,E,glnA
Glutamine synthetase,COG0174,E,ycjK
3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase and related enzymes,COG0175,E,cysD
3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase and related enzymes,COG0175,E,cysH
3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase and related enzymes,COG0175,H,cysD
3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase and related enzymes,COG0175,H,cysH
Transaldolase,COG0176,G,mipB
Transaldolase,COG0176,G,talA
Transaldolase,COG0176,G,talB
Transaldolase,COG0176,G,talC
Predicted EndoIII-related endonuclease,COG0177,L,nth
Excinuclease ATPase subunit,COG0178,L,uvrA
"2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)",COG0179,Q,ycgM
Tryptophanyl-tRNA synthetase,COG0180,J,trpS
Porphobilinogen deaminase,COG0181,H,hemC
Acetyl-CoA acetyltransferase,COG0183,I,atoB
Acetyl-CoA acetyltransferase,COG0183,I,fadA
Acetyl-CoA acetyltransferase,COG0183,I,paaJ
Acetyl-CoA acetyltransferase,COG0183,I,yfcY
Acetyl-CoA acetyltransferase,COG0183,I,yqeF
Ribosomal protein S15P/S13E,COG0184,J,rpsO
Ribosomal protein S19,COG0185,J,rpsS
Ribosomal protein S17,COG0186,J,rpsQ
"Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit",COG0187,L,gyrB
"Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit",COG0187,L,parE
"Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit",COG0188,L,gyrA
"Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit",COG0188,L,parC
Glutathione synthase/Ribosomal protein S6 modification enzyme (glutaminyl transferase),COG0189,H,gshB
Glutathione synthase/Ribosomal protein S6 modification enzyme (glutaminyl transferase),COG0189,H,rimK
Glutathione synthase/Ribosomal protein S6 modification enzyme (glutaminyl transferase),COG0189,J,gshB
Glutathione synthase/Ribosomal protein S6 modification enzyme (glutaminyl transferase),COG0189,J,rimK
"5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase",COG0190,H,folD
Fructose/tagatose bisphosphate aldolase,COG0191,G,agaY
Fructose/tagatose bisphosphate aldolase,COG0191,G,fba
Fructose/tagatose bisphosphate aldolase,COG0191,G,gatY
Fructose/tagatose bisphosphate aldolase,COG0191,G,ydjI
S-adenosylmethionine synthetase,COG0192,H,metK
Peptidyl-tRNA hydrolase,COG0193,J,pth
Guanylate kinase,COG0194,F,gmk
Transcription elongation factor,COG0195,K,nusA
FAD synthase,COG0196,H,ribF
Ribosomal protein L16/L10E,COG0197,J,rplP
Ribosomal protein L24,COG0198,J,rplX
Ribosomal protein S14,COG0199,J,rpsN
Ribosomal protein L15,COG0200,J,rplO
Preprotein translocase subunit SecY,COG0201,U,secY
"DNA-directed RNA polymerase, alpha subunit/40 kD subunit",COG0202,K,rpoA
Ribosomal protein L17,COG0203,J,rplQ
1-acyl-sn-glycerol-3-phosphate acyltransferase,COG0204,I,aas_1
1-acyl-sn-glycerol-3-phosphate acyltransferase,COG0204,I,plsC
1-acyl-sn-glycerol-3-phosphate acyltransferase,COG0204,I,yihG
6-phosphofructokinase,COG0205,G,pfkA
Cell division GTPase,COG0206,D,ftsZ
Thymidylate synthase,COG0207,F,thyA
"Ribonucleotide reductase, beta subunit",COG0208,F,nrdB
"Ribonucleotide reductase, beta subunit",COG0208,F,nrdF
"Ribonucleotide reductase, alpha subunit",COG0209,F,nrdA
"Ribonucleotide reductase, alpha subunit",COG0209,F,nrdE
Superfamily I DNA and RNA helicases,COG0210,L,helD
Superfamily I DNA and RNA helicases,COG0210,L,rep
Superfamily I DNA and RNA helicases,COG0210,L,uvrD
Ribosomal protein L27,COG0211,J,rpmA
5-formyltetrahydrofolate cyclo-ligase,COG0212,H,ygfA
Thymidine phosphorylase,COG0213,F,deoA
Cysteinyl-tRNA synthetase,COG0215,J,cysS
Protein chain release factor A,COG0216,J,prfA
Uncharacterized conserved protein,COG0217,S,yebC
Uncharacterized conserved protein,COG0217,S,yeeN
Predicted GTPase,COG0218,R,yihA
Predicted rRNA methylase (SpoU class),COG0219,J,yibK
Predicted S-adenosylmethionine-dependent methyltransferase,COG0220,R,yggH
Inorganic pyrophosphatase,COG0221,C,ppa
Ribosomal protein L7/L12,COG0222,J,rplL
Methionyl-tRNA formyltransferase,COG0223,J,fmt
Methionyl-tRNA formyltransferase,COG0223,J,yfbG_1
"F0F1-type ATP synthase, gamma subunit",COG0224,C,atpG
Peptide methionine sulfoxide reductase,COG0225,O,msrA
"ABC-type phosphate transport system, periplasmic component",COG0226,P,pstS
Ribosomal protein L28,COG0227,J,rpmB
Ribosomal protein S16,COG0228,J,rpsP
Conserved domain frequently associated with peptide methionine sulfoxide reductase,COG0229,O,yeaA
Ribosomal protein L34,COG0230,J,rpmH
Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A),COG0231,J,efp
Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A),COG0231,J,yeiP
dGTP triphosphohydrolase,COG0232,F,dgt
Ribosome recycling factor,COG0233,J,frr
Co-chaperonin GroES (HSP10),COG0234,O,groS
Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases,COG0235,G,araD
Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases,COG0235,G,fucA
Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases,COG0235,G,rhaD
Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases,COG0235,G,sgaE
Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases,COG0235,G,sgbE
Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases,COG0235,G,ygbL
Acyl carrier protein,COG0236,I,acpP
Acyl carrier protein,COG0236,Q,acpP
Dephospho-CoA kinase,COG0237,H,coaE
Ribosomal protein S18,COG0238,J,rpsR
Integral membrane protein possibly involved in chromosome condensation,COG0239,D,crcB
Glycerol-3-phosphate dehydrogenase,COG0240,C,gpsA
Histidinol phosphatase and related phosphatases,COG0241,E,hisB_1
Histidinol phosphatase and related phosphatases,COG0241,E,yaeD
N-formylmethionyl-tRNA deformylase,COG0242,J,def
"Anaerobic dehydrogenases, typically selenocysteine-containing",COG0243,C,bisC
"Anaerobic dehydrogenases, typically selenocysteine-containing",COG0243,C,bisZ
"Anaerobic dehydrogenases, typically selenocysteine-containing",COG0243,C,dmsA
"Anaerobic dehydrogenases, typically selenocysteine-containing",COG0243,C,fdhF
"Anaerobic dehydrogenases, typically selenocysteine-containing",COG0243,C,fdnG
"Anaerobic dehydrogenases, typically selenocysteine-containing",COG0243,C,fdoG
"Anaerobic dehydrogenases, typically selenocysteine-containing",COG0243,C,napA
Ribosomal protein L10,COG0244,J,rplJ
"2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",COG0245,I,ygbB
Mannitol-1-phosphate/altronate dehydrogenases,COG0246,G,mtlD
Mannitol-1-phosphate/altronate dehydrogenases,COG0246,G,uxaB
Mannitol-1-phosphate/altronate dehydrogenases,COG0246,G,uxuB
Mannitol-1-phosphate/altronate dehydrogenases,COG0246,G,ydfI
Mannitol-1-phosphate/altronate dehydrogenases,COG0246,G,yeiQ
Fe-S oxidoreductase,COG0247,C,glcF_2
Fe-S oxidoreductase,COG0247,C,glpC
Fe-S oxidoreductase,COG0247,C,ydiJ_2
Fe-S oxidoreductase,COG0247,C,ykgE
Exopolyphosphatase,COG0248,F,gppA
Exopolyphosphatase,COG0248,F,ppx
Exopolyphosphatase,COG0248,P,gppA
Exopolyphosphatase,COG0248,P,ppx
Mismatch repair ATPase (MutS family),COG0249,L,mutS
Transcription antiterminator,COG0250,K,nusG
Transcription antiterminator,COG0250,K,rfaH
"Putative translation initiation inhibitor, yjgF family",COG0251,J,tdcF
"Putative translation initiation inhibitor, yjgF family",COG0251,J,ycdK
"Putative translation initiation inhibitor, yjgF family",COG0251,J,yjgF
"Putative translation initiation inhibitor, yjgF family",COG0251,J,yjgH
"Putative translation initiation inhibitor, yjgF family",COG0251,J,yoaB
L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D,COG0252,E,ansA
L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D,COG0252,E,ansB
L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D,COG0252,J,ansA
L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D,COG0252,J,ansB
Diaminopimelate epimerase,COG0253,E,dapF
Ribosomal protein L31,COG0254,J,rpmE
Ribosomal protein L31,COG0254,J,ykgM
Ribosomal protein L29,COG0255,J,rpmC
Ribosomal protein L18,COG0256,J,rplR
Ribosomal protein L36,COG0257,J,rpmJ
5'-3' exonuclease (including N-terminal domain of PolI),COG0258,L,exo
5'-3' exonuclease (including N-terminal domain of PolI),COG0258,L,polA_1
Pyridoxamine-phosphate oxidase,COG0259,H,pdxH
Leucyl aminopeptidase,COG0260,E,pepA
Leucyl aminopeptidase,COG0260,E,pepB
Ribosomal protein L21,COG0261,J,rplU
Dihydrofolate reductase,COG0262,H,folA
Glutamate 5-kinase,COG0263,E,proB
Translation elongation factor Ts,COG0264,J,tsf
"Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain",COG0265,O,degQ
"Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain",COG0265,O,degS
"Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain",COG0265,O,htrA
Formamidopyrimidine-DNA glycosylase,COG0266,L,mutM
Formamidopyrimidine-DNA glycosylase,COG0266,L,nei
Ribosomal protein L33,COG0267,J,rpmG
Ribosomal protein S20,COG0268,J,rpsT
3-hexulose-6-phosphate synthase and related proteins,COG0269,G,sgaH
3-hexulose-6-phosphate synthase and related proteins,COG0269,G,sgbH
Site-specific DNA methylase,COG0270,L,dcm
Stress-induced morphogen (activity unknown),COG0271,T,bolA
NAD-dependent DNA ligase (contains BRCT domain type II),COG0272,L,lig
NAD-dependent DNA ligase (contains BRCT domain type II),COG0272,L,yicF
Deoxyribose-phosphate aldolase,COG0274,F,deoC
Predicted S-adenosylmethionine-dependent methyltransferase involved in cell envelope biogenesis,COG0275,M,yabC
Protoheme ferro-lyase (ferrochelatase),COG0276,H,hemH
FAD/FMN-containing dehydrogenases,COG0277,C,dld
FAD/FMN-containing dehydrogenases,COG0277,C,glcD
FAD/FMN-containing dehydrogenases,COG0277,C,glcF_1
FAD/FMN-containing dehydrogenases,COG0277,C,ydiJ_1
FAD/FMN-containing dehydrogenases,COG0277,C,ygcT
FAD/FMN-containing dehydrogenases,COG0277,C,ygcU
Glutaredoxin-related protein,COG0278,O,ydhD
Phosphoheptose isomerase,COG0279,G,gmhA
Phosphoheptose isomerase,COG0279,G,yraO
Phosphotransacetylase,COG0280,C,eutI
Phosphotransacetylase,COG0280,C,maeB_2
Phosphotransacetylase,COG0280,C,pta_2
Malic enzyme,COG0281,C,maeB_1
Malic enzyme,COG0281,C,sfcA
Acetate kinase,COG0282,C,ackA
Acetate kinase,COG0282,C,tdcD
Cytidylate kinase,COG0283,F,cmk
Orotidine-5'-phosphate decarboxylase,COG0284,F,pyrF
Folylpolyglutamate synthase,COG0285,H,folC
Type I restriction-modification system methyltransferase subunit,COG0286,V,hsdM
Prephenate dehydrogenase,COG0287,E,tyrA_2
Carbonic anhydrase,COG0288,P,cynT
Carbonic anhydrase,COG0288,P,yadF
Dihydrodipicolinate reductase,COG0289,E,dapB
Translation initiation factor 3 (IF-3),COG0290,J,infC
Ribosomal protein L35,COG0291,J,rpmI
Ribosomal protein L20,COG0292,J,rplT
23S rRNA methylase,COG0293,J,ftsJ
Dihydropteroate synthase and related enzymes,COG0294,H,folP
Cytidine deaminase,COG0295,F,cdd
"1,4-alpha-glucan branching enzyme",COG0296,G,glgB
Glycogen synthase,COG0297,G,glgA
Hydrogenase maturation factor,COG0298,O,hybG
Hydrogenase maturation factor,COG0298,O,hypC
Folate-dependent phosphoribosylglycinamide formyltransferase PurN,COG0299,F,purN
Thiamine biosynthesis ATP pyrophosphatase,COG0301,H,thiI_1
GTP cyclohydrolase I,COG0302,H,folE
Molybdopterin biosynthesis enzyme,COG0303,H,moeA
3-oxoacyl-(acyl-carrier-protein) synthase,COG0304,I,fabB
3-oxoacyl-(acyl-carrier-protein) synthase,COG0304,I,fabF
