,Gene,condition,copy_number,dataset,growth_rate,type
32,rplB,Chemostat µ=0.20,8608.0,Schmidt,0.2,ribosomal
33,rplB,Chemostat µ=0.12,8213.0,Schmidt,0.12,ribosomal
34,rplB,stationary_1day,7645.0,Schmidt,-0.01,ribosomal
35,rplB,stationary_3day,7045.0,Schmidt,-0.01,ribosomal
36,rplB,Osmotic-stress glucose,10501.0,Schmidt,0.55,ribosomal
37,rplB,42°C glucose,24089.0,Schmidt,0.66,ribosomal
38,rplB,pH6 glucose,14846.0,Schmidt,0.63,ribosomal
39,rplB,Xylose,14197.0,Schmidt,0.55,ribosomal
40,rplB,Mannose,11391.0,Schmidt,0.47,ribosomal
41,rplB,Galactose,6446.0,Schmidt,0.26,ribosomal
42,rplB,Succinate,10100.0,Schmidt,0.44,ribosomal
43,rplB,Fructose,19492.0,Schmidt,0.65,ribosomal
44,rplC,Glucose,16502.0,Schmidt,0.58,ribosomal
45,rplC,LB,40858.0,Schmidt,1.9,ribosomal
46,rplC,Glycerol + AA,27954.0,Schmidt,1.27,ribosomal
47,rplC,Acetate,8089.0,Schmidt,0.3,ribosomal
48,rplC,Fumarate,11343.0,Schmidt,0.42,ribosomal
49,rplC,Glucosamine,12676.0,Schmidt,0.46,ribosomal
50,rplC,Glycerol,13860.0,Schmidt,0.47,ribosomal
51,rplC,Pyruvate,9931.0,Schmidt,0.4,ribosomal
52,rplC,Chemostat µ=0.5,12167.0,Schmidt,0.5,ribosomal
53,rplC,Chemostat µ=0.35,8673.0,Schmidt,0.35,ribosomal
54,rplC,Chemostat µ=0.20,7189.0,Schmidt,0.2,ribosomal
55,rplC,Chemostat µ=0.12,5615.0,Schmidt,0.12,ribosomal
56,rplC,stationary_1day,7816.0,Schmidt,-0.01,ribosomal
57,rplC,stationary_3day,6987.0,Schmidt,-0.01,ribosomal
58,rplC,Osmotic-stress glucose,13923.0,Schmidt,0.55,ribosomal
59,rplC,42°C glucose,18683.0,Schmidt,0.66,ribosomal
60,rplC,pH6 glucose,14961.0,Schmidt,0.63,ribosomal
61,rplC,Xylose,15111.0,Schmidt,0.55,ribosomal
62,rplC,Mannose,11705.0,Schmidt,0.47,ribosomal
63,rplC,Galactose,8345.0,Schmidt,0.26,ribosomal
64,rplC,Succinate,12407.0,Schmidt,0.44,ribosomal
65,rplC,Fructose,17615.0,Schmidt,0.65,ribosomal
66,rplD,Glucose,21084.0,Schmidt,0.58,ribosomal
67,rplD,LB,49874.0,Schmidt,1.9,ribosomal
68,rplD,Glycerol + AA,32571.0,Schmidt,1.27,ribosomal
69,rplD,Acetate,8448.0,Schmidt,0.3,ribosomal
70,rplD,Fumarate,14307.0,Schmidt,0.42,ribosomal
71,rplD,Glucosamine,15594.0,Schmidt,0.46,ribosomal
72,rplD,Glycerol,17090.0,Schmidt,0.47,ribosomal
73,rplD,Pyruvate,12278.0,Schmidt,0.4,ribosomal
74,rplD,Chemostat µ=0.5,15362.0,Schmidt,0.5,ribosomal
75,rplD,Chemostat µ=0.35,9934.0,Schmidt,0.35,ribosomal
76,rplD,Chemostat µ=0.20,7428.0,Schmidt,0.2,ribosomal
77,rplD,Chemostat µ=0.12,7100.0,Schmidt,0.12,ribosomal
78,rplD,stationary_1day,8557.0,Schmidt,-0.01,ribosomal
79,rplD,stationary_3day,8382.0,Schmidt,-0.01,ribosomal
80,rplD,Osmotic-stress glucose,16370.0,Schmidt,0.55,ribosomal
81,rplD,42°C glucose,19642.0,Schmidt,0.66,ribosomal
82,rplD,pH6 glucose,16859.0,Schmidt,0.63,ribosomal
83,rplD,Xylose,21040.0,Schmidt,0.55,ribosomal
84,rplD,Mannose,15208.0,Schmidt,0.47,ribosomal
85,rplD,Galactose,11310.0,Schmidt,0.26,ribosomal
86,rplD,Succinate,17718.0,Schmidt,0.44,ribosomal
87,rplD,Fructose,25286.0,Schmidt,0.65,ribosomal
88,rplE,Glucose,31769.0,Schmidt,0.58,ribosomal
89,rplE,LB,69275.0,Schmidt,1.9,ribosomal
90,rplE,Glycerol + AA,50152.0,Schmidt,1.27,ribosomal
91,rplE,Acetate,13321.0,Schmidt,0.3,ribosomal
92,rplE,Fumarate,19299.0,Schmidt,0.42,ribosomal
93,rplE,Glucosamine,20813.0,Schmidt,0.46,ribosomal
94,rplE,Glycerol,22717.0,Schmidt,0.47,ribosomal
95,rplE,Pyruvate,15729.0,Schmidt,0.4,ribosomal
96,rplE,Chemostat µ=0.5,20923.0,Schmidt,0.5,ribosomal
97,rplE,Chemostat µ=0.35,13137.0,Schmidt,0.35,ribosomal
98,rplE,Chemostat µ=0.20,10395.0,Schmidt,0.2,ribosomal
99,rplE,Chemostat µ=0.12,8098.0,Schmidt,0.12,ribosomal
100,rplE,stationary_1day,9460.0,Schmidt,-0.01,ribosomal
101,rplE,stationary_3day,7687.0,Schmidt,-0.01,ribosomal
102,rplE,Osmotic-stress glucose,21562.0,Schmidt,0.55,ribosomal
103,rplE,42°C glucose,26237.0,Schmidt,0.66,ribosomal
104,rplE,pH6 glucose,24713.0,Schmidt,0.63,ribosomal
105,rplE,Xylose,27202.0,Schmidt,0.55,ribosomal
106,rplE,Mannose,22579.0,Schmidt,0.47,ribosomal
107,rplE,Galactose,14265.0,Schmidt,0.26,ribosomal
108,rplE,Succinate,23442.0,Schmidt,0.44,ribosomal
109,rplE,Fructose,31745.0,Schmidt,0.65,ribosomal
110,rplF,Glucose,18104.0,Schmidt,0.58,ribosomal
111,rplF,LB,50099.0,Schmidt,1.9,ribosomal
112,rplF,Glycerol + AA,33659.0,Schmidt,1.27,ribosomal
113,rplF,Acetate,8547.0,Schmidt,0.3,ribosomal
114,rplF,Fumarate,13847.0,Schmidt,0.42,ribosomal
115,rplF,Glucosamine,14031.0,Schmidt,0.46,ribosomal
116,rplF,Glycerol,16302.0,Schmidt,0.47,ribosomal
117,rplF,Pyruvate,12044.0,Schmidt,0.4,ribosomal
118,rplF,Chemostat µ=0.5,15531.0,Schmidt,0.5,ribosomal
119,rplF,Chemostat µ=0.35,10364.0,Schmidt,0.35,ribosomal
120,rplF,Chemostat µ=0.20,8051.0,Schmidt,0.2,ribosomal
121,rplF,Chemostat µ=0.12,6966.0,Schmidt,0.12,ribosomal
122,rplF,stationary_1day,7760.0,Schmidt,-0.01,ribosomal
123,rplF,stationary_3day,7676.0,Schmidt,-0.01,ribosomal
124,rplF,Osmotic-stress glucose,15876.0,Schmidt,0.55,ribosomal
125,rplF,42°C glucose,20363.0,Schmidt,0.66,ribosomal
126,rplF,pH6 glucose,16942.0,Schmidt,0.63,ribosomal
127,rplF,Xylose,17521.0,Schmidt,0.55,ribosomal
128,rplF,Mannose,13429.0,Schmidt,0.47,ribosomal
129,rplF,Galactose,10067.0,Schmidt,0.26,ribosomal
130,rplF,Succinate,14716.0,Schmidt,0.44,ribosomal
131,rplF,Fructose,21401.0,Schmidt,0.65,ribosomal
132,rplI,Glucose,34889.0,Schmidt,0.58,ribosomal
133,rplI,LB,83961.0,Schmidt,1.9,ribosomal
134,rplI,Glycerol + AA,54652.0,Schmidt,1.27,ribosomal
135,rplI,Acetate,13616.0,Schmidt,0.3,ribosomal
136,rplI,Fumarate,21806.0,Schmidt,0.42,ribosomal
137,rplI,Glucosamine,26455.0,Schmidt,0.46,ribosomal
138,rplI,Glycerol,25920.0,Schmidt,0.47,ribosomal
139,rplI,Pyruvate,19854.0,Schmidt,0.4,ribosomal
140,rplI,Chemostat µ=0.5,19789.0,Schmidt,0.5,ribosomal
141,rplI,Chemostat µ=0.35,14342.0,Schmidt,0.35,ribosomal
142,rplI,Chemostat µ=0.20,11452.0,Schmidt,0.2,ribosomal
143,rplI,Chemostat µ=0.12,8298.0,Schmidt,0.12,ribosomal
144,rplI,stationary_1day,20336.0,Schmidt,-0.01,ribosomal
145,rplI,stationary_3day,16559.0,Schmidt,-0.01,ribosomal
146,rplI,Osmotic-stress glucose,31118.0,Schmidt,0.55,ribosomal
147,rplI,42°C glucose,34797.0,Schmidt,0.66,ribosomal
148,rplI,pH6 glucose,35399.0,Schmidt,0.63,ribosomal
149,rplI,Xylose,30487.0,Schmidt,0.55,ribosomal
150,rplI,Mannose,21894.0,Schmidt,0.47,ribosomal
151,rplI,Galactose,13941.0,Schmidt,0.26,ribosomal
152,rplI,Succinate,20011.0,Schmidt,0.44,ribosomal
153,rplI,Fructose,31999.0,Schmidt,0.65,ribosomal
154,rplJ,Glucose,34448.0,Schmidt,0.58,ribosomal
155,rplJ,LB,87283.0,Schmidt,1.9,ribosomal
156,rplJ,Glycerol + AA,58270.0,Schmidt,1.27,ribosomal
157,rplJ,Acetate,14819.0,Schmidt,0.3,ribosomal
158,rplJ,Fumarate,22663.0,Schmidt,0.42,ribosomal
159,rplJ,Glucosamine,25318.0,Schmidt,0.46,ribosomal
160,rplJ,Glycerol,28260.0,Schmidt,0.47,ribosomal
161,rplJ,Pyruvate,19565.0,Schmidt,0.4,ribosomal
162,rplJ,Chemostat µ=0.5,22631.0,Schmidt,0.5,ribosomal
163,rplJ,Chemostat µ=0.35,14446.0,Schmidt,0.35,ribosomal
164,rplJ,Chemostat µ=0.20,12848.0,Schmidt,0.2,ribosomal
165,rplJ,Chemostat µ=0.12,9878.0,Schmidt,0.12,ribosomal
166,rplJ,stationary_1day,17512.0,Schmidt,-0.01,ribosomal
167,rplJ,stationary_3day,16954.0,Schmidt,-0.01,ribosomal
168,rplJ,Osmotic-stress glucose,33767.0,Schmidt,0.55,ribosomal
169,rplJ,42°C glucose,33399.0,Schmidt,0.66,ribosomal
170,rplJ,pH6 glucose,34162.0,Schmidt,0.63,ribosomal
171,rplJ,Xylose,31998.0,Schmidt,0.55,ribosomal
172,rplJ,Mannose,19984.0,Schmidt,0.47,ribosomal
173,rplJ,Galactose,15860.0,Schmidt,0.26,ribosomal
174,rplJ,Succinate,24014.0,Schmidt,0.44,ribosomal
175,rplJ,Fructose,32861.0,Schmidt,0.65,ribosomal
176,rplK,Glucose,11140.0,Schmidt,0.58,ribosomal
177,rplK,LB,27559.0,Schmidt,1.9,ribosomal
178,rplK,Glycerol + AA,19476.0,Schmidt,1.27,ribosomal
179,rplK,Acetate,4425.0,Schmidt,0.3,ribosomal
180,rplK,Fumarate,6400.0,Schmidt,0.42,ribosomal
181,rplK,Glucosamine,7962.0,Schmidt,0.46,ribosomal
182,rplK,Glycerol,8006.0,Schmidt,0.47,ribosomal
183,rplK,Pyruvate,5989.0,Schmidt,0.4,ribosomal
184,rplK,Chemostat µ=0.5,7120.0,Schmidt,0.5,ribosomal
185,rplK,Chemostat µ=0.35,4953.0,Schmidt,0.35,ribosomal
186,rplK,Chemostat µ=0.20,3818.0,Schmidt,0.2,ribosomal
187,rplK,Chemostat µ=0.12,3029.0,Schmidt,0.12,ribosomal
188,rplK,stationary_1day,4316.0,Schmidt,-0.01,ribosomal
189,rplK,stationary_3day,4543.0,Schmidt,-0.01,ribosomal
190,rplK,Osmotic-stress glucose,8317.0,Schmidt,0.55,ribosomal
191,rplK,42°C glucose,10617.0,Schmidt,0.66,ribosomal
192,rplK,pH6 glucose,9182.0,Schmidt,0.63,ribosomal
193,rplK,Xylose,8696.0,Schmidt,0.55,ribosomal
194,rplK,Mannose,6518.0,Schmidt,0.47,ribosomal
195,rplK,Galactose,4214.0,Schmidt,0.26,ribosomal
196,rplK,Succinate,7570.0,Schmidt,0.44,ribosomal
197,rplK,Fructose,9888.0,Schmidt,0.65,ribosomal
198,rplL,Glucose,61706.0,Schmidt,0.58,ribosomal
199,rplL,LB,145619.0,Schmidt,1.9,ribosomal
200,rplL,Glycerol + AA,99230.0,Schmidt,1.27,ribosomal
201,rplL,Acetate,24297.0,Schmidt,0.3,ribosomal
202,rplL,Fumarate,34912.0,Schmidt,0.42,ribosomal
203,rplL,Glucosamine,41161.0,Schmidt,0.46,ribosomal
204,rplL,Glycerol,40710.0,Schmidt,0.47,ribosomal
205,rplL,Pyruvate,32244.0,Schmidt,0.4,ribosomal
206,rplL,Chemostat µ=0.5,32000.0,Schmidt,0.5,ribosomal
207,rplL,Chemostat µ=0.35,21561.0,Schmidt,0.35,ribosomal
208,rplL,Chemostat µ=0.20,17286.0,Schmidt,0.2,ribosomal
209,rplL,Chemostat µ=0.12,14559.0,Schmidt,0.12,ribosomal
210,rplL,stationary_1day,35793.0,Schmidt,-0.01,ribosomal
211,rplL,stationary_3day,33915.0,Schmidt,-0.01,ribosomal
212,rplL,Osmotic-stress glucose,63816.0,Schmidt,0.55,ribosomal
213,rplL,42°C glucose,64947.0,Schmidt,0.66,ribosomal
214,rplL,pH6 glucose,61451.0,Schmidt,0.63,ribosomal
215,rplL,Xylose,47705.0,Schmidt,0.55,ribosomal
216,rplL,Mannose,36374.0,Schmidt,0.47,ribosomal
217,rplL,Galactose,23952.0,Schmidt,0.26,ribosomal
218,rplL,Succinate,35375.0,Schmidt,0.44,ribosomal
219,rplL,Fructose,48724.0,Schmidt,0.65,ribosomal
220,rplM,Glucose,31492.0,Schmidt,0.58,ribosomal
221,rplM,LB,74846.0,Schmidt,1.9,ribosomal
222,rplM,Glycerol + AA,49501.0,Schmidt,1.27,ribosomal
223,rplM,Acetate,13480.0,Schmidt,0.3,ribosomal
224,rplM,Fumarate,21165.0,Schmidt,0.42,ribosomal
225,rplM,Glucosamine,23871.0,Schmidt,0.46,ribosomal
226,rplM,Glycerol,24514.0,Schmidt,0.47,ribosomal
227,rplM,Pyruvate,18322.0,Schmidt,0.4,ribosomal
228,rplM,Chemostat µ=0.5,21083.0,Schmidt,0.5,ribosomal
229,rplM,Chemostat µ=0.35,14032.0,Schmidt,0.35,ribosomal
230,rplM,Chemostat µ=0.20,10619.0,Schmidt,0.2,ribosomal
231,rplM,Chemostat µ=0.12,8508.0,Schmidt,0.12,ribosomal
232,rplM,stationary_1day,14617.0,Schmidt,-0.01,ribosomal
233,rplM,stationary_3day,13254.0,Schmidt,-0.01,ribosomal
234,rplM,Osmotic-stress glucose,29300.0,Schmidt,0.55,ribosomal
235,rplM,42°C glucose,33319.0,Schmidt,0.66,ribosomal
236,rplM,pH6 glucose,31278.0,Schmidt,0.63,ribosomal
237,rplM,Xylose,28117.0,Schmidt,0.55,ribosomal
238,rplM,Mannose,20837.0,Schmidt,0.47,ribosomal
239,rplM,Galactose,14141.0,Schmidt,0.26,ribosomal
240,rplM,Succinate,22223.0,Schmidt,0.44,ribosomal
241,rplM,Fructose,30872.0,Schmidt,0.65,ribosomal
242,rplN,Glucose,7098.0,Schmidt,0.58,ribosomal
243,rplN,LB,24357.0,Schmidt,1.9,ribosomal
244,rplN,Glycerol + AA,16828.0,Schmidt,1.27,ribosomal
245,rplN,Acetate,3744.0,Schmidt,0.3,ribosomal
246,rplN,Fumarate,5696.0,Schmidt,0.42,ribosomal
247,rplN,Glucosamine,6445.0,Schmidt,0.46,ribosomal
248,rplN,Glycerol,7100.0,Schmidt,0.47,ribosomal
249,rplN,Pyruvate,4228.0,Schmidt,0.4,ribosomal
250,rplN,Chemostat µ=0.5,8878.0,Schmidt,0.5,ribosomal
251,rplN,Chemostat µ=0.35,5302.0,Schmidt,0.35,ribosomal
252,rplN,Chemostat µ=0.20,4289.0,Schmidt,0.2,ribosomal
253,rplN,Chemostat µ=0.12,3851.0,Schmidt,0.12,ribosomal
254,rplN,stationary_1day,3426.0,Schmidt,-0.01,ribosomal
255,rplN,stationary_3day,4441.0,Schmidt,-0.01,ribosomal
256,rplN,Osmotic-stress glucose,7074.0,Schmidt,0.55,ribosomal
257,rplN,42°C glucose,9119.0,Schmidt,0.66,ribosomal
258,rplN,pH6 glucose,8124.0,Schmidt,0.63,ribosomal
259,rplN,Xylose,7094.0,Schmidt,0.55,ribosomal
260,rplN,Mannose,3898.0,Schmidt,0.47,ribosomal
261,rplN,Galactose,4125.0,Schmidt,0.26,ribosomal
262,rplN,Succinate,5727.0,Schmidt,0.44,ribosomal
263,rplN,Fructose,8585.0,Schmidt,0.65,ribosomal
264,rplO,Glucose,6986.0,Schmidt,0.58,ribosomal
265,rplO,LB,19396.0,Schmidt,1.9,ribosomal
266,rplO,Glycerol + AA,14837.0,Schmidt,1.27,ribosomal
267,rplO,Acetate,3390.0,Schmidt,0.3,ribosomal
268,rplO,Fumarate,5169.0,Schmidt,0.42,ribosomal
269,rplO,Glucosamine,6861.0,Schmidt,0.46,ribosomal
270,rplO,Glycerol,6175.0,Schmidt,0.47,ribosomal
271,rplO,Pyruvate,5163.0,Schmidt,0.4,ribosomal
272,rplO,Chemostat µ=0.5,9696.0,Schmidt,0.5,ribosomal
273,rplO,Chemostat µ=0.35,6463.0,Schmidt,0.35,ribosomal
274,rplO,Chemostat µ=0.20,5344.0,Schmidt,0.2,ribosomal
275,rplO,Chemostat µ=0.12,4183.0,Schmidt,0.12,ribosomal
276,rplO,stationary_1day,3889.0,Schmidt,-0.01,ribosomal
277,rplO,stationary_3day,3546.0,Schmidt,-0.01,ribosomal
278,rplO,Osmotic-stress glucose,4326.0,Schmidt,0.55,ribosomal
279,rplO,42°C glucose,11041.0,Schmidt,0.66,ribosomal
280,rplO,pH6 glucose,6795.0,Schmidt,0.63,ribosomal
281,rplO,Xylose,7921.0,Schmidt,0.55,ribosomal
282,rplO,Mannose,5083.0,Schmidt,0.47,ribosomal
283,rplO,Galactose,3435.0,Schmidt,0.26,ribosomal
284,rplO,Succinate,4945.0,Schmidt,0.44,ribosomal
285,rplO,Fructose,11295.0,Schmidt,0.65,ribosomal
286,rplP,Glucose,33115.0,Schmidt,0.58,ribosomal
287,rplP,LB,98439.0,Schmidt,1.9,ribosomal
288,rplP,Glycerol + AA,55901.0,Schmidt,1.27,ribosomal
289,rplP,Acetate,16059.0,Schmidt,0.3,ribosomal
290,rplP,Fumarate,22880.0,Schmidt,0.42,ribosomal
291,rplP,Glucosamine,28384.0,Schmidt,0.46,ribosomal
292,rplP,Glycerol,30152.0,Schmidt,0.47,ribosomal
293,rplP,Pyruvate,21429.0,Schmidt,0.4,ribosomal
294,rplP,Chemostat µ=0.5,35190.0,Schmidt,0.5,ribosomal
295,rplP,Chemostat µ=0.35,20241.0,Schmidt,0.35,ribosomal
296,rplP,Chemostat µ=0.20,17245.0,Schmidt,0.2,ribosomal
297,rplP,Chemostat µ=0.12,15617.0,Schmidt,0.12,ribosomal
298,rplP,stationary_1day,11506.0,Schmidt,-0.01,ribosomal
299,rplP,stationary_3day,13068.0,Schmidt,-0.01,ribosomal
300,rplP,Osmotic-stress glucose,21529.0,Schmidt,0.55,ribosomal
301,rplP,42°C glucose,31694.0,Schmidt,0.66,ribosomal
302,rplP,pH6 glucose,29183.0,Schmidt,0.63,ribosomal
303,rplP,Xylose,35078.0,Schmidt,0.55,ribosomal
304,rplP,Mannose,25872.0,Schmidt,0.47,ribosomal
305,rplP,Galactose,17507.0,Schmidt,0.26,ribosomal
306,rplP,Succinate,26480.0,Schmidt,0.44,ribosomal
307,rplP,Fructose,44619.0,Schmidt,0.65,ribosomal
308,rplQ,Glucose,18397.0,Schmidt,0.58,ribosomal
309,rplQ,LB,46700.0,Schmidt,1.9,ribosomal
310,rplQ,Glycerol + AA,33515.0,Schmidt,1.27,ribosomal
311,rplQ,Acetate,6185.0,Schmidt,0.3,ribosomal
312,rplQ,Fumarate,10243.0,Schmidt,0.42,ribosomal
313,rplQ,Glucosamine,13517.0,Schmidt,0.46,ribosomal
314,rplQ,Glycerol,14757.0,Schmidt,0.47,ribosomal
315,rplQ,Pyruvate,10104.0,Schmidt,0.4,ribosomal
316,rplQ,Chemostat µ=0.5,11020.0,Schmidt,0.5,ribosomal
317,rplQ,Chemostat µ=0.35,7258.0,Schmidt,0.35,ribosomal
318,rplQ,Chemostat µ=0.20,5663.0,Schmidt,0.2,ribosomal
319,rplQ,Chemostat µ=0.12,4821.0,Schmidt,0.12,ribosomal
320,rplQ,stationary_1day,6916.0,Schmidt,-0.01,ribosomal
321,rplQ,stationary_3day,9235.0,Schmidt,-0.01,ribosomal
322,rplQ,Osmotic-stress glucose,17097.0,Schmidt,0.55,ribosomal
323,rplQ,42°C glucose,18386.0,Schmidt,0.66,ribosomal
324,rplQ,pH6 glucose,19921.0,Schmidt,0.63,ribosomal
325,rplQ,Xylose,16349.0,Schmidt,0.55,ribosomal
326,rplQ,Mannose,12528.0,Schmidt,0.47,ribosomal
327,rplQ,Galactose,8663.0,Schmidt,0.26,ribosomal
328,rplQ,Succinate,12862.0,Schmidt,0.44,ribosomal
329,rplQ,Fructose,19454.0,Schmidt,0.65,ribosomal
330,rplR,Glucose,6146.0,Schmidt,0.58,ribosomal
331,rplR,LB,13821.0,Schmidt,1.9,ribosomal
332,rplR,Glycerol + AA,9136.0,Schmidt,1.27,ribosomal
333,rplR,Acetate,2599.0,Schmidt,0.3,ribosomal
334,rplR,Fumarate,4078.0,Schmidt,0.42,ribosomal
335,rplR,Glucosamine,4611.0,Schmidt,0.46,ribosomal
336,rplR,Glycerol,4900.0,Schmidt,0.47,ribosomal
337,rplR,Pyruvate,3452.0,Schmidt,0.4,ribosomal
338,rplR,Chemostat µ=0.5,4045.0,Schmidt,0.5,ribosomal
339,rplR,Chemostat µ=0.35,2872.0,Schmidt,0.35,ribosomal
340,rplR,Chemostat µ=0.20,2218.0,Schmidt,0.2,ribosomal
341,rplR,Chemostat µ=0.12,2036.0,Schmidt,0.12,ribosomal
342,rplR,stationary_1day,3534.0,Schmidt,-0.01,ribosomal
343,rplR,stationary_3day,2584.0,Schmidt,-0.01,ribosomal
344,rplR,Osmotic-stress glucose,7465.0,Schmidt,0.55,ribosomal
345,rplR,42°C glucose,8023.0,Schmidt,0.66,ribosomal
346,rplR,pH6 glucose,6006.0,Schmidt,0.63,ribosomal
347,rplR,Xylose,6189.0,Schmidt,0.55,ribosomal
348,rplR,Mannose,3958.0,Schmidt,0.47,ribosomal
349,rplR,Galactose,2912.0,Schmidt,0.26,ribosomal
350,rplR,Succinate,4144.0,Schmidt,0.44,ribosomal
351,rplR,Fructose,5514.0,Schmidt,0.65,ribosomal
352,rplS,Glucose,5503.0,Schmidt,0.58,ribosomal
353,rplS,LB,16521.0,Schmidt,1.9,ribosomal
354,rplS,Glycerol + AA,12660.0,Schmidt,1.27,ribosomal
355,rplS,Acetate,2860.0,Schmidt,0.3,ribosomal
356,rplS,Fumarate,4424.0,Schmidt,0.42,ribosomal
357,rplS,Glucosamine,6438.0,Schmidt,0.46,ribosomal
358,rplS,Glycerol,5222.0,Schmidt,0.47,ribosomal
359,rplS,Pyruvate,4216.0,Schmidt,0.4,ribosomal
360,rplS,Chemostat µ=0.5,8207.0,Schmidt,0.5,ribosomal
361,rplS,Chemostat µ=0.35,5087.0,Schmidt,0.35,ribosomal
362,rplS,Chemostat µ=0.20,4070.0,Schmidt,0.2,ribosomal
363,rplS,Chemostat µ=0.12,3118.0,Schmidt,0.12,ribosomal
364,rplS,stationary_1day,3429.0,Schmidt,-0.01,ribosomal
365,rplS,stationary_3day,2699.0,Schmidt,-0.01,ribosomal
366,rplS,Osmotic-stress glucose,3525.0,Schmidt,0.55,ribosomal
367,rplS,42°C glucose,8391.0,Schmidt,0.66,ribosomal
368,rplS,pH6 glucose,5727.0,Schmidt,0.63,ribosomal
369,rplS,Xylose,7019.0,Schmidt,0.55,ribosomal
370,rplS,Mannose,4162.0,Schmidt,0.47,ribosomal
371,rplS,Galactose,2440.0,Schmidt,0.26,ribosomal
372,rplS,Succinate,4434.0,Schmidt,0.44,ribosomal
373,rplS,Fructose,8591.0,Schmidt,0.65,ribosomal
374,rplT,Glucose,3577.0,Schmidt,0.58,ribosomal
375,rplT,LB,11237.0,Schmidt,1.9,ribosomal
376,rplT,Glycerol + AA,7671.0,Schmidt,1.27,ribosomal
377,rplT,Acetate,1635.0,Schmidt,0.3,ribosomal
378,rplT,Fumarate,2591.0,Schmidt,0.42,ribosomal
379,rplT,Glucosamine,3527.0,Schmidt,0.46,ribosomal
380,rplT,Glycerol,3342.0,Schmidt,0.47,ribosomal
381,rplT,Pyruvate,2641.0,Schmidt,0.4,ribosomal
382,rplT,Chemostat µ=0.5,5807.0,Schmidt,0.5,ribosomal
383,rplT,Chemostat µ=0.35,3824.0,Schmidt,0.35,ribosomal
384,rplT,Chemostat µ=0.20,2937.0,Schmidt,0.2,ribosomal
385,rplT,Chemostat µ=0.12,2671.0,Schmidt,0.12,ribosomal
386,rplT,stationary_1day,1463.0,Schmidt,-0.01,ribosomal
387,rplT,stationary_3day,2013.0,Schmidt,-0.01,ribosomal
388,rplT,Osmotic-stress glucose,2516.0,Schmidt,0.55,ribosomal
389,rplT,42°C glucose,6106.0,Schmidt,0.66,ribosomal
390,rplT,pH6 glucose,3773.0,Schmidt,0.63,ribosomal
391,rplT,Xylose,4358.0,Schmidt,0.55,ribosomal
392,rplT,Mannose,2736.0,Schmidt,0.47,ribosomal
393,rplT,Galactose,1496.0,Schmidt,0.26,ribosomal
394,rplT,Succinate,2870.0,Schmidt,0.44,ribosomal
395,rplT,Fructose,6572.0,Schmidt,0.65,ribosomal
396,rplU,Glucose,7358.0,Schmidt,0.58,ribosomal
397,rplU,LB,19424.0,Schmidt,1.9,ribosomal
398,rplU,Glycerol + AA,11681.0,Schmidt,1.27,ribosomal
399,rplU,Acetate,2979.0,Schmidt,0.3,ribosomal
400,rplU,Fumarate,4345.0,Schmidt,0.42,ribosomal
401,rplU,Glucosamine,5726.0,Schmidt,0.46,ribosomal
402,rplU,Glycerol,6254.0,Schmidt,0.47,ribosomal
