"Complexes_Proteins"	"Genes"	"Object_ID"
"&beta; complex" // "&alpha; complex"	"atoA" // "atoD"	"ACETOACETYL-COA-TRANSFER-CPLX"
"maltose outer membrane channel / phage lambda receptor protein"	"lamB"	"CPLX0-7655"
"diaminopimelate decarboxylase"	"lysA"	"DIAMINOPIMDECARB-CPLX"
"divisome protein complex FtsEX"	"ftsE" // "ftsX"	"ABC-54-CPLX"
"Na<sup>+</sup>:H<sup>+</sup> antiporter NhaA"	"nhaA"	"CPLX0-7629"
"cysteine synthase complex"	"cysE" // "cysK"	"CYSSYNMULTI-CPLX"
"leucine / L-phenylalanine ABC transporter"	"livK" // "livM" // "livH" // "livG" // "livF"	"ABC-304-CPLX"
"5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit"	"mnmE"	"CPLX0-7608"
"DcuS-DctA sensor complex"	"dctA" // "dcuS"	"CPLX0-8306"
"branched chain amino acid / phenylalanine ABC transporter"	"livF" // "livG" // "livH" // "livM" // "livJ"	"ABC-15-CPLX"
"quinate/shikimate dehydrogenase"	"ydiB"	"CPLX0-7462"
"1-phosphofructokinase"	"fruK"	"1-PFK"
"2-<i>C</i>-methyl-D-erythritol 2,4-cyclodiphosphate synthase"	"ispF"	"CPLX0-721"
"amino acid racemase YgeA"	"ygeA"	"CPLX0-8251"
"riboflavin synthase"	"ribC"	"CPLX0-3952"
"HigB translation-dependent mRNA interferase and toxin of the HigB-HigA toxin-antitoxin system"	"higB"	"CPLX0-8228"
"D-arabinose 5-phosphate isomerase GutQ"	"gutQ"	"CPLX0-3929"
"alanine racemase 1"	"alr"	"CPLX0-8202"
"soluble pyridine nucleotide transhydrogenase"	"sthA"	"UDHA-CPLX"
"N<sup>6</sup>-L-threonylcarbamoyladenine synthase"	"tsaE" // "tsaD" // "tsaB"	"CPLX0-8182"
"menaquinol:trimethylamine <i>N</i>-oxide oxidoreductase I"	"torC" // "torA"	"TMAOREDUCTI-CPLX"
"7-cyano-7-deazaguanine reductase"	"queF"	"CPLX0-3501"
"osmotically inducible peroxiredoxin OsmC"	"osmC"	"CPLX0-8157"
"succinylornithine transaminase"	"astC"	"SUCCORNTRANSAM-CPLX"
"ClpAXP"	"clpP" // "clpA" // "clpX"	"CPLX0-3108"
"DNA helicase II"	"uvrD"	"CPLX0-8111"
"allose-6-phosphate isomerase / ribose-5-phosphate isomerase B"	"rpiB"	"RIB5PISOMB-CPLX"
"aspartate 1-decarboxylase"	"panD"	"CPLX0-2901"
"protein translocation ATPase"	"secA"	"CPLX0-8089"
"2-methylcitrate synthase"	"prpC"	"CPLX0-251"
"carboxy-<i>S</i>-adenosyl-L-methionine synthase"	"cmoA"	"CPLX0-8010"
"degradosome"	"ppk" // "rne" // "rhlB" // "pnp" // "eno"	"CPLX0-2381"
"HypCD complex involved in hydrogenase maturation"	"hypD" // "hypC"	"CPLX0-7986"
"transcriptional activator RhaS"	"rhaS"	"PC00086"
"multidrug efflux pump EmrAB-TolC"	"tolC" // "emrA" // "emrB"	"CPLX0-2121"
"chloride:H<sup>+</sup> antiporter ClcA"	"clcA"	"CPLX0-7961"
"orotate phosphoribosyltransferase"	"pyrE"	"OROPRIBTRANS-CPLX"
"copper/silver export system"	"cusC" // "cusB" // "cusF" // "cusA"	"CPLX0-1721"
"regulator of KefC-mediated potassium transport and quinone oxidoreductase"	"kefF"	"CPLX0-7939"
"sensory histidine kinase NarQ"	"narQ"	"NARQ-CPLX"
"MazE-MazF antitoxin/toxin complex / DNA-binding transcriptional repressor"	"mazF" // "mazE"	"CPLX0-1242"
"tellurite methyltransferase"	"tehB"	"CPLX0-7913"
"maltose <i>O</i>-acetyltransferase"	"maa"	"MALTACETYLTRAN-CPLX"
"periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase"	"appA"	"CPLX-722"
"DNA-binding transcriptional repressor TreR"	"treR"	"CPLX0-7854"
"sensory histidine kinase KdpD"	"kdpD"	"KDPD-CPLX"
"fructose-specific PTS enzyme II"	"fruB" // "fruA"	"CPLX-158"
"iron-sulfur cluster insertion protein SufA"	"sufA"	"CPLX0-7824"
"putative 3-phenylpropionate/cinnamate dioxygenase"	"hcaC" // "hcaD" // "hcaF" // "hcaE"	"HCAMULTI-CPLX"
"carbamoyl phosphate synthetase subunit &beta;" // "carbamoyl phosphate synthetase subunit &alpha;"	"carB" // "carA"	"CARBPSYN-CPLX"
"DNA-binding transcriptional dual regulator FNR"	"fnr"	"CPLX0-7797"
"glycerol kinase"	"glpK"	"GLYCEROL-KIN-CPLX"
"&alpha; complex"	"atoD"	"ATOD-CPLX"
"UhpA-Phosphorylated DNA-binding transcriptional activator"	"uhpA"	"CPLX0-7754"
"glucose-1-phosphate adenylyltransferase"	"glgC"	"GLUC1PADENYLTRANS-CPLX"
"3-deoxy-7-phosphoheptulonate synthase, Phe-sensitive"	"aroG"	"AROG-CPLX"
"2-keto-3-deoxy-L-rhamnonate aldolase"	"yfaU"	"CPLX0-7723"
"formyltetrahydrofolate deformylase"	"purU"	"FORMYLTHFDEFORMYL-CPLX"
"copper-containing amine oxidase"	"tynA"	"AMINEOXID-CPLX"
"MukF dimer"	"mukF"	"CPLX0-7698"
"fructose-1,6-bisphosphatase 1"	"fbp"	"F16B-CPLX"
"long-chain-fatty-acid&mdash;CoA ligase"	"fadD"	"ACYLCOASYN-CPLX"
"ZntR-Zn<sup>2+</sup> DNA-binding transcriptional activator"	"zntR"	"CPLX0-7678"
"1-deoxy-D-xylulose 5-phosphate reductoisomerase"	"dxr"	"DXPREDISOM-CPLX"
"sulfate/thiosulfate ABC transporter"	"sbp" // "cysW" // "cysU" // "cysA"	"ABC-70-CPLX"
"L-rhamnose isomerase"	"rhaA"	"CPLX0-7652"
"dGTP triphosphohydrolase"	"dgt"	"DGTPTRIPHYDRO-CPLX"
"vitamin B<sub>12</sub> ABC transporter"	"btuD" // "btuC" // "btuF"	"ABC-5-CPLX"
"small conductance mechanosensitive channel MscS"	"mscS"	"CPLX0-7626"
"sensor histidine kinase CreC"	"creC"	"CREC-CPLX"
"ribose ABC transporter"	"rbsA" // "rbsC" // "rbsB"	"ABC-28-CPLX"
"ChpB-ChpS complex"	"chpB" // "chpS"	"CPLX0-7561"
"sensor histidine kinase BarA"	"barA"	"CPLX0-8302"
"L-glutamine ABC transporter"	"glnQ" // "glnP" // "glnH"	"ABC-12-CPLX"
"flagellar export apparatus"	"flhA" // "flhB" // "fliO" // "fliP" // "fliQ" // "fliR" // "fliH" // "fliI" // "fliJ"	"CPLX0-7451"
"putative tRNA-binding protein YgjH"	"ygjH"	"CPLX0-8269"
"putative hydrolase"	"ycaC"	"CPLX0-661"
"uracil:H<sup>+</sup> symporter UraA"	"uraA"	"CPLX0-8247"
"thiazole synthase"	"thiG" // "thiH"	"CPLX0-3949"
"thiosulfate sulfurtransferase YgaP"	"ygaP"	"CPLX0-8219"
"FKBP-type peptidyl-prolyl <i>cis-trans</i> isomerase FklB"	"fklB"	"CPLX0-3924"
"oxygen-sensing c-di-GMP phosphodiesterase DosP"	"dosP"	"CPLX0-8199"
"tryptophanase"	"tnaA"	"TRYPTOPHAN-CPLX"
"&beta; sliding clamp"	"dnaN"	"CPLX0-3761"
"putative phosphatidylethanolamine synthesis regulator GnsA"	"gnsA"	"CPLX0-8177"
"threonine dehydrogenase"	"tdh"	"THREODEHYD-CPLX"
"fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase"	"dfp"	"CPLX0-341"
"c-di-GMP-binding biofilm dispersal mediator protein"	"bdcA"	"CPLX0-8154"
"spermidine synthase"	"speE"	"SPERMIDINESYN-CPLX"
"ClpX ATP-dependent protease specificity component and chaperone"	"clpX"	"CPLX0-3102"
"small heat shock protein IbpA"	"ibpA"	"CPLX0-8108"
"RecFOR complex"	"recF" // "recR" // "recO"	"RECFOR-CPLX"
"curved DNA-binding protein"	"cbpA"	"CPLX0-2802"
"molybdopterin molybdotransferase"	"moeA"	"CPLX0-8045"
"guanosine-5'-triphosphate,3'-diphosphate phosphatase"	"gpp"	"PPPGPPHYDRO-CPLX"
"cysteine desulfurase"	"iscS"	"CPLX0-248"
"UDP-<i>N</i>-acetylglucosamine 2-epimerase"	"wecB"	"CPLX0-8008"
"DNA polymerase III, core enzyme"	"dnaE" // "dnaQ" // "holE"	"CPLX0-2361"
"moderate conductance mechanosensitive channel YbiO"	"ybiO"	"CPLX0-7983"
"acrylyl-CoA reductase"	"yhdH"	"CPLX0-8121"
"DNA-binding transcriptional dual regulator CysB"	"cysB"	"PC00040"
"phosphoribosylaminoimidazole-succinocarboxamide synthase"	"purC"	"SAICARSYN-CPLX"
"DNA-binding transcriptional dual regulator HU"	"hupA" // "hupB"	"CPLX0-2021"
"isoaspartyl dipeptidase"	"iadA"	"CPLX0-3021"
"methylphosphonate degradation complex"	"phnL" // "phnH" // "phnG" // "phnI"	"CPLX0-7958"
"methyl-accepting chemotaxis protein Tar"	"tar"	"CPLX0-8102"
"ornithine carbamoyltransferase"	"argI"	"ORNCARBAMTRANSFERI-CPLX"
"pyrroline-5-carboxylate reductase"	"proC"	"PYRROLINECARBREDUCT-CPLX"
"ribonuclease E inhibitor protein A"	"rraA"	"CPLX0-1642"
"bacterial condensin MukBEF"	"mukB" // "mukF" // "mukE"	"CPLX0-2561"
"carbon-phosphorus lyase core complex"	"phnJ" // "phnI" // "phnH" // "phnG"	"CPLX0-7935"
"pyridoxal kinase 2"	"pdxY"	"CPLX0-8031"
"fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase"	"glmU"	"NAG1P-URIDYLTRANS-CPLX"
"nitrogen regulator GlnK"	"glnK"	"PII2-CPLX"
"HslVU protease"	"hslU" // "hslV"	"CPLX0-1163"
"DNA gyrase"	"gyrA" // "gyrB"	"CPLX0-2425"
"RnlA-RnlB toxin-antitoxin complex"	"rnlB" // "rnlA"	"CPLX0-7909"
"poly-<i>N</i>-acetyl-D-glucosamine synthase"	"pgaD" // "pgaC"	"CPLX0-7994"
"maltodextrin phosphorylase"	"malP"	"MALDEXPHOSPHORYL-CPLX"
"phenylacetaldehyde dehydrogenase"	"feaB"	"PHENDEHYD-CPLX"
"exodeoxyribonuclease VII"	"xseA" // "xseB"	"CPLX-3946"
"anaerobic ribonucleoside-triphosphate reductase activating protein"	"nrdG"	"CPLX0-229"
"2,3-dihydroxybenzoyl-EntB"	"entB"	"CPLX0-7849"
"DNA-binding transcriptional repressor/NMN adenylyltransferase NadR"	"nadR"	"CPLX0-7975"
"isocitrate lyase"	"aceA"	"ISOCIT-LYASE"
"DNA-binding transcriptional dual regulator CRP"	"crp"	"PC00004"
"<I>N,N'</I>-diacetylchitobiose-specific PTS enzyme II"	"chbA" // "chbC" // "chbB"	"CPLX-155"
"vitamin B12 outer membrane transport complex"	"btuB" // "exbD" // "exbB" // "tonB"	"CPLX0-1924"
"3-hydroxy-2,4-pentadione 5-phosphate thiolase"	"lsrF"	"CPLX0-7820"
"2-hydroxy-6-oxononatrienedioate hydrolase"	"mhpC"	"CPLX0-7950"
"GTP cyclohydrolase 2"	"ribA"	"GTP-CYCLOHYDRO-II-CPLX"
"ribonucleoside-diphosphate reductase 2, &alpha; subunit dimer"	"nrdE"	"NRDE-CPLX"
"biotin synthase"	"bioB"	"BIOTIN-SYN-CPLX"
"serine protease inhibitor ecotin"	"eco"	"CPLX0-1441"
"3-sulfolactaldehyde reductase"	"yihU"	"CPLX0-7794"
"NADPH-dependent curcumin/dihydrocurcumin reductase"	"curA"	"CPLX0-7927"
"glutamate-5-semialdehyde dehydrogenase"	"proA"	"GLUTSEMIALDEHYDROG-CPLX"
"MtlR-HPr"	"mtlR" // "ptsH"	"MONOMER0-2461"
"aspartate kinase III"	"lysC"	"ASPKINIII-CPLX"
"tRNA-guanine transglycosylase"	"tgt"	"CPLX0-1101"
"DNA-binding transcriptional dual regulator MurR"	"murR"	"CPLX0-7745"
"glutamate&mdash;pyruvate aminotransferase AlaC"	"alaC"	"CPLX0-7887"
"glutamate dehydrogenase"	"gdhA"	"GDHA-CPLX"
"6,7-dimethyl-8-ribityllumazine synthase"	"ribE"	"LUMAZINESYN-CPLX"
"chorismate synthase"	"aroC"	"AROC-CPLX"
"sorbitol-specific PTS enzyme II"	"srlA" // "srlB" // "srlE"	"CPLX-169"
"undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnE subunit" // "undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnF subunit"	"arnE" // "arnF"	"CPLX0-7720"
"sulfur acceptor protein CsdE"	"csdE"	"CPLX0-7839"
"formate dehydrogenase O"	"fdoG" // "fdoH" // "fdoI"	"FORMATEDEHYDROGO-CPLX"
"homoserine <i>O</i>-succinyltransferase"	"metA"	"HOMSUCTRAN-CPLX"
"alkaline phosphatase"	"phoA"	"ALKAPHOSPHA-CPLX"
"citrate lyase, citryl-acyl carrrier protein lyase component"	"citE"	"CITRYLY-CPLX"
"glutaminase 2"	"glsB"	"CPLX0-7695"
"heme-containing peroxidase/deferrochelatase"	"efeB"	"CPLX0-7810"
"ethanolamine ammonia-lyase subunit &alpha;" // "ethanolamine ammonia-lyase subunit &beta;"	"eutB" // "eutC"	"ETHAMLY-CPLX"
"GMP reductase"	"guaC"	"GMP-REDUCT-CPLX"
"citrate lyase [acyl carrier protein] component"	"citD"	"ACPSUB-CPLX"
"ribonucleoside-diphosphate reductase 1, &alpha; subunit dimer"	"nrdA"	"B1-CPLX"
"MntR-Mn<sup>2+</sup> DNA-binding transcriptional dual regulator"	"mntR"	"CPLX0-7672"
"proofreading thioesterase in enterobactin biosynthesis"	"entH"	"CPLX0-7766"
"protein sulfenic acid reductase and chaperone DsbG"	"dsbG"	"DSBG-CPLX"
"glutamine synthetase"	"glnA"	"GLUTAMINESYN-OLIGOMER"
"Zn<sup>2+</sup> ABC transporter ATP binding subunit" // "Zn<sup>2+</sup> ABC transporter membrane subunit" // "Zn<sup>2+</sup> ABC transporter periplasmic binding protein"	"znuC" // "znuB" // "znuA"	"ABC-63-CPLX"
"aspartate ammonia-lyase"	"aspA"	"ASPARTASE-CPLX"
"ribokinase"	"rbsK"	"CPLX0-7647"
"<i>N</i>-acetylmuramic acid 6-phosphate etherase"	"murQ"	"CPLX0-7732"
"thymidine phosphorylase"	"deoA"	"DEOA-CPLX"
"4-aminobutyrate aminotransferase GabT"	"gabT"	"GABATRANSAM-CPLX"
"galactofuranose ABC transporter"	"yjfF" // "ytfR" // "ytfT" // "ytfQ"	"ABC-46-CPLX"
"RNA polymerase, core enzyme"	"rpoA" // "rpoC" // "rpoB"	"APORNAP-CPLX"
"regulator of acid resistance, influenced by indole"	"ariR"	"CPLX0-7623"
"periplasmic chaperone Skp"	"skp"	"CPLX0-7711"
"periplasmic chaperone, inhibitor of vertebrate C-type lysozyme"	"ivy"	"CPLX0-921"
"formate dehydrogenase H" // "hydrogenase 3"	"fdhF" // "hycE" // "hycB" // "hycG" // "hycF" // "hycC" // "hycD"	"FHLMULTI-CPLX"
"putrescine ABC transporter"	"potG" // "potH" // "potI" // "potF"	"ABC-25-CPLX"
"aerobic glycerol 3-phosphate dehydrogenase"	"glpD"	"AERGLYC3PDEHYDROG-CPLX"
"arginine:agmatine antiporter"	"adiC"	"CPLX0-7535"
"succinate semialdehyde dehydrogenase (NAD(P)<sup>+</sup>) Sad"	"sad"	"CPLX0-7687"
"ribose-phosphate diphosphokinase"	"prs"	"CPLX0-8299"
"enolase"	"eno"	"ENOLASE-CPLX"
"8-amino-7-oxononanoate synthase"	"bioF"	"7KAPSYN-CPLX"
"acetyl-CoA acetyltransferase"	"atoB"	"ACETYL-COA-ACETYLTRANSFER-CPLX"
"1-deoxy-D-xylulose-5-phosphate synthase"	"dxs"	"CPLX0-743"
"D-sedoheptulose 7-phosphate isomerase"	"gmhA"	"CPLX0-7660"
"GDP-mannose hydrolase"	"nudK"	"CPLX0-3971"
"NAD(P)H nitroreductase NfsB"	"nfsB"	"DIHYDROPTERIREDUCT-CPLX"
"redox-responsive ATPase YchF"	"ychF"	"CPLX0-8240"
"Autoinducer-2 ABC transporter periplasmic binding protein" // "Autoinducer-2 ABC transporter membrane subunit LsrD" // "Autoinducer-2 ABC transporter membrane subunit LsrC" // "Autoinducer-2 ABC transporter ATP binding subunit"	"lsrB" // "lsrD" // "lsrC" // "lsrA"	"ABC-58-CPLX"
"phenylacetyl-CoA thioesterase"	"paaI"	"CPLX0-3941"
"L-fuculose-phosphate aldolase"	"fucA"	"CPLX0-7633"
"carboxylesterase"	"yjfP"	"CPLX0-8214"
"cytidine/deoxycytidine deaminase"	"cdd"	"CYTIDEAM-CPLX"
"multidrug/spermidine efflux pump"	"mdtJ" // "mdtI"	"YDGEF-CPLX"
"heme trafficking system CcmABCDE"	"ccmD" // "ccmB" // "ccmA" // "ccmE" // "ccmC"	"ABC-35-CPLX"
"heat shock protein, hemimethylated DNA-binding protein"	"hspQ"	"CPLX0-3921"
"putative ethanolamine catabolic microcompartment shell protein EutN"	"eutN"	"CPLX0-7613"
"nucleotide exchange factor GrpE"	"grpE"	"CPLX0-8192"
"DNA-binding transcriptional  repressor CRP-Sxy"	"sxy" // "crp"	"CPLX0-8312"
"transketolase 1"	"tktA"	"TRANSKETOI-CPLX"
"arabinose ABC transporter"	"araG" // "araH" // "araF"	"ABC-2-CPLX"
"ADP-L-glycero-D-mannoheptose 6-epimerase"	"rfaD"	"CPLX0-3681"
"2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase"	"menD"	"CPLX0-7525"
"Cas1-Cas2 complex"	"cas2" // "cas1"	"CPLX0-8174"
"DUF945 domain-containing protein YdgA"	"ydgA"	"CPLX0-8281"
"thioredoxin reductase"	"trxB"	"THIOREDOXIN-REDUCT-NADPH-CPLX"
"3-methyl-2-oxobutanoate hydroxymethyltransferase"	"panB"	"3-METHYL-2-OXOBUT-OHCH3XFER-CPLX"
"NADH:quinone oxidoreductase I, peripheral arm"	"nuoB" // "nuoC" // "nuoE" // "nuoF" // "nuoG" // "nuoI"	"CPLX0-3361"
"tRNA Cm32/Um32 methyltransferase"	"trmJ"	"CPLX0-7420"
"1,4-dihydroxy-2-naphthoyl-CoA hydrolase"	"menI"	"CPLX0-8128"
"HU&alpha;&alpha;"	"hupA"	"CPLX0-8256"
"siroheme synthase"	"cysG"	"SIROHEMESYN-CPLX"
"ATP dependent structure specific DNA nuclease"	"sbcC" // "sbcD"	"CPLX0-3957"
"Sec translocon accessory complex"	"yidC" // "yajC" // "secF" // "secD"	"SECD-SECF-YAJC-YIDC-CPLX"
"carnitine monooxygenase"	"yeaX" // "yeaW"	"CPLX0-8232"
"aminopeptidase A/I and DNA-binding transcriptional repressor"	"pepA"	"CPLX0-3061"
"Outer Membrane Protein Assembly Complex"	"bamE" // "bamC" // "bamD" // "bamA" // "bamB"	"CPLX0-3933"
"methyl-accepting chemotaxis protein Trg - ribose/galactose/glucose-sensing"	"trg"	"CPLX0-8105"
"periplasmic acid stress chaperone HdeB"	"hdeB"	"CPLX0-8207"
"putative quinone oxidoreductase 1"	"qorA"	"QOR-CPLX"
"<i>ditrans,polycis</i>-undecaprenyl-diphosphate synthase [(2<i>E</i>,6<i>E</i>)-farnesyl-diphosphate specific]"	"uppS"	"UPPSYN-CPLX"
"chaperone protein HtpG"	"htpG"	"CPLX0-2641"
"DNA polymerase III, holoenzyme"	"holE" // "dnaQ" // "dnaE" // "holA" // "holB" // "dnaX" // "dnaN" // "holD" // "holC"	"CPLX0-3803"
"dTDP-glucose pyrophosphorylase"	"rfbA"	"CPLX0-8034"
"galactitol-1-phosphate 5-dehydrogenase"	"gatD"	"CPLX0-8186"
"pyruvate kinase II"	"pykA"	"PKII-CPLX"
"multidrug efflux pump AcrAB-TolC"	"tolC" // "acrA" // "acrB"	"TRANS-CPLX-201"
"transcription termination factor Rho"	"rho"	"CPLX0-2441"
"D-aminoacyl-tRNA deacylase"	"dtd"	"CPLX0-3581"
"phosphate acetyltransferase"	"pta"	"PHOSACETYLTRANS-CPLX"
"molybdopterin adenylyltransferase"	"mog"	"CPLX0-8163"
"2-<i>C</i>-methyl-D-erythritol 4-phosphate cytidylyltransferase"	"ispD"	"CPLX0-234"
"inosine/guanosine kinase"	"gsk"	"CPLX0-322"
"monoacetylchitobiose-6-phosphate hydrolase"	"chbF"	"CPLX0-7979"
"tetrahydrodipicolinate succinylase"	"dapD"	"CPLX0-3181"
"DNA-binding transcriptional repressor LexA"	"lexA"	"PC00010"
"L-ribulose-5-phosphate 4-epimerase AraD"	"araD"	"RIBULPEPIM-CPLX"
"ferric citrate outer membrane transport complex"	"fecA" // "exbD" // "exbB" // "tonB"	"CPLX0-1943"
"primosomal replication protein N"	"priB"	"CPLX0-3"
"acetate/glycolate:cation symporter"	"actP"	"CPLX0-7955"
"ribonuclease E inhibitor protein B"	"rraB"	"CPLX0-8096"
"nucleoside diphosphate kinase"	"ndk"	"NUCLEOSIDE-DIP-KIN-CPLX"
"5-(carboxyamino)imidazole ribonucleotide synthase"	"purK"	"PURK-CPLX"
"5'-methylthioadenosine/<i>S</i>-adenosylhomocysteine nucleosidase"	"mtn"	"CPLX0-1541"
"methylmalonyl-CoA decarboxylase"	"scpB"	"CPLX0-254"
"cytosine/isoguanine deaminase"	"codA"	"CPLX0-7932"
"UDP-<i>N</i>-acetylmuramate&mdash;L-alanine ligase"	"murC"	"CPLX0-8014"
"N-acetylglutamate synthase"	"argA"	"N-ACETYLTRANSFER-CPLX"
"thiosulfate sulfurtransferase GlpE"	"glpE"	"CPLX0-242"
"formyl-CoA transferase"	"frc"	"CPLX0-1142"
"dTDP-4-dehydro-6-deoxy-D-glucose transaminase"	"wecE"	"CPLX0-7990"
"pyrimidine-specific ribonucleoside hydrolase RihB"	"rihB"	"CPLX0-7904"
"phosphoenolpyruvate carboxylase"	"ppc"	"PEPCARBOX-CPLX"
"lysine&mdash;tRNA ligase/Ap<sub>4</sub>A synthetase/Ap<sub>3</sub>A synthetase"	"lysU"	"LYSU-CPLX"
"NADPH-dependent FMN reductase"	"ssuE"	"CPLX0-224"
"sulfurtransferase complex TusBCD"	"tusB" // "tusC" // "tusD"	"CPLX-3942"
"HypT-[Met]reduced"	"hypT"	"CPLX0-7970"
"<i>p</i>-aminobenzoyl-glutamate hydrolase"	"abgB" // "abgA"	"CPLX0-7844"
"pantothenate kinase"	"coaA"	"PANTOTHENATE-KIN-CPLX"
"catalase HPII"	"katE"	"HYDROPEROXIDII-CPLX"
"radiation resistance protein YbgI"	"ybgI"	"CPLX0-1863"
"cobinamide-P guanylyltransferase / cobinamide kinase"	"cobU"	"COBU-CPLX"
"zinc-binding phosphatase YcdX"	"ycdX"	"CPLX0-7945"
"glutaredoxin 4"	"grxD"	"CPLX0-7817"
"nitrite reductase subunit NirD" // "nitrite reductase catalytic subunit NirB"	"nirD" // "nirB"	"NITRITREDUCT-CPLX"
"glutamate-1-semialdehyde aminotransferase"	"hemL"	"GSAAMINOTRANS-CPLX"
"SufBC<sub>2</sub>D Fe-S cluster scaffold complex"	"sufB" // "sufC" // "sufD"	"CPLX0-1341"
"biotin carboxyl carrier protein (dimer)"	"accB"	"BCCP-CPLX"
"mannose-specific PTS enzyme IIAB component"	"manX"	"CPLX0-7921"
"NAD-dependent dihydropyrimidine dehydrogenase"	"preT" // "preA"	"CPLX0-7788"
"methylglyoxal synthase"	"mgsA"	"METHGLYSYN-CPLX"
"glutamate decarboxylase A"	"gadA"	"GLUTDECARBOXA-CPLX"
"NusB-S10 complex"	"rpsJ" // "nusB"	"CPLX0-7879"
"aspartate carbamoyltransferase catalytic subunit" // "aspartate carbamoyltransferase, regulatory subunit"	"pyrB" // "pyrI"	"ASPCARBTRANS-CPLX"
"lysine decarboxylase 2"	"ldcC"	"LDC2-CPLX"
"DNA-binding transcriptional repressor CytR"	"cytR"	"CPLX0-7740"
"mannitol-specific PTS enzyme II"	"mtlA"	"CPLX-166"
"glyceraldehyde-3-phosphate dehydrogenase A"	"gapA"	"GAPDH-A-CPLX"
"putative ethanolamine catabolic microcompartment shell protein EutS"	"eutS"	"CPLX0-7836"
"peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcA"	"mrcA"	"CPLX0-7717"
"bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase"	"thiD"	"HMP-P-KIN-CPLX"
"GTP cyclohydrolase 1"	"folE"	"FOLE-CPLX"
"fused chorismate mutase/prephenate dehydratase"	"pheA"	"CHORISMUTPREPHENDEHYDRAT-CPLX"
