uniprot,desc,gene,cog_class_letter,cog_desc,cog_class
P0AB98,ATP synthase subunit a OS=Escherichia coli (strain K12) GN=atpB PE=1 SV=1,atpB,C,Energy production and conversion,Metabolism
P0A6E6,ATP synthase epsilon chain OS=Escherichia coli (strain K12) GN=atpC PE=1 SV=2,atpC,C,Energy production and conversion,Metabolism
P0ABB4,ATP synthase subunit beta OS=Escherichia coli (strain K12) GN=atpD PE=1 SV=2,atpD,C,Energy production and conversion,Metabolism
P68699,ATP synthase subunit c OS=Escherichia coli (strain K12) GN=atpE PE=1 SV=1,atpE,C,Energy production and conversion,Metabolism
P0ABA0,ATP synthase subunit b OS=Escherichia coli (strain K12) GN=atpF PE=1 SV=1,atpF,C,Energy production and conversion,Metabolism
P0ABA6,ATP synthase gamma chain OS=Escherichia coli (strain K12) GN=atpG PE=1 SV=1,atpG,C,Energy production and conversion,Metabolism
P0ABA4,ATP synthase subunit delta OS=Escherichia coli (strain K12) GN=atpH PE=1 SV=1,atpH,C,Energy production and conversion,Metabolism
P09053,Valine--pyruvate aminotransferase OS=Escherichia coli (strain K12) GN=avtA PE=3 SV=3,avtA,E,Amino acid transport and metabolism,Metabolism
P41407,FMN-dependent NADH-azoreductase OS=Escherichia coli (strain K12) GN=azoR PE=1 SV=3,azoR,I,Lipid transport and metabolism,Metabolism
P69228,Transcriptional regulatory protein BaeR OS=Escherichia coli (strain K12) GN=baeR PE=3 SV=1,baeR,TK,Signal transduction mechanisms,Cellular Processes and Signaling
P30847,Signal transduction histidine-protein kinase BaeS OS=Escherichia coli (strain K12) GN=baeS PE=3 SV=2,baeS,T,Signal transduction mechanisms,Cellular Processes and Signaling
P0A940,Outer membrane protein assembly factor yaeT OS=Escherichia coli (strain K12) GN=yaeT PE=1 SV=1,bamA,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P77774,Lipoprotein yfgL OS=Escherichia coli (strain K12) GN=yfgL PE=1 SV=1,bamB,S,Function unknown,Poorly Characterized
P0A903,Lipoprotein 34 OS=Escherichia coli (strain K12) GN=nlpB PE=1 SV=1,bamC,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P0AC02,UPF0169 lipoprotein yfiO OS=Escherichia coli (strain K12) GN=yfiO PE=1 SV=1,bamD,R,General function prediction only,Poorly Characterized
P0A937,Small protein A OS=Escherichia coli (strain K12) GN=smpA PE=1 SV=1,bamE,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P0AEC5,Signal transduction histidine-protein kinase BarA OS=Escherichia coli (strain K12) GN=barA PE=1 SV=1,barA,Not Assigned,Not Assigned,Not Assigned
P30843,Transcriptional regulatory protein BasR OS=Escherichia coli (strain K12) GN=basR PE=2 SV=3,basR,TK,Signal transduction mechanisms,Cellular Processes and Signaling
P0AE52,Putative peroxiredoxin bcp OS=Escherichia coli (strain K12) GN=bcp PE=1 SV=1,bcp,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P37659,Uncharacterized protein yhjU OS=Escherichia coli (strain K12) GN=yhjU PE=4 SV=1,bcsG,Not Assigned,Not Assigned,Not Assigned
P39334,Uncharacterized HTH-type transcriptional regulator yjgJ OS=Escherichia coli (strain K12) GN=yjgJ PE=4 SV=2,bdcR,K,Transcription,Information Storage and Processing
P66948,TPR repeat-containing protein yfgC OS=Escherichia coli (strain K12) GN=yfgC PE=4 SV=1,bepA,R,General function prediction only,Poorly Characterized
P17445,Betaine aldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=betB PE=1 SV=3,betB,C,Energy production and conversion,Metabolism
P0ABD3,Bacterioferritin OS=Escherichia coli (strain K12) GN=bfr PE=1 SV=1,bfr,P,Inorganic ion transport and metabolism,Metabolism
Q46829,6-phospho-beta-glucosidase BglA OS=Escherichia coli (strain K12) GN=bglA PE=3 SV=2,bglA,G,Carbohydrate transport and metabolism,Metabolism
P33363,Periplasmic beta-glucosidase OS=Escherichia coli (strain K12) GN=bglX PE=1 SV=2,bglX,G,Carbohydrate transport and metabolism,Metabolism
P0AB40,Multiple stress resistance protein BhsA OS=Escherichia coli (strain K12) GN=bhsA PE=1 SV=1,bhsA,Not Assigned,Not Assigned,Not Assigned
P12995,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase OS=Escherichia coli (strain K12) GN=bioA PE=1 SV=2,bioA,H,Coenzyme transport and metabolism,Metabolism
P12996,Biotin synthase OS=Escherichia coli (strain K12) GN=bioB PE=1 SV=2,bioB,H,Coenzyme transport and metabolism,Metabolism
P13000,Dethiobiotin synthetase OS=Escherichia coli (strain K12) GN=bioD PE=1 SV=3,bioD,H,Coenzyme transport and metabolism,Metabolism
P0A6E9,Putative dethiobiotin synthetase OS=Escherichia coli (strain K12) GN=ynfK PE=3 SV=1,bioD,H,Coenzyme transport and metabolism,Metabolism
P12998,8-amino-7-oxononanoate synthase OS=Escherichia coli (strain K12) GN=bioF PE=1 SV=1,bioF,H,Coenzyme transport and metabolism,Metabolism
P13001,Carboxylesterase BioH OS=Escherichia coli (strain K12) GN=bioH PE=1 SV=1,bioH,R,General function prediction only,Poorly Characterized
P06709,Bifunctional protein BirA OS=Escherichia coli (strain K12) GN=birA PE=1 SV=1,birA,H,Coenzyme transport and metabolism,Metabolism
P20099,Biotin sulfoxide reductase OS=Escherichia coli (strain K12) GN=bisC PE=3 SV=3,bisC,C,Energy production and conversion,Metabolism
P0A901,Outer membrane lipoprotein blc OS=Escherichia coli (strain K12) GN=blc PE=1 SV=1,blc,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P0ABE2,Protein BolA OS=Escherichia coli (strain K12) GN=bolA PE=1 SV=1,bolA,T,Signal transduction mechanisms,Cellular Processes and Signaling
P77330,Lipoprotein bor homolog from lambdoid prophage DLP12 OS=Escherichia coli (strain K12) GN=borD PE=3 SV=1,borD,Not Assigned,Not Assigned,Not Assigned
P06129,Vitamin B12 transporter BtuB OS=Escherichia coli (strain K12) GN=btuB PE=1 SV=2,btuB,H,Coenzyme transport and metabolism,Metabolism
P06610,Vitamin B12 transport periplasmic protein BtuE OS=Escherichia coli (strain K12) GN=btuE PE=3 SV=1,btuE,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P0A9H5,"Cob(I)yrinic acid a,c-diamide adenosyltransferase OS=Escherichia coli (strain K12) GN=btuR PE=3 SV=1",btuR,H,Coenzyme transport and metabolism,Metabolism
P61517,Carbonic anhydrase 2 OS=Escherichia coli (strain K12) GN=can PE=1 SV=1,can,P,Inorganic ion transport and metabolism,Metabolism
P0A6F1,Carbamoyl-phosphate synthase small chain OS=Escherichia coli (strain K12) GN=carA PE=1 SV=1,carA,EF,Amino acid transport and metabolism,Metabolism
P00968,Carbamoyl-phosphate synthase large chain OS=Escherichia coli (strain K12) GN=carB PE=1 SV=2,carB,EF,Amino acid transport and metabolism,Metabolism
D8FH86,CRISPR-associated endonuclease Cas1 OS=Peptoniphilus sp. oral taxon 836 str. F0141 GN=cas1 PE=4 SV=1,cas1,Not Assigned,Not Assigned,Not Assigned
Q47083,HTH-type transcriptional regulator cbl OS=Escherichia coli (strain K12) GN=cbl PE=1 SV=2,cbl,K,Transcription,Information Storage and Processing
P36659,Curved DNA-binding protein OS=Escherichia coli (strain K12) GN=cbpA PE=1 SV=2,cbpA,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P06961,Multifunctional CCA protein OS=Escherichia coli (strain K12) GN=cca PE=1 SV=1,cca,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P0ABF6,Cytidine deaminase OS=Escherichia coli (strain K12) GN=cdd PE=1 SV=1,cdd,F,Nucleotide transport and metabolism,Metabolism
P0ABG1,Phosphatidate cytidylyltransferase OS=Escherichia coli (strain K12) GN=cdsA PE=1 SV=2,cdsA,I,Lipid transport and metabolism,Metabolism
P0A9H7,Cyclopropane-fatty-acyl-phospholipid synthase OS=Escherichia coli (strain K12) GN=cfa PE=1 SV=2,cfa,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
Q6E0U3,GTPase Obg/CgtA OS=Vibrio harveyi GN=cgtA PE=1 SV=1,cgtA,Not Assigned,Not Assigned,Not Assigned
P31801,Calcium/proton antiporter OS=Escherichia coli (strain K12) GN=chaA PE=1 SV=1,chaA,P,Inorganic ion transport and metabolism,Metabolism
P0AE63,Cation transport regulator ChaB OS=Escherichia coli (strain K12) GN=chaB PE=1 SV=1,chaB,R,General function prediction only,Poorly Characterized
P69795,"N,N'-diacetylchitobiose-specific phosphotransferase enzyme IIB component OS=Escherichia coli (strain K12) GN=chbB PE=1 SV=1",chbB,G,Carbohydrate transport and metabolism,Metabolism
P07363,Isoform cheA(S) of Chemotaxis protein CheA OS=Escherichia coli (strain K12) GN=cheA,cheA,NT,Cell motility,Cellular Processes and Signaling
P0A964,Chemotaxis protein CheW OS=Escherichia coli (strain K12) GN=cheW PE=1 SV=1,cheW,NT,Cell motility,Cellular Processes and Signaling
P0AE67,Chemotaxis protein CheY OS=Escherichia coli (strain K12) GN=cheY PE=1 SV=2,cheY,T,Signal transduction mechanisms,Cellular Processes and Signaling
P33647,mRNA interferase ChpB OS=Escherichia coli (strain K12) GN=chpB PE=1 SV=1,chpB,T,Signal transduction mechanisms,Cellular Processes and Signaling
P17315,Colicin I receptor OS=Escherichia coli (strain K12) GN=cirA PE=1 SV=2,cirA,P,Inorganic ion transport and metabolism,Metabolism
P0ABH9,ATP-dependent Clp protease ATP-binding subunit ClpA OS=Escherichia coli (strain K12) GN=clpA PE=1 SV=1,clpA,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P63284,Chaperone protein ClpB OS=Escherichia coli (strain K12) GN=clpB PE=1 SV=1,clpB,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P63284,Isoform ClpB-3 of Chaperone protein ClpB OS=Escherichia coli (strain K12) GN=clpB,clpB,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P0A6G7,ATP-dependent Clp protease proteolytic subunit OS=Escherichia coli (strain K12) GN=clpP PE=1 SV=1,clpP,OU,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P0A6H1,ATP-dependent Clp protease ATP-binding subunit ClpX OS=Escherichia coli (strain K12) GN=clpX PE=1 SV=2,clpX,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P0A6H8,Cardiolipin synthase OS=Escherichia coli (strain K12) GN=cls PE=1 SV=1,clsA,I,Lipid transport and metabolism,Metabolism
P0A6I0,Cytidylate kinase OS=Escherichia coli (strain K12) GN=cmk PE=1 SV=1,cmk,F,Nucleotide transport and metabolism,Metabolism
