Entry	Status	Protein names	Gene names	Cofactor	Entry name	Gene ontology IDs	Gene ontology (GO)	Gene ontology (biological process)	Mass	Metal binding	Keyword ID	searches
P00968	reviewed	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	carB pyrA b0033 JW0031	COFACTOR: Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000255|HAMAP-Rule:MF_01210};  Note=Binds 4 Mn(2+) ions per subunit. {ECO:0000255|HAMAP-Rule:MF_01210};	CARB_ECOLI	GO:0000166; GO:0004087; GO:0004088; GO:0005524; GO:0005737; GO:0005829; GO:0005951; GO:0006526; GO:0006541; GO:0006807; GO:0008652; GO:0016597; GO:0019856; GO:0044205; GO:0046872	carbamoyl-phosphate synthase complex [GO:0005951]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; amino acid binding [GO:0016597]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; 'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]; cellular amino acid biosynthetic process [GO:0008652]; glutamine metabolic process [GO:0006541]; nitrogen compound metabolic process [GO:0006807]; pyrimidine nucleobase biosynthetic process [GO:0019856]	'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]; cellular amino acid biosynthetic process [GO:0008652]; glutamine metabolic process [GO:0006541]; nitrogen compound metabolic process [GO:0006807]; pyrimidine nucleobase biosynthetic process [GO:0019856]	117,842	METAL 285;  /note="Manganese 1";  /evidence="ECO:0000255|HAMAP-Rule:MF_01210"; METAL 299;  /note="Manganese 1";  /evidence="ECO:0000255|HAMAP-Rule:MF_01210"; METAL 299;  /note="Manganese 2";  /evidence="ECO:0000269|PubMed:10029528, ECO:0000269|PubMed:10089390, ECO:0000269|PubMed:10428826, ECO:0000269|PubMed:10587438, ECO:0000269|PubMed:9636022"; METAL 301;  /note="Manganese 2";  /evidence="ECO:0000269|PubMed:10029528, ECO:0000269|PubMed:10089390, ECO:0000269|PubMed:10428826, ECO:0000269|PubMed:10587438, ECO:0000269|PubMed:9636022"; METAL 829;  /note="Manganese 3";  /evidence="ECO:0000269|PubMed:9636022"; METAL 841;  /note="Manganese 3";  /evidence="ECO:0000269|PubMed:9636022"; METAL 841;  /note="Manganese 4";  /evidence="ECO:0000269|PubMed:10029528, ECO:0000269|PubMed:10089390"; METAL 843;  /note="Manganese 4";  /evidence="ECO:0000269|PubMed:10029528, ECO:0000269|PubMed:10089390"	KW-0002; KW-0028; KW-0055; KW-0067; KW-0436; KW-0464; KW-0479; KW-0547; KW-0665; KW-0677; KW-0903; KW-1185	P00968
P09373	reviewed	Formate acetyltransferase 1 (EC 2.3.1.54) (Pyruvate formate-lyase 1)	pflB pfl b0903 JW0886		PFLB_ECOLI	GO:0005829; GO:0006006; GO:0006567; GO:0008861; GO:0016020	cytosol [GO:0005829]; membrane [GO:0016020]; formate C-acetyltransferase activity [GO:0008861]; glucose metabolic process [GO:0006006]; threonine catabolic process [GO:0006567]	glucose metabolic process [GO:0006006]; threonine catabolic process [GO:0006567]	85,357		KW-0002; KW-0007; KW-0012; KW-0119; KW-0313; KW-0556; KW-0808; KW-0903; KW-0963; KW-1185	P09373
P0A6Y8	reviewed	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK groP grpF seg b0014 JW0013		DNAK_ECOLI	GO:0005524; GO:0005737; GO:0005829; GO:0005886; GO:0006260; GO:0006986; GO:0008270; GO:0009408; GO:0016020; GO:0016887; GO:0016989; GO:0031072; GO:0032984; GO:0032991; GO:0034605; GO:0034620; GO:0042026; GO:0042623; GO:0043531; GO:0044183; GO:0051082; GO:0051085; GO:0051087; GO:0051787; GO:0065003	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase activity, coupled [GO:0042623]; chaperone binding [GO:0051087]; heat shock protein binding [GO:0031072]; misfolded protein binding [GO:0051787]; protein folding chaperone [GO:0044183]; sigma factor antagonist activity [GO:0016989]; unfolded protein binding [GO:0051082]; zinc ion binding [GO:0008270]; cellular response to heat [GO:0034605]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; DNA replication [GO:0006260]; protein refolding [GO:0042026]; protein-containing complex assembly [GO:0065003]; protein-containing complex disassembly [GO:0032984]; response to heat [GO:0009408]; response to unfolded protein [GO:0006986]	cellular response to heat [GO:0034605]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; DNA replication [GO:0006260]; protein-containing complex assembly [GO:0065003]; protein-containing complex disassembly [GO:0032984]; protein refolding [GO:0042026]; response to heat [GO:0009408]; response to unfolded protein [GO:0006986]	69,115		KW-0002; KW-0007; KW-0067; KW-0143; KW-0235; KW-0346; KW-0472; KW-0547; KW-0597; KW-0903; KW-0963; KW-0997; KW-1003; KW-1185	P0A6Y8
P05793	reviewed	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 2) (Ketol-acid reductoisomerase type II)	ilvC b3774 JW3747	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000255|HAMAP-Rule:MF_00435, ECO:0000269|PubMed:15654896, ECO:0000269|PubMed:23036858, ECO:0000269|PubMed:2653423};  Note=Binds 2 magnesium ions per subunit. {ECO:0000255|HAMAP-Rule:MF_00435, ECO:0000269|PubMed:23036858, ECO:0000269|PubMed:2653423};	ILVC_ECOLI	GO:0000287; GO:0004455; GO:0005829; GO:0009082; GO:0009097; GO:0009099; GO:0042802; GO:0050661; GO:0051289	cytosol [GO:0005829]; identical protein binding [GO:0042802]; ketol-acid reductoisomerase activity [GO:0004455]; magnesium ion binding [GO:0000287]; NADP binding [GO:0050661]; branched-chain amino acid biosynthetic process [GO:0009082]; isoleucine biosynthetic process [GO:0009097]; protein homotetramerization [GO:0051289]; valine biosynthetic process [GO:0009099]	branched-chain amino acid biosynthetic process [GO:0009082]; isoleucine biosynthetic process [GO:0009097]; protein homotetramerization [GO:0051289]; valine biosynthetic process [GO:0009099]	54,069	METAL 217;  /note="Magnesium 1";  /evidence="ECO:0000255|HAMAP-Rule:MF_00435, ECO:0000269|PubMed:23036858"; METAL 217;  /note="Magnesium 2";  /evidence="ECO:0000255|HAMAP-Rule:MF_00435, ECO:0000269|PubMed:23036858"; METAL 221;  /note="Magnesium 1";  /evidence="ECO:0000255|HAMAP-Rule:MF_00435"; METAL 389;  /note="Magnesium 2";  /evidence="ECO:0000255|HAMAP-Rule:MF_00435, ECO:0000269|PubMed:23036858"; METAL 393;  /note="Magnesium 2";  /evidence="ECO:0000255|HAMAP-Rule:MF_00435, ECO:0000269|PubMed:23036858"	KW-0002; KW-0028; KW-0100; KW-0460; KW-0479; KW-0521; KW-0560; KW-0677; KW-0903; KW-0963; KW-1185	P05793
P0A705	reviewed	Translation initiation factor IF-2	infB gicD ssyG b3168 JW3137		IF2_ECOLI	GO:0003743; GO:0003924; GO:0005525; GO:0005829; GO:0006413; GO:0016020; GO:0043024; GO:0097216	cytosol [GO:0005829]; membrane [GO:0016020]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; guanosine tetraphosphate binding [GO:0097216]; ribosomal small subunit binding [GO:0043024]; translation initiation factor activity [GO:0003743]; translational initiation [GO:0006413]	translational initiation [GO:0006413]	97,350		KW-0002; KW-0007; KW-0024; KW-0342; KW-0396; KW-0547; KW-0648; KW-0903; KW-0963; KW-1185	P0A705
P00864	reviewed	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	ppc glu b3956 JW3928	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; 	CAPP_ECOLI	GO:0000287; GO:0005829; GO:0006099; GO:0006107; GO:0008964; GO:0015977	cytosol [GO:0005829]; magnesium ion binding [GO:0000287]; phosphoenolpyruvate carboxylase activity [GO:0008964]; carbon fixation [GO:0015977]; oxaloacetate metabolic process [GO:0006107]; tricarboxylic acid cycle [GO:0006099]	carbon fixation [GO:0015977]; oxaloacetate metabolic process [GO:0006107]; tricarboxylic acid cycle [GO:0006099]	99,063		KW-0002; KW-0021; KW-0120; KW-0456; KW-0460; KW-1185	P00864
P0A6M8	reviewed	Elongation factor G (EF-G)	fusA far fus b3340 JW3302		EFG_ECOLI	GO:0003746; GO:0003924; GO:0005525; GO:0005737; GO:0005829	cytoplasm [GO:0005737]; cytosol [GO:0005829]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]		77,581		KW-0002; KW-0007; KW-0251; KW-0342; KW-0547; KW-0648; KW-0903; KW-0963; KW-1185	P0A6M8
P00957	reviewed	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	alaS lovB b2697 JW2667	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105;  Note=Binds 1 zinc ion per subunit; it is not clear where this binding occurs. {ECO:0000269|PubMed:1712632};	SYA_ECOLI	GO:0000049; GO:0001217; GO:0002161; GO:0002196; GO:0004813; GO:0005524; GO:0005829; GO:0006400; GO:0006419; GO:0008270; GO:0016020; GO:0016597; GO:0042802; GO:0045892	cytosol [GO:0005829]; membrane [GO:0016020]; alanine-tRNA ligase activity [GO:0004813]; amino acid binding [GO:0016597]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; DNA-binding transcription repressor activity [GO:0001217]; identical protein binding [GO:0042802]; Ser-tRNA(Ala) hydrolase activity [GO:0002196]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; alanyl-tRNA aminoacylation [GO:0006419]; negative regulation of transcription, DNA-templated [GO:0045892]; tRNA modification [GO:0006400]	alanyl-tRNA aminoacylation [GO:0006419]; negative regulation of transcription, DNA-templated [GO:0045892]; tRNA modification [GO:0006400]	96,032	METAL 564;  /note="Zinc";  /evidence="ECO:0000250"; METAL 568;  /note="Zinc";  /evidence="ECO:0000250"; METAL 666;  /note="Zinc";  /evidence="ECO:0000250"; METAL 670;  /note="Zinc";  /evidence="ECO:0000250"	KW-0002; KW-0007; KW-0030; KW-0067; KW-0436; KW-0479; KW-0547; KW-0648; KW-0694; KW-0820; KW-0862; KW-0903; KW-0963; KW-1185	P00957
P00961	reviewed	Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS)	glyS glyS(B) b3559 JW3530		SYGB_ECOLI	GO:0004814; GO:0004820; GO:0005524; GO:0005829; GO:0006420; GO:0006426	cytosol [GO:0005829]; arginine-tRNA ligase activity [GO:0004814]; ATP binding [GO:0005524]; glycine-tRNA ligase activity [GO:0004820]; arginyl-tRNA aminoacylation [GO:0006420]; glycyl-tRNA aminoacylation [GO:0006426]	arginyl-tRNA aminoacylation [GO:0006420]; glycyl-tRNA aminoacylation [GO:0006426]	76,813		KW-0030; KW-0067; KW-0436; KW-0547; KW-0648; KW-0903; KW-0963; KW-1185	P00961
P76558	reviewed	NADP-dependent malic enzyme (NADP-ME) (EC 1.1.1.40)	maeB ypfF b2463 JW2447	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:17557829}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000269|PubMed:17557829};  Note=Divalent metal cations. Prefers magnesium or manganese. {ECO:0000269|PubMed:17557829};	MAO2_ECOLI	GO:0004471; GO:0004473; GO:0005829; GO:0006108; GO:0008948; GO:0016746; GO:0030145; GO:0051287	cytosol [GO:0005829]; malate dehydrogenase (decarboxylating) (NAD+) activity [GO:0004471]; malate dehydrogenase (decarboxylating) (NADP+) activity [GO:0004473]; manganese ion binding [GO:0030145]; NAD binding [GO:0051287]; oxaloacetate decarboxylase activity [GO:0008948]; transferase activity, transferring acyl groups [GO:0016746]; malate metabolic process [GO:0006108]	malate metabolic process [GO:0006108]	82,417	METAL 136;  /note="Divalent metal cation";  /evidence="ECO:0000250"; METAL 137;  /note="Divalent metal cation";  /evidence="ECO:0000250"	KW-0007; KW-0479; KW-0511; KW-0521; KW-0560; KW-1185	P76558
P0AG67	reviewed	30S ribosomal protein S1 (Bacteriophage Q beta RNA-directed RNA polymerase subunit I) (Small ribosomal subunit protein bS1)	rpsA ssyF b0911 JW0894		RS1_ECOLI	GO:0000028; GO:0003723; GO:0003729; GO:0003735; GO:0005737; GO:0006412; GO:0016020; GO:0022627; GO:2000766	cytoplasm [GO:0005737]; cytosolic small ribosomal subunit [GO:0022627]; membrane [GO:0016020]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; negative regulation of cytoplasmic translation [GO:2000766]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	negative regulation of cytoplasmic translation [GO:2000766]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	61,158		KW-0002; KW-0007; KW-0143; KW-0597; KW-0677; KW-0678; KW-0687; KW-0689; KW-0694; KW-0903; KW-0963; KW-1185	P0AG67
P07813	reviewed	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	leuS b0642 JW0637		SYL_ECOLI	GO:0002161; GO:0004823; GO:0005524; GO:0005829; GO:0006429	cytosol [GO:0005829]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; leucine-tRNA ligase activity [GO:0004823]; leucyl-tRNA aminoacylation [GO:0006429]	leucyl-tRNA aminoacylation [GO:0006429]	97,234		KW-0002; KW-0030; KW-0067; KW-0436; KW-0547; KW-0648; KW-0963; KW-1185	P07813
