cofactor,cofactor_desc,cog_class,cog_class_letter,cog_desc,desc,gene,uniprot
Mg(2+),Binds 1 Mg(2+) or Mn(2+) ion per subunit,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Glutathione synthetase ,gshB,P04425
Zn(2+),Binds 1 zinc ion per subunit,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Glutamyl-tRNA synthetase ,gltX,P04805
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Leucine-specific-binding protein ,livK,P04816
Zn(2+),Binds 1 zinc ion per subunit,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Aminopeptidase N ,pepN,P04825
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Lipoprotein 28 ,nlpA,P04846
None,No known associated cofactor,Cellular Processes and Signaling,Cell motility,Cell motility,Flagellin ,fliC,P04949
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,D-ribose pyranase ,rbsD,P04982
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Ribose import ATP-binding protein RbsA ,rbsA,P04983
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Exodeoxyribonuclease 7 large subunit ,xseA,P04994
Zn(2+),"Binds 2 Zn(2+) ions per subunit (PubMed:6142052, PubMed:11401542, PubMed:15826651). In vitro, can also use Co(2+) or Cd(2+) (PubMed:1671037, PubMed:15610022)",Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Dihydroorotase ,pyrC,P05020
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,Fumarate hydratase class II ,fumC,P05042
Mg(2+),Magnesium. Can also use manganese,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Polyribonucleotide nucleotidyltransferase ,pnp,P05055
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,3-dehydroquinate dehydratase ,aroD,P05194
Zn(2+),Binds 1 zinc ion per subuni,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Protease 3 ,ptrA,P05458
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Erythronate-4-phosphate dehydrogenase ,pdxB,P05459
Zn(2+),Binds 1 zinc ion per subunit,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Formamidopyrimidine-DNA glycosylase ,mutM,P05523
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Bis(5'-nucleosyl)-tetraphosphatase [symmetrical] ,apaH,P05637
None,No known associated cofactor,Cellular Processes and Signaling,Cell motility,Cell motility,Methyl-accepting chemotaxis protein III ,trg,P05704
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Glucitol/sorbitol-specific phosphotransferase enzyme IIA component ,srlB,P05706
None,No known associated cofactor,Cellular Processes and Signaling,Defense mechanisms,Defense mechanisms,Type-1 restriction enzyme EcoKI specificity protein ,hsdS,P05719
[4Fe-4S] cluster,Binds 1 [4Fe-4S] cluster,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Dihydroxy-acid dehydratase ,ilvD,P05791
Mg(2+),Binds 2 magnesium ions per subunit,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Ketol-acid reductoisomerase ,ilvC,P05793
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Beta-glucuronidase ,uidA,P05804
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Ferrienterobactin receptor ,fepA,P05825
Fe(2+),Binds 1 Fe(2+) ion per subunit,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Probable O-sialoglycoprotein endopeptidase ,tsaD,P05852
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Vitamin B12 transporter BtuB ,btuB,P06129
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Vitamin B12 transport periplasmic protein BtuE ,btuE,P06610
Mg(2+),"Binds two Mg(2+) ions per subunit. The magnesium ions form salt bridges with both the protein and the DNA. Can also accept other divalent metal cations, such as Mn(2+) or Ca(2+)",Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA topoisomerase 1 ,topA,P06612
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,GTPase Era ,era,P06616
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Bifunctional protein BirA ,birA,P06709
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA polymerase III subunit tau ,dnaX,P06710
FAD,Binds 1 FAD per subuni,Metabolism,Energy production and conversion,Energy production and conversion,Glutathione reductase ,gor,P06715
NAD(+),Binds 1 NAD(+) per subunit,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Alpha-galactosidase ,melA,P06720
Mn(2+),Binds 1 Mn(2+) ion per subunit,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Alpha-galactosidase ,melA,P06720
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,HTH-type transcriptional regulator ebgR ,ebgR,P06846
(R)-lipoate,Binds 3 lipoyl cofactors covalentl,Metabolism,Energy production and conversion,Energy production and conversion,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex ,aceF,P06959
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Ornithine carbamoyltransferase chain F ,argF,P06960
Mg(2+),Magnesium is required for nucleotidyltransferase activit,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Multifunctional CCA protein ,cca,P06961
Ni(2+),Nickel for phosphatase activit,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Multifunctional CCA protein ,cca,P06961
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,HTH-type transcriptional regulator dicA ,dicA,P06966
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Ferrichrome-iron receptor ,fhuA,P06971
dipyrromethane,Binds 1 dipyrromethane group covalentl,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Porphobilinogen deaminase ,hemC,P06983
Zn(2+),Binds 1 zinc ion per subunit,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Histidinol dehydrogenase ,hisD,P06988
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Histidine biosynthesis bifunctional protein HisIE ,hisI,P06989
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Ribosomal RNA small subunit methyltransferase A ,rsmA,P06992
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,HTH-type transcriptional regulator malT ,malT,P06993
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein C ,ompC,P06996
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,NAD(P) transhydrogenase subunit alpha ,pntA,P07001
FAD,Binds 1 FAD per subunit,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Pyruvate dehydrogenase [ubiquinone] ,poxB,P07003
Mg(2+),Binds 1 Mg(2+) ion per subunit,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Pyruvate dehydrogenase [ubiquinone] ,poxB,P07003
thiamine diphosphate,Binds 1 thiamine pyrophosphate per subunit,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Pyruvate dehydrogenase [ubiquinone] ,poxB,P07003
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Gamma-glutamyl phosphate reductase ,proA,P07004
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Peptide chain release factor 2 ,prfB,P07012
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Primosomal replication protein n ,priB,P07013
[2Fe-2S] cluster,Binds 1 [2Fe-2S] cluste,Metabolism,Energy production and conversion,Energy production and conversion,Succinate dehydrogenase iron-sulfur subunit ,sdhB,P07014
[3Fe-4S] cluster,Binds 1 [3Fe-4S] cluste,Metabolism,Energy production and conversion,Energy production and conversion,Succinate dehydrogenase iron-sulfur subunit ,sdhB,P07014
[4Fe-4S] cluster,Binds 1 [4Fe-4S] cluste,Metabolism,Energy production and conversion,Energy production and conversion,Succinate dehydrogenase iron-sulfur subunit ,sdhB,P07014
None,No known associated cofactor,Cellular Processes and Signaling,Cell motility,Cell motility,Methyl-accepting chemotaxis protein II ,tar,P07017
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Putative lipoprotein yfiB ,yfiB,P07021
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,T-protein ,tyrA,P07023
Zn(2+),Binds 2 Zn(2+) ions per subuni,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Protein UshA ,ushA,P07024
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Periplasmic AppA protein ,appA,P07102
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Histidine transport ATP-binding protein HisP ,hisP,P07109
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Sodium/proline symporter ,putP,P07117
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Valyl-tRNA synthetase ,valS,P07118
None,No known associated cofactor,Cellular Processes and Signaling,Cell motility,Cell motility,Isoform cheA(S) of Chemotaxis protein CheA ,cheA,P07363
Mg(2+),Binds 2 magnesium ions per tetramer,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Phenylalanyl-tRNA synthetase beta chain ,pheT,P07395
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Transcriptional regulatory protein tyrR ,tyrR,P07604
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Homoserine O-succinyltransferase ,metA,P07623
Co(2+),"Binds 1 divalent metal cation per subunit. Displays higher activity with Co(2+), however, Zn(2+) may be the physiological metal cofactor",Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,3-dehydroquinate synthase ,aroB,P07639
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Exodeoxyribonuclease V gamma chain ,recC,P07648
None,No known associated cofactor,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Thymidine phosphorylase ,deoA,P07650
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,"1,4-alpha-glucan-branching enzyme ",glgB,P07762
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Leucyl-tRNA synthetase ,leuS,P07813
Mg(2+),Binds 2 magnesium or manganese ions per subunit,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,D-alanine--D-alanine ligase B ,ddlB,P07862
Zn(2+),Binds 2 Zn(2+) ions per subunit. Co(2+) and Cd(2+) can exchange for Zn(2+) (PubMed:2007567). Probably contains one structural ion and one catalytic ion that seems to be less tightly bound at the site (PubMed:9784233),Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,L-threonine 3-dehydrogenase ,tdh,P07913
Mg(2+),Binds 1 Mg(2+) ion per subunit,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Acetolactate synthase isozyme 1 large subunit ,ilvB,P08142
thiamine diphosphate,Binds 1 thiamine pyrophosphate per subunit,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Acetolactate synthase isozyme 1 large subunit ,ilvB,P08142
None,No known associated cofactor,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Phosphoribosylformylglycinamidine cyclo-ligase ,purM,P08178
None,No known associated cofactor,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Phosphoribosylglycinamide formyltransferase ,purN,P08179
Mg(2+),Binds 2 Mg(2+) ions per subunit,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Bifunctional protein folC ,folC,P08192
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Glycerol-3-phosphate transporter ,glpT,P08194
Mg(2+),Binds 1 Mg(2+) or Mn(2+) ion per subunit,Metabolism,Energy production and conversion,Energy production and conversion,Isocitrate dehydrogenase [NADP] ,icd,P08200
siroheme,Binds 1 siroheme per subuni,Metabolism,Energy production and conversion,Energy production and conversion,Nitrite reductase [NAD(P)H] large subunit ,nirB,P08201
[4Fe-4S] cluster,Binds 1 [4Fe-4S] cluster per subuni,Metabolism,Energy production and conversion,Energy production and conversion,Nitrite reductase [NAD(P)H] large subunit ,nirB,P08201
None,No known associated cofactor,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Orotidine 5'-phosphate decarboxylase ,pyrF,P08244
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Uncharacterized protein yciH ,yciH,P08245
Mg(2+),Binds 2 magnesium ions per tetramer,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Phenylalanyl-tRNA synthetase alpha chain ,pheS,P08312
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Transcriptional regulatory protein CreB ,creB,P08368
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,USG-1 protein ,usg,P08390
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Protease 4 ,sppA,P08395
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,D-alanyl-D-alanine carboxypeptidase dacC ,dacC,P08506
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Colicin V production protein ,cvpA,P08550
Zn(2+),Binds 2 Zn(2+) ions per monome,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Chaperone protein dnaJ ,dnaJ,P08622
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Lysine-sensitive aspartokinase 3 ,lysC,P08660
None,No known associated cofactor,Cellular Processes and Signaling,Defense mechanisms,Defense mechanisms,Type I restriction enzyme EcoKI R protein ,hsdR,P08956
None,No known associated cofactor,Cellular Processes and Signaling,Defense mechanisms,Defense mechanisms,Type I restriction enzyme EcoKI M protein ,hsdM,P08957
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,Malate synthase A ,aceB,P08997
None,No known associated cofactor,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,N5-carboxyaminoimidazole ribonucleotide synthase ,purK,P09029
Mg(2+),Probably binds two magnesium or manganese ions per subunit,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Exodeoxyribonuclease III ,xthA,P09030
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Xylulose kinase ,xylB,P09099
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Uroporphyrinogen-III synthase ,hemD,P09126
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Putative uroporphyrinogen-III C-methyltransferase ,hemX,P09127
Zn(2+),Binds 1 zinc ion per subunit. Zinc binding seems to play a structural role,Metabolism,Energy production and conversion,Energy production and conversion,Galactose-1-phosphate uridylyltransferase ,galT,P09148
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,2-isopropylmalate synthase ,leuA,P09151
[4Fe-4S] cluster,Binds 1 [4Fe-4S] cluster per subuni,Metabolism,Energy production and conversion,Energy production and conversion,Respiratory nitrate reductase 1 alpha chain ,narG,P09152
Mo-bis(molybdopterin guanine dinucleotide),Binds 1 molybdenum-bis(molybdopterin guanine dinucleotide) (Mo-bis-MGD) cofactor per subuni,Metabolism,Energy production and conversion,Energy production and conversion,Respiratory nitrate reductase 1 alpha chain ,narG,P09152
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Spermidine synthase ,speE,P09158
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Protease 7 ,ompT,P09169
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Protein grpE ,grpE,P09372
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,Formate acetyltransferase 1 ,pflB,P09373
Ca(2+),Binds 1 Ca(2+) ion per subunit,Metabolism,Energy production and conversion,Energy production and conversion,Glycerophosphoryl diester phosphodiesterase ,glpQ,P09394
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Mannitol-1-phosphate 5-dehydrogenase ,mtlD,P09424
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Protein dedD ,dedD,P09549
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Lysine-arginine-ornithine-binding periplasmic protein ,argT,P09551
