cog_class,cog_desc,cog_letter,desc,gene,go_number,pathway,uniprot
Amino acid transport and metabolism,METABOLISM,EH,Para-aminobenzoate synthase glutamine amidotransferase component II,pabA,46656.0,folic acid biosynthetic process,P00903
Amino acid transport and metabolism,METABOLISM,EH,Para-aminobenzoate synthase glutamine amidotransferase component II,pabA,6541.0,glutamine metabolic process,P00903
Amino acid transport and metabolism,METABOLISM,EH,Para-aminobenzoate synthase glutamine amidotransferase component II,pabA,46654.0,tetrahydrofolate biosynthetic process,P00903
Amino acid transport and metabolism,METABOLISM,EH,Para-aminobenzoate synthase glutamine amidotransferase component II,pabA,162.0,tryptophan biosynthetic process,P00903
Amino acid transport and metabolism,METABOLISM,E,Anthranilate synthase component II,trpG,6541.0,glutamine metabolic process,P00904
Amino acid transport and metabolism,METABOLISM,E,Anthranilate synthase component II,trpG,2047.0,phenazine biosynthetic process,P00904
Amino acid transport and metabolism,METABOLISM,E,Anthranilate synthase component II,trpG,162.0,tryptophan biosynthetic process,P00904
Amino acid transport and metabolism,METABOLISM,E,Tryptophan biosynthesis protein trpCF,trpC,162.0,tryptophan biosynthetic process,P00909
Amino acid transport and metabolism,METABOLISM,E,D-serine dehydratase,dsdA,6974.0,cellular response to DNA damage stimulus,P00926
Amino acid transport and metabolism,METABOLISM,E,D-serine dehydratase,dsdA,51410.0,detoxification of nitrogen compound,P00926
Amino acid transport and metabolism,METABOLISM,E,D-serine dehydratase,dsdA,36088.0,D-serine catabolic process,P00926
Amino acid transport and metabolism,METABOLISM,E,D-serine dehydratase,dsdA,70178.0,D-serine metabolic process,P00926
Amino acid transport and metabolism,METABOLISM,E,D-serine dehydratase,dsdA,6565.0,L-serine catabolic process,P00926
Amino acid transport and metabolism,METABOLISM,E,D-serine dehydratase,dsdA,6567.0,threonine catabolic process,P00926
Amino acid transport and metabolism,METABOLISM,E,Threonine synthase,thrC,9088.0,threonine biosynthetic process,P00934
Amino acid transport and metabolism,METABOLISM,E,Cystathionine gamma-synthase,metB,19343.0,cysteine biosynthetic process via cystathionine,P00935
Amino acid transport and metabolism,METABOLISM,E,Cystathionine gamma-synthase,metB,9086.0,methionine biosynthetic process,P00935
Amino acid transport and metabolism,METABOLISM,E,Cystathionine gamma-synthase,metB,19346.0,transsulfuration,P00935
Nucleotide transport and metabolism,METABOLISM,F,Adenylate cyclase,cyaA,6171.0,cAMP biosynthetic process,P00936
Carbohydrate transport and metabolism,METABOLISM,G,Xylose isomerase,xylA,42843.0,D-xylose catabolic process,P00944
Carbohydrate transport and metabolism,METABOLISM,G,Mannose-6-phosphate isomerase,manA,32.0,cell wall mannoprotein biosynthetic process,P00946
Carbohydrate transport and metabolism,METABOLISM,G,Mannose-6-phosphate isomerase,manA,9242.0,colanic acid biosynthetic process,P00946
Carbohydrate transport and metabolism,METABOLISM,G,Mannose-6-phosphate isomerase,manA,9298.0,GDP-mannose biosynthetic process,P00946
Carbohydrate transport and metabolism,METABOLISM,G,Mannose-6-phosphate isomerase,manA,19309.0,mannose catabolic process,P00946
Carbohydrate transport and metabolism,METABOLISM,G,Mannose-6-phosphate isomerase,manA,6486.0,protein glycosylation,P00946
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Tryptophanyl-tRNA synthetase,trpS,6436.0,tryptophanyl-tRNA aminoacylation,P00954
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Isoleucyl-tRNA synthetase,ileS,6428.0,isoleucyl-tRNA aminoacylation,P00956
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Isoleucyl-tRNA synthetase,ileS,46677.0,response to antibiotic,P00956
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Alanyl-tRNA synthetase,alaS,6419.0,alanyl-tRNA aminoacylation,P00957
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Alanyl-tRNA synthetase,alaS,45892.0,"negative regulation of transcription, DNA-templated",P00957
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Alanyl-tRNA synthetase,alaS,6400.0,tRNA modification,P00957
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Methionyl-tRNA synthetase,metG,6431.0,methionyl-tRNA aminoacylation,P00959
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Glycyl-tRNA synthetase alpha subunit,glyQ,6426.0,glycyl-tRNA aminoacylation,P00960
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Glycyl-tRNA synthetase beta subunit,glyS,6420.0,arginyl-tRNA aminoacylation,P00961
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Glycyl-tRNA synthetase beta subunit,glyS,6426.0,glycyl-tRNA aminoacylation,P00961
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Glutaminyl-tRNA synthetase,glnS,6425.0,glutaminyl-tRNA aminoacylation,P00962
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Glutaminyl-tRNA synthetase,glnS,6424.0,glutamyl-tRNA aminoacylation,P00962
Amino acid transport and metabolism,METABOLISM,E,Aspartate--ammonia ligase,asnA,6529.0,asparagine biosynthetic process,P00963
Amino acid transport and metabolism,METABOLISM,E,Aspartate--ammonia ligase,asnA,6974.0,cellular response to DNA damage stimulus,P00963
Amino acid transport and metabolism,METABOLISM,E,Aspartate--ammonia ligase,asnA,70981.0,L-asparagine biosynthetic process,P00963
Amino acid transport and metabolism,METABOLISM,EF,Carbamoyl-phosphate synthase large chain,carB,44205.0,'de novo' UMP biosynthetic process,P00968
Amino acid transport and metabolism,METABOLISM,EF,Carbamoyl-phosphate synthase large chain,carB,6526.0,arginine biosynthetic process,P00968
Amino acid transport and metabolism,METABOLISM,EF,Carbamoyl-phosphate synthase large chain,carB,8652.0,cellular amino acid biosynthetic process,P00968
Amino acid transport and metabolism,METABOLISM,EF,Carbamoyl-phosphate synthase large chain,carB,6541.0,glutamine metabolic process,P00968
Amino acid transport and metabolism,METABOLISM,EF,Carbamoyl-phosphate synthase large chain,carB,6807.0,nitrogen compound metabolic process,P00968
Amino acid transport and metabolism,METABOLISM,EF,Carbamoyl-phosphate synthase large chain,carB,19856.0,pyrimidine nucleobase biosynthetic process,P00968
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S6,rpsF,6412.0,translation,P02358
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S7,rpsG,17148.0,negative regulation of translation,P02359
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S7,rpsG,28.0,ribosomal small subunit assembly,P02359
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S7,rpsG,6412.0,translation,P02359
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L15,rplO,6412.0,translation,P02413
Carbohydrate transport and metabolism,METABOLISM,G,Maltose transport system permease protein malF,malF,6974.0,cellular response to DNA damage stimulus,P02916
Carbohydrate transport and metabolism,METABOLISM,G,Maltose transport system permease protein malF,malF,42956.0,maltodextrin transport,P02916
Carbohydrate transport and metabolism,METABOLISM,G,Maltose transport system permease protein malF,malF,15768.0,maltose transport,P02916
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,M,Penicillin-binding protein 1A,mrcA,71555.0,cell wall organization,P02918
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,M,Penicillin-binding protein 1A,mrcA,9252.0,peptidoglycan biosynthetic process,P02918
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,M,Penicillin-binding protein 1A,mrcA,8360.0,regulation of cell shape,P02918
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,M,Penicillin-binding protein 1A,mrcA,46677.0,response to antibiotic,P02918
Carbohydrate transport and metabolism,METABOLISM,G,L-arabinose-binding periplasmic protein,araF,42882.0,L-arabinose transmembrane transport,P02924
Carbohydrate transport and metabolism,METABOLISM,G,D-ribose-binding periplasmic protein,rbsB,15752.0,D-ribose transmembrane transport,P02925
Carbohydrate transport and metabolism,METABOLISM,G,D-ribose-binding periplasmic protein,rbsB,50918.0,positive chemotaxis,P02925
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,M,Protein tonB,tonB,15889.0,cobalamin transport,P02929
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,M,Protein tonB,tonB,42914.0,colicin transport,P02929
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,M,Protein tonB,tonB,15031.0,protein transport,P02929
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,M,Protein tonB,tonB,98002.0,receptor-mediated bacteriophage irreversible attachment to host cell,P02929
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,M,Protein tonB,tonB,15891.0,siderophore transport,P02929
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,MU,Outer membrane protein tolC,tolC,15721.0,bile acid and bile salt transport,P02930
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,MU,Outer membrane protein tolC,tolC,42930.0,enterobactin transport,P02930
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,MU,Outer membrane protein tolC,tolC,34220.0,ion transmembrane transport,P02930
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,MU,Outer membrane protein tolC,tolC,46677.0,response to antibiotic,P02930
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,MU,Outer membrane protein tolC,tolC,42493.0,response to drug,P02930
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,MU,Outer membrane protein tolC,tolC,14070.0,response to organic cyclic compound,P02930
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,MU,Outer membrane protein tolC,tolC,9636.0,response to toxic substance,P02930
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,MU,Outer membrane protein tolC,tolC,1990961.0,xenobiotic detoxification by transmembrane export across the plasma membrane,P02930
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,M,Outer membrane protein F,ompF,6855.0,drug transmembrane transport,P02931
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,M,Outer membrane protein F,ompF,34220.0,ion transmembrane transport,P02931
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,M,Outer membrane protein F,ompF,70207.0,protein homotrimerization,P02931
Cell motility,CELLULAR PROCESSES AND SIGNALING,NT,Methyl-accepting chemotaxis protein I,tsr,48870.0,cell motility,P02942
Cell motility,CELLULAR PROCESSES AND SIGNALING,NT,Methyl-accepting chemotaxis protein I,tsr,71230.0,cellular response to amino acid stimulus,P02942
Cell motility,CELLULAR PROCESSES AND SIGNALING,NT,Methyl-accepting chemotaxis protein I,tsr,6935.0,chemotaxis,P02942
Cell motility,CELLULAR PROCESSES AND SIGNALING,NT,Methyl-accepting chemotaxis protein I,tsr,9593.0,detection of chemical stimulus,P02942
Cell motility,CELLULAR PROCESSES AND SIGNALING,NT,Methyl-accepting chemotaxis protein I,tsr,51260.0,protein homooligomerization,P02942
Cell motility,CELLULAR PROCESSES AND SIGNALING,NT,Methyl-accepting chemotaxis protein I,tsr,43113.0,receptor clustering,P02942
Cell motility,CELLULAR PROCESSES AND SIGNALING,NT,Methyl-accepting chemotaxis protein I,tsr,1902021.0,regulation of bacterial-type flagellum-dependent cell motility,P02942
Cell motility,CELLULAR PROCESSES AND SIGNALING,NT,Methyl-accepting chemotaxis protein I,tsr,50920.0,regulation of chemotaxis,P02942
Cell motility,CELLULAR PROCESSES AND SIGNALING,NT,Methyl-accepting chemotaxis protein I,tsr,32110.0,regulation of protein histidine kinase activity,P02942
Cell motility,CELLULAR PROCESSES AND SIGNALING,NT,Methyl-accepting chemotaxis protein I,tsr,43200.0,response to amino acid,P02942
Cell motility,CELLULAR PROCESSES AND SIGNALING,NT,Methyl-accepting chemotaxis protein I,tsr,7172.0,signal complex assembly,P02942
Cell motility,CELLULAR PROCESSES AND SIGNALING,NT,Methyl-accepting chemotaxis protein I,tsr,7165.0,signal transduction,P02942
Carbohydrate transport and metabolism,METABOLISM,G,Maltoporin,lamB,6974.0,cellular response to DNA damage stimulus,P02943
Carbohydrate transport and metabolism,METABOLISM,G,Maltoporin,lamB,6811.0,ion transport,P02943
Carbohydrate transport and metabolism,METABOLISM,G,Maltoporin,lamB,42956.0,maltodextrin transport,P02943
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Chromosomal replication initiator protein dnaA,dnaA,6260.0,DNA replication,P03004
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Chromosomal replication initiator protein dnaA,dnaA,6270.0,DNA replication initiation,P03004
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Chromosomal replication initiator protein dnaA,dnaA,8156.0,negative regulation of DNA replication,P03004
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Chromosomal replication initiator protein dnaA,dnaA,6275.0,regulation of DNA replication,P03004
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,DNA polymerase III subunit epsilon,dnaQ,45004.0,DNA replication proofreading,P03007
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,DNA helicase II,uvrD,32508.0,DNA duplex unwinding,P03018
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,DNA helicase II,uvrD,6281.0,DNA repair,P03018
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,DNA helicase II,uvrD,6268.0,DNA unwinding involved in DNA replication,P03018
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,DNA helicase II,uvrD,6298.0,mismatch repair,P03018
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,DNA helicase II,uvrD,6289.0,nucleotide-excision repair,P03018
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,DNA helicase II,uvrD,51260.0,protein homooligomerization,P03018
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,DNA helicase II,uvrD,725.0,recombinational repair,P03018
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,DNA helicase II,uvrD,31297.0,replication fork processing,P03018
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,DNA helicase II,uvrD,9314.0,response to radiation,P03018
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,DNA helicase II,uvrD,70581.0,rolling circle DNA replication,P03018
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,DNA helicase II,uvrD,9432.0,SOS response,P03018
Transcription,INFORMATION STORAGE AND PROCESSING,K,Lactose operon repressor,lacI,45892.0,"negative regulation of transcription, DNA-templated",P03023
Transcription,INFORMATION STORAGE AND PROCESSING,K,HTH-type transcriptional regulator galR,galR,6012.0,galactose metabolic process,P03024
Transcription,INFORMATION STORAGE AND PROCESSING,K,HTH-type transcriptional regulator galR,galR,6355.0,"regulation of transcription, DNA-templated",P03024
Transcription,INFORMATION STORAGE AND PROCESSING,K,HTH-type transcriptional regulator galR,galR,6351.0,"transcription, DNA-templated",P03024
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,M,Uncharacterized protein YgeA,ygeA,6807.0,nitrogen compound metabolic process,P03813
Energy production and conversion,METABOLISM,C,Protein mioC,mioC,55114.0,oxidation-reduction process,P03817
Energy production and conversion,METABOLISM,C,Protein mioC,mioC,51302.0,regulation of cell division,P03817
Inorganic ion transport and metabolism,METABOLISM,P,Glutathione-regulated potassium-efflux system protein kefC,kefC,6813.0,potassium ion transport,P03819
Inorganic ion transport and metabolism,METABOLISM,P,Glutathione-regulated potassium-efflux system protein kefC,kefC,6885.0,regulation of pH,P03819
Inorganic ion transport and metabolism,METABOLISM,P,Glutathione-regulated potassium-efflux system protein kefC,kefC,51595.0,response to methylglyoxal,P03819
Inorganic ion transport and metabolism,METABOLISM,P,Glutathione-regulated potassium-efflux system protein kefC,kefC,9636.0,response to toxic substance,P03819
,,-,Maltose operon periplasmic protein,malM,8643.0,carbohydrate transport,P03841
Amino acid transport and metabolism,METABOLISM,E,Dihydrodipicolinate reductase,dapB,8652.0,cellular amino acid biosynthetic process,P04036
Amino acid transport and metabolism,METABOLISM,E,Dihydrodipicolinate reductase,dapB,19877.0,diaminopimelate biosynthetic process,P04036
Amino acid transport and metabolism,METABOLISM,E,Dihydrodipicolinate reductase,dapB,9089.0,lysine biosynthetic process via diaminopimelate,P04036
Nucleotide transport and metabolism,METABOLISM,F,GMP synthase [glutamine-hydrolyzing],guaA,6541.0,glutamine metabolic process,P04079
Nucleotide transport and metabolism,METABOLISM,F,GMP synthase [glutamine-hydrolyzing],guaA,6177.0,GMP biosynthetic process,P04079
"Secondary metabolites biosynthesis, transport and catabolism",METABOLISM,Q,Esterase frsA,frsA,43470.0,regulation of carbohydrate catabolic process,P04335
Amino acid transport and metabolism,METABOLISM,E,Ornithine carbamoyltransferase chain I,argI,42450.0,arginine biosynthetic process via ornithine,P04391
Amino acid transport and metabolism,METABOLISM,E,Ornithine carbamoyltransferase chain I,argI,19240.0,citrulline biosynthetic process,P04391
