annotation,cog_category,cog_class,cog_id,cog_letter,gene_name,uniprot,go_ids,refseq_id,uniprot_kw_ids,mass_da
"Arginase/agmatinase/formimionoglutamate hydrolase, arginase family",Metabolism,Amino acid transport and metabolism,COG0010,E,speB,P60651,GO:0005829; GO:0046872; GO:0016813; GO:0016787; GO:0006596; GO:0033388; GO:0030145; GO:0009446; GO:0008295; GO:0008783; GO:0033389,YP_003045955.1,KW-0378; KW-0464; KW-0479; KW-0620; KW-0661; KW-0745; KW-1185,33557.0
"Predicted GTPase, probable translation factor",Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0012,J,ychF,P0ABU2,GO:0043086; GO:0046872; GO:0005524; GO:0005515; GO:0004857; GO:0006979; GO:0043022; GO:0043023; GO:0016887; GO:0005525; GO:0000166; GO:0005737,YP_003044393.1,KW-0067; KW-0460; KW-0479; KW-0547; KW-0903; KW-1185,39667.0
Alanyl-tRNA synthetase,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0013,J,alaS,P00957,GO:0106074; GO:0002196; GO:0005829; GO:0043039; GO:0016874; GO:0006412; GO:0004812; GO:0046872; GO:0042802; GO:0003676; GO:0001217; GO:0002161; GO:0003723; GO:0000049; GO:0008270; GO:0005524; GO:0000166; GO:0006419; GO:0045892; GO:0004813; GO:0005737; GO:0006400; GO:0016597,YP_003045736.1,KW-0002; KW-0007; KW-0030; KW-0067; KW-0436; KW-0479; KW-0547; KW-0648; KW-0694; KW-0820; KW-0862; KW-0903; KW-0963; KW-1185,96032.0
Gamma-glutamyl phosphate reductase,Metabolism,Amino acid transport and metabolism,COG0014,E,proA,P07004,GO:0016620; GO:0005515; GO:0042802; GO:0016491; GO:0008652; GO:0055129; GO:0005829; GO:0055114; GO:0050661; GO:0004350; GO:0006561; GO:0005737,YP_003043467.1,KW-0028; KW-0521; KW-0560; KW-0641; KW-0903; KW-0963; KW-1185,44630.0
Adenylosuccinate lyase,Metabolism,Nucleotide transport and metabolism,COG0015,F,purB,P0AB89,GO:0006974; GO:0005515; GO:0016829; GO:0003824; GO:0009152; GO:0006188; GO:0044208; GO:0006189; GO:0005829; GO:0070626; GO:0004018; GO:0006164,YP_003044346.1,KW-0002; KW-0007; KW-0456; KW-0658; KW-0903; KW-1185,51543.0
Phenylalanyl-tRNA synthetase alpha subunit,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0016,J,pheS,P08312,GO:0000287; GO:0009328; GO:0043039; GO:0006432; GO:0000049; GO:0005829; GO:0046872; GO:0016874; GO:0006412; GO:0005524; GO:0005515; GO:0004812; GO:0000166; GO:0004826; GO:0005737,YP_003044882.1,KW-0002; KW-0030; KW-0067; KW-0436; KW-0460; KW-0479; KW-0547; KW-0648; KW-0963; KW-1185,36832.0
Aspartyl/asparaginyl-tRNA synthetases,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0017,J,asnS,P0A8M0,GO:0006418; GO:0016874; GO:0006421; GO:0003676; GO:0000166; GO:0006412; GO:0005524; GO:0004812; GO:0004816; GO:0005737,,KW-0030; KW-0067; KW-0436; KW-0547; KW-0648; KW-0903; KW-0963; KW-1185,52570.0
Arginyl-tRNA synthetase,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0018,J,argS,P11875,GO:0005829; GO:0006420; GO:0006418; GO:0016874; GO:0006412; GO:0005524; GO:0004812; GO:0000166; GO:0004814; GO:0005737,YP_003045044.1,KW-0002; KW-0030; KW-0067; KW-0436; KW-0547; KW-0648; KW-0903; KW-0963; KW-1185,64683.0
Diaminopimelate decarboxylase,Metabolism,Amino acid transport and metabolism,COG0019,E,lysA,P00861,GO:0005515; GO:0016831; GO:0016829; GO:0003824; GO:0030170; GO:0009089; GO:0009085; GO:0008652; GO:0008836,YP_003045874.1,KW-0002; KW-0028; KW-0210; KW-0456; KW-0457; KW-0663; KW-1185,46177.0
Transketolase,Metabolism,Carbohydrate transport and metabolism,COG0021,G,tktA,P27302,GO:0004802; GO:0032991; GO:0072756; GO:0072747; GO:0071236; GO:0070301; GO:0045893; GO:0036245; GO:0005515; GO:0005829; GO:0046872; GO:0016740; GO:0003824; GO:0030145; GO:0030976; GO:0009052; GO:0006098,YP_003045953.1,KW-0002; KW-0007; KW-0106; KW-0460; KW-0479; KW-0786; KW-0808; KW-1185,72212.0
Transketolase,Metabolism,Carbohydrate transport and metabolism,COG0021,G,tktB,P33570,GO:0004802; GO:0005829; GO:0016740; GO:0003824; GO:0009052; GO:0046872; GO:0006098,YP_003045547.1,KW-0007; KW-0106; KW-0460; KW-0479; KW-0786; KW-0808; KW-1185,73043.0
Translation initiation factor 1 (eIF-1/SUI1) and related proteins,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0023,J,yciH,P08245,GO:0043024; GO:0006417; GO:0006413; GO:0003743; GO:0006412; GO:0003729; GO:0002188; GO:0001731,YP_003044470.1,KW-0002; KW-0648; KW-0810; KW-1185,11396.0
Methionine aminopeptidase,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0024,J,map,P0AE18,GO:0046872; GO:0016787; GO:0008235; GO:0008233; GO:0004177; GO:0005829; GO:0008198; GO:0070006; GO:0070084; GO:0006508,YP_003043395.1,KW-0002; KW-0031; KW-0378; KW-0479; KW-0645; KW-0903; KW-1185,29331.0
NhaP-type Na+/H+ and K+/H+ antiporters,Metabolism,Inorganic ion transport and metabolism,COG0025,P,yjcE,P32703,GO:0006812; GO:1902600; GO:0055085; GO:0015299; GO:0005886; GO:0016021; GO:0016020; GO:0015297; GO:0006814; GO:0006811; GO:0051453; GO:0071805; GO:0098719; GO:0015386; GO:0015385,YP_003047108.1,KW-0050; KW-0406; KW-0472; KW-0739; KW-0812; KW-0813; KW-0915; KW-0997; KW-1003; KW-1133; KW-1185,60523.0
Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase),Metabolism,Nucleotide transport and metabolism,COG0026,F,purK,P09029,GO:0004638; GO:0016874; GO:0000166; GO:0046872; GO:0006189; GO:0005829; GO:0034028; GO:0005524; GO:0006164,YP_003043698.1,KW-0002; KW-0067; KW-0436; KW-0547; KW-0658; KW-0903; KW-1185,39461.0
Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase),Metabolism,Nucleotide transport and metabolism,COG0027,F,purT,P33221,GO:0043815; GO:0016742; GO:0016310; GO:0005515; GO:0016740; GO:0009152; GO:0004644; GO:0000287; GO:0006189; GO:0005829; GO:0046872; GO:0005524; GO:0000166; GO:0008776; GO:0006164,YP_003045017.1,KW-0002; KW-0007; KW-0067; KW-0460; KW-0479; KW-0547; KW-0658; KW-0808; KW-0903; KW-1185,42434.0
"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]",Metabolism,Amino acid transport and metabolism,COG0028,E,ilvB,P08142,GO:0005515; GO:0016740; GO:0009082; GO:0008652; GO:0003824; GO:0050660; GO:0030976; GO:0000287; GO:0046872; GO:0005948; GO:0003984; GO:0009097; GO:0009099,YP_003046732.1,KW-0028; KW-0100; KW-0274; KW-0285; KW-0460; KW-0479; KW-0786; KW-0808; KW-1185,60441.0
"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]",Metabolism,Amino acid transport and metabolism,COG0028,E,ilvI,P00893,GO:0005829; GO:0016740; GO:0009082; GO:0008652; GO:0003824; GO:0050660; GO:0030976; GO:0000287; GO:0046872; GO:0009097; GO:0003984; GO:0009099,YP_003043308.1,KW-0028; KW-0100; KW-0274; KW-0285; KW-0460; KW-0479; KW-0786; KW-0808; KW-0903; KW-1185,62984.0
"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]",Metabolism,Amino acid transport and metabolism,COG0028,E,poxB,P07003,GO:0042867; GO:0050660; GO:0051289; GO:0042802; GO:0006090; GO:0030976; GO:0003824; GO:0000287; GO:0052737; GO:0055114; GO:0005886; GO:0005829; GO:0016491; GO:0016020; GO:0008289,YP_003044094.1,KW-0002; KW-0274; KW-0285; KW-0446; KW-0460; KW-0472; KW-0560; KW-0786; KW-0903; KW-1003; KW-1185,62011.0
"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]",Metabolism,Coenzyme transport and metabolism,COG0028,H,ilvB,P08142,GO:0005515; GO:0016740; GO:0009082; GO:0008652; GO:0003824; GO:0050660; GO:0030976; GO:0000287; GO:0046872; GO:0005948; GO:0003984; GO:0009097; GO:0009099,YP_003046732.1,KW-0028; KW-0100; KW-0274; KW-0285; KW-0460; KW-0479; KW-0786; KW-0808; KW-1185,60441.0
"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]",Metabolism,Coenzyme transport and metabolism,COG0028,H,ilvI,P00893,GO:0005829; GO:0016740; GO:0009082; GO:0008652; GO:0003824; GO:0050660; GO:0030976; GO:0000287; GO:0046872; GO:0009097; GO:0003984; GO:0009099,YP_003043308.1,KW-0028; KW-0100; KW-0274; KW-0285; KW-0460; KW-0479; KW-0786; KW-0808; KW-0903; KW-1185,62984.0
"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]",Metabolism,Coenzyme transport and metabolism,COG0028,H,poxB,P07003,GO:0042867; GO:0050660; GO:0051289; GO:0042802; GO:0006090; GO:0030976; GO:0003824; GO:0000287; GO:0052737; GO:0055114; GO:0005886; GO:0005829; GO:0016491; GO:0016020; GO:0008289,YP_003044094.1,KW-0002; KW-0274; KW-0285; KW-0446; KW-0460; KW-0472; KW-0560; KW-0786; KW-0903; KW-1003; KW-1185,62011.0
Aspartate oxidase,Metabolism,Coenzyme transport and metabolism,COG0029,H,nadB,P10902,GO:0008734; GO:0005829; GO:0019363; GO:0016491; GO:0009435; GO:0044318; GO:0055114; GO:0034628; GO:0050660; GO:0005737,YP_003045657.1,KW-0002; KW-0274; KW-0285; KW-0560; KW-0662; KW-0903; KW-0963; KW-1015; KW-1185,60337.0
Cysteine synthase,Metabolism,Amino acid transport and metabolism,COG0031,E,cysK,P0ABK5,GO:0006535; GO:0004124; GO:0008652; GO:0016740; GO:0042802; GO:0030170; GO:0005515; GO:0019344; GO:0016829; GO:0008152; GO:0003824; GO:0050272; GO:0080146; GO:0005829; GO:0009333; GO:0005737,YP_003045505.1,KW-0002; KW-0021; KW-0028; KW-0198; KW-0456; KW-0663; KW-0808; KW-0903; KW-1185,34490.0
Cysteine synthase,Metabolism,Amino acid transport and metabolism,COG0031,E,cysM,P16703,GO:0005515; GO:0019344; GO:0008652; GO:0080146; GO:0016740; GO:0004124; GO:0006535; GO:0030170; GO:0005737,YP_003045512.1,KW-0002; KW-0028; KW-0198; KW-0663; KW-0808; KW-1185,32664.0
Phosphoglucomutase,Metabolism,Carbohydrate transport and metabolism,COG0033,G,pgm,P36938,GO:0004614; GO:0005515; GO:0071704; GO:0005737; GO:0016868; GO:0016853; GO:0005975; GO:0000287; GO:0005829; GO:0046872; GO:0006006; GO:0019388; GO:0005978,YP_003043864.1,KW-0119; KW-0313; KW-0413; KW-0460; KW-0479; KW-0597; KW-0963; KW-1185,58361.0
Glutamine phosphoribosylpyrophosphate amidotransferase,Metabolism,Nucleotide transport and metabolism,COG0034,F,purF,P0AG16,GO:0004044; GO:0016757; GO:0006164; GO:0005737; GO:0006541; GO:0000287; GO:0016740; GO:0009116; GO:0009113; GO:0006189; GO:0042802; GO:0005829; GO:0046872,YP_003045429.1,KW-0002; KW-0315; KW-0328; KW-0460; KW-0479; KW-0658; KW-0808; KW-0903; KW-1185,56488.0
Uracil phosphoribosyltransferase,Metabolism,Nucleotide transport and metabolism,COG0035,F,upp,P0A8F0,GO:0008655; GO:0000287; GO:0009116; GO:0006206; GO:0006223; GO:0044206; GO:0042802; GO:0008152; GO:0003824; GO:0005525; GO:0000166; GO:0005829; GO:0016757; GO:0016740; GO:0004845; GO:0016301,YP_003045580.1,KW-0002; KW-0021; KW-0328; KW-0342; KW-0460; KW-0547; KW-0808; KW-0903; KW-1185,22533.0
Pentose-5-phosphate-3-epimerase,Metabolism,Carbohydrate transport and metabolism,COG0036,G,alsE,P32719,GO:0019316; GO:0016857; GO:0016853; GO:0005975; GO:0003824; GO:0046872; GO:0044262; GO:0034700; GO:0005829; GO:0004750; GO:0019323; GO:0009052,YP_003047128.1,KW-0002; KW-0119; KW-0170; KW-0413; KW-0464; KW-0479; KW-0862; KW-1185,26109.0
Pentose-5-phosphate-3-epimerase,Metabolism,Carbohydrate transport and metabolism,COG0036,G,rpe,P0AG07,GO:0004750; GO:0005829; GO:0046872; GO:0016857; GO:0016853; GO:0006098; GO:0005975; GO:0003824; GO:0008198; GO:0019323; GO:0005515; GO:0009052; GO:0044262,YP_003046422.1,KW-0119; KW-0170; KW-0408; KW-0413; KW-0464; KW-0479; KW-0862; KW-1185,24554.0
Pentose-5-phosphate-3-epimerase,Metabolism,Carbohydrate transport and metabolism,COG0036,G,sgcE,P39362,GO:0016857; GO:0003824; GO:0046872; GO:0016853; GO:0005975; GO:0019323; GO:0009052; GO:0005829; GO:0044262; GO:0004750,YP_003047330.1,KW-0119; KW-0170; KW-0408; KW-0413; KW-0464; KW-0479; KW-0862; KW-1185,23214.0
Chloride channel protein EriC,Metabolism,Inorganic ion transport and metabolism,COG0038,P,yfeO,P67729,GO:1902476; GO:0034220; GO:0055085; GO:0006821; GO:0005247; GO:0005886; GO:0016021; GO:0016020; GO:0006811; GO:0005216,YP_003045490.1,KW-0406; KW-0407; KW-0472; KW-0812; KW-0813; KW-1003; KW-1133; KW-1185,43574.0
Malate/lactate dehydrogenases,Metabolism,Energy production and conversion,COG0039,C,mdh,P61889,GO:0016615; GO:0016491; GO:0006108; GO:0009061; GO:0006113; GO:0006099; GO:0005737; GO:0006096; GO:0019898; GO:0019752; GO:0055114; GO:0005975; GO:0003824; GO:0016616; GO:0005829; GO:0030060,YP_003046281.1,KW-0002; KW-0520; KW-0560; KW-0816; KW-0903; KW-1185,32337.0
ATP phosphoribosyltransferase,Metabolism,Amino acid transport and metabolism,COG0040,E,hisG,P60757,GO:0005829; GO:0016757; GO:0016740; GO:0008652; GO:0000287; GO:0005524; GO:0000166; GO:0046872; GO:0005737; GO:0003879; GO:0000105,YP_003045115.1,KW-0002; KW-0028; KW-0067; KW-0328; KW-0368; KW-0460; KW-0479; KW-0547; KW-0808; KW-0963; KW-1185,33367.0
Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase,Metabolism,Nucleotide transport and metabolism,COG0041,F,purE,P0AG18,GO:0016853; GO:0006189; GO:0042802; GO:0034023; GO:0005829; GO:0006164,YP_003043699.1,KW-0002; KW-0413; KW-0658; KW-0903; KW-1185,17780.0
3-polyprenyl-4-hydroxybenzoate decarboxylase and related decarboxylases,Metabolism,Coenzyme transport and metabolism,COG0043,H,ubiD,P0AAB4,GO:0008694; GO:0034214; GO:0030145; GO:0032150; GO:0048037; GO:0046872; GO:0005829; GO:0016831; GO:0016829; GO:0042802; GO:0005886; GO:0016020; GO:0006744; GO:0005737,YP_003046908.1,KW-0002; KW-0210; KW-0285; KW-0288; KW-0456; KW-0464; KW-0472; KW-0479; KW-0831; KW-1003; KW-1185,55604.0
"Succinyl-CoA synthetase, beta subunit",Metabolism,Energy production and conversion,COG0045,C,sucC,P0A836,GO:0004775; GO:0006099; GO:0000287; GO:0005829; GO:0009361; GO:0016874; GO:0003824; GO:0005515; GO:0000166; GO:0046872; GO:0005524; GO:0042709; GO:0006104,YP_003043905.1,KW-0002; KW-0067; KW-0436; KW-0460; KW-0479; KW-0547; KW-0816; KW-0903; KW-1185,41393.0
"Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain",Metabolism,Nucleotide transport and metabolism,COG0046,F,purL,P15254,GO:0004642; GO:0006189; GO:0006541; GO:0042623; GO:0005737; GO:0005524; GO:0046872; GO:0016874; GO:0005829; GO:0000166; GO:0006164; GO:0009113,YP_003045639.1,KW-0067; KW-0315; KW-0436; KW-0460; KW-0479; KW-0547; KW-0658; KW-0903; KW-0963; KW-1185,141403.0
"Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain",Metabolism,Nucleotide transport and metabolism,COG0047,F,purL,P15254,GO:0004642; GO:0006189; GO:0006541; GO:0042623; GO:0005737; GO:0005524; GO:0046872; GO:0016874; GO:0005829; GO:0000166; GO:0006164; GO:0009113,YP_003045639.1,KW-0067; KW-0315; KW-0436; KW-0460; KW-0479; KW-0547; KW-0658; KW-0903; KW-0963; KW-1185,141403.0
Ribosomal protein S12,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0048,J,rpsL,P0A7S3,GO:0022627; GO:1990145; GO:0005829; GO:0005515; GO:0015935; GO:0005840; GO:0003723; GO:0003735; GO:0034337; GO:0034336; GO:0033120; GO:0000372; GO:0046677; GO:0019843; GO:0000049; GO:0006412,YP_003046378.1,KW-0002; KW-0007; KW-0046; KW-0488; KW-0687; KW-0689; KW-0694; KW-0699; KW-0820; KW-0903; KW-1185,13737.0
Ribosomal protein S7,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0049,J,rpsG,P02359,GO:0005829; GO:0015935; GO:0006412; GO:0005840; GO:0003723; GO:0003735; GO:0000028; GO:0003729; GO:0017148; GO:0005515; GO:0022627; GO:0019843; GO:0000049,YP_003046377.1,KW-0002; KW-0687; KW-0689; KW-0694; KW-0699; KW-0820; KW-0903; KW-1185,20019.0
GTPases - translation elongation factors,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0050,J,tufA,P0CE47,GO:0003723; GO:0003924; GO:0005886; GO:0046677; GO:0016020; GO:0006414; GO:0005525; GO:0005515; GO:0003746; GO:0000166; GO:0006412; GO:0005737,YP_003046375.1,KW-0002; KW-0007; KW-0046; KW-0251; KW-0342; KW-0472; KW-0488; KW-0547; KW-0597; KW-0648; KW-0694; KW-0903; KW-0963; KW-0997; KW-1003; KW-1185,43284.0
GTPases - translation elongation factors,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0050,J,tufB,P0CE48,GO:0003723; GO:0005515; GO:0003924; GO:0005829; GO:0046677; GO:0016020; GO:0006414; GO:0005886; GO:0005525; GO:0003746; GO:0000166; GO:0006412; GO:0005737,YP_003047029.1,KW-0002; KW-0007; KW-0046; KW-0251; KW-0342; KW-0472; KW-0488; KW-0547; KW-0597; KW-0648; KW-0694; KW-0903; KW-0963; KW-0997; KW-1003; KW-1185,43314.0
Ribosomal protein S10,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0051,J,rpsJ,P0A7R5,GO:0022627; GO:0000049; GO:0031564; GO:0001072; GO:0005829; GO:0005840; GO:0006412; GO:0003735; GO:0003723; GO:0005515; GO:0015935,YP_003046357.1,KW-0002; KW-0687; KW-0689; KW-0694; KW-0903; KW-1185,11736.0
Ribosomal protein S2,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0052,J,rpsB,P0A7V0,GO:0022627; GO:0008270; GO:0000028; GO:0015935; GO:0005840; GO:0006412; GO:0003735; GO:0005515,YP_003043396.1,KW-0002; KW-0687; KW-0689; KW-0903; KW-1185,26744.0
"F0F1-type ATP synthase, beta subunit",Metabolism,Energy production and conversion,COG0055,C,atpD,P0ABB4,GO:0045261; GO:0046933; GO:1902600; GO:0098655; GO:0016020; GO:0046034; GO:0015986; GO:0006811; GO:0006754; GO:0005886; GO:0005524; GO:0005515; GO:0000166; GO:0046961; GO:0016887,YP_003046792.1,KW-0002; KW-0066; KW-0067; KW-0139; KW-0375; KW-0406; KW-0472; KW-0547; KW-0813; KW-0903; KW-0997; KW-1003; KW-1185; KW-1278,50325.0
"F0F1-type ATP synthase, alpha subunit",Metabolism,Energy production and conversion,COG0056,C,atpA,P0ABB0,GO:0015986; GO:0045261; GO:0046961; GO:1902600; GO:0098655; GO:0032559; GO:0046034; GO:0006811; GO:0006754; GO:0016020; GO:0005886; GO:0005524; GO:0005515; GO:0000166; GO:0046933; GO:0043531; GO:0016887,YP_003046794.1,KW-0002; KW-0066; KW-0067; KW-0139; KW-0375; KW-0406; KW-0472; KW-0547; KW-0813; KW-0903; KW-0997; KW-1003; KW-1185; KW-1278,55222.0
Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase,Metabolism,Carbohydrate transport and metabolism,COG0057,G,epd,P0A9B6,GO:0016620; GO:0016491; GO:0005829; GO:0006006; GO:0055114; GO:0051287; GO:0048001; GO:0042823; GO:0004365; GO:0008615; GO:0005737,YP_003045946.1,KW-0002; KW-0520; KW-0560; KW-0664; KW-0903; KW-0963; KW-1185,37299.0
Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase,Metabolism,Carbohydrate transport and metabolism,COG0057,G,gapA,P0A9B2,GO:0005515; GO:0000166; GO:0005737; GO:0051287; GO:0050661; GO:0016620; GO:0006006; GO:0055114; GO:0005829; GO:0016491; GO:0004365; GO:0006096,YP_003044945.1,KW-0002; KW-0007; KW-0324; KW-0520; KW-0547; KW-0560; KW-0903; KW-0963; KW-1185,35532.0
Glucan phosphorylase,Metabolism,Carbohydrate transport and metabolism,COG0058,G,glgP,P0AC86,GO:0005515; GO:0102250; GO:0102499; GO:0005980; GO:0030170; GO:0016757; GO:0016740; GO:0008184; GO:0008152; GO:0005977; GO:0005975; GO:0004645; GO:0003824; GO:0005737,YP_003046463.1,KW-0021; KW-0119; KW-0321; KW-0328; KW-0663; KW-0808; KW-1185,93173.0
Glucan phosphorylase,Metabolism,Carbohydrate transport and metabolism,COG0058,G,malP,P00490,GO:0031220; GO:0030980; GO:0005980; GO:0005737; GO:0102250; GO:0102499; GO:0005829; GO:0016757; GO:0016740; GO:0008152; GO:0005975; GO:0004645; GO:0003824; GO:0008184; GO:0030170,YP_003046453.1,KW-0002; KW-0007; KW-0021; KW-0119; KW-0328; KW-0663; KW-0808; KW-0903; KW-1185,90522.0
Ketol-acid reductoisomerase,Metabolism,Amino acid transport and metabolism,COG0059,E,ilvC,P05793,GO:0042802; GO:0051289; GO:0046872; GO:0005737; GO:0000287; GO:0016491; GO:0009082; GO:0008652; GO:0050661; GO:0055114; GO:0005829; GO:0009097; GO:0004455; GO:0009099,YP_003046827.1,KW-0002; KW-0028; KW-0100; KW-0460; KW-0479; KW-0521; KW-0560; KW-0677; KW-0903; KW-0963; KW-1185,54069.0
Ketol-acid reductoisomerase,Metabolism,Coenzyme transport and metabolism,COG0059,H,ilvC,P05793,GO:0042802; GO:0051289; GO:0046872; GO:0005737; GO:0000287; GO:0016491; GO:0009082; GO:0008652; GO:0050661; GO:0055114; GO:0005829; GO:0009097; GO:0004455; GO:0009099,YP_003046827.1,KW-0002; KW-0028; KW-0100; KW-0460; KW-0479; KW-0521; KW-0560; KW-0677; KW-0903; KW-0963; KW-1185,54069.0
