cog_class,cog_class_letter,cog_desc,desc,gene,process,uniprot
Metabolism,Energy production and conversion,Energy production and conversion,Phosphoenolpyruvate carboxylase ,ppc,Carbon dioxide fixation,P00864
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive ",aroH,Amino-acid biosynthesis,P00887
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive ",aroH,Aromatic amino acid biosynthesis,P00887
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive ",aroF,Amino-acid biosynthesis,P00888
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive ",aroF,Aromatic amino acid biosynthesis,P00888
Not Assigned,Not Assigned,Not Assigned,Acetolactate synthase isozyme 2 large subunit ,ilvG,Amino-acid biosynthesis,P00892
Not Assigned,Not Assigned,Not Assigned,Acetolactate synthase isozyme 2 large subunit ,ilvG,Branched-chain amino acid biosynthesis,P00892
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Acetolactate synthase isozyme 3 large subunit ,ilvI,Amino-acid biosynthesis,P00893
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Acetolactate synthase isozyme 3 large subunit ,ilvI,Branched-chain amino acid biosynthesis,P00893
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Acetolactate synthase isozyme 3 small subunit ,ilvH,Amino-acid biosynthesis,P00894
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Acetolactate synthase isozyme 3 small subunit ,ilvH,Branched-chain amino acid biosynthesis,P00894
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Anthranilate synthase component 1 ,trpE,Amino-acid biosynthesis,P00895
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Anthranilate synthase component 1 ,trpE,Aromatic amino acid biosynthesis,P00895
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Anthranilate synthase component 1 ,trpE,Tryptophan biosynthesis,P00895
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Anthranilate synthase component II ,trpG,Amino-acid biosynthesis,P00904
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Anthranilate synthase component II ,trpG,Aromatic amino acid biosynthesis,P00904
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Anthranilate synthase component II ,trpG,Tryptophan biosynthesis,P00904
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Tryptophan biosynthesis protein trpCF ,trpC,Amino-acid biosynthesis,P00909
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Tryptophan biosynthesis protein trpCF ,trpC,Aromatic amino acid biosynthesis,P00909
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Tryptophan biosynthesis protein trpCF ,trpC,Tryptophan biosynthesis,P00909
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Threonine synthase ,thrC,Amino-acid biosynthesis,P00934
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Threonine synthase ,thrC,Threonine biosynthesis,P00934
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Cystathionine gamma-synthase ,metB,Amino-acid biosynthesis,P00935
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Cystathionine gamma-synthase ,metB,Methionine biosynthesis,P00935
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Adenylate cyclase ,cyaA,cAMP biosynthesis,P00936
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Xylose isomerase ,xylA,Carbohydrate metabolism,P00944
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Xylose isomerase ,xylA,Xylose metabolism,P00944
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Tryptophanyl-tRNA synthetase ,trpS,Protein biosynthesis,P00954
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Isoleucyl-tRNA synthetase ,ileS,Antibiotic resistance,P00956
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Isoleucyl-tRNA synthetase ,ileS,Protein biosynthesis,P00956
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Alanyl-tRNA synthetase ,alaS,Protein biosynthesis,P00957
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Methionyl-tRNA synthetase ,metG,Protein biosynthesis,P00959
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Glycyl-tRNA synthetase alpha subunit ,glyQ,Protein biosynthesis,P00960
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Glycyl-tRNA synthetase beta subunit ,glyS,Protein biosynthesis,P00961
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Glutaminyl-tRNA synthetase ,glnS,Protein biosynthesis,P00962
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Aspartate--ammonia ligase ,asnA,Amino-acid biosynthesis,P00963
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Aspartate--ammonia ligase ,asnA,Asparagine biosynthesis,P00963
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Carbamoyl-phosphate synthase large chain ,carB,Amino-acid biosynthesis,P00968
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Carbamoyl-phosphate synthase large chain ,carB,Arginine biosynthesis,P00968
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Carbamoyl-phosphate synthase large chain ,carB,Pyrimidine biosynthesis,P00968
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Maltose transport system permease protein malF ,malF,Sugar transport,P02916
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Maltose transport system permease protein malF ,malF,Transport,P02916
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Penicillin-binding protein 1A ,mrcA,Antibiotic resistance,P02918
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Penicillin-binding protein 1A ,mrcA,Cell shape,P02918
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Penicillin-binding protein 1A ,mrcA,Peptidoglycan synthesis,P02918
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Penicillin-binding protein 1A ,mrcA,Cell wall biogenesis/degradation,P02918
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Penicillin-binding protein 1B ,mrcB,Antibiotic resistance,P02919
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Penicillin-binding protein 1B ,mrcB,Cell shape,P02919
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Penicillin-binding protein 1B ,mrcB,Peptidoglycan synthesis,P02919
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Penicillin-binding protein 1B ,mrcB,Cell wall biogenesis/degradation,P02919
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,L-arabinose-binding periplasmic protein ,araF,Sugar transport,P02924
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,L-arabinose-binding periplasmic protein ,araF,Transport,P02924
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,D-ribose-binding periplasmic protein ,rbsB,Chemotaxis,P02925
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,D-ribose-binding periplasmic protein ,rbsB,Sugar transport,P02925
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,D-ribose-binding periplasmic protein ,rbsB,Transport,P02925
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Protein tonB ,tonB,Bacteriocin transport,P02929
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Protein tonB ,tonB,Protein transport,P02929
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Protein tonB ,tonB,Transport,P02929
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein tolC ,tolC,Antibiotic resistance,P02930
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein tolC ,tolC,Transport,P02930
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein F ,ompF,Ion transport,P02931
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein F ,ompF,Transport,P02931
Cellular Processes and Signaling,Cell motility,Cell motility,Methyl-accepting chemotaxis protein I ,tsr,Chemotaxis,P02942
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Maltoporin ,lamB,Ion transport,P02943
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Maltoporin ,lamB,Sugar transport,P02943
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Maltoporin ,lamB,Transport,P02943
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Maltoporin ,lamB,Host-virus interaction,P02943
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Chromosomal replication initiator protein dnaA ,dnaA,DNA replication,P03004
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Chromosomal replication initiator protein dnaA ,dnaA,Transcription,P03004
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Chromosomal replication initiator protein dnaA ,dnaA,Transcription regulation,P03004
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA polymerase III subunit epsilon ,dnaQ,DNA replication,P03007
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA helicase II ,uvrD,DNA damage,P03018
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA helicase II ,uvrD,DNA repair,P03018
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA helicase II ,uvrD,DNA replication,P03018
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA helicase II ,uvrD,SOS response,P03018
Metabolism,Energy production and conversion,Energy production and conversion,Protein mioC ,mioC,Electron transport,P03817
Metabolism,Energy production and conversion,Energy production and conversion,Protein mioC ,mioC,Transport,P03817
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Glutathione-regulated potassium-efflux system protein kefC ,kefC,Antiport,P03819
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Glutathione-regulated potassium-efflux system protein kefC ,kefC,Ion transport,P03819
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Glutathione-regulated potassium-efflux system protein kefC ,kefC,Potassium transport,P03819
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Glutathione-regulated potassium-efflux system protein kefC ,kefC,Transport,P03819
Not Assigned,Not Assigned,Not Assigned,Maltose operon periplasmic protein ,malM,Sugar transport,P03841
Not Assigned,Not Assigned,Not Assigned,Maltose operon periplasmic protein ,malM,Transport,P03841
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Dihydrodipicolinate reductase ,dapB,Amino-acid biosynthesis,P04036
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Dihydrodipicolinate reductase ,dapB,Diaminopimelate biosynthesis,P04036
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Dihydrodipicolinate reductase ,dapB,Lysine biosynthesis,P04036
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,GMP synthase [glutamine-hydrolyzing] ,guaA,GMP biosynthesis,P04079
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,GMP synthase [glutamine-hydrolyzing] ,guaA,Purine biosynthesis,P04079
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Ornithine carbamoyltransferase chain I ,argI,Amino-acid biosynthesis,P04391
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Ornithine carbamoyltransferase chain I ,argI,Arginine biosynthesis,P04391
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Glutathione synthetase ,gshB,Glutathione biosynthesis,P04425
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Aromatic-amino-acid aminotransferase ,tyrB,Amino-acid biosynthesis,P04693
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Aromatic-amino-acid aminotransferase ,tyrB,Aromatic amino acid biosynthesis,P04693
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Glutamyl-tRNA synthetase ,gltX,Protein biosynthesis,P04805
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Leucine-specific-binding protein ,livK,Amino-acid transport,P04816
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Leucine-specific-binding protein ,livK,Transport,P04816
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,3-deoxy-manno-octulosonate cytidylyltransferase ,kdsB,Lipopolysaccharide biosynthesis,P04951
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Threonine dehydratase biosynthetic ,ilvA,Amino-acid biosynthesis,P04968
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Threonine dehydratase biosynthetic ,ilvA,Branched-chain amino acid biosynthesis,P04968
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Threonine dehydratase biosynthetic ,ilvA,Isoleucine biosynthesis,P04968
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,D-ribose pyranase ,rbsD,Carbohydrate metabolism,P04982
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Ribose import ATP-binding protein RbsA ,rbsA,Sugar transport,P04983
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Ribose import ATP-binding protein RbsA ,rbsA,Transport,P04983
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Dihydroorotase ,pyrC,Pyrimidine biosynthesis,P05020
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Para-aminobenzoate synthase component 1 ,pabB,Folate biosynthesis,P05041
Metabolism,Energy production and conversion,Energy production and conversion,Fumarate hydratase class II ,fumC,Tricarboxylic acid cycle,P05042
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Polyribonucleotide nucleotidyltransferase ,pnp,Stress response,P05055
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,3-dehydroquinate dehydratase ,aroD,Amino-acid biosynthesis,P05194
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,3-dehydroquinate dehydratase ,aroD,Aromatic amino acid biosynthesis,P05194
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Erythronate-4-phosphate dehydrogenase ,pdxB,Pyridoxine biosynthesis,P05459
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Formamidopyrimidine-DNA glycosylase ,mutM,DNA damage,P05523
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Formamidopyrimidine-DNA glycosylase ,mutM,DNA repair,P05523
Cellular Processes and Signaling,Cell motility,Cell motility,Methyl-accepting chemotaxis protein III ,trg,Chemotaxis,P05704
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Glucitol/sorbitol-specific phosphotransferase enzyme IIA component ,srlB,Phosphotransferase system,P05706
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Glucitol/sorbitol-specific phosphotransferase enzyme IIA component ,srlB,Sugar transport,P05706
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Glucitol/sorbitol-specific phosphotransferase enzyme IIA component ,srlB,Transport,P05706
Cellular Processes and Signaling,Defense mechanisms,Defense mechanisms,Type-1 restriction enzyme EcoKI specificity protein ,hsdS,Restriction system,P05719
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Dihydroxy-acid dehydratase ,ilvD,Amino-acid biosynthesis,P05791
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Dihydroxy-acid dehydratase ,ilvD,Branched-chain amino acid biosynthesis,P05791
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Ketol-acid reductoisomerase ,ilvC,Amino-acid biosynthesis,P05793
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Ketol-acid reductoisomerase ,ilvC,Branched-chain amino acid biosynthesis,P05793
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Ferrienterobactin receptor ,fepA,Ion transport,P05825
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Ferrienterobactin receptor ,fepA,Iron transport,P05825
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Ferrienterobactin receptor ,fepA,Transport,P05825
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Probable O-sialoglycoprotein endopeptidase ,tsaD,tRNA processing,P05852
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Vitamin B12 transporter BtuB ,btuB,Ion transport,P06129
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Vitamin B12 transporter BtuB ,btuB,Transport,P06129
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Vitamin B12 transport periplasmic protein BtuE ,btuE,Stress response,P06610
Poorly Characterized,General function prediction only,General function prediction only,GTPase Era ,era,Ribosome biogenesis,P06616
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Bifunctional protein BirA ,birA,Transcription,P06709
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Bifunctional protein BirA ,birA,Transcription regulation,P06709
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA polymerase III subunit tau ,dnaX,DNA replication,P06710
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Alpha-galactosidase ,melA,Carbohydrate metabolism,P06720
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Cystathionine beta-lyase metC ,metC,Amino-acid biosynthesis,P06721
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Cystathionine beta-lyase metC ,metC,Methionine biosynthesis,P06721
Information Storage and Processing,Transcription,Transcription,HTH-type transcriptional regulator ebgR ,ebgR,Transcription,P06846
Information Storage and Processing,Transcription,Transcription,HTH-type transcriptional regulator ebgR ,ebgR,Transcription regulation,P06846
Metabolism,Energy production and conversion,Energy production and conversion,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex ,aceF,Glycolysis,P06959
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Ornithine carbamoyltransferase chain F ,argF,Amino-acid biosynthesis,P06960
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Ornithine carbamoyltransferase chain F ,argF,Arginine biosynthesis,P06960
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Multifunctional CCA protein ,cca,RNA repair,P06961
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Multifunctional CCA protein ,cca,tRNA processing,P06961
Information Storage and Processing,Transcription,Transcription,HTH-type transcriptional regulator dicA ,dicA,Cell cycle,P06966
Information Storage and Processing,Transcription,Transcription,HTH-type transcriptional regulator dicA ,dicA,Cell division,P06966
Information Storage and Processing,Transcription,Transcription,HTH-type transcriptional regulator dicA ,dicA,Transcription,P06966
Information Storage and Processing,Transcription,Transcription,HTH-type transcriptional regulator dicA ,dicA,Transcription regulation,P06966
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Deoxyuridine 5'-triphosphate nucleotidohydrolase ,dut,Nucleotide metabolism,P06968
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Ferrichrome-iron receptor ,fhuA,Ion transport,P06971
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Ferrichrome-iron receptor ,fhuA,Iron transport,P06971
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Ferrichrome-iron receptor ,fhuA,Transport,P06971
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Porphobilinogen deaminase ,hemC,Porphyrin biosynthesis,P06983
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Histidinol-phosphate aminotransferase ,hisC,Amino-acid biosynthesis,P06986
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Histidinol-phosphate aminotransferase ,hisC,Histidine biosynthesis,P06986
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Histidine biosynthesis bifunctional protein hisB ,hisB,Amino-acid biosynthesis,P06987
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Histidine biosynthesis bifunctional protein hisB ,hisB,Histidine biosynthesis,P06987
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Histidinol dehydrogenase ,hisD,Amino-acid biosynthesis,P06988
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Histidinol dehydrogenase ,hisD,Histidine biosynthesis,P06988
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Histidine biosynthesis bifunctional protein HisIE ,hisI,Amino-acid biosynthesis,P06989
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Histidine biosynthesis bifunctional protein HisIE ,hisI,Histidine biosynthesis,P06989
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Ribosomal RNA small subunit methyltransferase A ,rsmA,Antibiotic resistance,P06992
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Ribosomal RNA small subunit methyltransferase A ,rsmA,rRNA processing,P06992
Information Storage and Processing,Transcription,Transcription,HTH-type transcriptional regulator malT ,malT,Carbohydrate metabolism,P06993
Information Storage and Processing,Transcription,Transcription,HTH-type transcriptional regulator malT ,malT,Transcription,P06993
Information Storage and Processing,Transcription,Transcription,HTH-type transcriptional regulator malT ,malT,Transcription regulation,P06993
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein C ,ompC,Ion transport,P06996
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein C ,ompC,Transport,P06996
