gene_name,b_number,gene_product,mw_fg,go_terms,cog_class,cog_letter,cog_category,cog_desc
aaer,b3243,LysR-type transcriptional regulator AaeR,5.7296559999999993e-05,GO:0045893; GO:0005829; GO:0003700; GO:0006352; GO:0006355; GO:0003677; GO:0006351,information storage and processing,K,transcription,transcriptional regulator for aaeXAB operon
yhcs,b3243,LysR-type transcriptional regulator AaeR,5.7296559999999993e-05,GO:0045893; GO:0005829; GO:0003700; GO:0006352; GO:0006355; GO:0003677; GO:0006351,information storage and processing,K,transcription,transcriptional regulator for aaeXAB operon
qsea,b3243,LysR-type transcriptional regulator AaeR,5.7296559999999993e-05,GO:0045893; GO:0005829; GO:0003700; GO:0006352; GO:0006355; GO:0003677; GO:0006351,information storage and processing,K,transcription,transcriptional regulator for aaeXAB operon
quorum sensing transcriptional regulator of lysr-type,b3243,LysR-type transcriptional regulator AaeR,5.7296559999999993e-05,GO:0045893; GO:0005829; GO:0003700; GO:0006352; GO:0006355; GO:0003677; GO:0006351,information storage and processing,K,transcription,transcriptional regulator for aaeXAB operon
aaex,b3242,DUF1656 domain-containing protein AaeX,1.302602e-05,GO:0005886; GO:0016021; GO:0016020,Not Assigned,Not Assigned,Not Assigned,Not Assigned
yhcr,b3242,DUF1656 domain-containing protein AaeX,1.302602e-05,GO:0005886; GO:0016021; GO:0016020,Not Assigned,Not Assigned,Not Assigned,Not Assigned
aas,b2836,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,0.000133962,GO:0016874; GO:0016746; GO:0016740; GO:0016020; GO:0003824; GO:0008654; GO:0008152; GO:0006631; GO:0005886; GO:0016021; GO:0005524; GO:0000166; GO:0008779; GO:0008922,metabolism,Q,"secondary metabolites biosynthesis, transport, and catabolism",fused 2-acylglycerophospho-ethanolamine acyl transferase/acyl-acyl carrier protein synthetase
acyltransferase,b2836,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,0.000133962,GO:0016874; GO:0016746; GO:0016740; GO:0016020; GO:0003824; GO:0008654; GO:0008152; GO:0006631; GO:0005886; GO:0016021; GO:0005524; GO:0000166; GO:0008779; GO:0008922,metabolism,Q,"secondary metabolites biosynthesis, transport, and catabolism",fused 2-acylglycerophospho-ethanolamine acyl transferase/acyl-acyl carrier protein synthetase
aat,b0885,leucyl/phenylalanyl-tRNA&mdash;protein transferase,4.418588e-05,GO:0016755; GO:0016746; GO:0016740; GO:0030163; GO:0005829; GO:0008914; GO:0005737,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",leucyl/phenylalanyl-tRNA-protein transferase
ycaa,b0885,leucyl/phenylalanyl-tRNA&mdash;protein transferase,4.418588e-05,GO:0016755; GO:0016746; GO:0016740; GO:0030163; GO:0005829; GO:0008914; GO:0005737,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",leucyl/phenylalanyl-tRNA-protein transferase
"leucyl, phenylalanyl-trna-protein transferase",b0885,leucyl/phenylalanyl-tRNA&mdash;protein transferase,4.418588e-05,GO:0016755; GO:0016746; GO:0016740; GO:0030163; GO:0005829; GO:0008914; GO:0005737,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",leucyl/phenylalanyl-tRNA-protein transferase
abga,b1338,p-aminobenzoyl-glutamate hydrolase subunit A,7.733608e-05,GO:0016805; GO:0006508; GO:0016810; GO:0005515; GO:0005829; GO:0071713; GO:0046982; GO:0046657; GO:0005737; GO:0016787,poorly characterized,R,general function prediction only,"p-aminobenzoyl-glutamate hydrolase, A subunit"
ydaj,b1338,p-aminobenzoyl-glutamate hydrolase subunit A,7.733608e-05,GO:0016805; GO:0006508; GO:0016810; GO:0005515; GO:0005829; GO:0071713; GO:0046982; GO:0046657; GO:0005737; GO:0016787,poorly characterized,R,general function prediction only,"p-aminobenzoyl-glutamate hydrolase, A subunit"
abgb,b1337,p-aminobenzoyl-glutamate hydrolase subunit B,8.664204e-05,GO:0016805; GO:0006508; GO:0005515; GO:0005829; GO:0071713; GO:0046982; GO:0046657; GO:0016787; GO:0005737,poorly characterized,R,general function prediction only,"p-Aminobenzoyl-glutamate hydrolase, B subunit"
ydai,b1337,p-aminobenzoyl-glutamate hydrolase subunit B,8.664204e-05,GO:0016805; GO:0006508; GO:0005515; GO:0005829; GO:0071713; GO:0046982; GO:0046657; GO:0016787; GO:0005737,poorly characterized,R,general function prediction only,"p-Aminobenzoyl-glutamate hydrolase, B subunit"
abgr,b1339,putative LysR-type DNA-binding transcriptional regulator AbgR,5.653628e-05,GO:0005829; GO:0006355; GO:0003700; GO:0003677; GO:0006351,information storage and processing,K,transcription,predicted DNA-binding transcriptional regulator of abgABT operon
abgt,b1336,p-aminobenzoyl glutamate:H+ symporter,9.111076e-05,GO:1902604; GO:0006865; GO:0015291; GO:0015814; GO:0015558; GO:0005886; GO:0016021; GO:0016020,metabolism,H,coenzyme transport and metabolism,p-aminobenzoyl-glutamate transporter; membrane protein
ydah,b1336,p-aminobenzoyl glutamate:H+ symporter,9.111076e-05,GO:1902604; GO:0006865; GO:0015291; GO:0015814; GO:0015558; GO:0005886; GO:0016021; GO:0016020,metabolism,H,coenzyme transport and metabolism,p-aminobenzoyl-glutamate transporter; membrane protein
abpa,b2628,CP4-57 prophage; anti-bacteriophage protein,0.00010293162,GO:0051607; GO:0005515; GO:0005829,Not Assigned,Not Assigned,Not Assigned,Not Assigned
yfjl,b2628,CP4-57 prophage; anti-bacteriophage protein,0.00010293162,GO:0051607; GO:0005515; GO:0005829,Not Assigned,Not Assigned,Not Assigned,Not Assigned
abpb,b2627,CP4-57 prophage; putative helicase YfjK,0.00013788292,GO:0051607; GO:0005515; GO:0005829; GO:0010212,information storage and processing,L,"Replication, recombination, and repair",CP4-57 prophage; conserved protein
yfjk,b2627,CP4-57 prophage; putative helicase YfjK,0.00013788292,GO:0051607; GO:0005515; GO:0005829; GO:0010212,information storage and processing,L,"Replication, recombination, and repair",CP4-57 prophage; conserved protein
cp4-57 prophage; anti-bacteriophage protein; mutations lead to radiation resistance,b2627,CP4-57 prophage; putative helicase YfjK,0.00013788292,GO:0051607; GO:0005515; GO:0005829; GO:0010212,information storage and processing,L,"Replication, recombination, and repair",CP4-57 prophage; conserved protein
abrb,b0715,putative regulator,6.122744e-05,GO:0010468; GO:0005886; GO:0016021; GO:0016020,poorly characterized,R,general function prediction only,regulator of aidB expression; inner membrane protein
ybgn,b0715,putative regulator,6.122744e-05,GO:0010468; GO:0005886; GO:0016021; GO:0016020,poorly characterized,R,general function prediction only,regulator of aidB expression; inner membrane protein
acca,b0185,acetyl-CoA carboxyltransferase subunit &alpha;,5.850172e-05,GO:0016743; GO:0016740; GO:0042802; GO:0009317; GO:0006631; GO:0006629; GO:2001295; GO:0042759; GO:0005737; GO:0005829; GO:0005524; GO:0000166; GO:0009329; GO:0016874; GO:0006633; GO:0005515; GO:0003989,metabolism,I,lipid transport and metabolism,acetyl-CoA carboxylase carboxyltransferase subunit alpha
accb,b3255,biotin carboxyl carrier protein,2.770042e-05,GO:0009305; GO:0005829; GO:0005515; GO:0006631; GO:0006629; GO:0009317; GO:0005737; GO:0006633; GO:0003989,metabolism,H,coenzyme transport and metabolism,biotin carboxyl carrier protein
fabe,b3255,biotin carboxyl carrier protein,2.770042e-05,GO:0009305; GO:0005829; GO:0005515; GO:0006631; GO:0006629; GO:0009317; GO:0005737; GO:0006633; GO:0003989,metabolism,H,coenzyme transport and metabolism,biotin carboxyl carrier protein
apo-[acetyl-coa:carbon-dioxide ligase (adp forming)],b3255,biotin carboxyl carrier protein,2.770042e-05,GO:0009305; GO:0005829; GO:0005515; GO:0006631; GO:0006629; GO:0009317; GO:0005737; GO:0006633; GO:0003989,metabolism,H,coenzyme transport and metabolism,biotin carboxyl carrier protein
biotin carboxyl carrier protein,b3255,biotin carboxyl carrier protein,2.770042e-05,GO:0009305; GO:0005829; GO:0005515; GO:0006631; GO:0006629; GO:0009317; GO:0005737; GO:0006633; GO:0003989,metabolism,H,coenzyme transport and metabolism,biotin carboxyl carrier protein
bccp,b3255,biotin carboxyl carrier protein,2.770042e-05,GO:0009305; GO:0005829; GO:0005515; GO:0006631; GO:0006629; GO:0009317; GO:0005737; GO:0006633; GO:0003989,metabolism,H,coenzyme transport and metabolism,biotin carboxyl carrier protein
accc,b3256,biotin carboxylase,8.187286e-05,GO:0005515; GO:0016874; GO:0006631; GO:0006629; GO:0046872; GO:2001295; GO:0005829; GO:0042803; GO:0045717; GO:0006633; GO:0005524; GO:0000166; GO:0004075; GO:0003989; GO:0005737,metabolism,I,lipid transport and metabolism,biotin carboxylase (EC 6.3.4.14)
fabg,b3256,biotin carboxylase,8.187286e-05,GO:0005515; GO:0016874; GO:0006631; GO:0006629; GO:0046872; GO:2001295; GO:0005829; GO:0042803; GO:0045717; GO:0006633; GO:0005524; GO:0000166; GO:0004075; GO:0003989; GO:0005737,metabolism,I,lipid transport and metabolism,biotin carboxylase (EC 6.3.4.14)
accd,b2316,acetyl-CoA carboxyltransferase subunit &beta;,5.531452e-05,GO:0016743; GO:0016740; GO:0009317; GO:0006631; GO:0006629; GO:0006417; GO:0005737; GO:0003723; GO:0046872; GO:2001295; GO:0042759; GO:0005524; GO:0000166; GO:0017148; GO:0003677; GO:0009329; GO:0003729; GO:0008270; GO:0006633; GO:0005515; GO:0003989,metabolism,I,lipid transport and metabolism,acetyl-CoA carboxylase carboxyltransferase subunit alpha
usg,b2316,acetyl-CoA carboxyltransferase subunit &beta;,5.531452e-05,GO:0016743; GO:0016740; GO:0009317; GO:0006631; GO:0006629; GO:0006417; GO:0005737; GO:0003723; GO:0046872; GO:2001295; GO:0042759; GO:0005524; GO:0000166; GO:0017148; GO:0003677; GO:0009329; GO:0003729; GO:0008270; GO:0006633; GO:0005515; GO:0003989,metabolism,I,lipid transport and metabolism,acetyl-CoA carboxylase carboxyltransferase subunit alpha
dedb,b2316,acetyl-CoA carboxyltransferase subunit &beta;,5.531452e-05,GO:0016743; GO:0016740; GO:0009317; GO:0006631; GO:0006629; GO:0006417; GO:0005737; GO:0003723; GO:0046872; GO:2001295; GO:0042759; GO:0005524; GO:0000166; GO:0017148; GO:0003677; GO:0009329; GO:0003729; GO:0008270; GO:0006633; GO:0005515; GO:0003989,metabolism,I,lipid transport and metabolism,acetyl-CoA carboxylase carboxyltransferase subunit alpha
acea,b4015,isocitrate lyase,7.888652e-05,GO:0003824; GO:0046872; GO:0016829; GO:0019752; GO:0043169; GO:0006099; GO:0004451; GO:0006097,metabolism,C,energy production and conversion,isocitrate lyase (EC 4.1.3.1)
icl,b4015,isocitrate lyase,7.888652e-05,GO:0003824; GO:0046872; GO:0016829; GO:0019752; GO:0043169; GO:0006099; GO:0004451; GO:0006097,metabolism,C,energy production and conversion,isocitrate lyase (EC 4.1.3.1)
aceb,b4014,MALATE-SYNTHASE,0.00010005484,GO:0016740; GO:0003824; GO:0005829; GO:0006099; GO:0004474; GO:0006097; GO:0005737,metabolism,C,energy production and conversion,malate synthase (EC 2.3.3.9)
mas,b4014,MALATE-SYNTHASE,0.00010005484,GO:0016740; GO:0003824; GO:0005829; GO:0006099; GO:0004474; GO:0006097; GO:0005737,metabolism,C,energy production and conversion,malate synthase (EC 2.3.3.9)
acee,b0114,pyruvate dehydrogenase E1 component,0.00016544888,GO:0045250; GO:0042803; GO:0030976; GO:0000287; GO:0016491; GO:0003824; GO:0042802; GO:0004738; GO:0055114; GO:0046872; GO:0006096; GO:0005515; GO:0004739,metabolism,C,energy production and conversion,"pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding"
subunit of e1p component of pyruvate dehydrogenase complex,b0114,pyruvate dehydrogenase E1 component,0.00016544888,GO:0045250; GO:0042803; GO:0030976; GO:0000287; GO:0016491; GO:0003824; GO:0042802; GO:0004738; GO:0055114; GO:0046872; GO:0006096; GO:0005515; GO:0004739,metabolism,C,energy production and conversion,"pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding"
acef,b0115,"AceF-dihydrolipoate // ""AceF-S-acetyldihydrolipoate"" // ""AceF-lipoate"" // ""pyruvate dehydrogenase, E2 subunit""",0.00010971936000000001,GO:0030523; GO:0016407; GO:0016746; GO:0016740; GO:0006090; GO:0006086; GO:0045254; GO:0031405; GO:0006096; GO:0005737; GO:0005515; GO:0004742,metabolism,C,energy production and conversion,"pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2"
dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,b0115,"AceF-dihydrolipoate // ""AceF-S-acetyldihydrolipoate"" // ""AceF-lipoate"" // ""pyruvate dehydrogenase, E2 subunit""",0.00010971936000000001,GO:0030523; GO:0016407; GO:0016746; GO:0016740; GO:0006090; GO:0006086; GO:0045254; GO:0031405; GO:0006096; GO:0005737; GO:0005515; GO:0004742,metabolism,C,energy production and conversion,"pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2"
acek,b4016,isocitrate dehydrogenase kinase/phosphatase,0.00011238034,GO:0016788; GO:0005515; GO:0070262; GO:0005829; GO:0016791; GO:0016787; GO:0016740; GO:0016310; GO:0016301; GO:0004721; GO:0000166; GO:0006006; GO:0016208; GO:0018105; GO:0004722; GO:0004674; GO:0050790; GO:0006099; GO:0005737; GO:0005524; GO:0008772; GO:0006097,cellular processes and signaling,T,signal transduction mechanisms,isocitrate dehydrogenase kinase/phosphatase
acka,b2296,acetate kinase,7.18614e-05,GO:0000287; GO:0044011; GO:0006083; GO:0046872; GO:0016774; GO:0016740; GO:0016301; GO:0006082; GO:0005737; GO:0019542; GO:0019413; GO:0006085; GO:0008270; GO:0005524; GO:0000166; GO:0005829; GO:0016310; GO:0008776,metabolism,C,energy production and conversion,acetate kinase (EC 2.7.2.1)
propionate kinase 2,b2296,acetate kinase,7.18614e-05,GO:0000287; GO:0044011; GO:0006083; GO:0046872; GO:0016774; GO:0016740; GO:0016301; GO:0006082; GO:0005737; GO:0019542; GO:0019413; GO:0006085; GO:0008270; GO:0005524; GO:0000166; GO:0005829; GO:0016310; GO:0008776,metabolism,C,energy production and conversion,acetate kinase (EC 2.7.2.1)
acetate kinase a,b2296,acetate kinase,7.18614e-05,GO:0000287; GO:0044011; GO:0006083; GO:0046872; GO:0016774; GO:0016740; GO:0016301; GO:0006082; GO:0005737; GO:0019542; GO:0019413; GO:0006085; GO:0008270; GO:0005524; GO:0000166; GO:0005829; GO:0016310; GO:0008776,metabolism,C,energy production and conversion,acetate kinase (EC 2.7.2.1)
ackb,,,,no ontology,,,,
acna,b1276,aconitate hydratase 1,0.00016214382,GO:0047780; GO:0006101; GO:0003723; GO:0005829; GO:0051536; GO:0016829; GO:0003729; GO:0006097; GO:0009061; GO:0005737; GO:0003730; GO:0051539; GO:0046872; GO:0005506; GO:0003994; GO:0006979; GO:0006099,metabolism,C,energy production and conversion,aconitase (EC 4.2.1.3)
acn,b1276,aconitate hydratase 1,0.00016214382,GO:0047780; GO:0006101; GO:0003723; GO:0005829; GO:0051536; GO:0016829; GO:0003729; GO:0006097; GO:0009061; GO:0005737; GO:0003730; GO:0051539; GO:0046872; GO:0005506; GO:0003994; GO:0006979; GO:0006099,metabolism,C,energy production and conversion,aconitase (EC 4.2.1.3)
acnb,b0118,AcnB,0.00015520668,GO:0047780; GO:0003723; GO:0051536; GO:0016829; GO:0005829; GO:0003730; GO:0006417; GO:0003729; GO:0006097; GO:0019629; GO:0051539; GO:0046872; GO:0005515; GO:0003994; GO:0047456; GO:0006099,metabolism,C,energy production and conversion,aconitase (EC 4.2.1.3)
yaci,b0118,AcnB,0.00015520668,GO:0047780; GO:0003723; GO:0051536; GO:0016829; GO:0005829; GO:0003730; GO:0006417; GO:0003729; GO:0006097; GO:0019629; GO:0051539; GO:0046872; GO:0005515; GO:0003994; GO:0047456; GO:0006099,metabolism,C,energy production and conversion,aconitase (EC 4.2.1.3)
yacj,b0118,AcnB,0.00015520668,GO:0047780; GO:0003723; GO:0051536; GO:0016829; GO:0005829; GO:0003730; GO:0006417; GO:0003729; GO:0006097; GO:0019629; GO:0051539; GO:0046872; GO:0005515; GO:0003994; GO:0047456; GO:0006099,metabolism,C,energy production and conversion,aconitase (EC 4.2.1.3)
acph,b0404,EG11095-MONOMER,3.8115259999999995e-05,GO:0005829; GO:0016787; GO:0006631; GO:0006629; GO:0006633; GO:0008770,metabolism,I,lipid transport and metabolism,conserved protein
yajb,b0404,EG11095-MONOMER,3.8115259999999995e-05,GO:0005829; GO:0016787; GO:0006631; GO:0006629; GO:0006633; GO:0008770,metabolism,I,lipid transport and metabolism,conserved protein
acpp,b1094,"octanoyl-ACP // ""lipoyl-ACP"" // ""cis-&Delta;5-dodecenoyl-ACP"" // ""trans-&Delta;2-cis-&Delta;5-dodecenoyl-ACP"" // ""succinyl-ACP"" // ""cis-&Delta;3-decenoyl-ACP"" // ""3-oxo-cis-&Delta;5-dodecenoyl-ACP"" // ""(3R)-hydroxy cis &Delta;5-dodecenoyl-ACP"" // ""(3R)-3-hydroxypalmitoyl-ACP"" // ""(3R)-3-hydroxybutanoyl-ACP"" // ""trans oct-2-enoyl-ACP"" // ""trans-but-2-enoyl-ACP"" // ""(3R)-3-hydroxyoctanoyl-ACP"" // ""trans-hexadec-2-enoyl-ACP"" // ""holo-[acyl-carrier protein]"" // ""acyl carrier protein""",1.43415783e-05,GO:0008289; GO:0008610; GO:0006631; GO:0006629; GO:0005829; GO:0005515; GO:0042493; GO:0031177; GO:0009245; GO:0006633; GO:0005737; GO:0000036; GO:0000035,metabolism,Q,"secondary metabolites biosynthesis, transport, and catabolism",acyl carrier protein
octanoyl-[acyl-carrier protein],b1094,"octanoyl-ACP // ""lipoyl-ACP"" // ""cis-&Delta;5-dodecenoyl-ACP"" // ""trans-&Delta;2-cis-&Delta;5-dodecenoyl-ACP"" // ""succinyl-ACP"" // ""cis-&Delta;3-decenoyl-ACP"" // ""3-oxo-cis-&Delta;5-dodecenoyl-ACP"" // ""(3R)-hydroxy cis &Delta;5-dodecenoyl-ACP"" // ""(3R)-3-hydroxypalmitoyl-ACP"" // ""(3R)-3-hydroxybutanoyl-ACP"" // ""trans oct-2-enoyl-ACP"" // ""trans-but-2-enoyl-ACP"" // ""(3R)-3-hydroxyoctanoyl-ACP"" // ""trans-hexadec-2-enoyl-ACP"" // ""holo-[acyl-carrier protein]"" // ""acyl carrier protein""",1.43415783e-05,GO:0008289; GO:0008610; GO:0006631; GO:0006629; GO:0005829; GO:0005515; GO:0042493; GO:0031177; GO:0009245; GO:0006633; GO:0005737; GO:0000036; GO:0000035,metabolism,Q,"secondary metabolites biosynthesis, transport, and catabolism",acyl carrier protein
cis-&delta;5-dodecenoyl-acp,b1094,"octanoyl-ACP // ""lipoyl-ACP"" // ""cis-&Delta;5-dodecenoyl-ACP"" // ""trans-&Delta;2-cis-&Delta;5-dodecenoyl-ACP"" // ""succinyl-ACP"" // ""cis-&Delta;3-decenoyl-ACP"" // ""3-oxo-cis-&Delta;5-dodecenoyl-ACP"" // ""(3R)-hydroxy cis &Delta;5-dodecenoyl-ACP"" // ""(3R)-3-hydroxypalmitoyl-ACP"" // ""(3R)-3-hydroxybutanoyl-ACP"" // ""trans oct-2-enoyl-ACP"" // ""trans-but-2-enoyl-ACP"" // ""(3R)-3-hydroxyoctanoyl-ACP"" // ""trans-hexadec-2-enoyl-ACP"" // ""holo-[acyl-carrier protein]"" // ""acyl carrier protein""",1.43415783e-05,GO:0008289; GO:0008610; GO:0006631; GO:0006629; GO:0005829; GO:0005515; GO:0042493; GO:0031177; GO:0009245; GO:0006633; GO:0005737; GO:0000036; GO:0000035,metabolism,Q,"secondary metabolites biosynthesis, transport, and catabolism",acyl carrier protein
trans-&delta;2-cis-&delta;5-dodecenoyl-acp,b1094,"octanoyl-ACP // ""lipoyl-ACP"" // ""cis-&Delta;5-dodecenoyl-ACP"" // ""trans-&Delta;2-cis-&Delta;5-dodecenoyl-ACP"" // ""succinyl-ACP"" // ""cis-&Delta;3-decenoyl-ACP"" // ""3-oxo-cis-&Delta;5-dodecenoyl-ACP"" // ""(3R)-hydroxy cis &Delta;5-dodecenoyl-ACP"" // ""(3R)-3-hydroxypalmitoyl-ACP"" // ""(3R)-3-hydroxybutanoyl-ACP"" // ""trans oct-2-enoyl-ACP"" // ""trans-but-2-enoyl-ACP"" // ""(3R)-3-hydroxyoctanoyl-ACP"" // ""trans-hexadec-2-enoyl-ACP"" // ""holo-[acyl-carrier protein]"" // ""acyl carrier protein""",1.43415783e-05,GO:0008289; GO:0008610; GO:0006631; GO:0006629; GO:0005829; GO:0005515; GO:0042493; GO:0031177; GO:0009245; GO:0006633; GO:0005737; GO:0000036; GO:0000035,metabolism,Q,"secondary metabolites biosynthesis, transport, and catabolism",acyl carrier protein
"cis-3,4-dehydrodecanoyl-acp",b1094,"octanoyl-ACP // ""lipoyl-ACP"" // ""cis-&Delta;5-dodecenoyl-ACP"" // ""trans-&Delta;2-cis-&Delta;5-dodecenoyl-ACP"" // ""succinyl-ACP"" // ""cis-&Delta;3-decenoyl-ACP"" // ""3-oxo-cis-&Delta;5-dodecenoyl-ACP"" // ""(3R)-hydroxy cis &Delta;5-dodecenoyl-ACP"" // ""(3R)-3-hydroxypalmitoyl-ACP"" // ""(3R)-3-hydroxybutanoyl-ACP"" // ""trans oct-2-enoyl-ACP"" // ""trans-but-2-enoyl-ACP"" // ""(3R)-3-hydroxyoctanoyl-ACP"" // ""trans-hexadec-2-enoyl-ACP"" // ""holo-[acyl-carrier protein]"" // ""acyl carrier protein""",1.43415783e-05,GO:0008289; GO:0008610; GO:0006631; GO:0006629; GO:0005829; GO:0005515; GO:0042493; GO:0031177; GO:0009245; GO:0006633; GO:0005737; GO:0000036; GO:0000035,metabolism,Q,"secondary metabolites biosynthesis, transport, and catabolism",acyl carrier protein
(z)-3-decenoyl-acp,b1094,"octanoyl-ACP // ""lipoyl-ACP"" // ""cis-&Delta;5-dodecenoyl-ACP"" // ""trans-&Delta;2-cis-&Delta;5-dodecenoyl-ACP"" // ""succinyl-ACP"" // ""cis-&Delta;3-decenoyl-ACP"" // ""3-oxo-cis-&Delta;5-dodecenoyl-ACP"" // ""(3R)-hydroxy cis &Delta;5-dodecenoyl-ACP"" // ""(3R)-3-hydroxypalmitoyl-ACP"" // ""(3R)-3-hydroxybutanoyl-ACP"" // ""trans oct-2-enoyl-ACP"" // ""trans-but-2-enoyl-ACP"" // ""(3R)-3-hydroxyoctanoyl-ACP"" // ""trans-hexadec-2-enoyl-ACP"" // ""holo-[acyl-carrier protein]"" // ""acyl carrier protein""",1.43415783e-05,GO:0008289; GO:0008610; GO:0006631; GO:0006629; GO:0005829; GO:0005515; GO:0042493; GO:0031177; GO:0009245; GO:0006633; GO:0005737; GO:0000036; GO:0000035,metabolism,Q,"secondary metabolites biosynthesis, transport, and catabolism",acyl carrier protein
&beta;-keto-cis-&delta;5-dodecenoyl-acp,b1094,"octanoyl-ACP // ""lipoyl-ACP"" // ""cis-&Delta;5-dodecenoyl-ACP"" // ""trans-&Delta;2-cis-&Delta;5-dodecenoyl-ACP"" // ""succinyl-ACP"" // ""cis-&Delta;3-decenoyl-ACP"" // ""3-oxo-cis-&Delta;5-dodecenoyl-ACP"" // ""(3R)-hydroxy cis &Delta;5-dodecenoyl-ACP"" // ""(3R)-3-hydroxypalmitoyl-ACP"" // ""(3R)-3-hydroxybutanoyl-ACP"" // ""trans oct-2-enoyl-ACP"" // ""trans-but-2-enoyl-ACP"" // ""(3R)-3-hydroxyoctanoyl-ACP"" // ""trans-hexadec-2-enoyl-ACP"" // ""holo-[acyl-carrier protein]"" // ""acyl carrier protein""",1.43415783e-05,GO:0008289; GO:0008610; GO:0006631; GO:0006629; GO:0005829; GO:0005515; GO:0042493; GO:0031177; GO:0009245; GO:0006633; GO:0005737; GO:0000036; GO:0000035,metabolism,Q,"secondary metabolites biosynthesis, transport, and catabolism",acyl carrier protein
