cog,complex,complex_annotation,func,protein,subunits
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L1,RplA,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L2,RplB,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L3,RplC,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L4,RplD,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L5,RplE,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L6,RplF,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L9,RplI,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L10,RplJ,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L11,RplK,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,"50S ribosomal subunit protein L7 // ""50S ribosomal subunit protein L12""",RplL,4.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L13,RplM,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L14,RplN,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L15,RplO,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L16,RplP,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L17,RplQ,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L18,RplR,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L19,RplS,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L20,RplT,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L21,RplU,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L22,RplV,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L23,RplW,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L24,RplX,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L25,RplY,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L27,RpmA,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L28,RpmB,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L29,RpmC,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L30,RpmD,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L31,RpmE,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L32,RpmF,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L33,RpmG,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L34,RpmH,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L35,RpmI,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3962,50S ribosomal subunit,50S ribosomal subunit protein L36,RpmJ,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3955,50S ribosomal subunit protein L7/L12 dimer,"50S ribosomal subunit protein L7 // ""50S ribosomal subunit protein L12""",RplL,2.0
Coenzyme transport and metabolism,CPLX0-8123,"6-carboxy-5,6,7,8-tetrahydropterin synthase","6-carboxy-5,6,7,8-tetrahydropterin synthase",QueD,6.0
Carbohydrate transport and metabolism,6PFK-1-CPX,6-phosphofructokinase 1,6-phosphofructokinase 1,PfkA,4.0
Carbohydrate transport and metabolism,6PFK-2-CPX,6-phosphofructokinase 2,6-phosphofructokinase 2,PfkB,2.0
Carbohydrate transport and metabolism,6PGLUCONDEHYDROG-CPLX,"6-phosphogluconate dehydrogenase, decarboxylating","6-phosphogluconate dehydrogenase, decarboxylating",Gnd,2.0
"Secondary metabolites, biosynthesis, transport, and catabolism",7-ALPHA-HYDROXYSTEROID-DEH-CPLX,7-α-hydroxysteroid dehydrogenase,7-α-hydroxysteroid dehydrogenase,HdhA,4.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3501,7-cyano-7-deazaguanine reductase,7-cyano-7-deazaguanine reductase,QueF,2.0
Coenzyme transport and metabolism,7KAPSYN-CPLX,8-amino-7-oxononanoate synthase,8-amino-7-oxononanoate synthase,BioF,2.0
Defense Mechanisms,CPLX0-3958,EcoKI restriction-modification system,type I restriction enzyme EcoKI methyltransferase component,HsdM,2.0
Defense Mechanisms,CPLX0-3958,EcoKI restriction-modification system,type I restriction enzyme EcoKI endonuclease component,HsdR,2.0
Defense Mechanisms,CPLX0-3958,EcoKI restriction-modification system,type I restriction enzyme EcoKI specificity protein,HsdS,1.0
Carbohydrate transport and metabolism,CPLX-155,"N,N'-diacetylchitobiose-specific PTS enzyme II","N,N'-diacetylchitobiose-specific PTS enzyme IIA component",ChbA,1.0
Carbohydrate transport and metabolism,CPLX-155,"N,N'-diacetylchitobiose-specific PTS enzyme II","N,N'-diacetylchitobiose-specific PTS enzyme IIB component",ChbB,1.0
Carbohydrate transport and metabolism,CPLX-155,"N,N'-diacetylchitobiose-specific PTS enzyme II","N,N'-diacetylchitobiose-specific PTS enzyme IIC component",ChbC,1.0
Carbohydrate transport and metabolism,CPLX0-7610,N-acetyl-D-galactosamine specific PTS (cryptic),N-acetyl-D-galactosamine specific PTS enzyme IIB component,AgaV,1.0
Aminio acid transport and metabolism,ACNEULY-CPLX,N-acetyl-β-neuraminate lyase,N-acetylneuraminate lyase,NanA,4.0
Carbohydrate transport and metabolism,NAG6PDEACET-CPLX,N-acetylglucosamine-6-phosphate deacetylase,N-acetylglucosamine-6-phosphate deacetylase,NagA,4.0
Cell wall/membrane/envelope biogenesis,CPLX0-7732,N-acetylmuramic acid 6-phosphate etherase,N-acetylmuramic acid 6-phosphate etherase,MurQ,2.0
Cell wall/membrane/envelope biogenesis,CPLX0-7658,N-acetylneuraminate mutarotase,N-acetylneuraminate mutarotase,NanM,2.0
Aminio acid transport and metabolism,ACETYLORNTRANSAM-CPLX,N-acetylornithine aminotransferase / N-succinyldiaminopimelate aminotransferase,N-acetylornithine aminotransferase / N-succinyldiaminopimelate aminotransferase,ArgD,2.0
Aminio acid transport and metabolism,CPLX0-7947,N-succinylarginine dihydrolase,N-succinylarginine dihydrolase,AstB,2.0
Nucleotide transport and metabolism,PURE-CPLX,N5-carboxyaminoimidazole ribonucleotide mutase,adenine deaminase,Ade,8.0
Aminio acid transport and metabolism,O-SUCCHOMOSERLYASE-CPLX,O-succinylhomoserine(thiol)-lyase,O-succinylhomoserine(thiol)-lyase / O-succinylhomoserine lyase,MetB,4.0
Energy production and conversion,ADHC-CPLX,S-(hydroxymethyl)glutathione dehydrogenase,aldehyde/alcohol dehydrogenase AdhE,AdhE,2.0
Defense Mechanisms,CPLX0-3954,S-formylglutathione hydrolase,S-formylglutathione hydrolase / S-lactoylglutathione hydrolase,YeiG,4.0
Coenzyme transport and metabolism,CPLX0-7426,all-trans-octaprenyl-diphosphate synthase,all-trans-octaprenyl-diphosphate synthase,IspB,2.0
Lipid transport and metabolism,UPPSYN-CPLX,"ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]","ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]",IspU,2.0
"Secondary metabolites, biosynthesis, transport, and catabolism",MENE-CPLX,o-succinylbenzoate-CoA ligase,o-succinylbenzoate-CoA ligase,MenE,4.0
General function prediction only,CPLX0-7844,p-aminobenzoyl-glutamate hydrolase,p-aminobenzoyl-glutamate hydrolase subunit A,AbgA,2.0
General function prediction only,CPLX0-7844,p-aminobenzoyl-glutamate hydrolase,p-aminobenzoyl-glutamate hydrolase subunit B,AbgB,2.0
Carbohydrate transport and metabolism,ABC-34-CPLX,sn-glycerol 3-phosphate / glycerophosphodiester ABC transporter,sn-glycerol 3-phosphate ABC transporter membrane subunit UgpA,UgpA,1.0
Carbohydrate transport and metabolism,ABC-34-CPLX,sn-glycerol 3-phosphate / glycerophosphodiester ABC transporter,sn-glycerol 3-phosphate ABC transporter periplasmic binding protein,UgpB,1.0
Carbohydrate transport and metabolism,ABC-34-CPLX,sn-glycerol 3-phosphate / glycerophosphodiester ABC transporter,sn-glycerol 3-phosphate ABC transporter ATP binding subunit,UgpC,2.0
Carbohydrate transport and metabolism,ABC-34-CPLX,sn-glycerol 3-phosphate / glycerophosphodiester ABC transporter,sn-glycerol 3-phosphate ABC transporter membrane subunit UgpE,UgpE,1.0
Cell wall/membrane/envelope biogenesis,TRANS-200-CPLX,ABC-type tripartite efflux pump,ABC-type tripartite efflux pump membrane fusion protein,MacA,6.0
Cell wall/membrane/envelope biogenesis,TRANS-200-CPLX,ABC-type tripartite efflux pump,ABC-type tripartite efflux pump ATP binding/membrane subunit,MacB,2.0
Cell wall/membrane/envelope biogenesis,TRANS-200-CPLX,ABC-type tripartite efflux pump,outer membrane channel TolC,TolC,3.0
Cell wall/membrane/envelope biogenesis,CPLX0-3681,ADP-L-glycero-D-mannoheptose 6-epimerase,ADP-L-glycero-D-mannoheptose 6-epimerase,HldD,5.0
Function unknown,CPLX0-1221,ADP-sugar diphosphatase NudE,ADP-sugar diphosphatase NudE,NudE,2.0
Function unknown,CPLX0-3721,ADP-sugar pyrophosphatase,ADP-sugar pyrophosphatase,NudF,2.0
Nucleotide transport and metabolism,AMP-NUCLEOSID-CPLX,AMP nucleosidase,AMP nucleosidase,Amn,6.0
"Replication, recombination, and repair",CPLX0-3957,ATP dependent structure specific DNA nuclease,"ATP dependent, structure specific DNA nuclease - SbcC subunit",SbcC,1.0
"Replication, recombination, and repair",CPLX0-3957,ATP dependent structure specific DNA nuclease,"ATP dependent, structure specific DNA nuclease - SbcD subunit",SbcD,2.0
Aminio acid transport and metabolism,CPLX0-7614,ATP phosphoribosyltransferase,ATP phosphoribosyltransferase,HisG,2.0
