"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Component-Of"	"GO terms (biological process)"	"GO terms (cellular component)"	"GO terms (molecular function)"
"ycfJ"	"b1110"	1167599	1168138	"PF05433 family protein YcfJ"	"Chromosome Region 24, 1135717->1185095" // "ycfJ"	"regulation of single-species biofilm formation"	"integral component of plasma membrane" // "outer membrane" // "integral component of membrane" // "membrane"	""
"lpxA"	"b0181"	202560	203348	"acyl-[acyl-carrier-protein]&mdash;UDP-<i>N</i>-acetylglucosamine <i>O</i>-acyltransferase"	"Chromosome Region 5, 197516->246894" // "bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE" // "hlpA-lpxD-fabZ-lpxA"	"lipid metabolic process" // "lipid biosynthetic process" // "lipid A biosynthetic process"	"cytosol" // "cytoplasm"	"transferase activity, transferring acyl groups" // "transferase activity" // "identical protein binding" // "acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity"
"yhjY"	"b3548"	3712236	3712934	"protein YhjY"	"Chromosome Region 76, 3703425->3752803" // "yhjY"	""	"extracellular region" // "outer membrane"	""
"rffM"	"b3794"	3979956	3980696	UDPMANACATRANS-MONOMER	"Chromosome Region 81, 3950320->3999698" // "rfep" // "rffM" // "wzyE" // "wecF" // "wzxE" // "wecE" // "rffC" // "rffH" // "rffG" // "wecC" // "wecB" // "wzzE" // "rfe"	"biosynthetic process" // "enterobacterial common antigen biosynthetic process"	""	"lipopolysaccharide N-acetylmannosaminouronosyltransferase activity" // "transferase activity, transferring hexosyl groups" // "transferase activity, transferring glycosyl groups" // "transferase activity"
"yohC"	"b2135"	2225044	2225631	"putative inner membrane protein"	"Chromosome Region 46, 2222055->2271433" // "yohC"	"cellular response to DNA damage stimulus"	"plasma membrane" // "integral component of membrane" // "membrane"	""
"waaB"	"b3628"	3803058	3804137	"UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase"	"Chromosome Region 78, 3802183->3851561" // "rfaQGPSBIJYZ-waaU" // "rirA-rfaQGPSBIJYZ-waaU"	"lipopolysaccharide core region biosynthetic process" // "lipopolysaccharide biosynthetic process"	"cytosol"	"lipopolysaccharide-1,6-galactosyltransferase activity" // "transferase activity, transferring glycosyl groups" // "transferase activity"
"yjaG"	"b3999"	4199504	4200094	"DUF416 domain-containing protein YjaG"	"Chromosome Region 86, 4197215->4246593" // "yjaG"	""	"cytosol"	""
"glmS"	"b3729"	3911839	3913668	"L-glutamine&mdash;D-fructose-6-phosphate aminotransferase"	"Chromosome Region 80, 3900941->3950319" // "glmUS" // "glmUS"	"UDP-N-acetylglucosamine metabolic process" // "carbohydrate metabolic process" // "protein N-linked glycosylation" // "fructose 6-phosphate metabolic process" // "carbohydrate derivative metabolic process" // "carbohydrate derivative biosynthetic process" // "glutamine metabolic process" // "UDP-N-acetylglucosamine biosynthetic process"	"cytoplasm" // "cytosol"	"carbohydrate derivative binding" // "protein binding" // "transferase activity" // "transaminase activity" // "glutamine-fructose-6-phosphate transaminase (isomerizing) activity"
"yieH"	"b3715"	3896774	3897439	"6-phosphogluconate phosphatase"	"Chromosome Region 79, 3851562->3900940" // "yieH"	"dephosphorylation"	"cytosol"	"metal ion binding" // "hydrolase activity" // "manganese ion binding" // "magnesium ion binding" // "phosphatase activity"
"lpxH"	"b0524"	553218	553940	EG12666-MONOMER	"Chromosome Region 12, 543169->592547" // "ppiB" // "lpxH"	"lipid metabolic process" // "lipid A biosynthetic process"	"extrinsic component of plasma membrane" // "extrinsic component of cytoplasmic side of plasma membrane" // "membrane" // "plasma membrane" // "cytosol" // "cytoplasm"	"manganese ion binding" // "metal ion binding" // "hydrolase activity" // "pyrophosphatase activity" // "UDP-2,3-diacylglucosamine hydrolase activity"
"ydcC"	"b1460"	1531816	1532952	"H repeat-associated putative transposase YdcC"	"Chromosome Region 32, 1530749->1580127" // "ydcC"	"transposition, DNA-mediated"	"cytosol"	"transposase activity" // "DNA binding"
"rffC"	"b3790"	3974467	3975141	TDPFUCACTRANS-MONOMER	"Chromosome Region 81, 3950320->3999698" // "rfep" // "rffM" // "wzyE" // "wecF" // "wzxE" // "wecE" // "rffC" // "rffH" // "rffG" // "wecC" // "wecB" // "wzzE" // "rfe"	"enterobacterial common antigen biosynthetic process"	"cytoplasm"	"transferase activity, transferring acyl groups other than amino-acyl groups" // "transferase activity, transferring acyl groups" // "transferase activity" // "N-acetyltransferase activity"
"yhdH"	"b3253"	3403484	3404458	"acrylyl-CoA reductase"	"Chromosome Region 69, 3357772->3407150" // "yhdH"	"oxidation-reduction process"	"cytoplasm"	"protein homodimerization activity" // "acryloyl-CoA reductase (NADP+) activity" // "oxidoreductase activity"
"waaP"	"b3630"	3805153	3805950	"lipopolysaccharide core heptose (I) kinase"	"Chromosome Region 78, 3802183->3851561" // "rfaQGPSBIJYZ-waaU" // "rirA-rfaQGPSBIJYZ-waaU"	"carbohydrate phosphorylation" // "lipopolysaccharide biosynthetic process" // "phosphorylation" // "lipopolysaccharide core region biosynthetic process"	""	"transferase activity" // "kinase activity" // "nucleotide binding" // "ATP binding"
"yjeO"	"b4158"	4385704	4386018	"DUF2645 domain-containing inner membrane protein YjeO"	"Chromosome Region 89, 4345352->4394730" // "yjeO" // "yjeN"	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
"lpxC"	"b0096"	106557	107474	UDPACYLGLCNACDEACETYL-MONOMER	"Chromosome Region 3, 98758->148136" // "lpxCp2" // "lpxC" // "ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC" // "ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC" // "mraW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC" // "mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC" //  // "lpxCp1" // "lpxC"	"lipid metabolic process" // "lipid A biosynthetic process"	"cytosol" // "cytoplasm"	"UDP-3-O-acyl-N-acetylglucosamine deacetylase activity" // "metal ion binding" // "hydrolase activity" // "zinc ion binding" // "iron ion binding" // "UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity" // "deacetylase activity"
"yicU"	"b4797"	3838642	3838701	"protein YicU"	"Chromosome Region 78, 3802183->3851561"	""	""	""
"wecH"	"b3561"	3725887	3726882	"<i>O</i>-acetyltransferase WecH"	"Chromosome Region 76, 3703425->3752803" // "wecH"	"enterobacterial common antigen biosynthetic process"	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	"acetyltransferase activity" // "transferase activity, transferring acyl groups" // "transferase activity" // "transferase activity, transferring acyl groups other than amino-acyl groups" // "O-acetyltransferase activity"
"yodE"	"b4780"	2470497	2470643	"protein YodE"	"Chromosome Region 51, 2468950->2518328"	""	""	""
"wecC"	"b3787"	3971260	3972522	"UDP-<i>N</i>-acetyl-D-mannosamine dehydrogenase"	"Chromosome Region 81, 3950320->3999698" // "rfep" // "rffM" // "wzyE" // "wecF" // "wzxE" // "wecE" // "rffC" // "rffH" // "rffG" // "wecC" // "wecB" // "wzzE" // "rfe"	"polysaccharide biosynthetic process" // "oxidation-reduction process" // "enterobacterial common antigen biosynthetic process"	"cytosol"	"UDP-N-acetyl-D-mannosamine dehydrogenase activity" // "oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor" // "NAD binding" // "oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor" // "oxidoreductase activity"
"yqiD"	"b4756"	3183381	3183551	"protein YqiD"	"Chromosome Region 65, 3160256->3209634"	""	"integral component of membrane" // "membrane" // "plasma membrane"	""
"glmU"	"b3730"	3913830	3915200	"fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase"	"Chromosome Region 80, 3900941->3950319" // "glmUS" // "glmUS"	"cell wall organization" // "metabolic process" // "lipopolysaccharide biosynthetic process" // "cell morphogenesis" // "lipid A biosynthetic process" // "peptidoglycan biosynthetic process" // "regulation of cell shape" // "UDP-N-acetylglucosamine biosynthetic process"	"cytosol" // "cytoplasm"	"protein binding" // "metal ion binding" // "nucleotidyltransferase activity" // "transferase activity, transferring acyl groups" // "transferase activity" // "catalytic activity" // "identical protein binding" // "magnesium ion binding" // "glucosamine-1-phosphate N-acetyltransferase activity" // "UDP-N-acetylglucosamine diphosphorylase activity"
"ymgK"	"b4738"	1212260	1212304	"protein YmgK"	"Chromosome Region 25, 1185096->1234474"	""	""	""
"glf"	"b2036"	2107226	2108329	GALPMUT-MONOMER	"Chromosome Region 43, 2073918->2123296" // "glf-rfc"	"lipopolysaccharide biosynthetic process"	"cytosol"	"protein binding" // "flavin adenine dinucleotide binding" // "isomerase activity" // "UDP-galactopyranose mutase activity"
"yqfG"	"b4684"	3032817	3032942	"uncharacterized protein YqfG"	"Chromosome Region 62, 3012119->3061497"	""	""	""
"waaY"	"b3625"	3800267	3800965	"lipopolysaccharide core heptose (II) kinase"	"Chromosome Region 77, 3752804->3802182" // "rfaYZ" // "rfaQGPSBIJYZ-waaU" // "rirA-rfaQGPSBIJYZ-waaU"	"phosphorylation" // "carbohydrate phosphorylation" // "lipopolysaccharide core region biosynthetic process" // "lipopolysaccharide biosynthetic process"	"cytosol"	"transferase activity" // "kinase activity" // "ATP binding" // "nucleotide binding"
"yciZ"	"b4596"	1344436	1344609	"UPF0509 protein YciZ"	"Chromosome Region 28, 1333233->1382611" // "yciZT"	""	""	""
"lpxB"	"b0182"	203348	204496	"lipid A disaccharide synthase"	"Chromosome Region 5, 197516->246894" // "bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE"	"lipid metabolic process" // "lipid A biosynthetic process"	"cytosol" // "extrinsic component of cytoplasmic side of plasma membrane" // "extrinsic component of plasma membrane" // "cytoplasm"	"identical protein binding" // "transferase activity, transferring glycosyl groups" // "transferase activity" // "phospholipid binding" // "protein binding" // "lipid-A-disaccharide synthase activity"
"ymjC"	"b4525"	1390680	1390862	"putative uncharacterized protein YmjC"	"Chromosome Region 29, 1382612->1431990" // "ycjY-ymjDC-mpaA" // "ymjC" // "mpaA"	""	""	""
"glmM"	"b3176"	3322733	3324070	"phosphoglucosamine mutase"	"Chromosome Region 68, 3308393->3357771" // "folP-glmM"	"peptidoglycan biosynthetic process" // "organic substance metabolic process" // "carbohydrate metabolic process" // "UDP-N-acetylglucosamine biosynthetic process" // "protein autophosphorylation"	"cytosol" // "cytoplasm"	"phosphomannomutase activity" // "intramolecular transferase activity, phosphotransferases" // "isomerase activity" // "magnesium ion binding" // "metal ion binding" // "phosphoglucosamine mutase activity"
"ychN"	"b1219"	1273246	1273599	"DsrE/F sulfur relay family protein YchN"	"Chromosome Region 26, 1234475->1283853" // "ychN"	""	"protein-containing complex" // "cytosol"	"identical protein binding" // "protein binding"
"waaO"	"b3627"	3802039	3803058	"UDP-D-glucose:(glucosyl)LPS &alpha;-1,3-glucosyltransferase"	"Chromosome Region 78, 3802183->3851561" // "Chromosome Region 77, 3752804->3802182" // "rfaQGPSBIJYZ-waaU" // "rirA-rfaQGPSBIJYZ-waaU"	"lipopolysaccharide core region biosynthetic process" // "lipopolysaccharide biosynthetic process"	"cytosol"	"metal ion binding" // "transferase activity, transferring glycosyl groups" // "transferase activity" // "lipopolysaccharide 3-alpha-galactosyltransferase activity" // "lipopolysaccharide glucosyltransferase II activity"
"yhhM"	"b3467"	3605251	3605610	"DUF2500 domain-containing protein YhhM"	"Chromosome Region 74, 3604667->3654045" // "yhhM"	""	"integral component of plasma membrane"	""
"dsrA"	"b1954"	2025227	2025313	"small regulatory RNA DsrA"	"Chromosome Region 42, 2024539->2073917" // "dsrA"	"negative regulation of single-species biofilm formation" // "negative regulation of bacterial-type flagellum-dependent cell motility"	""	""
"wbbJ"	"b2033"	2104494	2105084	"putative lipopolysaccharide biosynthesis O-acetyl transferase WbbJ"	"Chromosome Region 43, 2073918->2123296" // "wbbIJK"	"lipopolysaccharide biosynthetic process"	"cytosol"	"transferase activity" // "transferase activity, transferring acyl groups"
"wecE"	"b3791"	3975146	3976276	"dTDP-4-dehydro-6-deoxy-D-glucose transaminase"	"Chromosome Region 81, 3950320->3999698" // "rfep" // "rffM" // "wzyE" // "wecF" // "wzxE" // "wecE" // "rffC" // "rffH" // "rffG" // "wecC" // "wecB" // "wzzE" // "rfe"	"polysaccharide biosynthetic process" // "enterobacterial common antigen biosynthetic process"	"cytosol"	"transaminase activity" // "identical protein binding" // "pyridoxal phosphate binding" // "transferase activity" // "catalytic activity" // "dTDP-4-amino-4,6-dideoxygalactose transaminase activity"
"yjjY"	"b4402"	4640402	4640542	"protein YjjY"	"Chromosome Region 94, 4592247->4641625" // "yjjY"	""	""	""
"waaQ"	"b3632"	3807064	3808098	"lipopolysaccharide core heptosyltransferase 3"	"Chromosome Region 78, 3802183->3851561" // "rfaQGPSBIJYZ-waaU" // "rirA-rfaQGPSBIJYZ-waaU"	"lipopolysaccharide biosynthetic process" // "lipopolysaccharide core region biosynthetic process"	"cytosol"	"ADP-heptose-lipopolysaccharide heptosyltransferase activity" // "lipopolysaccharide core heptosyltransferase activity" // "transferase activity, transferring glycosyl groups" // "transferase activity"
"yidF"	"b3674"	3855114	3855611	"uncharacterized protein YidF"	"Chromosome Region 79, 3851562->3900940" // "yidH" // "yidG" // "yidF"	""	"cytosol"	"catalytic activity"
"lpxD"	"b0179"	200971	201996	"UDP-3-<i>O</i>-(3-hydroxymyristoyl)glucosamine <i>N</i>-acyltransferase"	"Chromosome Region 5, 197516->246894" // "bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE" // "hlpA-lpxD-fabZ-lpxA" // "lpxD"	"lipid metabolic process" // "response to antibiotic" // "lipid A biosynthetic process"	"cytosol" // "cytoplasm"	"protein binding" // "UDP-3-O-(R-3-hydroxymyristoyl)-glucosamine N-acyltransferase activity" // "UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase activity" // "transferase activity, transferring acyl groups other than amino-acyl groups" // "transferase activity, transferring acyl groups" // "transferase activity" // "identical protein binding" // "N-acyltransferase activity"
"ysgA"	"b3830"	4015354	4016169	"putative dienelactone hydrolase"	"Chromosome Region 82, 3999699->4049077" // "ysgA"	""	""	"hydrolase activity" // "carboxymethylenebutenolidase activity"
"rfbD"	"b2040"	2111077	2111976	DTDPDEHYRHAMREDUCT-MONOMER	"Chromosome Region 43, 2073918->2123296" // "rfbBDACX"	"carbohydrate metabolic process" // "dTDP-rhamnose biosynthetic process" // "oxidation-reduction process" // "extracellular polysaccharide biosynthetic process" // "lipopolysaccharide biosynthetic process" // "O antigen biosynthetic process"	"cytosol"	"metal ion binding" // "oxidoreductase activity" // "dTDP-4-dehydrorhamnose reductase activity"
"yicR"	"b3638"	3811891	3812559	"RadC-like JAB domain-containing protein YicR"	"Chromosome Region 78, 3802183->3851561" // "yicR-rpmBG" // "yicR-rpmBG-mutM"	"proteolysis"	"cytosol"	"metal ion binding" // "hydrolase activity" // "metallopeptidase activity" // "peptidase activity"
"rffG"	"b3788"	3972522	3973589	"dTDP-glucose 4,6-dehydratase 2"	"Chromosome Region 81, 3950320->3999698" // "rfep" // "rffM" // "wzyE" // "wecF" // "wzxE" // "wecE" // "rffC" // "rffH" // "rffG" // "wecC" // "wecB" // "wzzE" // "rfe"	"enterobacterial common antigen biosynthetic process" // "nucleotide-sugar metabolic process" // "extracellular polysaccharide biosynthetic process" // "lipopolysaccharide biosynthetic process"	"cytosol"	"lyase activity" // "dTDP-glucose 4,6-dehydratase activity"
"yraR"	"b3152"	3298211	3298846	"putative nucleoside-diphosphate-sugar epimerase"	"Chromosome Region 67, 3259014->3308392" // "yraRp" // "yraR"	"oxidation-reduction process"	""	"NAD binding" // "oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"
"wbbH"	"b2035"	2106060	2107226	"putative O-antigen polymerase"	"Chromosome Region 43, 2073918->2123296" // "glf-rfc"	"lipopolysaccharide biosynthetic process"	"plasma membrane" // "integral component of membrane" // "membrane"	""
"rhsC"	"b0700"	729583	733776	"rhs element protein RhsC"	"Chromosome Region 15, 691306->740684" // "ybfB" // "rhsC"	""	""	"protein binding"
"waaZ"	"b3624"	3799345	3800196	"lipopolysaccharide core biosynthesis protein WaaZ"	"Chromosome Region 77, 3752804->3802182" // "rfaYZ" // "rfaZ-waaU" // "rfaQGPSBIJYZ-waaU" // "rirA-rfaQGPSBIJYZ-waaU"	"lipopolysaccharide biosynthetic process" // "lipopolysaccharide core region biosynthetic process"	"cytosol" // "plasma membrane"	""
"yqgD"	"b2941"	3086399	3086650	"DUF2684 domain-containing protein YqgD"	"Chromosome Region 63, 3061498->3110876" // "yqgD"	""	""	""
"rfe"	"b3784"	3967916	3969019	"UDP-<i>N</i>-acetylglucosamine&mdash;undecaprenyl-phosphate <i>N</i>-acetylglucosaminephosphotransferase"	"Chromosome Region 81, 3950320->3999698" // "rfep" // "rffM" // "wzyE" // "wecF" // "wzxE" // "wecE" // "rffC" // "rffH" // "rffG" // "wecC" // "wecB" // "wzzE" // "rfe"	"cell wall organization" // "O antigen biosynthetic process" // "cell wall macromolecule biosynthetic process" // "lipopolysaccharide biosynthetic process" // "enterobacterial common antigen biosynthetic process"	"plasma membrane" // "membrane" // "integral component of plasma membrane" // "integral component of membrane" // "Gram-negative-bacterium-type cell wall"	"transferase activity" // "UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity" // "identical protein binding" // "drug binding" // "manganese ion binding" // "phosphotransferase activity, for other substituted phosphate groups" // "transferase activity, transferring glycosyl groups" // "phospho-N-acetylmuramoyl-pentapeptide-transferase activity" // "magnesium ion binding"
"ygdI"	"b2809"	2942918	2943145	"DUF903 domain-containing lipoprotein YgdI"	"Chromosome Region 60, 2913361->2962739" // "ygdI"	""	"outer membrane-bounded periplasmic space" // "plasma membrane" // "membrane"	""
"rfbA"	"b2039"	2110138	2111019	"dTDP-glucose pyrophosphorylase"	"Chromosome Region 43, 2073918->2123296" // "rfbACX" // "rfbBDACX"	"extracellular polysaccharide biosynthetic process" // "biosynthetic process" // "dTDP-rhamnose biosynthetic process" // "lipopolysaccharide biosynthetic process" // "O antigen biosynthetic process"	"cytosol"	"identical protein binding" // "metal ion binding" // "nucleotidyltransferase activity" // "transferase activity" // "glucose-1-phosphate thymidylyltransferase activity"
"yfgG"	"b2504"	2629290	2629481	"nickel/cobalt stress response protein YfgG"	"Chromosome Region 54, 2617087->2666465" // "yfgGp" // "yfgG"	"stress response to nickel ion" // "stress response to metal ion"	"plasma membrane" // "integral component of plasma membrane" // "integral component of membrane" // "membrane"	""
"waaU"	"b3623"	3798239	3799312	"putative ADP-heptose:LPS heptosyltransferase 4"	"Chromosome Region 77, 3752804->3802182" // "rfaZ-waaU" // "rfaQGPSBIJYZ-waaU" // "rirA-rfaQGPSBIJYZ-waaU"	"lipopolysaccharide core region biosynthetic process" // "lipopolysaccharide biosynthetic process"	"cytosol" // "membrane"	"ADP-heptose-lipopolysaccharide heptosyltransferase activity" // "transferase activity, transferring glycosyl groups" // "transferase activity" // "lipopolysaccharide N-acetylglucosaminyltransferase activity"
"yfaQ"	"b2226"	2328148	2329797	"tandem DUF2300 domain-containing protein YfaQ"	"Chromosome Region 48, 2320813->2370191" // "yfaA" // "yfaT" // "yfaS" // "yfaQ" // "yfaP"	""	""	""
"wecF"	"b4481"	3977525	3978604	"TDP-<i>N</i>-acetylfucosamine:lipid II <i>N</i>-acetylfucosaminyltransferase"	"Chromosome Region 81, 3950320->3999698" // "rfep" // "rffM" // "wzyE" // "wecF" // "wzxE" // "wecE" // "rffC" // "rffH" // "rffG" // "wecC" // "wecB" // "wzzE" // "rfe"	"fucosylation" // "enterobacterial common antigen biosynthetic process"	"plasma membrane" // "membrane"	"transferase activity, transferring hexosyl groups" // "4-acetamido-4,6-dideoxy-D-galactose transferase activity" // "transferase activity, transferring glycosyl groups" // "transferase activity" // "fucosyltransferase activity"
"yecN"	"b1869"	1952266	1952661	"MAPEG family inner membrane protein YecN"	"Chromosome Region 40, 1925781->1975159" // "cmoB" // "cmoA" // "yecN"	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
"waaJ"	"b3626"	3800983	3801999	"UDP-glucose:(glucosyl)LPS &alpha;-1,2-glucosyltransferase"	"Chromosome Region 77, 3752804->3802182" // "rfaQGPSBIJYZ-waaU" // "rirA-rfaQGPSBIJYZ-waaU"	"lipopolysaccharide core region biosynthetic process" // "lipopolysaccharide biosynthetic process"	"cytosol"	"metal ion binding" // "lipopolysaccharide 3-alpha-galactosyltransferase activity" // "transferase activity, transferring glycosyl groups" // "transferase activity" // "lipopolysaccharide glucosyltransferase I activity"
"ydiJ"	"b1687"	1765629	1768685	"putative FAD-linked oxidoreductase"	"Chromosome Region 36, 1728265->1777643" // "ydiJ" // "menI" // "ydiH"	"lactate catabolic process" // "oxidation-reduction process"	""	"FAD binding" // "D-lactate dehydrogenase activity" // "D-lactate dehydrogenase (cytochrome) activity" // "catalytic activity" // "4 iron, 4 sulfur cluster binding" // "metal ion binding" // "iron-sulfur cluster binding" // "flavin adenine dinucleotide binding" // "oxidoreductase activity"
"wzzB"	"b2027"	2097321	2098301	"regulator of length of O-antigen component of lipopolysaccharide chains"	"Chromosome Region 43, 2073918->2123296" // "wzzB"	"peptidyl-tyrosine phosphorylation" // "lipopolysaccharide biosynthetic process"	"plasma membrane" // "integral component of membrane" // "membrane"	"protein tyrosine kinase activity"
"yddL"	"b1472"	1545738	1546028	"putative uncharacterized protein YddL"	"Chromosome Region 32, 1530749->1580127" // "yddL" // "yddK" // "yddJ"	"ion transmembrane transport"	"cell outer membrane" // "membrane"	"porin activity"
"waaS"	"b3629"	3804181	3805116	"lipopolysaccharide core biosynthesis protein WaaS"	"Chromosome Region 78, 3802183->3851561" // "rfaQGPSBIJYZ-waaU" // "rirA-rfaQGPSBIJYZ-waaU"	"lipopolysaccharide biosynthetic process" // "lipopolysaccharide core region biosynthetic process"	"cytosol" // "plasma membrane"	""
"ymjA"	"b1295"	1357423	1357668	"DUF2543 domain-containing protein YmjA"	"Chromosome Region 28, 1333233->1382611" // "ymjA"	""	"cytosol"	""
"ypdI"	"b2376"	2494698	2494973	"colanic acid synthesis putative lipoprotein YpdI"	"Chromosome Region 51, 2468950->2518328" // "ypdI"	"colanic acid biosynthetic process"	"outer membrane-bounded periplasmic space" // "plasma membrane" // "membrane"	""
"ymcE"	"b0991"	1051847	1052077	"protein YmcE"	"Chromosome Region 22, 1036959->1086337" // "gnsA" // "ymcE"	""	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	""
"gmd"	"b2053"	2127193	2128314	"GDP-mannose 4,6-dehydratase"	"Chromosome Region 44, 2123297->2172675" // "wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC"	"GDP-mannose metabolic process" // "'de novo' GDP-L-fucose biosynthetic process" // "colanic acid biosynthetic process"	"cytoplasm" // "cytosol"	"NADP+ binding" // "protein homodimerization activity" // "lyase activity" // "GDP-mannose 4,6-dehydratase activity"
"ylaC"	"b0458"	478781	479251	"putative inner membrane protein"	"Chromosome Region 10, 444411->493789" // "ylaCp" // "ylaC"	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
