gene_name	ecocyc_gene_id	b_number	gene_product	go_terms	synonyms	common_name	mw_kda
rcsA	EG10820	b1951	DNA-binding transcriptional activator RcsA	GO:0050896 // GO:0006355 // GO:0003677 // GO:0005829 // GO:0006351	"CpsR // ""RcsA"" // ""positive regulator of capsular polysaccharide synthesis"" // ""positive DNA-binding transcriptional regulator of capsular polysaccharide synthesis, activates its own expression"""	DNA-binding transcriptional activator RcsA	23.516
ymdF	G0-10443	b4518	stress-induced bacterial acidophilic repeat motifs-containing protein YmdF	GO:0005829	YmdF	stress-induced bacterial acidophilic repeat motifs-containing protein YmdF	5.883
asmA	EG11361	b2064	putative assembly protein AsmA	GO:0005887 // GO:0030288 // GO:0005886 // GO:0090313 // GO:0042597	"YegA // ""AsmA"""	putative assembly protein AsmA	68.963
ycfJ	EG12444	b1110	PF05433 family protein YcfJ	GO:0005887 // GO:1900190 // GO:0019867 // GO:0016021 // GO:0016020	YcfJ	PF05433 family protein YcfJ	18.92
lpxA	EG10545	b0181	acyl-[acyl-carrier-protein]&mdash;UDP-N-acetylglucosamine O-acyltransferase	GO:0016746 // GO:0016740 // GO:0042802 // GO:0006629 // GO:0005829 // GO:0008610 // GO:0008780 // GO:0009245 // GO:0005737	"LpxA // ""UDP-N-acetylglucosamine acyltransferase"""	acyl-[acyl-carrier-protein]&mdash;UDP-N-acetylglucosamine O-acyltransferase	28.08
yhjY	EG12269	b3548	protein YhjY	GO:0005576 // GO:0019867	YhjY	protein YhjY	25.951
rffM	EG11458	b3794	UDPMANACATRANS-MONOMER	GO:0047241 // GO:0016758 // GO:0009058 // GO:0009246 // GO:0016757 // GO:0016740	"Rff // ""RffM"" // ""WecG"""		27.928
yohC	EG12016	b2135	putative inner membrane protein	GO:0006974 // GO:0005886 // GO:0016021 // GO:0016020	YohC	putative inner membrane protein	21.691
waaB	EG11351	b3628	"UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase"	GO:0005829 // GO:0008921 // GO:0009244 // GO:0016757 // GO:0016740 // GO:0009103	"Syn // ""Lps"" // ""WaaB"" // ""RfaB"""	"UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase"	40.826
yjaG	EG11916	b3999	DUF416 domain-containing protein YjaG	GO:0005829	YjaG	DUF416 domain-containing protein YjaG	22.613
glmS	EG10382	b3729	L-glutamine&mdash;D-fructose-6-phosphate aminotransferase	GO:0006047 // GO:0005975 // GO:0006487 // GO:0006002 // GO:1901135 // GO:0097367 // GO:1901137 // GO:0005515 // GO:0016740 // GO:0008483 // GO:0005737 // GO:0005829 // GO:0006541 // GO:0004360 // GO:0006048	GlmS	L-glutamine&mdash;D-fructose-6-phosphate aminotransferase	66.894
yieH	EG11725	b3715	6-phosphogluconate phosphatase	GO:0016311 // GO:0005829 // GO:0046872 // GO:0016787 // GO:0030145 // GO:0000287 // GO:0016791	YieH	6-phosphogluconate phosphatase	24.664
lpxH	EG12666	b0524	EG12666-MONOMER	GO:0019897 // GO:0031234 // GO:0030145 // GO:0046872 // GO:0016020 // GO:0005886 // GO:0005829 // GO:0016787 // GO:0016462 // GO:0006629 // GO:0008758 // GO:0005737 // GO:0009245	"YbbF // ""LpxH"""		26.894
ydcC	EG11526	b1460	H repeat-associated putative transposase YdcC	GO:0005829 // GO:0006313 // GO:0004803 // GO:0003677	YdcC	H repeat-associated putative transposase YdcC	43.079
rffC	EG11455	b3790	TDPFUCACTRANS-MONOMER	GO:0016747 // GO:0005737 // GO:0016746 // GO:0016740 // GO:0009246 // GO:0008080	"Rff // ""YifH"" // ""RffC"" // ""WecD"""		24.22
yhdH	EG11315	b3253	acrylyl-CoA reductase	GO:0042803 // GO:0043957 // GO:0005737 // GO:0055114 // GO:0016491	"AcuI // ""YhdH"""	acrylyl-CoA reductase	34.724
waaP	EG11340	b3630	lipopolysaccharide core heptose (I) kinase	GO:0046835 // GO:0016740 // GO:0009103 // GO:0016310 // GO:0016301 // GO:0000166 // GO:0005524 // GO:0009244	"WaaP // ""RfaP"" // ""L-glycero-D-manno-heptose (I) kinase"""	lipopolysaccharide core heptose (I) kinase	30.872
yjeO	G7839	b4158	DUF2645 domain-containing inner membrane protein YjeO	GO:0005886 // GO:0016021 // GO:0016020	YjeO	DUF2645 domain-containing inner membrane protein YjeO	12.638
lpxC	EG10265	b0096	UDPACYLGLCNACDEACETYL-MONOMER	GO:0103117 // GO:0046872 // GO:0016787 // GO:0006629 // GO:0008270 // GO:0005506 // GO:0008759 // GO:0005829 // GO:0019213 // GO:0009245 // GO:0005737	"EnvA // ""AsmB"" // ""LpxC"""		33.956
yicU	G0-17043	b4797	protein YicU		YicU	protein YicU	2.183
wecH	EG12274	b3561	O-acetyltransferase WecH	GO:0016407 // GO:0005887 // GO:0016746 // GO:0016740 // GO:0009246 // GO:0016747 // GO:0016413 // GO:0005886 // GO:0016021 // GO:0016020	"YiaH // ""WecH"""	O-acetyltransferase WecH	37.57
yodE	G0-17026	b4780	protein YodE		YodE	protein YodE	5.068
wecC	EG11452	b3787	UDP-N-acetyl-D-mannosamine dehydrogenase	GO:0089714 // GO:0005829 // GO:0016628 // GO:0000271 // GO:0051287 // GO:0055114 // GO:0016616 // GO:0016491 // GO:0009246	"MnaB // ""Rff"" // ""RffD"" // ""WecC"""	UDP-N-acetyl-D-mannosamine dehydrogenase	45.839
yqiD	G0-16750	b4756	protein YqiD	GO:0016021 // GO:0016020 // GO:0005886	YqiD	protein YqiD	6.81
glmU	EG11198	b3730	fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase	GO:0005515 // GO:0071555 // GO:0046872 // GO:0016779 // GO:0016746 // GO:0016740 // GO:0008152 // GO:0003824 // GO:0009103 // GO:0000902 // GO:0009245 // GO:0005829 // GO:0042802 // GO:0009252 // GO:0008360 // GO:0000287 // GO:0006048 // GO:0019134 // GO:0003977 // GO:0005737	"YieA // ""GlmU"""	fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase	49.19
ymgK	G0-16733	b4738	protein YmgK		YmgK	protein YmgK	1.589
glf	EG11981	b2036	GALPMUT-MONOMER	GO:0005515 // GO:0050660 // GO:0005829 // GO:0016853 // GO:0009103 // GO:0008767	"YefE // ""Glf"""		42.966
yqfG	G0-10656	b4684	uncharacterized protein YqfG		YqfG	uncharacterized protein YqfG	4.791
waaY	EG11425	b3625	lipopolysaccharide core heptose (II) kinase	GO:0016310 // GO:0046835 // GO:0005829 // GO:0009244 // GO:0016740 // GO:0016301 // GO:0005524 // GO:0000166 // GO:0009103	"WaaY // ""RfaY"" // ""L-glycero-D-manno-heptose (II) kinase"""	lipopolysaccharide core heptose (II) kinase	27.461
yciZ	G0-10591	b4596	UPF0509 protein YciZ		"DeoL // ""YciZ"""	UPF0509 protein YciZ	6.441
lpxB	EG10546	b0182	lipid A disaccharide synthase	GO:0005829 // GO:0031234 // GO:0042802 // GO:0016757 // GO:0016740 // GO:0006629 // GO:0019897 // GO:0005543 // GO:0005515 // GO:0008915 // GO:0009245 // GO:0005737	"PgsB // ""LpxB"""	lipid A disaccharide synthase	42.382
ymjC	G0-10446	b4525	putative uncharacterized protein YmjC		YmjC	putative uncharacterized protein YmjC	6.725
glmM	EG11553	b3176	phosphoglucosamine mutase	GO:0009252 // GO:0004615 // GO:0071704 // GO:0016868 // GO:0016853 // GO:0005975 // GO:0000287 // GO:0005829 // GO:0046872 // GO:0008966 // GO:0006048 // GO:0046777 // GO:0005737	"YhbF // ""GlmM"" // ""MrsA"""	phosphoglucosamine mutase	47.544
ychN	EG12404	b1219	DsrE/F sulfur relay family protein YchN	GO:0032991 // GO:0042802 // GO:0005515 // GO:0005829	YchN	DsrE/F sulfur relay family protein YchN	12.693
waaO	EG11352	b3627	"UDP-D-glucose:(glucosyl)LPS &alpha;-1,3-glucosyltransferase"	GO:0046872 // GO:0005829 // GO:0016757 // GO:0016740 // GO:0009244 // GO:0008918 // GO:0047270 // GO:0009103	"WaaO // ""WaaI"" // ""RfaI"""	"UDP-D-glucose:(glucosyl)LPS &alpha;-1,3-glucosyltransferase"	39.423
yhhM	EG12213	b3467	DUF2500 domain-containing protein YhhM	GO:0005887	YhhM	DUF2500 domain-containing protein YhhM	13.496
dsrA	G7047	b1954	small regulatory RNA DsrA	GO:1900191 // GO:1902201	"DsrA // ""DsrA small regulatory RNA; riboregulator of RpoS and H-NS production"""	small regulatory RNA DsrA	
wbbJ	EG11984	b2033	putative lipopolysaccharide biosynthesis O-acetyl transferase WbbJ	GO:0005829 // GO:0016740 // GO:0016746 // GO:0009103	"WbbJ // ""YefH"""	putative lipopolysaccharide biosynthesis O-acetyl transferase WbbJ	21.675
wecE	EG11456	b3791	dTDP-4-dehydro-6-deoxy-D-glucose transaminase	GO:0008483 // GO:0000271 // GO:0042802 // GO:0030170 // GO:0005829 // GO:0016740 // GO:0003824 // GO:0019180 // GO:0009246	"Rff // ""YifI"" // ""RffA"" // ""FcnA"" // ""WecE"""	dTDP-4-dehydro-6-deoxy-D-glucose transaminase	41.901
yjjY	G7954	b4402	protein YjjY		YjjY	protein YjjY	4.886
waaQ	EG11341	b3632	lipopolysaccharide core heptosyltransferase 3	GO:0008713 // GO:0071967 // GO:0005829 // GO:0009103 // GO:0009244 // GO:0016757 // GO:0016740	"WaaQ // ""RfaQ"" // ""HepIII"" // ""lipopolysaccharide core heptosyltransferase III"""	lipopolysaccharide core heptosyltransferase 3	38.731
yidF	EG11694	b3674	uncharacterized protein YidF	GO:0003824 // GO:0005829	"YidF // ""putative DNA-binding transcriptional regulator"""	uncharacterized protein YidF	19.188
lpxD	EG10316	b0179	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	GO:0005515 // GO:0103118 // GO:0043764 // GO:0005829 // GO:0016747 // GO:0016746 // GO:0016740 // GO:0006629 // GO:0005737 // GO:0042802 // GO:0016410 // GO:0046677 // GO:0009245	"OmsA // ""FirA"" // ""LpxD"""	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	36.038
ysgA	G7804	b3830	putative dienelactone hydrolase	GO:0016787 // GO:0008806	YsgA	putative dienelactone hydrolase	29.425
rfbD	EG12411	b2040	DTDPDEHYRHAMREDUCT-MONOMER	GO:0005975 // GO:0005829 // GO:0019305 // GO:0046872 // GO:0055114 // GO:0045226 // GO:0016491 // GO:0009103 // GO:0008831 // GO:0009243	"RfbD // ""RmlD"""		32.694
yicR	EG11312	b3638	RadC-like JAB domain-containing protein YicR	GO:0046872 // GO:0016787 // GO:0008237 // GO:0008233 // GO:0006508 // GO:0005829	"YicR // ""RadC"""	RadC-like JAB domain-containing protein YicR	25.343
rffG	EG11453	b3788	"dTDP-glucose 4,6-dehydratase 2"	GO:0009246 // GO:0005829 // GO:0016829 // GO:0009225 // GO:0045226 // GO:0009103 // GO:0008460	"Rff // ""RffG"""	"dTDP-glucose 4,6-dehydratase 2"	39.754
yraR	G7646	b3152	putative nucleoside-diphosphate-sugar epimerase	GO:0055114 // GO:0051287 // GO:0016620	YraR	putative nucleoside-diphosphate-sugar epimerase	23.198
wbbH	EG11982	b2035	putative O-antigen polymerase	GO:0005886 // GO:0016021 // GO:0016020 // GO:0009103	"YefF // ""WbbH"" // ""Rfc"""	putative O-antigen polymerase	44.744
rhsC	EG10848	b0700	rhs element protein RhsC	GO:0005515	RhsC	rhs element protein RhsC	157.776
waaZ	EG11426	b3624	lipopolysaccharide core biosynthesis protein WaaZ	GO:0005829 // GO:0009103 // GO:0005886 // GO:0009244	"WaaZ // ""RfaZ"" // ""protein involved in KdoIII attachment during lipopolysaccharide core biosynthesis"""	lipopolysaccharide core biosynthesis protein WaaZ	32.92
yqgD	G7523	b2941	DUF2684 domain-containing protein YqgD		YqgD	DUF2684 domain-containing protein YqgD	9.519
rfe	EG10840	b3784	UDP-N-acetylglucosamine&mdash;undecaprenyl-phosphate N-acetylglucosaminephosphotransferase	GO:0016740 // GO:0005886 // GO:0036380 // GO:0042802 // GO:0071555 // GO:0009243 // GO:0016020 // GO:0005887 // GO:0044038 // GO:0008144 // GO:0030145 // GO:0016780 // GO:0016757 // GO:0016021 // GO:0009276 // GO:0009103 // GO:0008963 // GO:0000287 // GO:0009246	"WecA // ""Rfe"""	UDP-N-acetylglucosamine&mdash;undecaprenyl-phosphate N-acetylglucosaminephosphotransferase	40.957
ygdI	G7453	b2809	DUF903 domain-containing lipoprotein YgdI	GO:0030288 // GO:0005886 // GO:0016020	YgdI	DUF903 domain-containing lipoprotein YgdI	8.174
rfbA	EG11978	b2039	dTDP-glucose pyrophosphorylase	GO:0042802 // GO:0045226 // GO:0009058 // GO:0019305 // GO:0005829 // GO:0046872 // GO:0016779 // GO:0016740 // GO:0009103 // GO:0008879 // GO:0009243	"Som // ""RfbA"" // ""RmlA"""	dTDP-glucose pyrophosphorylase	32.694
yfgG	G7315	b2504	nickel/cobalt stress response protein YfgG	GO:0005886 // GO:1990532 // GO:0097501 // GO:0005887 // GO:0016021 // GO:0016020	YfgG	nickel/cobalt stress response protein YfgG	7.462
waaU	EG11423	b3623	putative ADP-heptose:LPS heptosyltransferase 4	GO:0008713 // GO:0005829 // GO:0009244 // GO:0016757 // GO:0016740 // GO:0016020 // GO:0009103 // GO:0008917	"WaaU // ""RfaK"" // ""heptosyl transferase IV"" // ""putative UDP-N-acetyl-D-glucosaminyl transferase"" // ""ADP-L-glycero-&beta;-D-manno-heptose:LPS heptosyltransferase IV"""	putative ADP-heptose:LPS heptosyltransferase 4	41.729
yfaQ	G7153	b2226	tandem DUF2300 domain-containing protein YfaQ		YfaQ	tandem DUF2300 domain-containing protein YfaQ	61.476
wecF	G7800	b4481	TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase	GO:0016758 // GO:0102031 // GO:0036065 // GO:0016757 // GO:0016740 // GO:0005886 // GO:0016020 // GO:0008417 // GO:0009246	"WecF // ""Rff"" // ""RffT"" // ""YifM"""	TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase	40.64
yecN	G7019	b1869	MAPEG family inner membrane protein YecN	GO:0005886 // GO:0016021 // GO:0016020	YecN	MAPEG family inner membrane protein YecN	15.226
waaJ	EG11353	b3626	"UDP-glucose:(glucosyl)LPS &alpha;-1,2-glucosyltransferase"	GO:0046872 // GO:0005829 // GO:0008918 // GO:0009244 // GO:0016757 // GO:0016740 // GO:0009103 // GO:0008919	"WaaR // ""WaaJ"" // ""RfaJ"" // ""UDP-D-glucose:(galactosyl)lipopolysaccharide glucosyltransferase"""	"UDP-glucose:(glucosyl)LPS &alpha;-1,2-glucosyltransferase"	39.04
ydiJ	G6913	b1687	putative FAD-linked oxidoreductase	GO:1903457 // GO:0071949 // GO:0055114 // GO:0008720 // GO:0004458 // GO:0003824 // GO:0051539 // GO:0046872 // GO:0051536 // GO:0050660 // GO:0016491	YdiJ	putative FAD-linked oxidoreductase	113.248
wzzB	G7090	b2027	regulator of length of O-antigen component of lipopolysaccharide chains	GO:0018108 // GO:0004713 // GO:0005886 // GO:0016021 // GO:0016020 // GO:0009103	"Cld // ""Rol"" // ""Wzz"" // ""WzzB"""	regulator of length of O-antigen component of lipopolysaccharide chains	36.455
yddL	G6773	b1472	putative uncharacterized protein YddL	GO:0034220 // GO:0009279 // GO:0016020 // GO:0015288	"YddL // ""putative truncated Porin_1 family protein YddL"""	putative uncharacterized protein YddL	10.736
waaS	EG11350	b3629	lipopolysaccharide core biosynthesis protein WaaS	GO:0005829 // GO:0009103 // GO:0005886 // GO:0009244	"WaaS // ""RfaS"""	lipopolysaccharide core biosynthesis protein WaaS	36.73
ymjA	G6642	b1295	DUF2543 domain-containing protein YmjA	GO:0005829	YmjA	DUF2543 domain-containing protein YmjA	9.321
ypdI	G7239	b2376	colanic acid synthesis putative lipoprotein YpdI	GO:0030288 // GO:0009242 // GO:0005886 // GO:0016020	YpdI	colanic acid synthesis putative lipoprotein YpdI	10.162
ymcE	G6512	b0991	protein YmcE	GO:0005887 // GO:0005886 // GO:0016021 // GO:0016020	YmcE	protein YmcE	8.727
gmd	EG11787	b2053	"GDP-mannose 4,6-dehydratase"	GO:0070401 // GO:0005737 // GO:0042803 // GO:0019673 // GO:0042351 // GO:0005829 // GO:0016829 // GO:0008446 // GO:0009242	"YefN // ""YefA"" // ""Gmd"""	"GDP-mannose 4,6-dehydratase"	42.047
ylaC	G6253	b0458	putative inner membrane protein	GO:0005886 // GO:0016021 // GO:0016020	YlaC	putative inner membrane protein	18.267
rcsB	EG10821	b2217	"Pasp56 RcsB // ""DNA-binding transcriptional activator RcsB"""	GO:0005829 // GO:0046677 // GO:0044011 // GO:0031346 // GO:0005515 // GO:0045893 // GO:0045892 // GO:0001216 // GO:0001217 // GO:0006355 // GO:0003677 // GO:0000160 // GO:0006351	"RcsB // ""RcsB response regulator - phosphorylated"" // ""RcsB response regulator"""	"Pasp56 RcsB // ""DNA-binding transcriptional activator RcsB"""	23.671
yafJ	G6107	b0223	putative glutamine amidotransferase YafJ	GO:0005829 // GO:0005515 // GO:0016740 // GO:0006541	YafJ	putative glutamine amidotransferase YafJ	28.636
cpsG	EG10162	b2048	PHOSMANMUT-MONOMER	GO:0071704 // GO:0016868 // GO:0005975 // GO:0000287 // GO:0009298 // GO:0005829 // GO:0046872 // GO:0016853 // GO:0009103 // GO:0004615	"RfbK // ""CpsG"" // ""ManB"""		50.463
ysaE	G0-17039	b4793	protein YsaE		YsaE	protein YsaE	2.605
fcl	EG11788	b2052	GDP-L-fucose synthase	GO:0070401 // GO:0009226 // GO:0016491 // GO:0003824 // GO:0042803 // GO:0050662 // GO:0042351 // GO:0009242 // GO:0005829 // GO:0008152 // GO:0055114 // GO:0016853 // GO:0050577 // GO:0005737	"YefB // ""WcaG"" // ""Fcl"""	GDP-L-fucose synthase	36.141
ydgV	G0-17023	b4777	protein YdgV		YdgV	protein YdgV	3.906
waaA	EG10520	b3633	KDO transferase	GO:0005887 // GO:0009103 // GO:0009244 // GO:0036104 // GO:0005886 // GO:0016740 // GO:0016021 // GO:0016020 // GO:0009245	"WaaA // ""KdtA"""	KDO transferase	47.291
yqfH	G0-16747	b4753	protein YqfH		YqfH	protein YqfH	2.617
ugd	G7091	b2028	UDP-glucose 6-dehydrogenase	GO:0005829 // GO:0005515 // GO:0000271 // GO:0016616 // GO:0016491 // GO:0051287 // GO:0009103 // GO:0006065 // GO:0055114 // GO:0003979 // GO:0009242	"Udg // ""YefA"" // ""Ugd"" // ""PmrE"""	UDP-glucose 6-dehydrogenase	43.657
ybgU	G0-16730	b4735	protein YbgU		YbgU	protein YbgU	3.827
flk	EG10229	b2321	putative flagella assembly protein	GO:0005887 // GO:0031224 // GO:0010468 // GO:0016020 // GO:0016021 // GO:0005886	"Flk // ""Div"""	putative flagella assembly protein	36.668
yqeL	G0-10650	b4683	uncharacterized protein YqeL		YqeL	uncharacterized protein YqeL	3.203
fliQ	EG11976	b1949	flagellar biosynthesis protein FliQ	GO:0044780 // GO:0009306 // GO:0009288 // GO:0005886 // GO:0009425 // GO:0016021 // GO:0016020	"FlaQ // ""FliQ"" // ""flagellar biosynthetic protein FliQ"""	flagellar biosynthesis protein FliQ	9.632
appX	G0-10588	b4592	small protein AppX	GO:0005887 // GO:0005886 // GO:0016020 // GO:0009279 // GO:0016021	"CbdX // ""AppX"" // ""YccB"""	small protein AppX	3.597
ybhI	G6400	b0770	putative tricarboxylate transporter	GO:0022857 // GO:0055085 // GO:0005886 // GO:0016021 // GO:0016020	YbhI	putative tricarboxylate transporter	51.351
ybaE	EG13217	b0445	uncharacterized protein YbaE	GO:1904680 // GO:0042886 // GO:0030288	YbaE	uncharacterized protein YbaE	64.992
glpG	EG10397	b3424	rhomboid protease GlpG	GO:0042802 // GO:0005887 // GO:0004175 // GO:0016787 // GO:0016020 // GO:0008233 // GO:0004252 // GO:0006508 // GO:0008236 // GO:0005886 // GO:0016021	"GlpG // ""intramembrane serine protease"""	rhomboid protease GlpG	31.307
yadS	EG12333	b0157	PF03458 family protein YadS	GO:0005886 // GO:0016021 // GO:0016020	"YadS // ""conserved inner membrane protein YadS"""	PF03458 family protein YadS	22.128
ppiD	G6242	b0441	periplasmic folding chaperone	GO:0005887 // GO:0000413 // GO:0071575 // GO:0061077 // GO:0042802 // GO:0005886 // GO:0016853 // GO:0016021 // GO:0016020 // GO:0003755	"YbaU // ""PpiD"""	periplasmic folding chaperone	68.15
yaeF	EG12138	b0193	peptidase C92 family protein YaeF	GO:0030288 // GO:0016787 // GO:0008234 // GO:0008233 // GO:0006508 // GO:0005886 // GO:0016020	"YaeK // ""YaeF"""	peptidase C92 family protein YaeF	29.912
fepG	EG10298	b0589	ferric enterobactin ABC transporter membrane subunit FepG	GO:0055085 // GO:0033214 // GO:0022857 // GO:0005623 // GO:0055052 // GO:0015620 // GO:0015685 // GO:0005887 // GO:0055072 // GO:0005886 // GO:0016021 // GO:0016020 // GO:0006811		ferric enterobactin ABC transporter membrane subunit FepG	34.91
yiiR	EG11875	b3921	DUF805 domain-containing protein YiiR	GO:0005886 // GO:0016021	YiiR	DUF805 domain-containing protein YiiR	16.542
dgoT	EG20053	b3691	D-galactonate:H+ symporter	GO:0005887 // GO:0015295 // GO:0042881 // GO:0042875 // GO:0034194 // GO:0055085 // GO:0005886 // GO:0016021 // GO:0016020	"YidT // ""DgoT"""	D-galactonate:H+ symporter	47.077
yjiS	G7937	b4341	DUF1127 domain-containing protein YjiS		YjiS	DUF1127 domain-containing protein YjiS	6.709
cpxA	EG10163	b3911	"CpxA-N-phospho-L-histidine // ""sensor histidine kinase CpxA"""	GO:0006470 // GO:0030288 // GO:0005829 // GO:0036460 // GO:0005887 // GO:0004721 // GO:0042802 // GO:0000160 // GO:0009314 // GO:0007155 // GO:0023014 // GO:0018106 // GO:0005515 // GO:0043708 // GO:0016772 // GO:0016740 // GO:0016310 // GO:0016301 // GO:0016020 // GO:0007165 // GO:0004673 // GO:0046777 // GO:0000166 // GO:0005886 // GO:0016021 // GO:0005524 // GO:0000155	"CpxA-Phis248 // ""CpxA phosphorylated"" // ""RssE"" // ""Ecf"" // ""Ssd"" // ""Eup"" // ""EcfB"""	"CpxA-N-phospho-L-histidine // ""sensor histidine kinase CpxA"""	51.624
slyX	EG11664	b3348	protein SlyX	GO:0005829	SlyX	protein SlyX	8.214
yjhB	EG12544	b4279	putative sialic acid transporter	GO:0055085 // GO:0005886 // GO:0016021 // GO:0016020	YjhB	putative sialic acid transporter	44.104
yhgN	G7753	b3434	putative inner membrane protein	GO:0005887 // GO:0005886 // GO:0016021 // GO:0016020	YhgN	putative inner membrane protein	21.49
ydjE	EG12369	b1769	putative transporter YdjE	GO:0055085 // GO:0022857 // GO:0005886 // GO:0016021 // GO:0016020	YdjE	putative transporter YdjE	50.318
psiE	EG11209	b4030	putative phosphate starvation-inducible protein PsiE	GO:0016036 // GO:0005886 // GO:0016021 // GO:0016020	"PsiE // ""YjbA"""	putative phosphate starvation-inducible protein PsiE	15.597
uraA	EG12129	b2497	uracil:H+ symporter UraA	GO:0098721 // GO:0022857 // GO:0042803 // GO:0016021 // GO:0055085 // GO:0015857 // GO:0015210 // GO:0005887 // GO:0015505 // GO:0005886 // GO:0016020	"UraA // ""uracil NCS2 transporter"""	uracil:H+ symporter UraA	45.06
yhaL	G7621	b3107	uncharacterized protein YhaL		YhaL	uncharacterized protein YhaL	5.961
ccmC	EG12057	b2199	heme trafficking system membrane protein CcmC	GO:0017003 // GO:0020037 // GO:0015886 // GO:0015232 // GO:0005886 // GO:0016021 // GO:0016020 // GO:0005887 // GO:0005515 // GO:0017004	"YejU // ""YejT"""	heme trafficking system membrane protein CcmC	27.885
dedA	EG10216	b2317	DedA family protein DedA	GO:0005886 // GO:0016021 // GO:0016020	DedA	DedA family protein DedA	24.51
metI	EG11737	b0198	L-methionine/D-methionine ABC transporter membrane subunit	GO:0055085 // GO:1902475 // GO:0048473 // GO:0055052 // GO:0005887 // GO:0015191 // GO:0048474 // GO:0015821 // GO:0005515 // GO:0005886 // GO:0016021 // GO:0016020 // GO:0006865	"MetD // ""YaeE"""	L-methionine/D-methionine ABC transporter membrane subunit	23.256
yqfA	G7512	b2899	hemolysin-III family protein YqfA	GO:0019835 // GO:0005886 // GO:0016021 // GO:0016020	YqfA	hemolysin-III family protein YqfA	23.847
bacA	EG11665	b3057	undecaprenyl pyrophosphate phosphatase	GO:0000270 // GO:0005887 // GO:0016462 // GO:0071555 // GO:0016787 // GO:0016311 // GO:0005886 // GO:0046677 // GO:0016021 // GO:0016020 // GO:0009252 // GO:0008360 // GO:0050380	"BacA // ""UppP"""	undecaprenyl pyrophosphate phosphatase	29.759
ygcE	G7442	b2776	putative sugar kinase YgcE	GO:0016773 // GO:0005975 // GO:0016310 // GO:0016740 // GO:0016301	YgcE	putative sugar kinase YgcE	54.177
clsA	EG11608	b1249	cardiolipin synthase A	GO:0016780 // GO:0016740 // GO:0006629 // GO:0003824 // GO:0032049 // GO:0008808 // GO:0005886 // GO:0016021 // GO:0016020 // GO:0008654	"ClsA // ""YciJ"" // ""Nov"" // ""Cls"" // ""cardiolipin synthase 1"""	cardiolipin synthase A	54.822
yfeZ	G7268	b2433	putative inner membrane protein	GO:0005886 // GO:0016021 // GO:0016020	YfeZ	putative inner membrane protein	17.168
