SwissProt ID,SwissProt accession,Protein description,Observed parent ions,Protein score,Observable peptides,PAI lysate,emPAI,emPAI-derived copy no/cell (see Figure 2),Detection Frequency,Molecular mass (Da),Isoelectric point (pI),GRAVY (Kyte-Doolittle),number of alternating hydrophobic/hydrophilic stretches,CAI,Essentiality,hgt,Expr_value,FunCat (v.1.3) top level classification,FunCat (v.1.3) complete classification,FunCat class description,SCOP Fold,SCOP Family,SCOP Class,SCOP Fold Description,TMHMM 2.0 number of transmembrane segments,PSORT localisation,Experimentally derived localization,Group,Operon,Running Number,ribosomal protein,log copynumber
EFTS_ECOLI,P02997,Elongation factor Ts (EF-Ts),69,3751,17,4.06,1.14E+04,6.60E+04,0.065737466,30293,5.07,-0.13,14,,,,2,"63,40,05,06",06.10;63;05;05.04;40.03;63.03.03;63.03;40;05.04.02;06;,"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; PROTEIN FATE (folding, modification, destination); ","a.5,d.43",d.43.1;a.5.2;,"Alpha and beta proteins (a+b),All alpha proteins","Elongation factor Ts (EF-Ts), dimerisation domain,RuvA C-terminal domain-like",0,Cytoplasmic,C,high,rpsB-tsf,16,no,4.819543936
SYA_ECOLI,P00957,Alanyl-tRNA synthetase (EC 6.1.1.7) (Alanine--tRNA ligase) (AlaRS),67,3363,48,1.4,2.39E+01,1.83E+03,0.024137685,96034,5.64,-0.3,30,,,,,"63,40,05",63.17;63;05;40.03;05.10;63.17.09;40;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; ,,,,,0,Cytoplasmic,C,low,,17,no,3.26245109
6PGD_ECOLI,P00350,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)",67,3637,23,2.91,8.18E+02,1.42E+04,0.041062629,51482,4.88,-0.2,10,,,,,"67,01,63,02",01;63;02.07;63.21.07;02;67.15;01.05;01.05.01;01.05.01.01;02.07.01;63.21;01.05.01.01.01;67;,TRANSPORT FACILITATION; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); ENERGY; ,"a.100,c.2",a.100.1;c.2.1;,"Alpha and beta proteins (a/b),All alpha proteins","6-phosphogluconate dehydrogenase C-terminal domain-like,NAD(P)-binding Rossmann-fold domains",0,Unknown,C,high,,18,no,4.152288344
SYL_ECOLI,P07813,Leucyl-tRNA synthetase (EC 6.1.1.4) (Leucine--tRNA ligase) (LeuRS),64,3193,39,1.64,4.28E+01,2.56E+03,0.016073565,97235,5.03,-0.37,21,,,,,"63,40,05",63.19;63;05;63.11;40.03;05.10;63.03.03;63.03;40;63.19.03;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; ,"b.51,c.26,a.27",a.27.1;b.51.1;c.26.1;,"Alpha and beta proteins (a/b),All beta proteins,All alpha proteins","Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases,ValRS/IleRS editing domain,Adenine nucleotide alpha hydrolase-like",0,Cytoplasmic,,high,,19,no,3.408239965
OPPA_ECOLI,P23843,Periplasmic oligopeptide-binding protein precursor,64,3109,23,2.78,6.05E+02,1.20E+04,0.016671651,60900,6.46,-0.44,16,0.41,N,,,"67,63,40,08",67.11;63.02;63;08.16;40.28;63.01;40;08;08.16.03;67;,TRANSPORT FACILITATION; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; CELLULAR TRANSPORT AND TRANSPORT MECHANISMS; ,c.94,c.94.1;,Alpha and beta proteins (a/b),Periplasmic binding protein-like II,1,Periplasmic,P,high,oppABCDF,20,no,4.079181246
SYI_ECOLI,P00956,Isoleucyl-tRNA synthetase (EC 6.1.1.5) (Isoleucine--tRNA ligase) (IleRS),65,3012,43,1.51,3.15E+01,2.15E+03,0.021126242,104167,5.89,-0.26,38,,,,1.17,"63,40,05",63.19;63;05;40.03;05.10;63.03.03;63.03;40;63.19.03;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; ,"b.51,c.26,a.27",a.27.1;b.51.1;c.26.1;,"Alpha and beta proteins (a/b),All beta proteins,All alpha proteins","Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases,ValRS/IleRS editing domain,Adenine nucleotide alpha hydrolase-like",0,Cytoplasmic,,high,ribF-ileS-lspA-slpA-lytB,21,no,3.33243846
ENO_ECOLI,P08324,Enolase (EC 4.2.1.11) (2-phosphoglycerate dehydratase) (2-phospho-D-glycerate hydro-lyase),59,3083,15,3.93,8.58E+03,5.58E+04,0.044684129,45525,5.23,-0.16,8,,,,2.11,"01,63,40,02",01;01.03;63.17;63;01.03.16;01.03.16.01;40.03;02;01.05;01.05.01;01.05.01.01;02.01;63.17.07;40;01.05.01.01.01;,METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; ENERGY; ,"c.1,d.54",c.1.11;d.54.1;,"Alpha and beta proteins (a/b),Alpha and beta proteins (a+b)","Enolase N-terminal domain-like,TIM beta/alpha-barrel",0,Cytoplasmic,C,high,,22,no,4.746634199
PT1_ECOLI,P08839,"Phosphoenolpyruvate-protein phosphotransferase (EC 2.7.3.9) (Phosphotransferase system, en",58,3157,26,2.23,1.69E+02,5.70E+03,0.039514932,63563,4.6,-0.12,16,0.5,N,,1.41,"67,01",01;01.05.07;01.05;67.07.01;67;67.07;,TRANSPORT FACILITATION; METABOLISM; ,"a.60,c.1,c.8",c.1.12;a.60.10;c.8.1;,"Alpha and beta proteins (a/b),All alpha proteins","TIM beta/alpha-barrel,SAM domain-like,The ""swivelling"" beta/beta/alpha domain",0,Cytoplasmic,C,high,ptsHI-crr,23,no,3.755874856
IF2_ECOLI,P02995,Translation initiation factor IF-2,60,2662,37,1.62,4.08E+01,2.50E+03,0.026953748,97351,5.96,-0.53,25,,,,2.18,"11,63,40,05",63.19;11.01.06;63;05.04;05.04.01;40.03;63.03;05.01.99;05.01;11.01;63.19.05;05;63.03.03;11;40;,"CELL RESCUE, DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; ","c.37,b.43",c.37.1;b.43.3;,"Alpha and beta proteins (a/b),All beta proteins","Reductase/isomerase/elongation factor common domain,P-loop containing nucleotide triphosphate hydrolases",0,Cytoplasmic,,high,metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp,24,no,3.397940009
TYPH_ECOLI,P07650,Thymidine phosphorylase (EC 2.4.2.4) (TdRPase),61,3156,23,2.65,4.48E+02,1.00E+04,0.044317201,47208,5.08,0.01,13,0.47,N,,,"01,40",01.03.01.01;01;01.03;01.03.07.01;40.03;01.03.07;01.03.01;01.03.04.01;40;01.03.04;,METABOLISM; SUBCELLULAR LOCALISATION; ,"d.41,c.27,a.46",c.27.1;a.46.2;d.41.3;,"Alpha and beta proteins (a/b),Alpha and beta proteins (a+b),All alpha proteins","Methionine synthase domain-like,alpha/beta-Hammerhead,Pyrimidine nucleoside phosphorylase central domain",0,Unknown,,high,deoCABD,25,no,4
CLPB_ECOLI,P03815,ClpB protein (Heat shock protein F84.1),58,2646,44,1.32,1.98E+01,1.64E+03,0.02738822,95586,5.29,-0.36,31,,,,,"11,63,06",11.01;63.19;63;11;63.19.03;06;06.01;11.01.05;,"CELL RESCUE, DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN FATE (folding, modification, destination); ",c.37,c.37.1;,Alpha and beta proteins (a/b),P-loop containing nucleotide triphosphate hydrolases,0,Cytoplasmic,C,low,clpB,26,no,3.214843848
GLTB_ECOLI,P09831,Glutamate synthase [NADPH] large chain precursor (EC 1.4.1.13) (Glutamate synthase alpha s,54,2615,70,0.77,4.91E+00,7.29E+02,0.010012405,166711,6.69,-0.22,38,0.45,N,,,"67,01,63",01.01.01;01;01.01.01.01;63.17;63;63.21.07;01.02.01;01.01.01.01.02;01.01.01.01.02.05;63.17.09;67.15;01.02;63.21.05;01.01.01.01.02.04;01.01;63.21;01.01.01.01.01;67;,TRANSPORT FACILITATION; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); ,"c.1,d.153,b.80",b.80.4;d.153.1;c.1.4;,"Alpha and beta proteins (a/b),Alpha and beta proteins (a+b),All beta proteins","TIM beta/alpha-barrel,Ntn hydrolase-like,Single-stranded right-handed beta-helix",0,Unknown,,low,gltBDF,27,no,2.862727528
PNP_ECOLI,P05055,Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNP,58,2879,26,2.23,1.69E+02,5.70E+03,0.039349942,77102,4.96,-0.14,25,,,,2.66,"11,01,40,04",01;01.03;11.01.06;01.03.16;04.05;40.03;01.03.16.01;04.05.05;11.01;04;11;04.05.05.11;40;,"CELL RESCUE, DEFENSE AND VIRULENCE; METABOLISM; SUBCELLULAR LOCALISATION; TRANSCRIPTION; ","b.40,d.101,d.51,d.14,d.52,a.4",d.14.1;d.51.1;d.101.1;b.40.4;d.52.3;a.4.9;,"Alpha and beta proteins (a+b),All beta proteins,All alpha proteins","DNA/RNA-binding 3-helical bundle,Ribosomal protein S5 domain 2-like,Polynucleotide phosphorylase/guanosine pentaphosphate synthase (PNPase/GPSI), domains 2 and 5,Alpha-lytic protease prodomain-like,Eukaryotic type KH-domain (eKH-domain),OB-fold",0,Cytoplasmic,,high,metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp,28,no,3.755874856
DEOC_ECOLI,P00882,Deoxyribose-phosphate aldolase (EC 4.1.2.4) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase),57,3114,14,4.07,1.18E+04,6.71E+04,0.076219256,27735,5.5,-0.01,6,,,,,"01,40",01.03.01.01;01;01.03;01.03.07.01;40.03;01.03.07;01.03.01;01.03.04.01;40;01.03.04;,METABOLISM; SUBCELLULAR LOCALISATION; ,c.1,c.1.10;,Alpha and beta proteins (a/b),TIM beta/alpha-barrel,0,Cytoplasmic,,high,deoCABD,29,no,4.82672252
SYGB_ECOLI,P00961,Glycyl-tRNA synthetase beta chain (EC 6.1.1.14) (Glycine--tRNA ligase beta chain) (GlyRS),56,2897,35,1.6,3.88E+01,2.42E+03,0.02050581,76683,5.18,-0.22,22,,,,,"40,05",05;40.03;05.10;40;,SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; ,,,,,0,Cytoplasmic,C,high,glyQS,30,no,3.383815366
SYV_ECOLI,P07118,Valyl-tRNA synthetase (EC 6.1.1.9) (Valine--tRNA ligase) (ValRS),55,2420,42,1.31,1.94E+01,1.62E+03,0.020356677,108194,5.07,-0.38,34,0.61,E,,1.81,"63,05",63.19;63;05;05.04;63.11;05.10;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN SYNTHESIS; ,"b.51,a.27,c.26",a.27.1;b.51.1;c.26.1;,"Alpha and beta proteins (a/b),All beta proteins,All alpha proteins","Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases,ValRS/IleRS editing domain,Adenine nucleotide alpha hydrolase-like",0,Cytoplasmic,,low,,31,no,3.209515015
DEOD_ECOLI,P09743,Purine nucleoside phosphorylase (EC 2.4.2.1) (Inosine phosphorylase) (PNP),53,2770,14,3.79,6.10E+03,4.58E+04,0.039721946,25820,5.42,0.06,11,,,,1.99,"01,40",01.03.01.01;01;01.03;40.03;01.03.01;40;,METABOLISM; SUBCELLULAR LOCALISATION; ,c.56,c.56.2;,Alpha and beta proteins (a/b),Phosphorylase/hydrolase-like,0,Cytoplasmic,,high,deoCABD,32,no,4.660865478
HTPG_ECOLI,P10413,Chaperone protein htpG (Heat shock protein htpG) (High temperature protein G) (Heat shock,52,2587,35,1.49,2.96E+01,2.07E+03,0.035885167,71424,4.95,-0.52,16,,,,1.85,"11,63,06",11.01;63.19;63;63.01;11;63.19.03;06;06.01;11.01.05;,"CELL RESCUE, DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN FATE (folding, modification, destination); ",d.122,d.122.1;,Alpha and beta proteins (a+b),ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase,0,Cytoplasmic,C,high,htpG,33,no,3.315970345
RL2_ECOLI,P60422,50S ribosomal protein L2,49,2226,13,3.77,5.88E+03,4.48E+04,0.070207988,29730,11.61,-0.71,10,,,,2.44,"63,05,40",05.01.01;63;05;40.03;63.03.03;63.03;05.01;40;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN SYNTHESIS; SUBCELLULAR LOCALISATION; ,"b.40,b.34",b.40.4;b.34.5;,All beta proteins,"SH3-like barrel,OB-fold",0,Unknown,,-,rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ,34,yes,4.651278014
OMPA_ECOLI,P02934,Outer membrane protein A precursor (Outer membrane protein II*),52,2763,15,3.47,2.93E+03,2.99E+04,0.067445712,37202,6.37,-0.34,13,0.78,N,,2.37,"63,40,30",63.07;63;40.31;30;30.31;40;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; CONTROL OF CELLULAR ORGANIZATION; ,f.4,f.4.1;,Membrane and cell surface proteins and peptides,Transmembrane beta-barrels,0,OuterMembrane,IM,high,ompA,35,no,4.475671188
DLDH_ECOLI,P00391,Dihydrolipoyl dehydrogenase (EC 1.8.1.4) (E3 component of pyruvate and 2-oxoglutarate dehy,52,2845,16,3.25,1.78E+03,2.24E+04,0.048767022,50558,6.1,-0.02,8,,,,2.1,"67,01,63,40",01;63;63.21.07;01.01.10;40.03;67.15;63.21.05;01.01;01.01.10.05.04;01.01.10.05;40;63.21;67;,TRANSPORT FACILITATION; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; ,"c.4,c.3,d.87",c.4.1;d.87.1;c.3.1;c.3.1;,"Alpha and beta proteins (a/b),Alpha and beta proteins (a+b)","CO dehydrogenase flavoprotein C-domain-like,Nucleotide-binding domain,FAD/NAD(P)-binding domain",0,Cytoplasmic,C,high,pdhR-aceEF-lpdA,36,no,4.350248018
TALB_ECOLI,P30148,Transaldolase B (EC 2.2.1.2),50,2601,20,2.5,3.15E+02,8.19E+03,0.045454545,35089,4.94,-0.22,4,0.59,N,,1.58,"01,40,02",01;02.07;40.03;02;01.05;40;01.05.01;01.05.01.01;,METABOLISM; SUBCELLULAR LOCALISATION; ENERGY; ,c.1,c.1.10;,Alpha and beta proteins (a/b),TIM beta/alpha-barrel,0,Unknown,C,high,,37,no,3.913283902
GUAA_ECOLI,P04079,GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (Glutamine amidotransferase) (GMP synthe,47,2366,26,1.81,6.32E+01,3.22E+03,0.02473786,58680,5.15,-0.1,13,,,,,1,01.01.01;01;01.01.01.01;01.03;01.01.10;01.01.10.01;01.01.01.01.02;01.03.01.01;01.01.01.01.02.04;01.01;01.03.01.03;01.03.01;01.03.01.01.03;01.01.10.01.05;,METABOLISM; ,"c.23,d.52,c.26",c.26.2;c.23.16;d.52.2;,"Alpha and beta proteins (a/b),Alpha and beta proteins (a+b)","Alpha-lytic protease prodomain-like,Adenine nucleotide alpha hydrolase-like,Flavodoxin-like",0,Cytoplasmic,,high,guaBA,38,no,3.507855872
ACO2_ECOLI,P36683,Aconitate hydratase 2 (EC 4.2.1.3) (Citrate hydro-lyase 2) (Aconitase 2),50,2161,38,1.32,1.97E+01,1.63E+03,0.028038278,93499,5.14,-0.12,25,0.56,N,,1.4,"01,63,02",01;63.17;02.10;63;02;63.17.09;01.05;01.05.01;01.05.01.01;,METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); ENERGY; ,"c.83,c.8,a.118",c.8.2;a.118.15;c.83.1;,"Alpha and beta proteins (a/b),All alpha proteins","alpha-alpha superhelix,The ""swivelling"" beta/beta/alpha domain,Aconitase iron-sulfur domain",0,Cytoplasmic,C,low,acnB,39,no,3.212187604
