Entry	Status	Protein names	Gene names	Cofactor	Entry name	Gene ontology IDs	Gene ontology (GO)	Gene ontology (biological process)	Mass	Metal binding	Keyword ID	Annotation	Function [CC]
P0A9Q5	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD dedB usg b2316 JW2313	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000255|HAMAP-Rule:MF_01395, ECO:0000269|PubMed:19965770};  Note=Binds 1 zinc ion per subunit. The zinc is involved in both translation regulation via mRNA-binding and catalysis. {ECO:0000255|HAMAP-Rule:MF_01395, ECO:0000269|PubMed:19965770};	ACCD_ECOLI	GO:0003677; GO:0003729; GO:0003989; GO:0005524; GO:0005829; GO:0006633; GO:0008270; GO:0009329; GO:0016743; GO:0017148; GO:0042759; GO:2001295	acetate CoA-transferase complex [GO:0009329]; cytosol [GO:0005829]; acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; carboxyl- or carbamoyltransferase activity [GO:0016743]; DNA binding [GO:0003677]; mRNA binding [GO:0003729]; zinc ion binding [GO:0008270]; fatty acid biosynthetic process [GO:0006633]; long-chain fatty acid biosynthetic process [GO:0042759]; malonyl-CoA biosynthetic process [GO:2001295]; negative regulation of translation [GO:0017148]	fatty acid biosynthetic process [GO:0006633]; long-chain fatty acid biosynthetic process [GO:0042759]; malonyl-CoA biosynthetic process [GO:2001295]; negative regulation of translation [GO:0017148]	33,322	METAL 27;  /note="Zinc"; METAL 30;  /note="Zinc"; METAL 46;  /note="Zinc"; METAL 49;  /note="Zinc"	KW-0002; KW-0067; KW-0275; KW-0276; KW-0443; KW-0444; KW-0479; KW-0547; KW-0694; KW-0808; KW-0810; KW-0862; KW-0863; KW-0963; KW-1185	5 out of 5	FUNCTION: Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl-CoA.; FUNCTION: Controls translation of mRNA for both itself and the alpha-subunit (accA) by binding to a probable hairpin in the 5' of the mRNA. Binding to mRNA inhibits translation; this is partially relieved by acetyl-CoA. Increasing amounts of mRNA also inhibit enzyme activity.
P0A9G6	reviewed	Isocitrate lyase (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratase)	aceA icl b4015 JW3975	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:3291954};  Note=Divalent metal cations. Can also use Mn(2+) ion. {ECO:0000269|PubMed:3291954};	ACEA_ECOLI	GO:0004451; GO:0005829; GO:0006097; GO:0006099; GO:0043169; GO:0046872	cytosol [GO:0005829]; cation binding [GO:0043169]; isocitrate lyase activity [GO:0004451]; metal ion binding [GO:0046872]; glyoxylate cycle [GO:0006097]; tricarboxylic acid cycle [GO:0006099]	glyoxylate cycle [GO:0006097]; tricarboxylic acid cycle [GO:0006099]	47,522	METAL 157;  /note="Magnesium";  /evidence="ECO:0000269|PubMed:11526312"	KW-0002; KW-0329; KW-0456; KW-0460; KW-0464; KW-0479; KW-0597; KW-0816; KW-0903; KW-1185	5 out of 5	FUNCTION: Involved in the metabolic adaptation in response to environmental changes. Catalyzes the reversible formation of succinate and glyoxylate from isocitrate, a key step of the glyoxylate cycle, which operates as an anaplerotic route for replenishing the tricarboxylic acid cycle during growth on fatty acid substrates. {ECO:0000269|PubMed:15748982, ECO:0000269|PubMed:3281659, ECO:0000269|PubMed:3291954, ECO:0000269|PubMed:7826335, ECO:0000269|Ref.9}.
P08997	reviewed	Malate synthase A (MSA) (EC 2.3.3.9)	aceB mas b4014 JW3974		MASY_ECOLI	GO:0004474; GO:0005737; GO:0006097; GO:0006099	cytoplasm [GO:0005737]; malate synthase activity [GO:0004474]; glyoxylate cycle [GO:0006097]; tricarboxylic acid cycle [GO:0006099]	glyoxylate cycle [GO:0006097]; tricarboxylic acid cycle [GO:0006099]	60,274		KW-0002; KW-0329; KW-0808; KW-0816; KW-0963; KW-1185	3 out of 5	
P0AFG8	reviewed	Pyruvate dehydrogenase E1 component (PDH E1 component) (EC 1.2.4.1)	aceE b0114 JW0110	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; ; COFACTOR: Name=thiamine diphosphate; Xref=ChEBI:CHEBI:58937; 	ODP1_ECOLI	GO:0000287; GO:0004738; GO:0004739; GO:0005829; GO:0006096; GO:0016020; GO:0030976; GO:0042802; GO:0042803; GO:0045250	cytosol [GO:0005829]; cytosolic pyruvate dehydrogenase complex [GO:0045250]; membrane [GO:0016020]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; protein homodimerization activity [GO:0042803]; pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]; pyruvate dehydrogenase activity [GO:0004738]; thiamine pyrophosphate binding [GO:0030976]; glycolytic process [GO:0006096]	glycolytic process [GO:0006096]	99,668	METAL 231;  /note="Magnesium"; METAL 261;  /note="Magnesium"; METAL 263;  /note="Magnesium; via carbonyl oxygen"	KW-0002; KW-0007; KW-0324; KW-0460; KW-0479; KW-0560; KW-0670; KW-0786; KW-0903; KW-1185	5 out of 5	FUNCTION: Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2).
P06959	reviewed	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (E2)	aceF b0115 JW0111	COFACTOR: Name=(R)-lipoate; Xref=ChEBI:CHEBI:83088;  Note=Binds 3 lipoyl cofactors covalently.;	ODP2_ECOLI	GO:0004742; GO:0005737; GO:0006086; GO:0006090; GO:0006096; GO:0016407; GO:0031405; GO:0045254	cytoplasm [GO:0005737]; pyruvate dehydrogenase complex [GO:0045254]; acetyltransferase activity [GO:0016407]; dihydrolipoyllysine-residue acetyltransferase activity [GO:0004742]; lipoic acid binding [GO:0031405]; acetyl-CoA biosynthetic process from pyruvate [GO:0006086]; glycolytic process [GO:0006096]; pyruvate metabolic process [GO:0006090]	acetyl-CoA biosynthetic process from pyruvate [GO:0006086]; glycolytic process [GO:0006096]; pyruvate metabolic process [GO:0006090]	66,096		KW-0002; KW-0007; KW-0012; KW-0324; KW-0450; KW-0677; KW-0808; KW-0903; KW-1185	5 out of 5	FUNCTION: The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2). It contains multiple copies of three enzymatic components: pyruvate dehydrogenase (E1), dihydrolipoamide acetyltransferase (E2) and lipoamide dehydrogenase (E3).
P11071	reviewed	Isocitrate dehydrogenase kinase/phosphatase (IDH kinase/phosphatase) (IDHK/P) (EC 2.7.11.5) (EC 3.1.3.-)	aceK b4016 JW3976		ACEK_ECOLI	GO:0004674; GO:0004722; GO:0005524; GO:0005737; GO:0006006; GO:0006097; GO:0006099; GO:0008772; GO:0016208; GO:0018105; GO:0050790; GO:0070262	cytoplasm [GO:0005737]; [isocitrate dehydrogenase (NADP+)] kinase activity [GO:0008772]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine phosphatase activity [GO:0004722]; glucose metabolic process [GO:0006006]; glyoxylate cycle [GO:0006097]; peptidyl-serine dephosphorylation [GO:0070262]; peptidyl-serine phosphorylation [GO:0018105]; regulation of catalytic activity [GO:0050790]; tricarboxylic acid cycle [GO:0006099]	glucose metabolic process [GO:0006006]; glyoxylate cycle [GO:0006097]; peptidyl-serine dephosphorylation [GO:0070262]; peptidyl-serine phosphorylation [GO:0018105]; regulation of catalytic activity [GO:0050790]; tricarboxylic acid cycle [GO:0006099]	67,699		KW-0067; KW-0329; KW-0378; KW-0418; KW-0547; KW-0723; KW-0808; KW-0816; KW-0903; KW-0904; KW-0963; KW-1185	5 out of 5	FUNCTION: Bifunctional enzyme which can phosphorylate or dephosphorylate isocitrate dehydrogenase (IDH) on a specific serine residue. This is a regulatory mechanism which enables bacteria to bypass the Krebs cycle via the glyoxylate shunt in response to the source of carbon. When bacteria are grown on glucose, IDH is fully active and unphosphorylated, but when grown on acetate or ethanol, the activity of IDH declines drastically concomitant with its phosphorylation.
P0A6A3	reviewed	Acetate kinase (EC 2.7.2.1) (Acetokinase)	ackA ack b2296 JW2293	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000255|HAMAP-Rule:MF_00020}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000255|HAMAP-Rule:MF_00020};  Note=Mg(2+). Can also accept Mn(2+). {ECO:0000255|HAMAP-Rule:MF_00020};	ACKA_ECOLI	GO:0000287; GO:0005524; GO:0005829; GO:0006083; GO:0006085; GO:0008270; GO:0008776; GO:0016020; GO:0019413; GO:0019542; GO:0044011	cytosol [GO:0005829]; membrane [GO:0016020]; acetate kinase activity [GO:0008776]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]; acetate biosynthetic process [GO:0019413]; acetate metabolic process [GO:0006083]; acetyl-CoA biosynthetic process [GO:0006085]; propionate biosynthetic process [GO:0019542]; single-species biofilm formation on inanimate substrate [GO:0044011]	acetate biosynthetic process [GO:0019413]; acetate metabolic process [GO:0006083]; acetyl-CoA biosynthetic process [GO:0006085]; propionate biosynthetic process [GO:0019542]; single-species biofilm formation on inanimate substrate [GO:0044011]	43,290	METAL 10;  /note="Magnesium";  /evidence="ECO:0000255|HAMAP-Rule:MF_00020"; METAL 387;  /note="Magnesium";  /evidence="ECO:0000255|HAMAP-Rule:MF_00020"	KW-0002; KW-0067; KW-0418; KW-0460; KW-0479; KW-0547; KW-0808; KW-0903; KW-0963; KW-1185	5 out of 5	FUNCTION: Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction. During anaerobic growth of the organism, this enzyme is also involved in the synthesis of most of the ATP formed catabolically.
P25516	reviewed	Aconitate hydratase A (ACN) (Aconitase) (EC 4.2.1.3) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein) (Stationary phase enzyme)	acnA acn b1276 JW1268	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000269|PubMed:10585860, ECO:0000269|PubMed:7588761};  Note=Binds 1 [4Fe-4S] cluster per subunit. {ECO:0000269|PubMed:10585860, ECO:0000269|PubMed:7588761};	ACNA_ECOLI	GO:0003729; GO:0003730; GO:0003994; GO:0005506; GO:0005737; GO:0005829; GO:0006097; GO:0006099; GO:0006101; GO:0006979; GO:0009061; GO:0046872; GO:0047780; GO:0051539	cytoplasm [GO:0005737]; cytosol [GO:0005829]; 4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; citrate dehydratase activity [GO:0047780]; iron ion binding [GO:0005506]; metal ion binding [GO:0046872]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; anaerobic respiration [GO:0009061]; citrate metabolic process [GO:0006101]; glyoxylate cycle [GO:0006097]; response to oxidative stress [GO:0006979]; tricarboxylic acid cycle [GO:0006099]	anaerobic respiration [GO:0009061]; citrate metabolic process [GO:0006101]; glyoxylate cycle [GO:0006097]; response to oxidative stress [GO:0006979]; tricarboxylic acid cycle [GO:0006099]	97,677	METAL 435;  /note="Iron-sulfur (4Fe-4S)";  /evidence="ECO:0000250|UniProtKB:P36683"; METAL 501;  /note="Iron-sulfur (4Fe-4S)";  /evidence="ECO:0000250|UniProtKB:P36683"; METAL 504;  /note="Iron-sulfur (4Fe-4S)";  /evidence="ECO:0000250|UniProtKB:P36683"	KW-0004; KW-0408; KW-0411; KW-0456; KW-0479; KW-0694; KW-0816; KW-0903; KW-1185	5 out of 5	FUNCTION: Catalyzes the reversible isomerization of citrate to isocitrate via cis-aconitate. The apo form of AcnA functions as a RNA-binding regulatory protein which plays a role as a maintenance or survival enzyme during nutritional or oxidative stress. During oxidative stress inactive AcnA apo-enzyme without iron sulfur clusters binds the acnA mRNA 3' UTRs (untranslated regions), stabilizes acnA mRNA and increases AcnA synthesis, thus mediating a post-transcriptional positive autoregulatory switch. AcnA also enhances the stability of the sodA transcript. {ECO:0000269|PubMed:10585860, ECO:0000269|PubMed:10589714, ECO:0000269|PubMed:11932448, ECO:0000269|PubMed:12486059, ECO:0000269|PubMed:1838390, ECO:0000269|PubMed:9421904}.
P36683	reviewed	Aconitate hydratase B (ACN) (Aconitase) (EC 4.2.1.3) ((2R,3S)-2-methylisocitrate dehydratase) ((2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase) (2-methyl-cis-aconitate hydratase) (EC 4.2.1.99) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein)	acnB yacI yacJ b0118 JW0114	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000269|PubMed:11992126};  Note=Binds 1 [4Fe-4S] cluster per subunit. {ECO:0000269|PubMed:11992126};	ACNB_ECOLI	GO:0003729; GO:0003730; GO:0003994; GO:0005829; GO:0006097; GO:0006099; GO:0006417; GO:0019629; GO:0046872; GO:0047456; GO:0047780; GO:0051539	cytosol [GO:0005829]; 2-methylisocitrate dehydratase activity [GO:0047456]; 4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; citrate dehydratase activity [GO:0047780]; metal ion binding [GO:0046872]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; glyoxylate cycle [GO:0006097]; propionate catabolic process, 2-methylcitrate cycle [GO:0019629]; regulation of translation [GO:0006417]; tricarboxylic acid cycle [GO:0006099]	glyoxylate cycle [GO:0006097]; propionate catabolic process, 2-methylcitrate cycle [GO:0019629]; regulation of translation [GO:0006417]; tricarboxylic acid cycle [GO:0006099]	93,498	METAL 710;  /note="Iron-sulfur (4Fe-4S)";  /evidence="ECO:0000269|PubMed:11992126"; METAL 769;  /note="Iron-sulfur (4Fe-4S)";  /evidence="ECO:0000269|PubMed:11992126"; METAL 772;  /note="Iron-sulfur (4Fe-4S)";  /evidence="ECO:0000269|PubMed:11992126"	KW-0002; KW-0004; KW-0408; KW-0411; KW-0456; KW-0479; KW-0694; KW-0816; KW-0903; KW-1185	5 out of 5	FUNCTION: Involved in the catabolism of short chain fatty acids (SCFA) via the tricarboxylic acid (TCA)(acetyl degradation route) and the 2-methylcitrate cycle I (propionate degradation route). Catalyzes the reversible isomerization of citrate to isocitrate via cis-aconitate. Also catalyzes the hydration of 2-methyl-cis-aconitate to yield (2R,3S)-2-methylisocitrate. The apo form of AcnB functions as a RNA-binding regulatory protein. During oxidative stress inactive AcnB apo-enzyme without iron sulfur clusters binds the acnB mRNA 3' UTRs (untranslated regions), stabilizes acnB mRNA and increases AcnB synthesis, thus mediating a post-transcriptional positive autoregulatory switch. AcnB also decreases the stability of the sodA transcript. {ECO:0000269|PubMed:10585860, ECO:0000269|PubMed:10589714, ECO:0000269|PubMed:11932448, ECO:0000269|PubMed:12473114, ECO:0000269|PubMed:15882410, ECO:0000269|PubMed:8000525, ECO:0000269|PubMed:8932712}.
P0A6A8	reviewed	Acyl carrier protein (ACP) (Cytosolic-activating factor) (CAF) (Fatty acid synthase acyl carrier protein)	acpP b1094 JW1080		ACP_ECOLI	GO:0000035; GO:0000036; GO:0005737; GO:0005829; GO:0006633; GO:0008289; GO:0008610; GO:0009245; GO:0031177; GO:0042493	cytoplasm [GO:0005737]; cytosol [GO:0005829]; acyl binding [GO:0000035]; acyl carrier activity [GO:0000036]; lipid binding [GO:0008289]; phosphopantetheine binding [GO:0031177]; fatty acid biosynthetic process [GO:0006633]; lipid A biosynthetic process [GO:0009245]; lipid biosynthetic process [GO:0008610]; response to drug [GO:0042493]	fatty acid biosynthetic process [GO:0006633]; lipid A biosynthetic process [GO:0009245]; lipid biosynthetic process [GO:0008610]; response to drug [GO:0042493]	8,640		KW-0002; KW-0275; KW-0276; KW-0443; KW-0444; KW-0596; KW-0597; KW-0903; KW-0963; KW-1185	5 out of 5	FUNCTION: Carrier of the growing fatty acid chain in fatty acid biosynthesis.
P24224	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS dpj b2563 JW2547	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000255|HAMAP-Rule:MF_00101, ECO:0000269|PubMed:7559576}; 	ACPS_ECOLI	GO:0000287; GO:0005737; GO:0006633; GO:0008897; GO:0016740; GO:0018070	cytoplasm [GO:0005737]; holo-[acyl-carrier-protein] synthase activity [GO:0008897]; magnesium ion binding [GO:0000287]; transferase activity [GO:0016740]; fatty acid biosynthetic process [GO:0006633]; peptidyl-serine phosphopantetheinylation [GO:0018070]	fatty acid biosynthetic process [GO:0006633]; peptidyl-serine phosphopantetheinylation [GO:0018070]	14,052	METAL 9;  /note="Magnesium";  /evidence="ECO:0000255|HAMAP-Rule:MF_00101"; METAL 58;  /note="Magnesium";  /evidence="ECO:0000255|HAMAP-Rule:MF_00101"	KW-0002; KW-0275; KW-0276; KW-0443; KW-0444; KW-0460; KW-0479; KW-0808; KW-0903; KW-0963; KW-1185	5 out of 5	FUNCTION: Transfers the 4'-phosphopantetheine moiety from coenzyme A to the 'Ser-36' of acyl-carrier-protein. {ECO:0000269|PubMed:7559576}.
